"","Australia","Brazil","Chile","CHN","Egypt","France","Germany","HK(region)","India","Israel","Japan","Mexico","Portugal","Qatar","Russia","South Africa","Spain","UK","USA"
"Australia",0,0.118983957219251,0.0681818181818182,0.141377005347594,0.0618315508021391,0.649398395721925,0.11129679144385,0.167446524064171,0.108288770053476,0.175802139037433,0.11129679144385,0.0858957219251337,0.0825534759358288,0.140040106951872,0.205548128342246,0.0417780748663101,0.0568181818181818,0.0464572192513369,0.0411096256684492
"Brazil",0.118983957219251,0,0.135026737967914,0.1524064171123,0.100601604278075,0.66644385026738,0.128676470588235,0.147727272727273,0.297125668449198,0.205548128342246,0.112967914438503,0.0962566844919787,0.0518048128342246,0.137700534759358,0.160762032085562,0.151069518716578,0.0641711229946524,0.121991978609626,0.119986631016043
"Chile",0.0681818181818182,0.135026737967914,0,0.103609625668449,0.111631016042781,0.622994652406417,0.0842245989304813,0.136029411764706,0.171791443850267,0.214572192513369,0.0835561497326203,0.0437834224598931,0.0685160427807486,0.185828877005348,0.182152406417112,0.0945855614973262,0.0411096256684492,0.118649732620321,0.0808823529411765
"CHN",0.141377005347594,0.1524064171123,0.103609625668449,0,0.105280748663102,0.595922459893048,0.0705213903743316,0.0424465240641712,0.288770053475936,0.213235294117647,0.0407754010695187,0.0865641711229946,0.089572192513369,0.105949197860963,0.154745989304813,0.18081550802139,0.0848930481283422,0.154411764705882,0.171457219251337
"Egypt",0.0618315508021391,0.100601604278075,0.111631016042781,0.105280748663102,0,0.660093582887701,0.112967914438503,0.115307486631016,0.196524064171123,0.197860962566845,0.0922459893048129,0.0721925133689839,0.0929144385026738,0.0929144385026738,0.171122994652406,0.0701871657754011,0.0561497326203209,0.0848930481283422,0.0982620320855615
"France",0.649398395721925,0.66644385026738,0.622994652406417,0.595922459893048,0.660093582887701,0,0.657754010695187,0.643048128342246,0.765040106951872,0.72192513368984,0.542446524064171,0.656751336898396,0.575534759358289,0.679144385026738,0.740641711229947,0.649064171122995,0.629010695187166,0.606951871657754,0.631350267379679
"Germany",0.11129679144385,0.128676470588235,0.0842245989304813,0.0705213903743316,0.112967914438503,0.657754010695187,0,0.0912433155080213,0.244986631016043,0.196858288770054,0.0564839572192514,0.0862299465240641,0.0832219251336899,0.150735294117647,0.136363636363636,0.162767379679144,0.0521390374331551,0.115307486631016,0.126671122994652
"HK(region)",0.167446524064171,0.147727272727273,0.136029411764706,0.0424465240641712,0.115307486631016,0.643048128342246,0.0912433155080213,0,0.267713903743315,0.248663101604278,0.0635026737967914,0.10394385026738,0.126002673796791,0.113970588235294,0.186497326203209,0.186831550802139,0.101270053475936,0.165106951871658,0.174131016042781
"India",0.108288770053476,0.297125668449198,0.171791443850267,0.288770053475936,0.196524064171123,0.765040106951872,0.244986631016043,0.267713903743315,0,0.286764705882353,0.265040106951872,0.205882352941177,0.244652406417112,0.267045454545455,0.329211229946524,0.108622994652406,0.205548128342246,0.164772727272727,0.135026737967914
"Israel",0.175802139037433,0.205548128342246,0.214572192513369,0.213235294117647,0.197860962566845,0.72192513368984,0.196858288770054,0.248663101604278,0.286764705882353,0,0.164438502673797,0.232286096256685,0.160427807486631,0.224933155080214,0.29144385026738,0.206885026737968,0.181818181818182,0.184826203208556,0.215909090909091
"Japan",0.11129679144385,0.112967914438503,0.0835561497326203,0.0407754010695187,0.0922459893048129,0.542446524064171,0.0564839572192514,0.0635026737967914,0.265040106951872,0.164438502673797,0,0.0855614973262032,0.0571524064171123,0.101938502673797,0.150401069518717,0.141711229946524,0.0618315508021391,0.106951871657754,0.134358288770054
"Mexico",0.0858957219251337,0.0962566844919787,0.0437834224598931,0.0865641711229946,0.0721925133689839,0.656751336898396,0.0862299465240641,0.10394385026738,0.205882352941177,0.232286096256685,0.0855614973262032,0,0.0885695187165776,0.136363636363636,0.135026737967914,0.0949197860962567,0.0441176470588235,0.132352941176471,0.0915775401069518
"Portugal",0.0825534759358288,0.0518048128342246,0.0685160427807486,0.089572192513369,0.0929144385026738,0.575534759358289,0.0832219251336899,0.126002673796791,0.244652406417112,0.160427807486631,0.0571524064171123,0.0885695187165776,0,0.147058823529412,0.159090909090909,0.11798128342246,0.0357620320855615,0.0982620320855615,0.101604278074866
"Qatar",0.140040106951872,0.137700534759358,0.185828877005348,0.105949197860963,0.0929144385026738,0.679144385026738,0.150735294117647,0.113970588235294,0.267045454545455,0.224933155080214,0.101938502673797,0.136363636363636,0.147058823529412,0,0.231951871657754,0.145387700534759,0.143716577540107,0.135360962566845,0.169117647058823
