,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Grandparent and Grandchild,0.87597865,-0.706245403,1.431377091,1.377290233,-1.330906408,1.645417731,0.724084907,1.603576633,-1.238271318,-1.89340107,0.842196382,1.884218614,1.655335041,0.631358733,-1.178190379,-0.808981003,-0.716627437,1.682950694,2.102288927,-1.072220334,-0.107757893,-0.994282925,0.797656569,1.599437579,0.496164588,-1.473068385,1.48349012,1.625289306,-0.483992557,1.238495748,0.970598928,1.242936501,2.390827026
Between friends,0.893611978,1.435869445,1.563011198,1.32240234,-1.790647438,1.300541959,-0.380335864,1.530027283,0.809293941,-1.490669884,-0.874614386,0.116473929,1.130894422,0.963814504,-1.046855093,-0.745360817,-0.972172111,1.310589365,0.348724537,-1.089665247,0.780862966,-0.937471279,-0.037936335,1.440633585,0.546962642,-1.290309234,1.637249781,1.104478733,0.288240505,1.22176397,0.996553581,0.850812187,-1.126641815
Between playmates,0.598684251,1.342372583,1.558664148,1.41628272,-1.440076756,1.36210915,-0.212305685,1.391745902,-0.244828259,-1.490669884,-0.491024214,0.475574965,0.916603679,1.049731373,-1.0687054,-1.168785491,-0.785904853,1.074072881,-0.073632495,-0.720809321,0.837521503,-0.963461357,-0.537154772,1.278022685,0.744450878,-1.038149474,1.513051902,1.200537169,1.299355002,1.179246312,0.67065799,1.002766596,-1.319684557
Babysitter and Infant,0.795008322,-0.590350763,0.341406557,-0.17103686,0.079710032,0.387602809,0.690314406,-0.908284215,0.585733567,-0.013426167,1.95825688,-0.357470326,0.540992065,-0.662273645,1.283059973,0.460571823,1.627407121,0.70966305,-0.655575173,-0.571600536,0.02300536,-0.534228658,0.28055718,-0.074625576,0.003251493,0.86120629,-0.488703092,-0.724207273,-0.032521672,1.074840017,0.410270845,0.559469941,1.196454228
Between brothers-in-arms,0.916141179,1.453276545,1.597096022,1.015149487,-0.617235697,1.562930133,0.526303502,1.321926671,-0.765861196,-1.748948387,-0.277678405,0.861457394,1.312831356,0.724574153,-1.204162025,-1.166694505,-0.101365803,1.135636134,-0.637484453,-1.061438347,0.428594667,-0.707309139,0.90583034,0.935109287,1.242013598,-0.007454852,1.399966353,1.394231762,1.698993124,1.069915191,1.267794657,1.268712605,-0.999896866
Between Close Friends,0.876435235,1.34531847,1.313780333,1.394722867,-1.555335655,1.515691306,0.464638278,1.382553968,-0.592772288,-1.305209129,-0.890634393,0.86568933,1.268828694,0.645915888,-0.959893162,-1.098787244,-1.108114443,1.486759662,-0.363233548,-1.047807565,0.721271792,-1.175280499,-0.204681866,1.179463547,0.958500496,-1.035413413,1.558866267,1.365605911,1.196473334,1.034584923,0.931849385,1.290834793,-1.34404389
Coach and athlete,0.876053256,-0.975946776,1.186299799,-0.457169183,0.854605614,0.438644619,1.082839897,0.091602376,1.361763556,0.355457714,-0.018832969,0.414263117,0.331083068,1.25432699,0.261807229,0.114283375,0.286999631,0.891462277,-0.529425493,-0.704368069,0.637632998,-0.049810128,0.770940254,0.763171357,0.941855891,1.300718033,0.565254552,0.636429858,0.813886282,1.028243593,0.878035137,0.9486266,1.32949497
Fiance and Fiancee,0.823366466,1.408818522,1.489210145,1.232783491,-1.103446651,1.692298731,-0.332766725,1.27156236,-0.468976789,-0.95600605,-0.250215535,1.705090714,1.54597836,0.363981288,-0.769290827,-0.887467445,-0.890908647,1.551177224,2.402528695,-0.961947691,1.001014446,-0.821470106,-0.513924717,1.357722462,0.724477352,-1.269249466,1.50407779,1.030332377,1.168646293,1.027702403,0.820432722,1.067298789,-1.2961952
Between soul-mates,0.965722878,1.331282187,1.502239439,1.369175524,-0.909538022,1.660989877,-1.188237629,1.709671212,0.528501462,-1.289103327,-1.581193793,1.93342068,1.67039373,1.179071697,-1.044417943,-0.845678361,-0.612517413,1.743984708,1.968241103,-0.913720017,1.094948337,-1.004851807,0.141432988,1.604587411,0.545159476,-1.117036162,1.446889818,1.405477633,1.30753473,0.996042812,0.98176405,1.161115906,-1.128836427
Between neighbors,0.429997017,1.324437828,0.049470679,0.726847601,-1.239800522,0.245974338,0.951246102,0.333882588,0.667573194,-0.497641422,-0.24578604,-0.606047723,0.273570521,0.329601037,-0.632539652,-0.456456245,-0.549226516,0.222836668,-0.596449405,-0.431841854,1.329037558,-0.447504469,-0.318372753,-0.250087699,0.112954571,-1.149052586,0.28834948,0.711377178,-1.174194637,0.98300651,0.465830621,-0.020629514,-0.264299444
Between adoptive parents and adopted kids,0.744861582,-0.842989988,1.215730205,0.881861877,-0.650844147,1.323825551,0.180482446,1.201958471,-0.810853157,-1.453516726,-0.214302552,1.484505303,1.467463805,0.562667157,-0.607471827,-0.901810458,-0.101894911,1.524995818,0.025915492,-0.748211409,0.445263773,-0.407552876,0.589692684,1.429247902,0.698911239,-1.111920605,0.943195754,1.455129211,-0.066659514,0.960053705,0.724233314,0.817112441,1.880519413
Doctor and Patient,0.668909106,-0.047906437,-0.4414543,-0.486755852,1.127347787,-0.25050349,0.623897975,-0.925857409,0.156102171,0.302930836,2.043696919,-0.862112391,0.534907746,0.808216429,1.373066431,0.911564923,1.707655201,0.069467341,-0.791102838,-0.257531363,0.437513927,-0.499984436,1.612207333,1.000861603,0.261091554,1.249960223,-0.062751298,-0.964925479,0.972655926,0.944653331,0.897235942,0.802760698,-0.259221356
Between sorority sisters,0.308241139,1.186265696,0.738158465,0.682653091,-0.793544106,0.910953731,0.010422773,0.347818254,0.740277235,-0.841557242,0.194276092,-0.20346292,0.607159031,0.706231748,-0.842448993,-0.571388374,-0.872961208,0.613998086,-0.415895193,-0.362283945,0.982680494,-0.686294434,-0.692325466,-0.041519515,0.712106652,-0.62985837,1.129391376,-0.248739082,0.935312178,0.932202485,0.295757369,0.28280933,-1.076221396
Owner and Manager,0.290159692,-1.138628264,0.036381584,-1.164855442,1.394481924,-0.469210052,0.780358669,-1.088540729,1.739414312,1.276599798,1.098516496,-0.396703626,-1.033014279,0.894876326,1.700766231,0.840942514,1.11913871,-0.64128016,-0.660521673,0.05960213,0.595323051,0.693406162,1.034745617,0.701002141,0.67145672,1.349039728,0.339122801,0.130857263,0.447494795,0.927523504,0.178313079,0.113188123,0.31123622
Between Siblings,0.904537051,1.238954639,1.652240119,1.586974319,-1.14369308,1.43701963,-0.37109594,1.394818139,0.297399238,-1.632108112,0.529563515,1.978609865,1.610400558,0.650357961,-0.980975891,-1.302509027,-1.200191299,1.517857796,0.687035711,-0.866141874,0.406713748,-1.075245609,0.518914837,1.54205374,1.124562438,-1.16989691,1.107281243,1.648218681,-0.139616588,0.92027627,0.915211163,1.127748333,-0.826620043
Lawyer and Client,0.614751742,0.245572008,-0.392291882,-0.940485651,1.549591265,-0.847954955,0.40049405,-1.220229443,1.31356065,1.047018906,1.167936527,-0.353976266,-1.139705919,1.202059871,1.878278386,1.707017318,1.5779481,-0.705556456,-0.70314053,-0.664787276,1.076472727,-0.372382644,0.943225611,0.585990825,0.878051573,1.120315774,0.108471312,-1.28858021,0.778022565,0.897546307,0.260714158,0.669920959,-0.466656098
Brother and Sister,0.79810562,1.171725139,1.474983436,1.381077097,-1.462076011,1.505974884,0.893691893,1.360992811,-0.751731489,-1.54362381,-0.185754078,1.362423891,1.632747008,0.589506912,-1.133373905,-1.051457941,-1.13013622,1.217788086,0.348724537,-0.737012295,-0.246380955,-0.789940639,1.124578618,1.542902613,0.67508827,-1.084047382,1.191225941,1.668242774,-0.006830649,0.887286254,0.940168496,1.249559178,-0.484534872
University student and Administrator,0.558906052,-0.979401861,0.37939643,-0.918087668,0.878660022,-0.067816843,0.942843172,0.474372233,0.512877267,-0.084096476,0.2120761,-1.216728264,0.65442115,1.041363608,-0.442677832,-0.703690452,0.313710473,-0.138371121,-0.742940114,-0.198557772,-0.469125503,-0.137723937,1.064441862,0.13688537,0.080278583,0.857043889,0.651537095,0.113157395,0.022394964,0.879637852,0.975166135,0.611613992,1.766738193
Athletic trainer and Trainee,0.641852244,-0.843902263,0.71685792,-0.932071336,1.067110751,-0.120807088,0.943395923,0.124580626,1.21570837,0.81939872,1.188228536,-0.677925525,-0.207513353,0.90830861,0.806164819,0.85110703,1.394132979,0.338796007,-0.546055486,-0.853095261,0.718573766,0.041081646,0.25721402,0.713993496,0.586909693,1.189089997,0.71790028,-0.199211538,0.312278889,0.879488614,0.390022077,0.648210685,0.625251684
Godparent and Godchild,0.749956705,-1.065954482,0.819937343,1.082198832,-0.439167268,0.96361047,0.277550946,1.162280532,-0.796158548,-0.951564753,-0.845244373,1.16325201,1.347197364,0.767362477,-0.921459812,-1.024449371,0.329222467,1.405306396,1.176140325,-0.832041499,-0.477941935,-0.433179912,0.513806227,0.761939121,0.869515878,-0.426239312,1.211539316,1.451911053,0.29605298,0.872922181,0.723039702,1.042871607,2.069711528
Between classmates,0.693485755,1.317379583,0.865309677,1.040692095,-1.02370533,0.845616389,0.940936911,1.080989145,0.644081687,-0.685842132,-0.286466523,-0.55421277,1.018887646,0.868731345,-1.156526827,-0.601315111,-0.969145612,0.81729732,-0.170636442,-0.759172244,1.039521507,-0.937781505,0.248706855,0.084962616,0.954458235,-0.748847278,0.961106272,0.948640678,1.772610673,0.868950547,0.85856198,0.687182987,-1.428514203
Therapist and Patient,0.62697097,-0.087734007,-0.492708736,-1.216838044,1.423465978,-0.395379175,-0.012403133,-1.364664999,0.83693902,0.076961548,1.409207544,-0.69173538,0.273639941,0.742357041,1.30821996,1.020227973,1.560151587,-0.068528922,-0.608687928,-0.256211348,0.552645192,-0.556366759,1.477584356,0.844855859,0.639848784,0.97868648,-0.079589136,-0.907182533,0.625529071,0.850122064,0.908674719,0.881867508,-0.122539013
Nurse and Patient,0.639533084,0.196300684,-0.342414208,-0.782033891,0.962941566,-0.143936279,0.583940345,-0.58354878,-0.317243006,-0.298041873,1.138185085,-0.374593389,0.373926813,0.072517944,0.613453107,0.676711457,1.350960674,0.226944265,-0.507540134,-0.492458593,-0.374126602,-0.773007744,0.925143029,0.45783024,0.118204023,1.23437462,-0.741171732,-1.286741262,0.153024599,0.850122064,0.800823389,0.52514057,0.578098003
Mentor and Mentee,0.676419717,-1.009553876,0.64064623,-0.447722191,0.627488933,0.05403203,0.716567058,0.300333762,0.420912365,-0.213919004,-0.534267763,0.135192107,0.246853281,0.904655324,-0.380700855,0.055798653,0.366365864,0.651747497,-0.361181796,-0.342879731,0.500033692,0.034061081,1.006612332,0.798769272,0.723555497,1.10574737,0.53540152,0.492095479,0.518483145,0.845014838,0.838407943,0.607489885,1.896893658
Bride and Bridesmaid,0.645330983,1.1526872,0.868569964,1.178353628,-1.221485779,1.201586692,0.417227327,1.185773609,-0.496936016,-1.287469405,-1.171652019,1.02767481,0.833952012,0.27683135,-0.956071268,-0.960447245,-0.303590964,0.81455047,-0.322882417,-0.877183901,0.64734589,-0.801491936,-0.462620726,0.720124248,0.636308503,-1.051417129,1.088872807,-1.320903245,0.837784656,0.840090012,0.481384937,0.759021575,-1.00393861
Between a person and their in-laws,0.235999319,-0.743552065,0.803858197,1.07985571,-0.879718381,0.794849511,0.165558842,0.980342666,-0.335584452,-1.275791216,-0.472630873,1.113301964,0.992182326,0.619130723,-0.573291704,-0.844253734,-0.273325974,0.679091512,0.820114652,0.979116541,0.189388607,0.129530502,0.405914607,0.799260278,0.149572701,-0.717064236,0.475574103,1.193524122,-0.02050248,0.826056908,0.563095753,0.291253075,2.042667232
Doctor and Nurse,0.754297378,-1.068679551,0.570797041,-1.010889632,1.425603051,-0.120951195,1.086310503,0.280517834,0.705394521,-0.200356223,0.080815396,-1.22806716,-0.452526482,0.680489132,-0.327475747,-0.179261194,-0.267548112,-0.670047174,-0.27207712,-0.936040263,-0.243609614,-0.681772012,1.308624345,0.558483345,1.00068268,1.442618079,0.361575222,0.357093758,0.955906601,0.816958257,0.947893385,0.752012932,-0.368037542
