,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals involved,Affiliation/Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Between soul-mates,1.229768327,1.809975665,1.921960055,1.793710408,-1.305765303,1.985856502,-0.354719809,1.65080324,1.133955118,-1.715418241,-0.729113087,2.00369995,1.87036674,1.366290467,-0.356038309,0.081957722,-0.507707446,1.809192585,2.318445187,-0.543305696,0.439102687,-0.670217243,-0.238015408,1.692415552,1.147462518,-0.977663191,1.374559964,1.573439949,1.56592472,1.2903686,0.9865921,1.311875813,-0.946250758
Between strangers,-1.01613549,0.608883575,-2.122342716,-0.954898096,0.209113291,-1.196295917,0.444901471,-1.11342063,-0.624028053,0.079200012,-0.090500734,-2.037444787,-1.180671387,-2.492708318,-0.75633281,0.660531066,-0.570140655,-1.607807037,0.024015157,-0.213183014,-0.463217816,-0.094182743,-0.866433741,-2.556404817,-2.106841716,-1.083101539,-2.830970711,-2.019604808,-3.244933799,-2.443614095,-1.161890432,-2.112345793,-0.163368264
Between neighbors,-0.025331779,1.085395737,-0.646177695,0.064272457,-0.534635334,-0.447169346,0.284732499,0.120947486,1.056655601,-0.213403394,-0.137296657,-0.485963095,-0.393653364,-0.685852341,-0.911479797,0.084464722,-0.651345844,-0.448302949,-0.219802188,-0.156318755,0.269324902,-0.51525714,0.410937191,-0.29682489,-0.305094494,-1.131753383,-0.728600162,0.245392982,-0.991141455,0.651659578,-0.038049247,-0.327972557,-0.043522241
Between church members,0.285093978,0.766884031,-0.074731861,0.328175535,0.012293345,-0.208941012,0.172104592,0.331770106,0.315852482,-0.612452266,-1.290628511,-0.469944205,0.075544986,-0.276489161,-0.678312319,-0.316083748,-0.466144868,-0.051885751,-0.267038234,-0.864923422,-0.862438626,-0.65269902,-0.620660058,-0.65872061,0.590473342,-0.817151313,-0.015954692,0.207889607,0.566221914,-0.261657592,-0.002602643,0.162658831,0.185370843
Between fans of the same sports team,0.629760212,1.421229152,-0.050383468,0.673716424,-1.04942307,0.073016794,1.057865336,0.389038956,0.520725462,-0.65092569,-1.063006518,-0.548188881,0.184591486,-0.159447539,-0.954166643,-0.333297447,-0.812979938,0.047229296,-0.224797887,-1.075484069,-0.624793972,-0.686276978,-1.203247422,-0.608042785,0.895336973,-0.823887667,0.313084172,-0.05508294,0.887458731,-0.457917945,-0.089071486,0.124038006,-0.27146308
Between fans of opposing sports teams,-2.130980197,0.275715046,-1.490652964,-0.191757394,-0.746307965,-1.086354739,0.57058077,-0.917421793,-0.945156273,0.148104342,-0.997351069,-1.22632241,-1.021063374,-1.828777745,-1.031134716,-0.704693956,-1.253265604,-1.392809475,-0.371324603,2.244457312,-1.283674629,0.848467816,-1.451448366,-1.808625226,-2.069833026,-1.087522274,-1.84004457,-1.267954609,-1.729888814,-1.956648404,-1.360715403,-2.01336205,-0.319167726
Superior and Subordinate,-0.515668317,-1.269744821,-0.438628826,-1.119559371,1.291464334,-0.780663379,0.394851019,-0.760468313,0.271052497,1.382537166,1.386338746,-0.137386425,-0.759039273,0.564860934,1.250455421,0.62887182,1.043437782,-0.560567858,-0.383792614,0.158919111,1.091055672,0.824043677,0.611214747,0.086098544,-0.12729165,1.540087338,0.081488904,0.159617323,0.473326439,0.286658274,-0.42595867,-0.303451579,0.596452112
Aunt and Niece/Nephew,0.909654842,-0.07792279,1.196053335,1.519203048,-1.138080099,1.196411469,-0.210878961,1.461458718,-0.017718408,-1.448308649,-1.140110213,1.677610878,1.65058921,0.315172082,-0.679188641,-0.250006373,-0.860961564,1.496310885,0.009340842,-1.043919775,-0.6126844,-0.820204385,0.326111017,1.434788814,0.736987425,-1.042343574,0.921146503,1.950505025,0.306138117,0.479632659,0.524890691,1.104778349,1.663063994
Uncle and Niece/Nephew,0.864708335,0.005007799,1.242073408,1.570200568,-1.075562152,1.123237062,-0.222599819,1.475096337,0.090338097,-1.338878912,-0.999596425,1.640785664,1.642231421,0.309075794,-0.686844345,-0.32350099,-0.849421071,1.501717573,0.00142562,-1.125728052,-0.57993662,-0.792884924,0.320086233,1.488171668,0.880312115,-0.960368666,0.895802994,1.969652338,0.321899176,0.577054507,0.507655797,1.116297086,1.730087428
Between frenemies,-1.633404591,0.567059143,-0.955242707,0.062612081,-0.822875651,-0.740562668,-0.394720661,-0.899142384,-0.331140132,0.791503296,-0.656891485,-0.193929745,-0.56214943,-1.477635595,-0.51085142,-0.695774966,-1.192839409,-0.80407606,-0.432649656,2.13848906,-0.574443624,1.239469341,-1.829011727,-1.318215547,-1.70192212,-0.979612454,-1.068381833,-0.741805159,-1.349102749,-1.293797333,-2.154321104,-1.990958457,-1.33294926
Between half-siblings,-0.114601266,0.811363987,0.75011474,1.241886189,-1.281479785,0.677310605,-0.488746451,1.0859806,0.464657962,-0.978685093,-1.003825543,1.593592337,1.17169242,0.14942209,-0.732044429,-1.054465139,-1.232168672,0.930805586,0.135606781,0.366165357,-0.256775633,-0.257070358,-0.536454981,0.735136401,0.51102632,-1.1224201,0.347193753,1.544276626,0.188072786,0.526228841,0.407439769,0.308384172,-0.987463204
Between adoptive parents and adopted kids,0.477468598,-0.681011026,1.307898111,1.337259644,-1.107181304,1.280175245,-0.642332582,1.669565762,-0.202039012,-1.542907643,-1.102163088,1.737764482,1.639738289,0.584626801,-0.412842327,-1.010005851,-0.746702402,1.632699112,0.222302541,-0.347170631,-0.240093201,-0.447397743,0.240827067,1.360797699,0.985633953,-1.153159049,1.098011168,1.734178818,0.666926583,1.219700037,0.866924698,0.955307391,1.935765814
Mother and Infant,1.240574169,-0.694541256,2.109179012,1.957342109,-1.320506824,2.227463148,-0.189698395,2.118489182,-0.512848709,-1.754464829,-0.962155271,1.919106531,2.164073536,0.931855852,-0.719951129,-1.157656132,-0.576200052,2.236770342,2.118785236,-1.061028176,-1.319212987,-0.783561408,1.227641814,1.985169352,1.493320566,-1.072979789,1.451509189,2.068409371,1.439907101,1.836154608,1.250269919,1.541312877,2.363952045
Between alumni,-0.383242399,1.010180024,-0.735632784,-0.447587623,0.005363111,-0.374063355,0.403011419,-0.288118226,0.543571145,0.334572876,-0.231058863,-1.181985831,-0.441217258,-0.085468459,-0.444819341,-0.449930051,-0.916881371,-0.755564223,-0.218034928,-0.359955562,-0.445026718,-0.379883502,-0.812161482,-1.101665762,-0.228344069,-0.110521228,-0.997998406,-0.692993874,-1.112870237,-1.003608212,-0.191591367,-0.635565183,-1.417901984
Between a monarch and their minister,-0.56039637,-1.328346978,-0.819921229,-1.262950697,1.461734225,-0.962602499,0.865798989,-1.103566897,-0.187364301,1.435486049,0.45617499,-0.168855048,-0.903689276,0.270147069,0.661829168,0.393541306,0.883008428,-0.716557885,-0.426236103,0.259865145,1.3420956,1.12431095,0.687383105,-1.113675496,0.300956838,1.029665593,-0.108861849,-0.335976325,-0.193628495,-0.436253112,-0.197424392,-0.372965509,0.050689641
Between confidants,0.80893172,1.330851369,1.062745042,0.965818233,-0.7897928,0.83972017,-1.296768371,0.973535147,0.893918808,-0.549608319,-0.693004599,1.228555972,0.763354551,1.035699307,-0.465030554,-0.611443774,-0.771412819,0.766599217,-0.066859847,-0.86015496,-0.279397014,-0.701469182,-0.548297046,0.942506751,0.93304878,-0.784648467,0.791098691,0.740997157,0.624167777,0.15921922,0.492345611,0.928748063,-0.903788025
Between a person and their significant other,1.139317191,1.665450796,1.960507802,1.694854618,-1.331273673,2.411170984,-0.78601861,1.87964644,1.261617231,-1.216024,-0.722848278,2.102530191,1.918790652,1.37662238,-0.197420903,-0.427491037,-0.551463303,1.946206291,2.973558689,-0.373444883,0.333567877,-0.607608923,0.062616629,1.832454599,1.36712981,-0.945116151,1.618396408,1.4588802,1.467755588,1.558242537,0.954758461,1.227372658,-0.93886402
Between companions,0.777654518,1.193458348,0.562265325,0.694787229,-0.827854932,0.561904944,0.524402233,0.889290872,1.632516751,-0.45526076,-0.22373777,0.099605531,0.597081421,0.56489901,-0.083359215,0.272858006,-0.299343599,0.632235284,0.408153641,-0.673796658,0.48716063,-0.582798509,-0.152564601,0.562999709,0.924144449,-0.450419778,0.839854391,0.204711231,1.363227298,1.004069863,0.444779559,0.469919582,-0.397120747
Between playmates,0.559173758,1.292189646,0.624094071,0.728482542,-1.07182437,0.347017788,0.093280712,0.699521373,1.128221238,-0.356248665,-0.259821382,-0.149533574,0.299908245,0.484112281,-0.612708811,-0.093145005,-0.477938708,0.570318871,-0.094794353,-0.464599598,0.320188484,-0.645777802,-0.652190064,0.501956303,1.097639684,-0.594527352,1.527447969,0.318499747,1.361882162,0.90150183,0.509800189,0.691251984,-0.785962291
Between competitors in sports,-2.021059965,0.500797827,-0.651748992,-0.817064194,0.820463739,-0.826106244,1.277125074,-0.827986919,-0.562226699,1.475985251,0.02382522,-1.12622994,-0.834782264,-1.437763805,-0.358900391,-0.270965639,-0.840001808,-1.060965814,-0.467278191,2.11784046,-0.548073577,0.753173527,-0.253011396,-0.720974522,-1.335229404,0.776278294,-0.188229853,-1.140566141,-0.125187961,-0.231611736,-0.313264162,-1.483087233,-0.543211739
Between a person and their crush,0.442732427,0.459043093,0.512135247,1.215185199,-1.139084334,1.200467159,-2.236264917,0.761548663,-0.506003265,-0.669302689,-1.229202019,0.921884901,1.398693256,0.040724025,-0.777791113,-0.191128656,-0.712382138,1.129653328,1.792843545,-0.869903439,-0.682612851,-0.608125428,-1.343609799,0.474971378,-0.490709567,-1.191099602,-0.657841567,-0.255521101,-1.250654558,-0.437885195,-0.345981367,-0.269709004,-0.783485584
Between cohabitants,0.633441066,1.156338497,1.246545628,0.876299377,-0.826307004,1.052327169,-0.663798443,1.093190849,1.103277147,-0.528506239,0.179271183,0.678729503,0.851513695,0.57050659,0.190553205,0.550376978,-0.270189889,0.876246906,1.026968769,-0.141036316,0.914144631,-0.184393805,-0.410994557,0.841784816,0.820613374,-1.03268485,0.911726923,0.842128136,0.756172391,1.709774786,0.40112994,0.810928855,-0.405864853
Between long-distance lovers,0.979154407,1.479672725,0.841777592,1.431933025,-1.187053653,1.859003422,-1.458876682,1.399008472,1.400800659,-0.903978162,-0.81596547,1.233620961,1.538972232,0.748723598,-0.768416335,-0.162478101,-0.84705296,1.456658267,2.255962669,-0.455174106,0.441938636,-0.63676724,-1.096937202,1.10997888,0.691291543,-1.24449107,0.636135781,0.584662971,0.005958427,-2.245619947,-0.020208156,0.623536942,-0.907392195
Between brothers-in-arms,0.350147386,0.706325526,0.740024076,-0.036701863,-0.160380589,0.269074366,0.144618192,0.583560698,0.455258723,-0.124958432,0.089994116,0.145863599,0.384560125,0.395962052,-0.682627778,-0.182498488,-0.38479886,0.707059038,-0.345046825,-0.432086198,0.041446219,-0.167661232,-0.264565403,0.134127324,0.79889476,0.206963923,0.294146497,0.358585046,0.413533145,0.319388552,0.180042936,0.731833541,-0.53635927
