,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
0,36,97,95,96,16,22,97,94,31
2,3,51,71,94,4,11,61,97,20
4,23,41,54,89,18,17,85,78,26
5,40,50,32,96,3,8,94,72,27
8,15,22,32,64,4,11,51,66,27
9,24,39,46,66,19,21,77,78,15
10,20,79,93,92,21,7,75,93,26
13,41,32,27,61,1,3,79,96,35
18,36,42,14,88,23,18,68,86,27
19,8,8,72,98,3,10,98,66,24
21,30,63,67,60,3,19,82,100,34
24,29,79,76,74,9,22,73,75,31
25,40,92,90,100,19,21,90,82,37
26,21,37,46,87,8,1,100,100,9
27,20,77,96,99,5,13,98,95,25
29,21,96,70,100,22,12,98,75,12
30,38,62,75,100,10,16,100,72,10
32,16,18,19,85,24,17,68,83,30
33,23,83,81,89,23,38,73,77,19
34,37,78,61,84,15,26,94,78,44
35,34,97,99,100,21,2,100,100,22
36,23,63,59,100,34,14,66,100,43
37,2,79,91,86,23,5,87,83,34
38,36,84,73,83,8,8,85,89,24
39,40,45,52,100,2,7,83,100,35
40,12,47,91,100,7,8,98,77,16
41,15,80,90,87,12,3,88,95,10
42,26,75,81,80,7,2,79,72,43
43,41,72,74,76,19,24,73,73,24
46,12,100,72,81,23,29,59,83,20
47,9,18,11,90,6,17,100,77,18
48,24,41,29,86,5,19,100,74,12
49,32,74,76,91,35,19,76,100,43
51,34,71,74,75,32,19,74,76,18
53,6,84,74,87,16,27,65,92,31
56,44,28,19,75,30,30,82,62,13
58,31,80,81,83,30,20,91,92,25
59,16,88,70,94,10,19,65,91,18
60,43,67,70,72,4,11,73,100,30
61,26,98,95,76,20,8,93,90,34
62,40,100,82,92,11,26,100,97,25
63,22,57,45,88,9,23,93,84,32
64,2,93,85,82,15,2,81,86,13
66,30,49,41,68,13,22,100,86,11
69,9,71,92,98,3,16,97,65,25
70,6,78,91,81,16,15,77,90,5
71,20,97,95,97,5,15,97,98,42
72,42,60,54,86,1,4,93,98,9
76,6,9,55,100,2,14,100,74,31
77,15,70,72,100,31,17,84,100,40
78,10,28,34,87,5,14,75,100,30
79,6,73,72,74,26,28,73,73,23
80,22,60,77,70,14,1,59,72,21
81,19,85,89,82,24,19,87,76,15
82,2,63,85,76,25,37,81,68,4
84,42,24,35,81,5,13,99,100,24
86,43,77,81,82,32,33,78,79,7
87,22,58,75,62,7,8,100,73,13
88,20,67,58,75,19,3,71,83,27
89,39,100,100,90,3,12,100,100,20
92,31,25,46,85,37,34,96,79,39
93,29,71,54,79,18,38,61,86,27
94,9,9,8,76,0,0,100,100,0
95,2,48,50,100,0,0,100,100,0
96,1,50,50,100,1,1,100,100,1
97,0,54,70,100,3,13,75,100,42
98,18,49,48,98,6,7,98,99,9
99,11,50,51,100,6,5,100,100,5
100,2,54,78,100,1,1,100,100,2
101,4,51,50,100,3,8,75,100,24
102,2,50,50,100,1,1,100,100,5
103,4,46,49,100,1,5,100,100,9
104,1,50,50,100,2,2,98,100,2
106,0,35,46,100,0,0,94,100,4
107,4,51,50,100,3,10,87,99,28
108,20,50,50,90,2,5,60,100,9
109,3,20,64,100,1,1,100,100,1
110,1,51,51,98,1,7,85,98,27
111,4,23,22,100,2,4,86,100,11
112,8,54,33,100,8,6,100,100,8
113,0,33,58,100,0,0,100,100,0
114,33,19,100,70,23,25,66,75,29
115,0,7,17,100,1,1,100,100,1
116,10,49,57,93,3,9,71,89,22
117,13,60,50,99,4,8,91,100,19
118,11,30,46,100,7,21,89,100,40
119,5,50,62,100,0,0,100,100,0
120,2,50,75,100,1,1,100,100,1
121,3,51,55,100,5,6,100,100,7
122,6,17,27,99,3,3,100,100,3
123,0,43,62,100,0,0,100,100,0
124,1,50,50,100,1,1,100,100,1
125,2,50,77,100,1,2,100,100,3
126,0,52,52,100,0,0,100,100,0
127,1,39,51,100,1,1,100,100,10
128,1,56,56,100,0,3,100,100,14
129,12,51,66,99,1,2,89,99,5
130,4,17,49,100,4,4,100,100,12
131,4,50,60,100,2,3,100,100,1
132,1,44,53,100,1,11,70,100,31
133,25,49,56,100,1,7,66,100,17
134,1,51,66,100,0,0,100,100,0
135,1,50,90,100,2,2,100,100,15
136,1,50,65,100,1,12,89,100,24
137,13,57,54,97,3,1,94,97,5
138,3,53,54,100,3,10,75,100,22
139,30,53,69,100,3,6,100,100,10
140,1,10,31,100,1,6,56,90,11
141,1,50,79,100,1,1,100,100,1
142,1,50,78,100,1,1,100,100,1
143,24,42,45,98,14,22,87,97,36
144,0,50,50,100,0,0,100,100,0
145,2,54,97,100,1,2,88,100,1
146,5,50,50,100,1,10,90,100,30
147,2,54,69,100,4,6,100,100,5
148,0,54,52,100,1,3,100,100,2
149,4,50,50,100,4,6,83,92,11
150,13,53,51,92,7,14,93,100,28
151,9,56,49,100,0,0,100,100,0
152,2,50,70,100,1,2,100,100,3
153,2,54,55,100,2,2,100,100,2
154,28,50,67,81,10,16,80,100,32
155,2,28,50,100,3,8,100,100,29
156,0,50,63,100,1,10,67,100,25
157,6,50,48,100,14,21,80,100,18
158,1,50,50,100,2,3,100,100,3
159,2,54,65,100,1,1,100,100,1
160,30,72,76,64,23,11,84,75,12
161,5,54,54,100,2,9,77,100,27
162,9,55,79,100,5,8,100,100,4
163,0,41,55,100,0,0,100,100,9
164,0,50,65,100,0,0,100,100,0
165,13,53,54,100,6,12,100,100,37
166,7,54,55,100,1,3,68,80,16
167,1,48,53,100,1,1,100,100,1
168,0,50,61,100,0,10,75,100,23
169,3,13,72,100,2,5,100,100,12
170,5,50,61,92,3,7,72,90,30
171,2,56,74,97,1,1,98,100,11
172,5,37,62,100,6,14,100,100,25
173,5,20,30,90,1,5,75,95,25
174,40,50,50,95,0,0,75,100,0
175,0,44,80,100,0,3,81,100,13
176,1,51,51,100,3,16,100,97,36
177,1,52,70,100,1,1,100,99,7
178,3,50,60,95,2,3,98,90,1
179,1,52,52,100,3,2,100,100,1
180,18,44,64,100,3,8,100,100,14
181,4,52,48,99,7,8,99,99,14
182,10,52,51,100,3,7,90,100,23
183,1,15,15,100,1,1,91,100,3
184,3,46,58,94,5,15,76,92,34
185,1,31,38,97,1,3,95,98,5
186,0,44,44,100,0,0,100,100,0
187,5,51,50,99,5,6,90,99,10
188,3,47,69,100,3,6,100,100,43
189,3,45,55,100,2,2,100,100,31
190,9,46,56,100,4,7,100,100,5
191,7,8,65,96,0,12,66,81,28
192,0,50,50,100,0,0,100,100,0
193,0,50,52,100,0,5,84,100,16
194,2,50,51,100,2,2,100,100,18
195,1,54,62,100,1,1,100,100,14
196,0,48,48,98,0,0,100,100,10
197,7,32,43,97,0,8,88,95,25
199,10,38,73,100,3,8,74,87,21
200,7,9,7,100,13,34,100,95,37
201,5,57,55,96,4,5,100,100,4
202,33,64,80,94,1,0,100,100,0
204,2,50,50,91,1,1,95,100,2
205,10,43,22,100,3,1,100,100,4
206,0,7,6,100,3,4,100,100,1
207,0,50,78,97,1,0,98,98,0
208,0,30,30,100,1,8,81,100,21
209,3,73,76,77,4,4,100,100,4
210,3,50,50,100,4,4,100,100,3
212,2,51,46,98,2,1,90,100,7
213,3,45,55,100,1,7,100,100,17
214,10,24,17,98,5,5,96,98,9
215,2,51,23,96,2,1,100,100,2
216,0,50,75,100,2,0,100,100,0
217,5,50,60,95,1,0,100,100,0
218,0,60,67,100,1,7,77,100,34
219,21,48,48,86,6,37,76,100,18
220,2,50,50,100,2,8,100,100,17
221,8,53,53,98,1,0,100,100,4
222,1,52,56,100,1,1,100,100,1
223,12,54,54,100,1,2,86,100,11
224,3,53,74,97,5,5,99,100,6
225,6,49,50,99,20,1,100,100,6
226,2,54,58,88,2,8,88,97,22
228,2,53,53,100,1,1,100,100,1
229,5,54,59,93,2,1,86,96,6
230,4,18,29,99,1,0,100,100,3
231,0,53,70,100,1,0,100,100,0
232,1,50,60,100,1,1,100,100,1
233,1,50,50,100,1,0,100,100,0
234,0,50,75,100,1,0,100,100,0
235,5,44,63,100,22,1,100,100,2
236,5,21,67,90,5,11,79,98,26
237,2,4,2,100,1,1,100,100,1
238,3,36,45,99,4,9,95,100,8
239,14,44,54,100,2,2,100,100,2
240,4,55,55,97,1,1,100,100,1
241,11,32,44,92,1,1,99,99,1
242,3,28,55,97,2,3,78,98,9
243,1,4,57,100,1,1,100,100,2
244,0,10,10,100,1,1,100,100,0
245,6,47,63,100,3,7,100,100,19
246,0,53,63,100,1,0,100,100,0
247,0,9,9,100,1,1,100,100,1
248,9,50,65,100,1,9,76,99,25
249,15,53,53,100,1,8,72,100,28
250,0,50,50,100,18,0,100,100,0
251,1,50,70,100,1,0,100,100,0
253,10,50,50,90,4,7,57,95,13
254,19,8,29,94,3,4,100,100,10
255,0,39,65,100,1,0,97,100,5
256,1,50,80,100,1,1,100,100,1
257,15,50,50,100,1,0,100,100,0
258,0,46,60,100,3,8,76,100,16
259,0,50,50,100,1,0,100,100,0
260,21,50,60,90,1,1,100,100,1
261,8,54,73,100,3,2,100,100,3
262,2,54,37,99,3,10,87,96,19
263,1,56,63,99,1,1,99,99,5
264,0,26,41,100,1,0,100,100,0
265,0,41,42,100,1,0,76,100,0
266,1,53,55,100,1,2,74,90,3
267,0,50,74,100,4,0,100,100,0
268,1,50,50,100,1,1,100,100,1
269,7,49,66,79,2,3,72,91,17
270,1,43,67,99,1,1,100,100,1
271,0,5,5,100,3,0,100,100,0
272,0,50,50,100,1,1,100,100,1
273,0,50,51,100,5,0,100,100,0
274,7,2,2,95,1,1,100,100,1
275,6,41,49,84,6,6,93,85,13
276,0,50,50,100,2,0,100,100,0
277,0,63,76,100,2,0,100,100,15
278,1,25,25,100,1,1,100,100,15
279,0,50,0,98,2,0,100,100,0
280,0,47,45,100,2,0,100,100,0
281,4,6,5,97,3,2,98,98,2
282,4,54,69,100,2,0,100,100,0
283,17,50,50,100,2,0,100,100,0
284,0,31,21,93,2,4,56,100,8
285,4,27,11,100,3,7,100,100,3
286,3,14,3,98,2,4,100,100,6
287,7,55,63,94,10,1,98,99,0
288,2,50,50,100,5,7,100,100,8
289,4,25,34,83,15,3,82,84,22
290,3,30,46,98,3,3,98,100,4
291,0,45,9,100,4,4,100,100,2
292,13,38,66,99,6,15,93,98,14
293,4,30,21,100,1,0,100,100,0
294,6,51,65,100,2,4,100,100,24
295,4,50,50,100,2,6,68,100,26
296,0,36,65,100,1,0,100,100,0
297,7,60,44,100,1,0,100,100,0
298,14,50,85,100,4,5,100,100,14
299,0,53,53,100,1,0,100,100,2
300,4,7,9,100,4,4,100,100,5
301,1,51,52,85,1,1,100,100,2
302,1,45,49,99,2,7,100,95,12
303,5,45,55,90,1,7,100,100,11
304,2,50,70,100,1,1,90,100,2
