,0
679,3033
680,3036
681,3037
682,3039
683,3042
684,3046
685,3056
686,3064
687,3067
688,3069
689,3070
690,3075
691,3076
692,3083
693,3086
694,3089
695,3093
696,3104
697,3108
698,3123
699,3124
700,3125
701,3126
702,3132
703,3134
704,3140
705,3144
706,3148
707,3156
708,3165
709,3169
710,3173
711,3174
712,3178
713,3183
714,3184
715,3187
716,3190
717,3191
718,3197
719,3200
720,3201
721,3203
722,3204
723,3210
724,3212
725,3215
726,3218
727,3219
728,3228
729,3231
730,3235
731,3237
732,3238
733,3239
734,3242
735,3245
736,3249
737,3254
738,3261
739,3262
740,3263
741,3265
742,3280
743,3292
744,3300
745,3304
746,3305
747,3306
748,3308
749,3309
750,3310
751,3312
752,3316
753,3318
754,3320
755,3321
756,3324
757,3326
758,3328
759,3333
760,3334
761,3335
762,3336
763,3340
764,3342
765,3345
766,3354
767,3363
768,3368
769,3371
770,3372
771,3373
772,3378
773,3380
774,3381
775,3385
776,3386
777,3387
778,3390
779,3400
780,3402
781,3407
782,3416
783,3418
784,3420
785,3424
786,3426
787,3429
788,3431
789,3436
790,3437
791,3448
792,3449
793,3455
794,3456
795,3457
796,3459
797,3462
798,3475
799,3476
800,3478
801,3479
802,3482
803,3489
804,3490
805,3494
806,3497
807,3502
808,3521
809,3527
810,3530
811,3531
812,3532
813,3535
814,3537
815,3538
816,3541
817,3542
818,3543
819,3544
820,3548
821,3549
822,3550
823,3551
824,3553
825,3554
826,3556
827,3559
828,3561
829,3563
830,3565
831,3566
832,3567
833,3569
834,3572
835,3573
836,3578
837,3581
838,3586
839,3587
840,3588
841,3590
842,3593
843,3596
844,3597
845,3602
846,3603
847,3607
848,3608
849,3611
850,3614
851,3620
852,3631
853,3643
854,3647
855,3648
856,3650
857,3653
858,3656
859,3660
860,3661
861,3667
862,3669
863,3671
864,3675
865,3679
866,3680
867,3690
868,3695
869,3697
870,3705
871,3712
872,3714
873,3718
874,3723
875,3725
876,3733
877,3734
878,3743
879,3756
880,3759
881,3763
882,3768
883,3771
884,3774
885,3775
886,3778
887,3779
888,3787
889,3795
890,3796
891,3801
892,3809
893,3810
894,3813
895,3814
896,3815
897,3816
898,3821
899,3822
900,3825
901,3829
902,3834
903,3836
904,3848
905,3849
906,3853
907,3863
908,3868
909,3878
910,3879
911,3889
912,3892
913,3893
914,3894
915,3900
916,3908
917,3911
918,3912
919,3914
920,3915
921,3916
922,3917
923,3918
924,3920
925,3925
926,3926
927,3928
928,3932
929,3934
930,3935
931,3941
932,3943
933,3947
934,3950
935,3954
936,3955
937,3963
938,3965
939,3971
940,3973
941,3974
942,3976
943,3978
944,3989
945,3990
946,3997
947,3998
948,4000
949,4002
950,4006
951,4007
952,4008
953,4009
954,4011
955,4015
956,4017
957,4020
958,4021
959,4026
960,4035
961,4037
962,4044
963,4056
964,4059
965,4062
966,4064
967,4072
968,4077
969,4078
970,4086
971,4090
972,4091
973,4097
974,4101
975,4103
976,4107
977,4111
978,4112
979,4115
980,4125
981,4126
982,4127
983,4129
984,4131
985,4135
986,4137
987,4139
988,4140
989,4148
990,4149
991,4157
992,4158
993,4161
994,4165
995,4169
996,4170
997,4174
998,4182
999,4185
1000,4188
1001,4198
1002,4203
1003,4209
1004,4214
1005,4223
1006,4237
1007,4241
1008,4244
1009,4245
1010,4252
1011,4254
1012,4258
1013,4269
1014,4279
1015,4287
1016,4291
1017,4292
1018,4293
1019,4295
1020,4297
1021,4299
1022,4300
1023,4303
1024,4306
1025,4307
1026,4312
1027,4313
1028,4321
1029,4325
1030,4326
1031,4333
1032,4345
1033,4346
1034,4347
1035,4351
1036,4360
1037,4367
1038,4369
1039,4381
1040,4382
1041,4385
1042,4389
1043,4391
1044,4395
1045,4396
1046,4397
1047,4399
1048,4400
1049,4401
1050,4407
1051,4410
1052,4413
1053,4414
1054,4420
1055,4423
1056,4427
1057,4429
1058,4432
1059,4436
1060,4438
1061,4441
1062,4447
1063,4457
1064,4458
1065,4464
1066,4467
1067,4470
1068,4472
1069,4474
1070,4482
1071,4487
1072,4489
1073,4507
1074,4510
1075,4511
1076,4525
1077,4526
1078,4537
1079,4538
1080,4539
1081,4541
1082,4548
1083,4570
1084,4575
1085,4582
1086,4584
1087,4585
1088,4587
1089,4590
1090,4619
1091,4620
1092,4622
1093,4626
1094,4632
1095,4645
1096,4649
1097,4653
1098,4670
1099,4672
1100,4684
1101,4698
1102,4702
1103,4703
1104,4705
1105,4706
1106,4709
1107,4715
1108,4717
1109,4718
1110,4723
1111,4732
1112,4746
1113,4749
1114,4751
1115,4763
1116,4769
1117,4777
1118,4779
1119,4780
1120,4785
1121,4788
1122,4790
1123,4792
1124,4794
1125,4795
1126,4798
1127,4800
1128,4801
1129,4802
1130,4803
1131,4805
1132,4808
1133,4812
1134,4816
1135,4818
1136,4819
1137,4821
1138,4834
1139,4843
1140,4846
1141,4860
1142,4864
1143,4869
1144,4880
1145,4886
1146,4893
1147,4895
1148,4900
1149,4904
1150,4905
1151,4908
1152,4918
1153,4920
1154,4922
1155,4926
1156,4936
1157,4942
1158,4951
1159,4964
1160,4976
1161,4981
1162,4993
1163,4998
1164,5001
1165,5006
1166,5008
1167,5010
1168,5011
1169,5017
1170,5032
1171,5044
1172,5047
1173,5049
1174,5051
1175,5054
1176,5068
1177,5071
1178,5073
1179,5075
1180,5076
1181,5082
1182,5084
1183,5088
1184,5103
1185,5111
1186,5113
1187,5117
1188,5119
1189,5122
1190,5133
1191,5138
1192,5140
1193,5144
1194,5145
1195,5165
1196,5168
1197,5172
1198,5180
1199,5183
1200,5186
1201,5191
1202,5197
1203,5202
1204,5208
1205,5211
1206,5216
1207,5227
1208,5235
1209,5236
1210,5239
1211,5242
1212,5243
1213,5253
1214,5255
1215,5262
1216,5265
1217,5271
1218,5274
1219,5277
1220,5288
1221,5289
1222,5293
1223,5295
1224,5307
1225,5313
1226,5323
1227,5335
1228,5337
1229,5340
1230,5342
1231,5343
1232,5345
1233,5347
1234,5351
1235,5354
1236,5360
1237,5365
1238,5376
1239,5384
1240,5396
1241,5400
1242,5409
1243,5413
1244,5423
1245,5424
1246,5427
1247,5430
1248,5441
1249,5443
1250,5445
1251,5454
1252,5456
1253,5462
1254,5470
1255,5473
1256,5474
1257,5476
1258,5480
1259,5490
1260,5499
1261,5500
1262,5507
1263,5509
1264,5514
1265,5516
1266,5520
1267,5533
1268,5545
1269,5546
1270,5551
1271,5554
1272,5558
1273,5561
1274,5566
1275,5568
1276,5574
1277,5576
1278,5579
1279,5582
1280,5584
1281,5589
1282,5590
1283,5595
1284,5599
1285,5609
1286,5611
1287,5613
1288,5616
1289,5617
1290,5624
1291,5636
1292,5644
1293,5652
1294,5666
1295,5667
1296,5668
1297,5669
1298,5686
1299,5690
1300,5700
1301,5701
1302,5712
1303,5715
1304,5719
1305,5721
1306,5722
1307,5725
1308,5751
1309,5759
1310,5760
1311,5768
1312,5772
1313,5773
1314,5775
1315,5792
1316,5797
1317,5799
1318,5807
1319,5816
1320,5819
1321,5825
1322,5829
1323,5830
1324,5834
1325,5835
1326,5839
1327,5843
1328,5844
1329,5849
1330,5856
1331,5860
1332,5870
1333,5883
1334,5887
1335,5891
1336,5893
1337,5894
1338,5900
1339,5901
1340,5905
1341,5908
1342,5911
1343,5912
1344,5913
1345,5916
1346,5923
1347,5926
1348,5927
1349,5938
1350,5943
1351,5946
1352,5963
1353,5964
1354,5965
1355,5967
1356,5971
1357,5985
1358,5989
1359,5993
1360,6011
1361,6022
1362,6026
1363,6029
1364,6033
1365,6035
1366,6046
1367,6051
1368,6060
1369,6065
1370,6066
1371,6068
1372,6075
1373,6086
1374,6094
1375,6101
1376,6121
