,0
0,3
1,7
2,144
3,275
4,532
5,151
6,537
7,538
8,26
9,28
10,31
11,299
12,303
13,432
14,47
15,304
16,52
17,566
18,188
19,445
20,194
21,69
22,582
23,71
24,72
25,326
26,74
27,73
28,456
29,207
30,469
31,343
32,88
33,473
34,217
35,92
36,349
37,220
38,352
39,225
40,231
41,106
42,237
43,494
44,498
45,249
46,506
