,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals involved,Affiliation/Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Moral,Accountable,Generation Gap,cl_k3
Parent and Child,1.36929217021985,-1.1885956085346,2.22931215320985,1.86837962058299,-1.4449846064766,2.12593639973215,-0.0699877220504827,2.16881365125538,-1.28427021499651,-1.755690160624,-0.619801825266995,1.9172293723163,2.16286475232091,1.48255039206759,-0.414352820165287,-0.403556438062844,-0.208364313128161,2.14310108501398,1.67594563409325,-0.570127161115978,-0.445205500912338,-0.076717909538966,1.82711129983619,2.2129244719153,1.19559760281257,-1.01391007500899,1.37360604757928,1.94461981069133,0.722836715022389,1.86835965356799,1.268161711957,1.51909289721203,2.22410791489453,0
Parent and Teenager,0.394720319259855,-1.07961257496345,1.53580115725233,1.61085322454589,-1.49305497373515,1.36720755569796,-0.177378340525774,1.90441962808132,-1.1484686104993,-1.50588603881162,-0.529974644045484,1.59243254483954,1.71331382014291,0.733061615263961,-0.244153754001633,-0.288858270012685,-0.39876785338766,1.52403794825316,1.59628902105004,0.418139518239101,0.210337488294338,0.311436528852613,1.4782727482851,1.8510718818917,0.847414299815132,-0.969856103604784,0.996694368153843,1.57672769037678,0.0659696081020817,1.38415118676123,1.09601379219918,0.971879957792239,1.85307049581538,0
Wife and Husband,1.26520601022475,1.86363593595053,2.20380980706694,1.90256314798019,-1.40449728709378,2.80959870907161,-0.474794521859642,2.16035980025306,1.21799566353739,-1.3899586939185,-0.465865493806851,2.2235704004998,2.04508648595701,1.24022387415735,0.139444567240595,0.0179767573487876,-0.277989100135377,1.84016631666217,3.62568949819753,0.0317523347388752,0.679497732983166,-0.586275741239183,1.37786163150599,2.14397853206245,1.32348572225073,-0.759554038852059,1.64360032408074,1.60196494539499,1.4451112784852,1.70780503002618,1.19453998939152,1.41146818083718,-1.38045433808587,0
Fiance and Fiancee,1.20226964235682,1.78179192485129,1.91451136829825,1.76929178669857,-1.34637581066691,2.44681352178568,-0.556377767221507,1.85574196697171,0.96580889158714,-1.35085513080666,-0.763143221945186,1.78123876479496,1.91339008148267,0.842248887382062,-0.2373250817279,-0.179083141218418,-0.566843011130802,1.59115801621499,3.17195381004558,-0.558489709755922,0.507169718209001,-0.989585590162332,-0.0037119397463307,1.46494217346013,0.906586453129671,-0.902006702593273,1.23288450403742,0.861067372906484,0.890059640743254,1.11419444338403,1.04468072946397,1.15551786389833,-1.3946951955327,0
Between Siblings,0.508522118319895,1.22538786477063,1.36986175258275,1.65868076010967,-1.5452762427712,1.19226898693793,-0.0659596678408399,1.46873313040883,0.159861926182979,-1.08983291195444,-0.578844553428751,1.81110427721606,1.56710402622684,0.534721042669796,-0.792790231112829,-0.387991066563304,-1.0213628570567,1.35182851875575,-0.459749995428942,0.386190953825648,0.0503451170564449,-0.231284672289227,0.79233596781581,1.66161312203535,0.906563114725903,-1.08612479446419,0.627094427564462,1.91160662732119,0.484339748051726,0.854778375029727,1.05534612120485,0.994288050425445,-0.955359110296011,0
Between divorced spouses,-1.87726383213866,0.590476402088082,-1.47085356615722,-0.797121138519217,0.516996795094415,-1.03093364900508,-0.931316648069965,-1.17973822048398,-0.247997680037731,0.816413101390399,0.488505318348518,0.146221339335028,-0.558764753215777,-1.6607220914815,0.118018393733649,-0.284495819926306,-1.24501728922065,-0.958534089596135,0.133321302471153,1.89121246656952,1.08131246161264,0.643922174277806,-0.615439085326296,-1.1891559593714,-1.55073946060907,-1.15711221315013,-2.07448963246633,-0.944019365289208,-1.95314184505472,-2.25624665564509,-1.07772002238183,-1.66409499547778,-1.33060621288127,1
Between a person and their in-laws,-0.188494875101575,-0.136072223542374,-0.383248403445311,0.195446509943261,-0.0657251405963679,-0.260059973952796,-0.322269534758647,0.352321109749369,-0.440884754612705,-0.523976637938484,-0.488686873625332,0.686026530423894,0.283224994805784,-0.851113540794808,-0.876893708915596,-0.800950495617837,-0.990453508199516,-0.218000840818504,-0.486329170769996,0.240856783574565,-0.615894192223583,-0.493969231320566,-0.596068132191769,-0.293401207804369,-0.805572677794942,-0.973715692260525,-1.09997223820439,0.219251917311525,-1.44504592928441,-1.3897564733747,0.147420163124418,-0.492545843426775,1.65684262380087,1
Between cousins,0.472888998552765,1.23678291108633,0.237600466959458,1.01814188339759,-0.986861322085877,0.212352734584144,0.0066284683479216,0.706277060373181,-0.0549967081593238,-1.19952041499758,-0.890667527639421,0.772385048551619,0.807122599369854,-0.304063596897592,-1.10895952778201,-0.849855570674058,-1.27641426194574,0.13334583295075,-0.551893126996423,-0.699572348706796,-0.861294728049026,-0.901600437194773,-0.56711343737354,-0.149553409665364,-0.201986194902226,-1.09740776838058,-0.638808041277806,0.95431267946824,-0.746310994556609,-1.02649723541222,0.449639670515834,0.156942744674302,-0.730857628396314,0
Employer and Employee,0.567292618002015,-1.09718694066013,0.294795050096048,-1.07936545167904,1.47489156709699,-0.976026131841123,1.15867856719245,-0.708135021633467,1.21382269087242,1.24081334244447,1.98520118144834,-0.602638227319069,-0.787211289332201,0.807544148236166,2.00803137261899,0.851923489848776,1.346971132912,-0.452446599216475,-0.567320326635945,0.201799896484974,0.973415309156631,0.408825838885199,1.64491820427234,0.572006277261199,0.495907121403633,1.57230999889557,0.69072698492703,0.629734694125721,0.990185083004917,0.504344997255601,0.363695836266972,0.154912524876257,0.735573212234587,2
Interviewer and Job applicant,-0.0641760798736287,-0.972408205275739,-1.47448036464664,-1.14565829651843,1.53079688828528,-1.20385371635791,0.234376303152929,-0.917819042566812,-0.136785692960142,1.26279813159627,0.447249040567585,-1.07881768590552,-1.03786202768216,0.266603228517951,0.28005570152969,-0.298926138053776,-0.0781878185325607,-1.22254432263429,-0.597022910703068,-0.707491430567369,0.57340411589911,-0.513668497956838,0.667375561635746,-0.281079309785353,-0.734812800872241,1.27692879248198,-0.0283026453139115,-1.61716368847514,0.0151128283991146,-0.0737176283983042,0.0661057484946283,-0.595034917921299,0.421571206047259,2
