,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Race_label,Highest education_label
43,38,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
44,30,2,4,רוסי,4,עברית ורוסית,male,"East Asian Chinese, Japanese, etc.",Upper secondary education
45,42,2,1,,5,HEBREW,male,White,Post-secondary non-tertiary education
46,43,1,1,,5,Hebrew ,female,White,Post-secondary non-tertiary education
47,39,2,1,,6,hebrew,male,White,Short-cycle tertiary education
48,36,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
49,23,1,1,,4,עברית,female,White,Upper secondary education
50,51,1,1,,6,עברית,female,White,Short-cycle tertiary education
51,19,1,1,,4,אנגלית,female,White,Upper secondary education
52,64,1,1,,5,hebrew,female,White,Post-secondary non-tertiary education
54,38,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
55,30,2,4,רוסי,4,עברית ורוסית,male,"East Asian Chinese, Japanese, etc.",Upper secondary education
56,23,1,1,,4,Hebrew,female,White,Upper secondary education
57,25,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
58,28,1,1,,4,עברית,female,White,Upper secondary education
59,64,1,1,,5,hebrew,female,White,Post-secondary non-tertiary education
60,45,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
61,21,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
62,25,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
63,23,1,2,,5,ערבית,female,Black,Post-secondary non-tertiary education
64,26,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
65,22,1,1,,4,רוסית,female,White,Upper secondary education
66,22,2,2,,4,ערבית,male,Black,Upper secondary education
67,41,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
68,28,1,1,,6,עברית ,female,White,Short-cycle tertiary education
69,20,1,1,,4,עברית,female,White,Upper secondary education
70,22,2,1,,4,עברית ,male,White,Upper secondary education
71,24,2,1,,4,עברית,male,White,Upper secondary education
72,19,1,1,,4,אנגלית,female,White,Upper secondary education
73,49,2,1,,7,hebrew,male,White,Bachelor or equivalent
74,46,2,1,,5,רוסית,male,White,Post-secondary non-tertiary education
76,39,2,1,,5,Hebrew,male,White,Post-secondary non-tertiary education
77,20,1,1,,4,Hebrew ,female,White,Upper secondary education
78,33,2,1,,4,עברית,male,White,Upper secondary education
79,28,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
80,35,2,1,,4,עברית,male,White,Upper secondary education
81,39,2,1,,5,Hebrew,male,White,Post-secondary non-tertiary education
82,22,1,1,,4,עברית,female,White,Upper secondary education
84,23,1,1,,4,hebrew,female,White,Upper secondary education
85,23,1,1,,4,hebrew,female,White,Upper secondary education
86,43,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
87,31,2,1,,6,עברית,male,White,Short-cycle tertiary education
88,55,2,1,,4,עברית,male,White,Upper secondary education
89,24,1,2,,5,ערבית,female,Black,Post-secondary non-tertiary education
90,20,2,1,,4,עברית,male,White,Upper secondary education
91,32,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
92,51,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
93,24,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
94,26,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
95,46,2,1,,6,Hebrew,male,White,Short-cycle tertiary education
96,73,1,4,Israel,5,English,female,"East Asian Chinese, Japanese, etc.",Post-secondary non-tertiary education
97,23,2,1,,5,Hebrew,male,White,Post-secondary non-tertiary education
99,22,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
100,27,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
101,43,1,1,,6,russian,female,White,Short-cycle tertiary education
102,21,2,1,,4,עברית,male,White,Upper secondary education
103,25,2,2,,6,ערבית,male,Black,Short-cycle tertiary education
104,28,1,1,,6,עברית,female,White,Short-cycle tertiary education
105,26,1,1,,4,עברית,female,White,Upper secondary education
