,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
0,26,1,1,,4,Deutsch,female,Bachelor or equivalent
1,26,1,4,Malaysisch,5,Deutsch,female,Master or equivalent
2,28,1,4,Nigerian,5,Deutsch,female,Master or equivalent
3,23,2,1,,4,Deutsch,male,Bachelor or equivalent
4,26,2,1,,3,Deutsch,male,Upper secondary education
6,50,1,1,,4,Deutsch,female,Bachelor or equivalent
7,38,1,1,,4,Deutsch,female,Bachelor or equivalent
8,34,1,1,,3,Deutsch,female,Upper secondary education
9,25,2,1,,3,Deutsch,male,Upper secondary education
10,28,1,1,,5,Deutsch,female,Master or equivalent
11,21,2,1,,2,Deutsch,male,Lower secondary education
12,39,2,4,spanisch,5,Spanisch,male,Master or equivalent
13,32,2,1,,2,Deutsch,male,Lower secondary education
14,35,2,1,,4,Deutsch,male,Bachelor or equivalent
15,22,1,1,,4,Deutsch,female,Bachelor or equivalent
16,31,1,1,,6,Deutsch,female,Doctoral or equivalent
17,20,1,1,,3,Deutsch,female,Upper secondary education
18,28,1,4,ukrainisch,5,"Ukrainisch, Russisch",female,Master or equivalent
19,40,1,1,,4,Deutsch,female,Bachelor or equivalent
20,29,1,1,,5,Deutsch,female,Master or equivalent
21,21,2,1,,3,Polnisch,male,Upper secondary education
23,42,2,1,,4,deutsch,male,Bachelor or equivalent
24,38,1,1,,6,Deutsch,female,Doctoral or equivalent
25,28,1,1,,5,deutsch,female,Master or equivalent
26,22,1,1,,3,"deutsch, türkisch",female,Upper secondary education
27,18,1,1,,3,Deutsch,female,Upper secondary education
28,33,2,1,,5,deutsch,male,Master or equivalent
29,36,2,1,,3,Deutsch,male,Upper secondary education
30,27,1,1,,4,deutsch,female,Bachelor or equivalent
31,36,1,1,,2,deutsch,female,Lower secondary education
32,23,1,4,russisch,4,russisch,female,Bachelor or equivalent
33,40,1,1,,3,Deutsch,female,Upper secondary education
34,27,1,1,,4,Deutsch,female,Bachelor or equivalent
35,24,2,1,,2,Deutsch,male,Lower secondary education
36,46,2,1,,5,Deutsch,male,Master or equivalent
37,25,1,1,,4,Deutsch,female,Bachelor or equivalent
38,21,1,1,,4,Deutsch,female,Bachelor or equivalent
39,29,2,1,,5,Deutsch,male,Master or equivalent
40,28,2,1,,4,Deutsch,male,Bachelor or equivalent
41,28,1,1,,4,Deutsch,female,Bachelor or equivalent
42,42,2,1,,3,Deutsch,male,Upper secondary education
43,27,2,1,,5,Deutsch,male,Master or equivalent
44,32,2,1,,5,Deutsch,male,Master or equivalent
45,33,1,1,,4,Deutsch,female,Bachelor or equivalent
46,36,2,1,,2,Deutsch,male,Lower secondary education
47,48,1,1,,5,Deutsch,female,Master or equivalent
48,22,2,1,,3,Deutsch,male,Upper secondary education
49,47,1,1,,4,deutsch,female,Bachelor or equivalent
50,19,2,1,,4,Chinesisch,male,Bachelor or equivalent
51,22,1,1,,3,Deutsch,female,Upper secondary education
53,27,1,1,,5,Deutsch,female,Master or equivalent
55,44,2,1,,5,englisch,male,Master or equivalent
56,29,1,1,,4,Deutsch,female,Bachelor or equivalent
57,32,2,1,,4,Deutsch,male,Bachelor or equivalent
58,45,1,1,,4,Deutsch,female,Bachelor or equivalent
59,25,1,1,,5,Deutsch,female,Master or equivalent
