,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
579,25,1,4,,8,espa?ol,female,Master or equivalent
580,28,2,4,,8,Espa?ol ,male,Master or equivalent
581,21,1,6,,7,Inglés y espa?ol ,female,Bachelor or equivalent
582,24,1,4,,7,espa?ol,female,Bachelor or equivalent
583,28,2,4,,8,Espa?ol,male,Master or equivalent
584,26,1,4,,8,Espa?ol,female,Master or equivalent
585,20,2,4,,7,Espa?ol,male,Bachelor or equivalent
586,33,2,4,,7,Espa?ol,male,Bachelor or equivalent
587,20,2,4,,7,Espa?ol,male,Bachelor or equivalent
588,33,1,4,,8,Espa?ol,female,Master or equivalent
589,38,1,6,,8,Espa?ol,female,Master or equivalent
590,24,1,4,,6,Espa?ol,female,Short-cycle tertiary education
591,25,2,4,,7,Espa?ol,male,Bachelor or equivalent
592,21,1,4,,7,Espa?ol,female,Bachelor or equivalent
593,5,2,6,,8,Espa?ol,male,Master or equivalent
594,28,1,4,,8,Espa?ol,female,Master or equivalent
595,35,2,4,,6,Espa?ol,male,Short-cycle tertiary education
596,30,1,4,,8,Espa?ol,female,Master or equivalent
597,32,2,4,,8,Espa?ol,male,Master or equivalent
598,25,2,4,,7,Espa?ol,male,Bachelor or equivalent
599,34,2,4,,7,Espa?ol,male,Bachelor or equivalent
600,31,2,4,,7,Espa?ol,male,Bachelor or equivalent
