,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
0,39,2,5,,7,العربيه ,male,Short-cycle tertiary education
1,19,2,5,,4,العربية ,male,Lower secondary education
2,38,2,5,,7,العربية,male,Short-cycle tertiary education
3,35,1,5,,7,اللغة العربية,female,Short-cycle tertiary education
4,18,2,5,,7,عربية,male,Short-cycle tertiary education
5,27,1,5,,4,العربيه ,female,Lower secondary education
6,29,2,5,,4,عربي,male,Lower secondary education
7,33,1,5,,7,العربية,female,Short-cycle tertiary education
8,47,1,5,,8,العربية,female,Bachelor or equivalent
9,28,2,1,,7,العربيه,male,Short-cycle tertiary education
10,55,2,5,,7,العربية,male,Short-cycle tertiary education
11,35,2,5,,7,العربيه,male,Short-cycle tertiary education
12,50,2,5,,8,العربية,male,Bachelor or equivalent
13,28,2,5,,7,العربية,male,Short-cycle tertiary education
14,27,1,6,عربى,7,العربية,female,Short-cycle tertiary education
15,41,2,5,,7,العربية ,male,Short-cycle tertiary education
16,42,2,5,,7,العربية,male,Short-cycle tertiary education
17,64,2,5,,7,العربية,male,Short-cycle tertiary education
19,28,2,5,,7,عربي,male,Short-cycle tertiary education
20,30,1,5,,7,العربيه,female,Short-cycle tertiary education
21,45,2,5,,4,العربية,male,Lower secondary education
22,48,1,5,,7,العربية,female,Short-cycle tertiary education
23,48,1,5,,7,العربية,female,Short-cycle tertiary education
24,50,1,5,,7,العربية,female,Short-cycle tertiary education
25,31,2,5,,8,Arabic ,male,Bachelor or equivalent
26,27,1,5,,8,العربية,female,Bachelor or equivalent
27,28,2,5,,7,arabic,male,Short-cycle tertiary education
28,23,2,5,,8,العربية,male,Bachelor or equivalent
29,50,1,5,,7,العربية,female,Short-cycle tertiary education
30,35 ????,2,5,,7,العربية,male,Short-cycle tertiary education
31,47,2,5,,7,العربيه,male,Short-cycle tertiary education
33,19,2,5,,7,العربيه,male,Short-cycle tertiary education
34,27,2,5,,7,العربية ,male,Short-cycle tertiary education
35,22,2,5,,7,العربية,male,Short-cycle tertiary education
37,23,1,5,,6,العربية,female,Post-secondary non-tertiary education
38,23,2,5,,7,عربيه,male,Short-cycle tertiary education
39,50,1,5,,7,العربية ,female,Short-cycle tertiary education
40,33,1,5,,7,العربيه,female,Short-cycle tertiary education
42,29,2,6,مصرى,7,عربى,male,Short-cycle tertiary education
45,31,2,5,,7,العربيه,male,Short-cycle tertiary education
47,41,2,5,,7,العربيه,male,Short-cycle tertiary education
49,42,2,5,,7,Arabic,male,Short-cycle tertiary education
50,28,1,5,,7,Arabic,female,Short-cycle tertiary education
51,43,2,5,,7,العربية,male,Short-cycle tertiary education
52,48,1,6,عربى,7,العربية,female,Short-cycle tertiary education
53,27,2,5,,7,اللغة العربية,male,Short-cycle tertiary education
54,24,2,5,,4,العربيه,male,Lower secondary education
55,44,1,5,,9,العربيه,female,Master or equivalent
56,36,2,5,,7,العربية,male,Short-cycle tertiary education
57,54,1,5,,7,العربية,female,Short-cycle tertiary education
58,48,2,5,,7,العربية,male,Short-cycle tertiary education
59,٣٤,2,5,,6,العربيه,male,Post-secondary non-tertiary education
60,39,2,5,,7,عربي,male,Short-cycle tertiary education
61,36,2,5,,7,العربيه,male,Short-cycle tertiary education
62,36,2,5,,7,Arabic ,male,Short-cycle tertiary education
63,44,2,1,,7,arabic,male,Short-cycle tertiary education
65,42,2,1,,9,English,male,Master or equivalent
66,٣٠,1,6,مصريه ,7,العربيه,female,Short-cycle tertiary education
67,22,2,5,,6,عربي,male,Post-secondary non-tertiary education
68,37,2,5,,7,العربيه,male,Short-cycle tertiary education
69,33,2,6,مصري,8,العربية ,male,Bachelor or equivalent
70,25,2,5,,7,العربيه ,male,Short-cycle tertiary education
71,٣٤,2,5,,7,عربي,male,Short-cycle tertiary education
72,54,2,5,,7,العربية,male,Short-cycle tertiary education
73,25,2,5,,7,العربية,male,Short-cycle tertiary education
74,21,1,5,,4,العربية,female,Lower secondary education
75,20,2,5,,4,العربية,male,Lower secondary education
76,٣٥,2,5,,7,العربيه,male,Short-cycle tertiary education
77,22,2,5,,7,العربيه ,male,Short-cycle tertiary education
78,21,1,5,,7,العربية ,female,Short-cycle tertiary education
79,22,2,5,,7,العربية,male,Short-cycle tertiary education
80,30,2,5,,7,العربية,male,Short-cycle tertiary education
81,21,2,6,مصري,8,العربية,male,Bachelor or equivalent
82,18,2,5,,4,العربية,male,Lower secondary education
83,38,2,5,,7,اللغه العربيه ,male,Short-cycle tertiary education
84,36,2,5,,4,العربية,male,Lower secondary education
85,24,2,5,,7,العربية,male,Short-cycle tertiary education
86,22,2,5,,7,Arabic ,male,Short-cycle tertiary education
87,45,1,2,,4,العربية,female,Lower secondary education
88,42,1,5,,7,Arabic,female,Short-cycle tertiary education
90,20,2,1,,7,arabic,male,Short-cycle tertiary education
91,34,2,5,,7,Arabic,male,Short-cycle tertiary education
92,46,1,5,,7,العربية,female,Short-cycle tertiary education
93,22,2,6,مصرى,7,العربية,male,Short-cycle tertiary education
94,22,2,1,,4,العربية,male,Lower secondary education
95,42,2,5,,7,العربية,male,Short-cycle tertiary education
96,20,2,1,,4,العربيه,male,Lower secondary education
97,29,2,6,مصرى,5,العربية,male,Upper secondary education
98,25,1,5,,7,Arabic,female,Short-cycle tertiary education
99,٢٢,1,5,,3,العربية,female,Primary education
100,20,2,6,جنوب القاهره,4,العربية,male,Lower secondary education
101,33,1,5,,8,العربية,female,Bachelor or equivalent
102,٢٨,2,5,,7,العربية ,male,Short-cycle tertiary education
103,33,2,5,,7,العربية,male,Short-cycle tertiary education
104,٢٤,2,5,,7,العربيه,male,Short-cycle tertiary education
105,٢٨,2,5,,4,العربية,male,Lower secondary education
106,19,2,6,مصري,5,عربيه,male,Upper secondary education
107,24,2,5,,7,العربية,male,Short-cycle tertiary education
108,41,1,5,,7,Arabic,female,Short-cycle tertiary education
109,30,1,5,,7,العربيه,female,Short-cycle tertiary education
110,20,2,5,,7,العربيه,male,Short-cycle tertiary education
111,29,1,5,,7,العربية,female,Short-cycle tertiary education
112,42,1,5,,8,العربية,female,Bachelor or equivalent
113,٣٠,2,6,مصري,7,اللغة العربية ,male,Short-cycle tertiary education
114,40,1,5,,7,العربية,female,Short-cycle tertiary education
115,21,2,5,,5,عربي,male,Upper secondary education
116,34,1,5,,9,العربية ,female,Master or equivalent
117,24,2,5,,4,العربية,male,Lower secondary education
118,26,2,5,,7,العربية,male,Short-cycle tertiary education
119,31,2,5,,8,العربية,male,Bachelor or equivalent
