,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
0,2,2,1,,7,Espa?ol,male,Bachelor or equivalent
1,4,2,1,,8,Espa?ol,male,Master or equivalent
2,2,1,5,,7,Inglés,female,Bachelor or equivalent
3,3,1,1,,8,spanish,female,Master or equivalent
4,2,2,1,,7,Espa?ol,male,Bachelor or equivalent
6,3,2,1,,8,Castellano,male,Master or equivalent
7,2,2,1,,7,Espa?ol,male,Bachelor or equivalent
8,2,1,1,,7,Espa?ol,female,Bachelor or equivalent
9,4,1,1,,4,Espa?ol,female,Upper secondary education
11,2,2,4,,4,"Chino, Espa?ol",male,Upper secondary education
12,2,2,1,,7,Espa?ol,male,Bachelor or equivalent
13,3,2,1,,4,Espa?ol,male,Upper secondary education
14,4,2,6,Latino,6,Espa?ol,male,Short-cycle tertiary education
15,2,2,1,,7,Espa?ol,male,Bachelor or equivalent
16,3,1,5,,8,Arabe,female,Master or equivalent
17,2,1,1,,7,Euskera y espa?ol,female,Bachelor or equivalent
18,2,2,1,,6,Espa?ol,male,Short-cycle tertiary education
20,2,1,1,,8,Euskara,female,Master or equivalent
21,4,2,1,,8,Espa?ol,male,Master or equivalent
22,4,2,1,,8,inglés,male,Master or equivalent
23,3,2,1,,8,Espa?ol,male,Master or equivalent
24,4,1,1,,6,Catalán ,female,Short-cycle tertiary education
25,2,2,1,,7,Spanish,male,Bachelor or equivalent
26,3,2,1,,6,Espa?ol,male,Short-cycle tertiary education
27,3,1,1,,8,Espa?ol,female,Master or equivalent
28,2,2,1,,7,Espa?ol,male,Bachelor or equivalent
29,4,1,6,Mestiza,5,Espa?ol,female,Post-secondary non-tertiary education
30,5,1,1,,8,ingles,female,Master or equivalent
31,2,1,1,,7,Espa?ol,female,Bachelor or equivalent
32,2,2,1,,8,Espa?ol y catalan,male,Master or equivalent
33,2,2,4,,7,chino,male,Bachelor or equivalent
35,4,2,1,,8,espa?ol,male,Master or equivalent
37,3,2,1,,8,Spanish and English,male,Master or equivalent
38,4,2,1,,4,SPanish,male,Upper secondary education
39,4,2,1,,8,espa?ola,male,Master or equivalent
40,3,2,1,,7,euskera,male,Bachelor or equivalent
41,3,2,1,,8,Espa?ol,male,Master or equivalent
43,4,2,1,,8,Inglés,male,Master or equivalent
44,3,1,1,,7,espa?ol,female,Bachelor or equivalent
45,4,1,1,,4,espa?ol,female,Upper secondary education
47,4,1,1,,8,Espa?ol,female,Master or equivalent
48,2,1,1,,7,Espa?ol,female,Bachelor or equivalent
49,2,1,1,,7,Castellano,female,Bachelor or equivalent
50,2,2,1,,8,Espa?ol,male,Master or equivalent
51,4,1,1,,8,Espa?ol,female,Master or equivalent
52,6,2,1,,8,Espa?ol,male,Master or equivalent
53,3,1,1,,8,Espa?ol,female,Master or equivalent
54,4,2,1,,6,Espa?ol,male,Short-cycle tertiary education
55,4,2,1,,8,Espa?ol,male,Master or equivalent
58,2,2,1,,6,Búlgaro,male,Short-cycle tertiary education
59,2,1,1,,8,Spanish,female,Master or equivalent
60,2,1,1,,8,Espa?ol,female,Master or equivalent
61,2,1,1,,7,Spanish,female,Bachelor or equivalent
62,6,2,1,,8,espa?ol,male,Master or equivalent
63,3,2,1,,8,Espa?ol,male,Master or equivalent
64,4,1,1,,6,Espa?ol,female,Short-cycle tertiary education
65,3,2,1,,6,Vasco,male,Short-cycle tertiary education
66,2,1,1,,8,Espa?ol,female,Master or equivalent
67,2,1,1,,6,Espa?ol,female,Short-cycle tertiary education
68,3,1,1,,8,Inglés,female,Master or equivalent
