,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
0,25,2,1,,5,Portugues,male,Bachelor or equivalent
2,28,1,1,,6,portugues,female,Master or equivalent
3,25,1,2,,5,Portugues,female,Bachelor or equivalent
4,47,1,2,,5,Português,female,Bachelor or equivalent
5,30,1,1,,5,portugues,female,Bachelor or equivalent
6,31,1,1,,5,Português,female,Bachelor or equivalent
7,28,1,3,,5,Português,female,Bachelor or equivalent
8,22,2,1,,5,portugues,male,Bachelor or equivalent
9,21,2,3,,5,portugues,male,Bachelor or equivalent
10,27,1,1,,5,portugues,female,Bachelor or equivalent
11,24,2,3,,5,portuguese,male,Bachelor or equivalent
12,46,1,1,,6,Português,female,Master or equivalent
13,23,2,2,,5,portugues,male,Bachelor or equivalent
14,37,2,1,,5,Português,male,Bachelor or equivalent
15,22,2,1,,4,Portugues,male,Upper secondary education
17,40,2,1,,5,Português,male,Bachelor or equivalent
18,27,2,3,,4,Português ,male,Upper secondary education
19,25,2,2,,5,Português,male,Bachelor or equivalent
20,27,2,1,,4,Português,male,Upper secondary education
21,34,1,1,,5,Português,female,Bachelor or equivalent
22,34,2,1,,5,Português,male,Bachelor or equivalent
23,31,2,1,,5,portugues,male,Bachelor or equivalent
24,31,2,1,,4,Portugues,male,Upper secondary education
25,26,2,1,,5,Português ,male,Bachelor or equivalent
26,38,2,1,,5,português ,male,Bachelor or equivalent
27,35,2,2,,5,Português,male,Bachelor or equivalent
28,27,1,1,,5,portugues,female,Bachelor or equivalent
29,46,1,1,,7,Português,female,Doctoral or equivalent
32,31,2,1,,5,Portuguese ,male,Bachelor or equivalent
33,30,2,1,,4,português ,male,Upper secondary education
34,33,1,3,,5,Português,female,Bachelor or equivalent
35,29,2,2,,5,portugues,male,Bachelor or equivalent
36,28,1,1,,4,portugues,female,Upper secondary education
37,40,2,1,,5,Português,male,Bachelor or equivalent
38,32,1,1,,4,portugues,female,Upper secondary education
39,58,2,2,,4,português,male,Upper secondary education
40,33,2,3,,7,Português,male,Doctoral or equivalent
41,27,2,3,,4,Português ,male,Upper secondary education
42,33,2,1,,5,Português,male,Bachelor or equivalent
43,31,2,1,,4,Portugues,male,Upper secondary education
44,27,1,3,,5,Português ,female,Bachelor or equivalent
46,22,2,1,,5,Portugues,male,Bachelor or equivalent
47,31,2,1,,5,portugues,male,Bachelor or equivalent
49,31,2,1,,5,Português Brasil,male,Bachelor or equivalent
50,40,1,1,,5,Portuguesa,female,Bachelor or equivalent
51,30,2,3,,5,Português,male,Bachelor or equivalent
52,47,1,3,,4,Português,female,Upper secondary education
53,36,1,1,,5,portugues ,female,Bachelor or equivalent
54,39,2,1,,5,portuguesa,male,Bachelor or equivalent
55,26,2,1,,5,Português ,male,Bachelor or equivalent
56,25,1,1,,5,Português,female,Bachelor or equivalent
57,22,2,1,,4,Português,male,Upper secondary education
58,67,2,1,,5,portugues,male,Bachelor or equivalent
59,18,2,1,,4,Português,male,Upper secondary education
60,26,2,3,,5,Português ,male,Bachelor or equivalent
61,27,2,3,,4,Português ,male,Upper secondary education
62,42,2,1,,5,Portuguese ,male,Bachelor or equivalent
63,41,2,1,,4,Brazilian Portuguese,male,Upper secondary education
64,44,1,1,,4,Portugues,female,Upper secondary education
66,28,1,5,,5,português,female,Bachelor or equivalent
68,27,2,3,,5,portuguese,male,Bachelor or equivalent
69,50,1,1,,4,portugues,female,Upper secondary education
70,32,2,1,,6,portuguese,male,Master or equivalent
71,24,2,3,,4,Português ,male,Upper secondary education
73,23,2,3,,5,POrtugues,male,Bachelor or equivalent
74,34,2,4,,5,Português,male,Bachelor or equivalent
75,47,1,2,,5,Português,female,Bachelor or equivalent
76,30,2,3,,4,Português ,male,Upper secondary education
77,38,2,4,,4,Portugues,male,Upper secondary education
78,28,1,1,,5,português,female,Bachelor or equivalent
79,27,2,1,,4,Português,male,Upper secondary education
80,30,2,3,,5,Português,male,Bachelor or equivalent
81,25,2,1,,6,Português ,male,Master or equivalent
82,24,1,1,,5,Portugues,female,Bachelor or equivalent
83,28,2,1,,5,Português,male,Bachelor or equivalent
84,32,1,1,,4,portuguese,female,Upper secondary education
85,54,1,1,,6,Portuguese,female,Master or equivalent
86,28,1,1,,4,portuguese,female,Upper secondary education
87,29,2,2,,4,portuguese,male,Upper secondary education
88,38,2,1,,5,português ,male,Bachelor or equivalent
89,23,2,1,,4,Português,male,Upper secondary education
90,27,1,1,,5,portugues,female,Bachelor or equivalent
91,33,1,3,,5,Português,female,Bachelor or equivalent
92,29,2,3,,5,Portugues,male,Bachelor or equivalent
93,34,1,1,,5,português,female,Bachelor or equivalent
94,33,1,1,,4,Português,female,Upper secondary education
95,57,2,2,,4,português,male,Upper secondary education
96,46,1,1,,7,Português,female,Doctoral or equivalent
97,25,2,1,,5,Português,male,Bachelor or equivalent
98,41,2,2,,6,Portuguese,male,Master or equivalent
99,27,2,3,,4,Português ,male,Upper secondary education
100,38,2,1,,5,portugues brasil,male,Bachelor or equivalent
101,31,2,1,,5,português,male,Bachelor or equivalent
102,40,2,1,,5,Português,male,Bachelor or equivalent
103,24,2,1,,5,portuguese,male,Bachelor or equivalent
104,39,1,1,,5,Português,female,Bachelor or equivalent
105,32,2,2,,4,Português,male,Upper secondary education
106,42,1,3,,5,português do Brasil ,female,Bachelor or equivalent
107,27,2,1,,5,português,male,Bachelor or equivalent
108,28,2,1,,4,Português,male,Upper secondary education
109,25,2,1,,5,Portugues,male,Bachelor or equivalent
110,32,1,2,,5,Brasileiro,female,Bachelor or equivalent
112,40,1,1,,5,portugues,female,Bachelor or equivalent
113,27,2,2,,4,Português - BR,male,Upper secondary education
114,50,2,1,,5,Português,male,Bachelor or equivalent
115,23,2,1,,5,Português,male,Bachelor or equivalent
116,26,2,1,,6,Português,male,Master or equivalent
117,23,2,1,,5,Português,male,Bachelor or equivalent
118,47,1,3,,5,Português ,female,Bachelor or equivalent
120,29,2,1,,5,Português,male,Bachelor or equivalent
121,24,2,1,,4,português,male,Upper secondary education
122,40,1,2,,5,portugues,female,Bachelor or equivalent
125,32,2,1,,6,Português,male,Master or equivalent
127,47,1,2,,5,Português,female,Bachelor or equivalent
128,26,1,2,,5,português,female,Bachelor or equivalent
129,31,1,1,,5,Português,female,Bachelor or equivalent
130,24,1,1,,5,Portuguese,female,Bachelor or equivalent
131,27,1,1,,4,portugues,female,Upper secondary education
132,38,2,1,,5,portuguesa,male,Bachelor or equivalent
133,33,2,1,,5,Portugues,male,Bachelor or equivalent
134,22,1,3,,5,Brasileira,female,Bachelor or equivalent
135,35,2,2,,5,Português,male,Bachelor or equivalent
136,23,2,3,,5,Português,male,Bachelor or equivalent
137,24,1,1,,5,Portugues,female,Bachelor or equivalent
138,43,2,1,,5,Portuguese,male,Bachelor or equivalent
139,36,1,1,,5,português,female,Bachelor or equivalent
140,25,1,2,,5,Português,female,Bachelor or equivalent
141,35,1,1,,5,Portugues,female,Bachelor or equivalent
142,40,2,3,,4,Portuguese,male,Upper secondary education
143,21,2,3,,4,Portuguese,male,Upper secondary education
145,22,1,1,,4,Português,female,Upper secondary education
146,35,2,1,,5,Português ,male,Bachelor or equivalent
147,21,2,1,,5,Português,male,Bachelor or equivalent
148,28,2,3,,5,Português ,male,Bachelor or equivalent
149,27,2,3,,5,Português ,male,Bachelor or equivalent
150,24,2,3,,5,Português ,male,Bachelor or equivalent
151,29,2,1,,5,portugues,male,Bachelor or equivalent
152,33,1,1,,5,Português,female,Bachelor or equivalent
154,30,1,1,,5,portugues,female,Bachelor or equivalent
155,27,2,3,,5,Português,male,Bachelor or equivalent
156,28,1,1,,6,portugues,female,Master or equivalent
157,26,2,1,,5,Português,male,Bachelor or equivalent
158,33,1,3,,5,Português,female,Bachelor or equivalent
159,31,2,1,,5,portugues,male,Bachelor or equivalent
160,29,2,1,,5,portugues,male,Bachelor or equivalent
161,59,2,1,,6,portugues,male,Master or equivalent
163,28,2,3,,4,português,male,Upper secondary education
164,27,2,3,,4,português,male,Upper secondary education
165,39,2,1,,6,Portuguese,male,Master or equivalent
166,42,2,1,,5,Português ,male,Bachelor or equivalent
167,21,1,1,,5,Portugues,female,Bachelor or equivalent
168,54,1,1,,6,Portugues,female,Master or equivalent
169,40,1,1,,5,Portuguesa,female,Bachelor or equivalent
170,49,1,3,,6,PORTUGUESE,female,Master or equivalent
171,37,2,1,,5,Português,male,Bachelor or equivalent
172,37,2,1,,4,portugues,male,Upper secondary education
173,33,1,3,,5,Português,female,Bachelor or equivalent
174,26,1,1,,5,Portugues,female,Bachelor or equivalent
175,34,1,1,,5,português,female,Bachelor or equivalent
176,32,1,1,,5,Português,female,Bachelor or equivalent
177,28,1,3,,5,Portuguese,female,Bachelor or equivalent
178,25,2,1,,5,Português,male,Bachelor or equivalent
179,27,1,1,,4,portugues,female,Upper secondary education
180,31,2,1,,5,Portuguese,male,Bachelor or equivalent
181,30,2,3,,5,Português,male,Bachelor or equivalent
182,23,2,2,,5,português,male,Bachelor or equivalent
183,21,2,1,,4,portugues,male,Upper secondary education
184,43,2,1,,6,Português,male,Master or equivalent
185,47,1,1,,7,Português,female,Doctoral or equivalent
186,22,2,1,,5,Portugues,male,Bachelor or equivalent
187,24,1,3,,5,Português,female,Bachelor or equivalent
189,21,1,1,,5,português,female,Bachelor or equivalent
190,40,2,1,,6,Português ,male,Master or equivalent
191,33,1,1,,4,portugues,female,Upper secondary education
193,47,1,1,,5,Portugues,female,Bachelor or equivalent
194,23,2,1,,4,portugues,male,Upper secondary education
195,30,2,1,,4,português ,male,Upper secondary education
196,23,1,1,,5,português,female,Bachelor or equivalent
197,22,2,1,,4,Portugues,male,Upper secondary education
198,41,2,2,,6,Portugues,male,Master or equivalent
199,35,2,1,,4,PORTUGUES,male,Upper secondary education
