,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
1,25,1,1,,9,Fran?ais,female,Master or equivalent
2,27,1,1,,9,Fran?ais,female,Master or equivalent
3,25,1,1,,9,francais,female,Master or equivalent
4,25,2,1,,8,francais,male,Bachelor or equivalent
5,59,2,1,,7,Fran?ais,male,Upper secondary education
7,60,1,1,,9,Fran?ais ,female,Master or equivalent
8,46,1,1,,9,anglais,female,Master or equivalent
9,24,1,1,,9,Fran?ais,female,Master or equivalent
10,47,1,1,,8,Fran?ais ,female,Bachelor or equivalent
11,26,2,1,,9,Fran?ais,male,Master or equivalent
12,24,2,1,,8,FRANCAIS,male,Bachelor or equivalent
13,20,2,2,,8,fran?ais,male,Bachelor or equivalent
14,27,1,1,,9,fran?ais,female,Master or equivalent
15,30,2,1,,9,Fran?ais,male,Master or equivalent
16,31,1,1,,9,francais,female,Master or equivalent
17,24,2,1,,8,portugais,male,Bachelor or equivalent
18,23,1,1,,9,Fran?ais,female,Master or equivalent
19,35,1,1,,9,Francais,female,Master or equivalent
20,36,1,1,,9,fran?ais,female,Master or equivalent
21,25,1,5,,9,francais,female,Master or equivalent
22,46,1,1,,9,fran?ais,female,Master or equivalent
23,20,1,1,,8,fran?ais,female,Bachelor or equivalent
24,28,1,1,,9,Fran?ais,female,Master or equivalent
25,25,2,1,,9,fran?ais,male,Master or equivalent
26,24,2,1,,9,Fran?ais,male,Master or equivalent
27,23,1,1,,9,Fran?ais,female,Master or equivalent
28,42,1,1,,9,Francais,female,Master or equivalent
29,37,1,1,,8,Fran?ais,female,Bachelor or equivalent
30,54,2,1,,9,francais,male,Master or equivalent
31,34,1,1,,9,Fran?ais,female,Master or equivalent
32,27,2,1,,9,fran?ais,male,Master or equivalent
33,19,2,1,,7,Fran?ais et anglais ,male,Upper secondary education
35,24,1,1,,8,Fran?ais,female,Bachelor or equivalent
36,43,2,5,,9,francais,male,Master or equivalent
37,21,1,3,,8,fran?ais,female,Bachelor or equivalent
38,40,2,6,arabic,9,french,male,Master or equivalent
39,28,2,1,,9,fran?ais,male,Master or equivalent
40,31,2,1,,9,fran?ais,male,Master or equivalent
41,26,1,4,,9,Francais,female,Master or equivalent
42,28,1,1,,9,Fran?ais,female,Master or equivalent
43,26,1,1,,9,Fran?ais,female,Master or equivalent
44,43,2,1,,8,fran?ais,male,Bachelor or equivalent
45,44,1,1,,9,francais,female,Master or equivalent
46,27,2,1,,9,fran?ais,male,Master or equivalent
47,25,2,1,,9,Fran?ais,male,Master or equivalent
48,29,1,1,,9,fran?ais,female,Master or equivalent
49,34,1,1,,9,Fran?aise,female,Master or equivalent
50,23,1,1,,9,Fran?ais,female,Master or equivalent
51,23,2,1,,9,fran?ais,male,Master or equivalent
52,25,2,6,Hispanique,9,Fran?ais,male,Master or equivalent
53,49,1,1,,7,Francais,female,Upper secondary education
54,30,2,1,,9,francais,male,Master or equivalent
55,25,2,1,,8,fran?ais,male,Bachelor or equivalent
56,23,1,1,,9,Fran?ais,female,Master or equivalent
57,32,1,2,,9,Fran?ais,female,Master or equivalent
58,24,2,1,,9,Fran?ais,male,Master or equivalent
59,39,1,1,,9,Fran?ais,female,Master or equivalent
60,35,1,6,Préfère ne pas répondre,9,Fran?ais,female,Master or equivalent
61,23,1,1,,9,Fran?ais,female,Master or equivalent
62,23,2,1,,9,Fran?ais,male,Master or equivalent
63,37,1,1,,9,Fran?ais,female,Master or equivalent
64,22,2,2,,9,Fran?ais ,male,Master or equivalent
65,22,2,1,,8,fran?ais,male,Bachelor or equivalent
66,23,2,1,,9,fran?ais,male,Master or equivalent
67,31,1,1,,9,Fran?ais,female,Master or equivalent
68,32,1,1,,9,francais,female,Master or equivalent
69,36,1,4,,9,fran?ais,female,Master or equivalent
70,38,1,1,,9,Espagnol,female,Master or equivalent
71,30,2,1,,9,Fran?ais,male,Master or equivalent
72,40,1,1,,9,fran?ais,female,Master or equivalent
73,22,2,1,,9,Fran?ais,male,Master or equivalent
75,30,1,1,,9,Fran?ais,female,Master or equivalent
76,67,1,1,,4,Fan?ais,female,Lower secondary education
77,21,2,1,,9,Fran?ais ,male,Master or equivalent
78,37,1,1,,9,Fran?ais,female,Master or equivalent
79,40,1,1,,9,fran?ais,female,Master or equivalent
82,27,2,1,,9,Fran?ais ,male,Master or equivalent
83,28,1,4,,9,Francais,female,Master or equivalent
84,37,1,1,,9,Fran?ais ,female,Master or equivalent
85,Cinquante et un an,1,2,,8,Fran?ais,female,Bachelor or equivalent
86,43,1,1,,8,fran?ais,female,Bachelor or equivalent
87,21,2,2,,4,francais,male,Lower secondary education
88,26,1,1,,7,Fran?ais,female,Upper secondary education
89,22,2,1,,9,Fran?ais,male,Master or equivalent
90,29,1,1,,8,Portugais,female,Bachelor or equivalent
91,23,1,3,,9,Fran?ais,female,Master or equivalent
