,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
456,20,2,1,,5,Português,male,Bachelor or equivalent
457,24,1,1,,5,português,female,Bachelor or equivalent
458,22,2,1,,5,Moldavo,male,Bachelor or equivalent
459,43,2,1,,4,Português,male,Lower secondary education
460,23,1,1,,6,português,female,Master or equivalent
461,43,1,1,,6,Português,female,Master or equivalent
462,38,1,1,,5,Português,female,Bachelor or equivalent
463,25,2,1,,5,Português,male,Bachelor or equivalent
464,41,2,1,,6,Portuguesa,male,Master or equivalent
465,26,2,1,,5,Português,male,Bachelor or equivalent
466,22,2,1,,5,Portugues,male,Bachelor or equivalent
467,31,2,1,,5,Português,male,Bachelor or equivalent
468,36,1,1,,5,Português,female,Bachelor or equivalent
469,30,2,1,,6,Portuguesa,male,Master or equivalent
470,37,2,1,,6,Português ,male,Master or equivalent
471,22,1,1,,6,português,female,Master or equivalent
472,23,1,1,,5,Português,female,Bachelor or equivalent
474,33,2,1,,6,Portuguesa,male,Master or equivalent
475,22,2,1,,6,Português,male,Master or equivalent
476,23,1,1,,5,Português,female,Bachelor or equivalent
477,21,1,1,,5,Português,female,Bachelor or equivalent
478,22,1,1,,5,Portugues,female,Bachelor or equivalent
479,33,2,1,,5,Portugues,male,Bachelor or equivalent
480,29,2,1,,3,português,male,Lower secondary education
481,42,2,1,,7,Portugues,male,Doctoral or equivalent
482,43,1,2,Brasileira,5,Português,female,Bachelor or equivalent
483,26,2,1,,5,Portugues,male,Bachelor or equivalent
484,47,2,1,,6,Portuguese,male,Master or equivalent
485,25,1,1,,6,Português,female,Master or equivalent
486,50,2,1,,3,Portuguese,male,Lower secondary education
487,23,1,1,,5,Português,female,Bachelor or equivalent
488,31,1,1,,5,portugues,female,Bachelor or equivalent
489,21,2,1,,5,Portugues,male,Bachelor or equivalent
490,29,2,1,,6,Português,male,Master or equivalent
491,23,1,1,,6,Português,female,Master or equivalent
492,35,1,1,,5,Português,female,Bachelor or equivalent
493,22,2,1,,5,Português,male,Bachelor or equivalent
494,25,2,1,,6,Portuguesa,male,Master or equivalent
495,21,1,1,,5,Portuguese,female,Bachelor or equivalent
496,42,2,1,,5,portugues,male,Bachelor or equivalent
497,22,1,1,,5,Portuguese,female,Bachelor or equivalent
498,22,2,1,,3,Portuguese,male,Lower secondary education
499,27,1,1,,6,PORTUGUêS,female,Master or equivalent
500,23,1,1,,5,Português,female,Bachelor or equivalent
501,23,2,1,,5,Portugues,male,Bachelor or equivalent
502,31,1,1,,6,Português,female,Master or equivalent
503,26,1,1,,6,Portugues,female,Master or equivalent
504,29,2,1,,6,Português,male,Master or equivalent
505,29,2,1,,3,Português,male,Lower secondary education
506,27,2,1,,6,português,male,Master or equivalent
507,24,2,1,,4,Português,male,Lower secondary education
508,32,1,1,,6,Português/Portuguese,female,Master or equivalent
509,21,1,1,,5,Português,female,Bachelor or equivalent
510,43,1,1,,6,portugues,female,Master or equivalent
511,25,2,1,,6,Português,male,Master or equivalent
512,33,1,1,,6,Portuguese,female,Master or equivalent
513,54,1,1,,5,Português,female,Bachelor or equivalent
514,37,1,1,,5,Português,female,Bachelor or equivalent
515,28,1,1,,5,português europeu.,female,Bachelor or equivalent
516,29,2,1,,5,Português,male,Bachelor or equivalent
517,30,2,1,,6,Português,male,Master or equivalent
518,31,2,2,N?o respondo a isto.,7,Português,male,Doctoral or equivalent
519,36,2,1,,5,Portugues,male,Bachelor or equivalent
520,46,2,1,,5,Portugues,male,Bachelor or equivalent
521,44,2,1,,6,PORTUGUêS,male,Master or equivalent
522,22,1,1,,5,Português,female,Bachelor or equivalent
523,23,1,1,,5,Portuguese,female,Bachelor or equivalent
524,32,2,1,,5,Português,male,Bachelor or equivalent
525,24,1,1,,5,Português,female,Bachelor or equivalent
526,26,2,1,,6,Português,male,Master or equivalent
527,24,1,1,,6,pt,female,Master or equivalent
528,21,2,1,,4,Português,male,Lower secondary education
529,25,2,1,,6,Portugues,male,Master or equivalent
530,21,1,1,,5,Português,female,Bachelor or equivalent
531,24,2,1,,6,Portuguesa,male,Master or equivalent
532,24,2,1,,6,Portuguese,male,Master or equivalent
533,23,2,1,,5,Português,male,Bachelor or equivalent
534,43,1,1,,6,Português,female,Master or equivalent
535,29,2,1,,6,Português,male,Master or equivalent
536,23,1,1,,6,Portuguese,female,Master or equivalent
537,24,2,1,,5,português,male,Bachelor or equivalent
538,28,2,1,,6,Portuguese,male,Master or equivalent
539,25,2,1,,6,Portuguesa,male,Master or equivalent
540,29,1,1,,6,Português,female,Master or equivalent
541,32,2,1,,6,Português,male,Master or equivalent
542,25,1,1,,5,Portugues,female,Bachelor or equivalent
543,24,1,1,,6,Portugues,female,Master or equivalent
544,38,1,1,,6,Portugues,female,Master or equivalent
545,24,1,1,,6,Português,female,Master or equivalent
546,20,2,1,,4,Português,male,Lower secondary education
547,33,2,1,,5,Português,male,Bachelor or equivalent
548,26,1,1,,5,portugues,female,Bachelor or equivalent
549,44,2,1,,4,Português,male,Lower secondary education
550,59,1,2,Asean,6,Tagalog e Ingles,female,Master or equivalent
551,24,2,1,,5,Portugues,male,Bachelor or equivalent
552,29,1,1,,6,Português ,female,Master or equivalent
553,26,2,1,,6,portugues,male,Master or equivalent
554,52,1,1,,5,português,female,Bachelor or equivalent
555,37,2,1,,4,Portugues,male,Lower secondary education
556,42,2,1,,6,Português,male,Master or equivalent
557,25,1,1,,6,Português,female,Master or equivalent
558,27,1,1,,5,Português,female,Bachelor or equivalent
559,23,1,2,Latina,5,espanol ,female,Bachelor or equivalent
560,23,1,1,,5,Português,female,Bachelor or equivalent
561,38,2,1,,5,Português ,male,Bachelor or equivalent
562,23,2,1,,5,Portuguese,male,Bachelor or equivalent
563,30,1,1,,6,Português,female,Master or equivalent
564,45,2,1,,5,Portuguese,male,Bachelor or equivalent
565,39,2,1,,3,Portugues,male,Lower secondary education
566,21,2,1,,5,Português,male,Bachelor or equivalent
567,46,1,1,,5,Português,female,Bachelor or equivalent
568,28,2,1,,5,Português,male,Bachelor or equivalent
569,21,2,1,,5,Português,male,Bachelor or equivalent
570,30,1,1,,6,Português,female,Master or equivalent
571,23,1,1,,4,portugues,female,Lower secondary education
572,25,1,1,,6,Portuguesa,female,Master or equivalent
573,50,1,1,,4,Português,female,Lower secondary education
574,23,1,1,,6,português,female,Master or equivalent
575,30,1,1,,6,portuguese,female,Master or equivalent
576,58,1,1,,3,Portuguese,female,Lower secondary education
577,27,1,1,,5,Português,female,Bachelor or equivalent
579,42,1,1,,5,Português,female,Bachelor or equivalent
580,34,2,1,,6,Português,male,Master or equivalent
581,38,2,1,,5,português,male,Bachelor or equivalent
582,49,2,1,,5,Português,male,Bachelor or equivalent
583,44,2,1,,5,Português,male,Bachelor or equivalent
584,25,1,1,,6,Português,female,Master or equivalent
585,26,1,1,,6,Português,female,Master or equivalent
586,22,1,1,,5,Português,female,Bachelor or equivalent
587,32,1,1,,6,Português,female,Master or equivalent
588,21,1,1,,5,Português,female,Bachelor or equivalent
589,23,1,1,,6,português,female,Master or equivalent
590,29,2,1,,6,Português,male,Master or equivalent
592,27,1,1,,6,Português,female,Master or equivalent
593,25,2,1,,6,Português,male,Master or equivalent
594,25,2,1,,5,portuguesa,male,Bachelor or equivalent
595,23,1,1,,6,Português,female,Master or equivalent
596,27,1,1,,6,Português,female,Master or equivalent
597,45,2,1,,5,Português,male,Bachelor or equivalent
598,27,1,1,,5,português,female,Bachelor or equivalent
599,28,1,1,,6,portugues,female,Master or equivalent
600,21,2,1,,4,Português,male,Lower secondary education
