,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
5,29,2,3,,7,Hindi,Male,Bachelor or equivalent
12,33,2,3,,7,Tamil,Male,Bachelor or equivalent
14,28,2,3,,7,TAMIL,Male,Bachelor or equivalent
16,32,2,3,,7,english,Male,Bachelor or equivalent
17,33,2,3,,7,TAMIL,Male,Bachelor or equivalent
18,28,2,3,,7,TAMIL,Male,Bachelor or equivalent
19,30,1,3,,7,hindi,Female,Bachelor or equivalent
21,33,2,3,,7,Hindi,Male,Bachelor or equivalent
22,25,2,3,,7,tamil,Male,Bachelor or equivalent
23,28,2,3,,8,TAMIL,Male,Master or equivalent
25,40,2,3,,8,Hindi,Male,Master or equivalent
26,33,2,3,,7,Hindi,Male,Bachelor or equivalent
28,30,2,3,,7,malayalam,Male,Bachelor or equivalent
30,32,2,3,,7,English,Male,Bachelor or equivalent
31,30,2,3,,8,hindi,Male,Master or equivalent
32,29,2,3,,8,Urdu,Male,Master or equivalent
33,39,2,3,,8,Malayalam ,Male,Master or equivalent
34,35,2,3,,8,Hindi,Male,Master or equivalent
35,40,1,3,,7,English,Female,Bachelor or equivalent
36,32,2,3,,8,Bengali ,Male,Master or equivalent
37,30,1,3,,7,English,Female,Bachelor or equivalent
38,30,1,3,,7,malayalam,Female,Bachelor or equivalent
39,56,2,3,,4,English,Male,Upper secondary education
41,28,2,3,,4,marathi,Male,Upper secondary education
43,34,2,3,,7,English,Male,Bachelor or equivalent
44,38,2,3,,7,English,Male,Bachelor or equivalent
45,35,2,6,,8,Tamil,Male,Master or equivalent
46,33,2,3,,7,telugu,Male,Bachelor or equivalent
48,35,2,3,,7,tamil,Male,Bachelor or equivalent
49,40,2,3,,8,Tamil,Male,Master or equivalent
50,35,2,3,,7,telugu,Male,Bachelor or equivalent
51,42,1,3,,8,TAMIL,Female,Master or equivalent
52,32,2,3,,7,eng35sh,Male,Bachelor or equivalent
53,28,1,3,,7,TAMIL,Female,Bachelor or equivalent
54,28,2,3,,7,tamil,Male,Bachelor or equivalent
55,28,2,3,,7,TAMIL,Male,Bachelor or equivalent
56,28,1,3,,7,TAMIL,Female,Bachelor or equivalent
57,28,2,3,,7,tamil,Male,Bachelor or equivalent
58,28,1,3,,7,TAMIL,Female,Bachelor or equivalent
59,28,2,3,,7,tamil,Male,Bachelor or equivalent
60,28,1,3,,7,tamil,Female,Bachelor or equivalent
61,29,1,3,,7,english,Female,Bachelor or equivalent
62,28,2,3,,7,tamil,Male,Bachelor or equivalent
63,28,2,3,,7,tamil,Male,Bachelor or equivalent
