,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
0,46,1,5,,7,العربية,female,Short-cycle tertiary education
1,٣٥,2,1,,5,Arabic ,male,Upper secondary education
2,27,2,5,,7,العربية,male,Short-cycle tertiary education
3,31,2,5,,7,Arabic ,male,Short-cycle tertiary education
4,39,2,5,,7,Arabic ,male,Short-cycle tertiary education
5,27,2,5,,7,Araipc ,male,Short-cycle tertiary education
6,28,2,5,,7,Arabic ,male,Short-cycle tertiary education
7,26,1,5,,4,Arabic ,female,Lower secondary education
8,21,1,5,,4,العربية,female,Lower secondary education
9,30,2,4,,7,عربية,male,Short-cycle tertiary education
10,18,1,3,,4,العربية,female,Lower secondary education
11,28,2,5,,7,Arabic ,male,Short-cycle tertiary education
12,56,2,5,,8,Arabic ,male,Bachelor or equivalent
13,٢٥,1,6,,7,العربية,female,Short-cycle tertiary education
14,55,1,5,,7,Arabic ,female,Short-cycle tertiary education
15,32,2,5,,7,Arabic ,male,Short-cycle tertiary education
16,28,2,5,,4,Arabic ,male,Lower secondary education
17,28,2,5,مصرية,7,عربية,male,Short-cycle tertiary education
18,27,2,5,,7,عربية,male,Short-cycle tertiary education
19,32,2,5,,6,عرب arab,male,Post-secondary non-tertiary education
20,28,2,5,,7,Arabic ,male,Short-cycle tertiary education
21,33,1,3,,4,العربية,female,Lower secondary education
22,20,1,4,,3,العربية,female,Primary education
23,27,2,5,,7,English,male,Short-cycle tertiary education
24,20,1,4,,3,english,female,Primary education
25,28,2,5,,7,Arabic ,male,Short-cycle tertiary education
26,32,2,5,,7,Arabic ,male,Short-cycle tertiary education
27,62,2,5,,6,العربية,male,Post-secondary non-tertiary education
28,52,2,5,,8,Arabic ,male,Bachelor or equivalent
29,22,1,5,,5,Arabic,female,Upper secondary education
30,28,2,5,,7,Arabic ,male,Short-cycle tertiary education
31,25,1,3,,7,Arabic ,female,Short-cycle tertiary education
32,33,1,5,,6,Arabic ,female,Post-secondary non-tertiary education
33,22,2,5,,7,Arabic ,male,Short-cycle tertiary education
34,40,2,5,,7,Arabic ,male,Short-cycle tertiary education
35,29,1,5,,7,Arabic ,female,Short-cycle tertiary education
36,27,2,5,,7,Arabic,male,Short-cycle tertiary education
37,51,2,4,,7,العربية,male,Short-cycle tertiary education
38,27,2,5,,7,Arabic ,male,Short-cycle tertiary education
39,22,1,2,,3,العربية,female,Primary education
40,٢٥,2,5,,7,Arabic ,male,Short-cycle tertiary education
41,٢٥,1,6,,7,Arabic ,female,Short-cycle tertiary education
42,27,2,5,,7,العربية,male,Short-cycle tertiary education
43,46,1,5,,7,arabic,female,Short-cycle tertiary education
44,31,2,5,Indonesian,8,Bahasa,male,Bachelor or equivalent
