,Age,Sex,Race,请问您的民族是？,Highest Level of Education,请问中文是您的母语吗？,请问您的母语是？,Gender_label
155,25 - 34,female,汉族,,bachelor,是,,female
156,25 - 34,male,汉族,,bachelor,是,,male
157,25 - 34,female,汉族,,bachelor,是,,female
158,25 - 34,male,汉族,,bachelor,是,,male
159,35 - 44,male,汉族,,bachelor,是,,male
160,18 - 24,male,汉族,,bachelor,是,,male
161,35 - 44,male,汉族,,bachelor,是,,male
162,18 - 24,female,汉族,,bachelor,是,,female
163,25 - 34,male,汉族,,bachelor,是,,male
164,18 - 24,male,汉族,,bachelor,是,,male
166,25 - 34,female,汉族,,bachelor,是,,female
168,35 - 44,female,汉族,,college,是,,female
170,25 - 34,female,汉族,,bachelor,是,,female
172,25 - 34,male,汉族,,bachelor,是,,male
174,25 - 34,male,汉族,,bachelor,是,,male
176,25 - 34,male,汉族,,bachelor,是,,male
180,18 - 24,female,汉族,,bachelor,是,,female
181,25 - 34,male,汉族,,bachelor,是,,male
182,35 - 44,male,汉族,,phd or post doc,是,,male
183,18 - 24,male,汉族,,bachelor,是,,male
184,18 - 24,female,汉族,,bachelor,是,,female
185,25 - 34,female,汉族,,bachelor,是,,female
186,25 - 34,male,汉族,,bachelor,是,,male
187,25 - 34,male,汉族,,bachelor,是,,male
188,25 - 34,male,汉族,,college,是,,male
189,25 - 34,male,汉族,,master,是,,male
190,25 - 34,female,汉族,,bachelor,是,,female
191,25 - 34,female,汉族,,bachelor,是,,female
192,25 - 34,male,汉族,,college,是,,male
193,25 - 34,male,汉族,,bachelor,是,,male
195,18 - 24,male,汉族,,bachelor,是,,male
196,35 - 44,male,汉族,,bachelor,是,,male
197,25 - 34,male,汉族,,bachelor,是,,male
199,25 - 34,female,汉族,,college,是,,female
200,25 - 34,female,汉族,,bachelor,是,,female
202,25 - 34,male,汉族,,college,是,,male
203,25 - 34,male,汉族,,college,是,,male
204,18 - 24,female,汉族,,bachelor,是,,female
205,25 - 34,female,汉族,,bachelor,是,,female
206,25 - 34,female,汉族,,bachelor,是,,female
207,35 - 44,male,汉族,,bachelor,是,,male
208,25 - 34,male,汉族,,bachelor,是,,male
209,25 - 34,male,汉族,,bachelor,是,,male
210,35 - 44,female,汉族,,bachelor,是,,female
211,25 - 34,male,汉族,,bachelor,是,,male
212,25 - 34,male,汉族,,bachelor,是,,male
213,25 - 34,male,汉族,,bachelor,是,,male
214,35 - 44,female,汉族,,bachelor,是,,female
215,18 - 24,male,汉族,,bachelor,是,,male
216,25 - 34,female,汉族,,bachelor,是,,female
218,25 - 34,female,汉族,,bachelor,是,,female
219,25 - 34,male,汉族,,master,是,,male
220,25 - 34,female,汉族,,bachelor,是,,female
221,25 - 34,female,汉族,,bachelor,是,,female
222,25 - 34,female,汉族,,college,是,,female
223,18 - 24,female,汉族,,bachelor,是,,female
224,35 - 44,male,汉族,,master,是,,male
226,25 - 34,male,汉族,,master,是,,male
227,25 - 34,female,汉族,,bachelor,是,,female
229,35 - 44,female,汉族,,bachelor,是,,female
230,18 - 24,male,其他,壮,college,是,,male
231,25 - 34,female,汉族,,bachelor,是,,female
232,25 - 34,female,汉族,,bachelor,是,,female
233,25 - 34,female,汉族,,bachelor,是,,female
234,25 - 34,male,汉族,,college,是,,male
235,25 - 34,female,汉族,,master,是,,female
236,25 - 34,male,汉族,,bachelor,是,,male
237,18 - 24,female,汉族,,bachelor,是,,female
239,25 - 34,male,汉族,,bachelor,是,,male
241,25 - 34,male,汉族,,master,是,,male
243,25 - 34,male,其他,壮族,bachelor,是,,male
244,25 - 34,female,汉族,,bachelor,是,,female
245,18 - 24,male,汉族,,bachelor,是,,male
246,18 - 24,female,汉族,,bachelor,是,,female
247,25 - 34,female,汉族,,bachelor,是,,female
248,25 - 34,male,汉族,,bachelor,是,,male
249,25 - 34,female,汉族,,bachelor,是,,female
250,25 - 34,female,汉族,,college,是,,female
253,25 - 34,female,汉族,,college,是,,female
254,18 - 24,male,汉族,,bachelor,是,,male
255,18 - 24,female,汉族,,master,是,,female
257,35 - 44,female,汉族,,master,是,,female
258,25 - 34,female,汉族,,bachelor,是,,female
259,25 - 34,female,汉族,,bachelor,是,,female
260,25 - 34,female,汉族,,bachelor,是,,female
261,18 - 24,male,汉族,,bachelor,是,,male
262,25 - 34,female,汉族,,master,是,,female
263,25 - 34,male,汉族,,bachelor,是,,male
264,18 - 24,male,汉族,,bachelor,是,,male
265,25 - 34,female,汉族,,bachelor,是,,female
266,25 - 34,male,汉族,,master,是,,male
267,18 - 24,female,汉族,,bachelor,是,,female
268,18 - 24,female,汉族,,bachelor,是,,female
