,wife and husband,nurse and patient,officer and soldier,neighbors,athletic trainer and trainee,police officer and offender,principal and teacher,doctor and nurse,victim and criminal,coach and athlete,man and god,half siblings,parent and teenager,prostitute and customer,church members,foreman and laborer,a person and their family friends,a person and their social media follower,guide and tourist,bride and bridesmaid,teammates in sports,twins,celebrity and haters,employer and employee,teacher and student,guest and host,man wife and man mistress,religious followers,intern and employee,criminal and police officer,step grandparent and step grandchild,chef and customer,union leader and union member,professor and graduate student,second cousins,fans of the same sports team,master and servant,siblings,landlord and housekeeper,close friends,entrepreneur and investor,fraternity brothers,psychologist and client,chief and deputy,sugar daddy and sugar baby,uncle and niece/nephew,childhood friends,ex lovers,man and his mistress,step siblings,confidants,parole officer and parolee,grandparent and grandchild,judge and contestant,romantic lovers,researcher and research subject,brother and sister,therapist and patient,parent and infant,slave and master,reader and writer,representative and citizen,criminal and hostage,ancestor and descendant,peers,groom and groomsman,opposing negotiators,adoptive parents and adopted kids,driver and passenger,a person and their significant other,romantic rivals,strangers,predecessor and successor,a person and their crush,brothers in arms,playmates,volunteer and organizer,a monarch and their minister,roommates,criminal and prosecutor,friends,television host and guest,university student and administrator,life partners,political allies,criminal and their accomplice,consultant and client,diplomats,bully and victim,close relatives,godparent and godchild,guard and prisoner,fans of opposing sports teams,pen friends,mentor and mentee,casual acquaintances,judge and lawyer,student and dorm resident assistant,superior and subordinate,step parent and step child,boss and secretary,dealer and buyer,salesperson and customer,sports rivals,professor and teaching assistant,cohabitants,celebrity and fans,athlete and referee,soul mates,enemies,long distance lovers,team captain and team members,alumni,politician and supporter,patient and caretaker,babysitter and infant,co workers,competitors in sports,manager and staff,interviewer and job applicant,reviewer and writer,performer and audience,frenemies,religious leader and congregant,a person and their deceased spouse,distant relatives,divorced spouses,defendant and plaintiff,a person and their in laws,lawyer and client,customer and businessman,fiance and fiancee,facebook friends,drug dealer and addict,police officer and civilian,cousins,mother and infant,landlord and tenant,director and performer,native and tourist,owner and manager,customer and server,companions,doctor and patient,aunt and niece/nephew,parent and child,leader and follower,supervisor and subordinate,bride and groom,sorority sisters,classmates,club member and club president,political opponents,friends with benefits,foster parent and foster child,business rivals,manager and assistant,victim and witness,business partners
wife and husband,0.0,0.008886050191315735,0.009773776292408122,0.008389238619678373,0.008867050546206788,0.011378694008966414,0.010077460604587836,0.009412071910757379,0.01152351002205473,0.008912216342375857,0.00921230158895873,0.005920220530802321,0.006689979860209727,0.009595266137087478,0.008746477524264825,0.010007420718482882,0.006681599515837486,0.009163425757664892,0.009991940803819733,0.005997905192097883,0.0072313533905760665,0.005079986569093082,0.01060374352130075,0.010475366995273915,0.009020775876193304,0.008895231010494324,0.0094248085501965,0.008864483357726539,0.009549113509380923,0.01154681134222926,0.007499068116157511,0.010175666895207254,0.00931901024679957,0.009013543653755956,0.007351441416613428,0.0074818577989528325,0.011501974000489273,0.005664913621990212,0.010798799058840422,0.005744252986201871,0.009988529520614391,0.006718488013444661,0.008486967144632545,0.009956576419183759,0.0068801549646928545,0.006470210415048967,0.006369958002329721,0.008278923932087075,0.005596651903527158,0.0065081107138659595,0.006703200513598587,0.011133420912962077,0.006304461730040432,0.010674607689017328,0.0026759429053871847,0.010176684050206915,0.0052832704292071165,0.008772381205238268,0.0060258605904350915,0.01175722558235812,0.010037814871144019,0.009729841424768293,0.011507476808490767,0.008607962309495896,0.008058966423915997,0.0058841576959112645,0.01046973348380153,0.006298157209459928,0.00959511810339376,0.002188806659309881,0.009358976273355205,0.010680543158812793,0.009488938014998288,0.005701356650347074,0.007095570101913944,0.006267803622857423,0.009551701860757498,0.009808726719918321,0.006988458264094917,0.011439441762825861,0.006222220240445859,0.009448808337677347,0.010053413547801204,0.0020172305167552164,0.008504573880459085,0.00884677483748526,0.009715891264449978,0.00909336926306789,0.01130771854142809,0.005884089056709064,0.007077320598383963,0.011881984327803023,0.010353963306547307,0.007498218166900972,0.008634479545463739,0.008423810386578296,0.01000020741869754,0.009771808649772184,0.010426717616865231,0.00675604548259688,0.010178503731654643,0.010062648036741678,0.009929968356819625,0.010491890330504244,0.009266405005750341,0.006496091021609465,0.009574708607519779,0.010042040162624718,0.002181896844955375,0.011056629348136034,0.003727247750603376,0.008488939236768286,0.008300450994067567,0.009482325350773375,0.008728001069706361,0.008303245983105606,0.008116158541048399,0.009703554253512289,0.010215138655187545,0.010381611629464776,0.010005176775614747,0.009695182734662475,0.008897785504876477,0.009686486358411264,0.004633069414061482,0.008180459978844808,0.00820340956769949,0.010942370191199024,0.0073983332923292745,0.009733452465968833,0.010245218787324416,0.001706826666065298,0.008613218327028395,0.009577994105507285,0.010804046205044512,0.0064541026223773,0.005802938948210947,0.010259963509731643,0.009581979879019249,0.0106331188897685,0.010107835529304351,0.010142916617291605,0.005572875996170825,0.008994774640370946,0.006678426552449499,0.006006894635295579,0.010423798074606565,0.00990233862040066,0.0020949191789203197,0.006852702524301262,0.007796976681138521,0.009795684945736134,0.01055081274821549,0.0049433571941539765,0.0067873053285723225,0.01012131078856977,0.01006061563581499,0.01010143760785293,0.008691410435325094
nurse and patient,0.008886050191315735,0.0,0.008238690783715745,0.008556718216389607,0.006494604587327494,0.00906270788030001,0.007140522705346962,0.005699702299314824,0.008940073458202207,0.007391025331255474,0.008516313027419467,0.008325807135289883,0.00758190433587909,0.006489638991786594,0.008523047929926197,0.0075722308206765,0.00806301696698734,0.008092459024692328,0.006423450424304397,0.008284643628884338,0.00855448250731424,0.008653698285839635,0.009262061653012323,0.006846513796787637,0.006813902762507772,0.00715298209968349,0.009450527556615356,0.008230488150682967,0.006941434477399811,0.008956156586224723,0.008377096609428973,0.005960141793424948,0.007235500227689671,0.0066107763736058716,0.008390239883739074,0.008455375471512115,0.009118784329781911,0.008495129924879805,0.007215177508668523,0.008523639957296401,0.006969691137457413,0.008284094213172308,0.0034619307294156314,0.007947645557440016,0.008067756080768238,0.008358560959432423,0.008427056440095641,0.009504212501784027,0.008887628451185231,0.008462116190907186,0.0078032425734397125,0.008563205501875813,0.008255788428951543,0.008396569733762146,0.008934637577052923,0.007139728302623286,0.00845106136796733,0.003245196699562548,0.008900235546380872,0.00952774160204814,0.007592787273610882,0.006594744679263817,0.009039859594813847,0.008711637401955762,0.008712265357668949,0.008091969470164351,0.00928332056944026,0.008704955181463726,0.006667364934302018,0.00894489040101739,0.009390605948492722,0.009542695706488408,0.008267444202832668,0.009242393932646458,0.008679377957438134,0.008680001291441305,0.007124504138505923,0.008030172825199638,0.008314920122995463,0.00869850054761614,0.008329982423410808,0.007365689215501517,0.007120515868256751,0.008875423954440137,0.008124728936791331,0.00811011342242801,0.00541166166385079,0.00827255795553426,0.009888097444567744,0.008489753504870924,0.008462449907174216,0.009587492911419162,0.009493168962760295,0.008698782946053765,0.006509289219715031,0.008309772708227619,0.00700296840086534,0.006878399992170621,0.007514042561095193,0.008580225336429811,0.007509633196197457,0.006428573007018853,0.005897015806094072,0.009365068814676516,0.007510810017282718,0.00797749557646025,0.008185137682530522,0.007452226790348997,0.008887264375828857,0.009301716592341806,0.008864334261392952,0.007680975963087946,0.008246683435635834,0.0072562752048639465,0.0029764835500840367,0.0069305832537056924,0.008150255996693646,0.008997446505292132,0.006867651585616655,0.007423797486853186,0.007783682867395559,0.007514874519450934,0.008716893619077423,0.007467896862937452,0.009190535292811454,0.008602926361691802,0.008957009115970367,0.008386995567008552,0.0084869464564768,0.004828314271089114,0.006478209615952014,0.008873623947557788,0.008705696512943367,0.00762888038618115,0.007526001421883075,0.008361041429526596,0.008635882464811374,0.00703560210273798,0.007372557076279528,0.008039234411834665,0.007463133112050584,0.006208692879846293,0.00834171142018792,0.00268904591980433,0.00857944681278651,0.008815874130030727,0.007740371867926586,0.007369812510625658,0.008767583173138993,0.008358358079301407,0.008402421657185624,0.007390035722962894,0.008975213121477478,0.008417852800915187,0.008644174804185162,0.009099212539056094,0.007176295161619448,0.00787770929527812,0.007526225552251155
officer and soldier,0.009773776292408122,0.008238690783715745,0.0,0.009209409089802719,0.007915963598956837,0.007449909381637012,0.00554136102625014,0.006396412809019179,0.008044482193883868,0.007265369808323018,0.00793984179637549,0.009883553718560952,0.008835791209776556,0.007681243413029864,0.008795904873510235,0.005782552916806676,0.009507377417168002,0.008552239231365211,0.007498848839531615,0.008959070656868642,0.008766114637102376,0.009609536319155834,0.008761647227460014,0.005056205286594184,0.007109961575451631,0.008082036653611315,0.008665204036702897,0.008272258420419175,0.006928560618217084,0.007368405458204688,0.009640828579195734,0.007914911703096848,0.005954246560001538,0.00666180716389231,0.009417252372345246,0.008755105279621499,0.0067624734160258125,0.009735843515906013,0.006948782177333494,0.00929323477732757,0.007184997291275759,0.009262162893687927,0.007920821248255312,0.004530659842272966,0.008158493648595796,0.00953509468635822,0.009242673234076505,0.009226035826972685,0.008980309445923871,0.009940052538214084,0.008480903825000493,0.007089304151344985,0.009356269085796438,0.0066199555797847994,0.009449964141910717,0.007649831643752074,0.00976363493419511,0.008007320267126049,0.00986650471129713,0.00757014099069737,0.008214748323053514,0.007370495223246,0.007833245891128751,0.009899444075922116,0.008775222466544434,0.008886814388849777,0.008080296177531305,0.00989626405308029,0.007294875859284678,0.009319874520032093,0.009163178152743562,0.009488706838933485,0.0077551638831997085,0.00894346946310861,0.008710402614411377,0.009271575793369164,0.006865113921733792,0.006824794488342748,0.008887331773484795,0.007920547726576526,0.008952101988658274,0.007332950584395703,0.007606250130059412,0.009821797917892306,0.00807995523959149,0.007733894943632312,0.007815846097095418,0.008185380296838901,0.008540127580572356,0.009685876865606296,0.00949483050387638,0.007555871462934964,0.009116648573407219,0.009282738994595467,0.007172433864604865,0.009068852283421722,0.00674262920904956,0.007407178901297933,0.00491226477135193,0.009709232041256554,0.005627407629475454,0.007309388475438102,0.007806023415783321,0.008923327381656446,0.006377424283900759,0.008939839015374911,0.00875831610293661,0.007644943792745994,0.009644207691919406,0.008540622981862757,0.009480393646422268,0.006545653014655296,0.009205258444476191,0.0074058798236788705,0.007919618941359194,0.008298773727181599,0.008485061423506227,0.00828299020633953,0.00588390396476705,0.00628755850042517,0.00720302230847935,0.008159437762025844,0.008394174263961747,0.00736788587944746,0.010133245935673624,0.009697173701840698,0.009310231790021967,0.008498985500741602,0.009099501725124363,0.007366549536846023,0.007476500995057097,0.009565766769340959,0.009095627458514747,0.007459384469865985,0.006887905537405536,0.009555042331235586,0.009827641728589987,0.006961150517383966,0.007060965435638196,0.008095681164526736,0.005974115283931104,0.007250769880126271,0.009321692176553837,0.007751778952569333,0.009781248911028157,0.009832180907708777,0.006926943699773399,0.005316353061535514,0.009902592688558969,0.009382071207413542,0.008941263730625069,0.00665495182522561,0.007826761563131798,0.009033670461632498,0.009658584804225146,0.00827877916394902,0.005599785705722517,0.008147058010876701,0.007084221360396679
neighbors,0.008389238619678373,0.008556718216389607,0.009209409089802719,0.0,0.009296613978362468,0.009471059311119797,0.009097508946716038,0.008483800083400729,0.00973487412261982,0.009243329597668073,0.010180039303415274,0.007264047705486363,0.008169345016236666,0.00873668761298414,0.006557818555592886,0.009397339137929889,0.0059353405609595756,0.008209867015855996,0.008396523066039897,0.007264949276405755,0.007261526755680785,0.0075957855937169964,0.009577405330922644,0.009322516800764551,0.008458943386460527,0.007766935911380143,0.008940385708175552,0.007534320082079697,0.008828208160522972,0.009689591616161732,0.007043872103389721,0.008772715291305858,0.008872962926134728,0.008261499969304607,0.006902718639833292,0.0064357187608344016,0.010308193747666393,0.007538823400686283,0.008502105037890678,0.006734594222207453,0.008886303205325534,0.00690772723027083,0.00898933487268939,0.009175469267887619,0.007937737479195572,0.007010747173593808,0.006802342272788339,0.008259862260334873,0.007897995557202329,0.007160279818100097,0.006424233991544621,0.009074736716081246,0.0077157329155571365,0.009300688266945693,0.007813586568905169,0.009298975979504815,0.007692959871186797,0.008843428603468404,0.00820311374025193,0.010687333595149506,0.008586342840470499,0.008479712410490442,0.009940500053065083,0.007138204951107164,0.0055922847841152565,0.007167338265458591,0.009045788982278093,0.007914684062292433,0.008680814072997636,0.008101838340888139,0.008955423212919306,0.007305286181577774,0.007475062863003044,0.007174709148044642,0.007004878543613026,0.0070985528548545025,0.008472334296988394,0.00932944783214456,0.005751001635258659,0.009404858291771328,0.006289421891150709,0.008431055174762718,0.008160218256998454,0.007955934956968799,0.007121554648626764,0.007087828224030678,0.00847110787856856,0.0069146504028730574,0.009863538305112699,0.007473808178039703,0.007183825916697069,0.009895537476969045,0.008874210542684871,0.006002844590823135,0.00843969923127433,0.004958528240530292,0.008653358565968168,0.007830549583725987,0.009682220764637593,0.007501308660925827,0.009301186150393987,0.008317582163828566,0.008875656585691269,0.008901671255646766,0.008332556753840478,0.006043496390463992,0.008369913645388676,0.00853515436415413,0.00824841655278391,0.009458160328683409,0.007937778315369319,0.00873271891431126,0.005326193511488258,0.008481670654044045,0.0084897592370504,0.007864660883249403,0.005469293185102845,0.009000727021725089,0.008790057476940581,0.008895145429534347,0.009074088951470676,0.008237251424959027,0.008037899954130021,0.009230224584244181,0.007955369978822943,0.006766849224560133,0.00841168416028081,0.008910626042263413,0.00664040868401091,0.008806565160777486,0.008813603710759881,0.00823453856556027,0.006117897465994935,0.008976015032319802,0.008933067644661933,0.007052608611911413,0.008469338599863154,0.00804526672549073,0.009142151836642402,0.00886853453075516,0.008872613277157625,0.0086536497973898,0.0066248429310775715,0.008708501220454384,0.0071988160555943636,0.008468355119853737,0.009362185357986311,0.00945691136762549,0.008419252890180588,0.006526094836600193,0.005139237378519024,0.008854754193764533,0.00890305778601072,0.007133996131917084,0.00813574078509591,0.009174193808305938,0.008883225797868119,0.008037633004566723,0.0075934551371946825
athletic trainer and trainee,0.008867050546206788,0.006494604587327494,0.007915963598956837,0.009296613978362468,0.0,0.008925944131545106,0.006976406755881358,0.007131896126946798,0.009786768848711273,0.004497244910441186,0.008599181294143958,0.008976564097169801,0.007985315676101544,0.0073501016534463365,0.007907327311829217,0.0076576731588376586,0.009062485036128148,0.007833395728485687,0.00692289821551365,0.008922699029463438,0.007346925820613654,0.009008150669181139,0.008896192577955438,0.0076938740288030735,0.005761176902856689,0.007941330583022245,0.009260423157914179,0.00840677248387239,0.007803308128033238,0.008840881076836029,0.008212205884504631,0.007334788713432883,0.007050664645517798,0.005970143334243078,0.008411751328078613,0.007854894384240965,0.009048953277042202,0.008966841343475597,0.007869234587708154,0.009163574041848161,0.007045836875190218,0.008917447186279352,0.005404237390590548,0.006965376634450201,0.008127187349663043,0.008338327218821781,0.008864118448219762,0.00917194301999586,0.008584962832162143,0.008670331252403478,0.008297772144257474,0.008433921992502015,0.00840875877315543,0.007490832917842179,0.008968405032908099,0.007757335421320712,0.008995317137259803,0.005226054683937012,0.008965982481908802,0.009345869138258621,0.00790865242063173,0.006794243326623941,0.009859924667149713,0.00850040381497432,0.008758187721532494,0.008936589738470425,0.009325297710384565,0.008514626162549475,0.007086723877221989,0.008762655522237067,0.009318795064137048,0.010143549843665072,0.00782795464070363,0.008710738513918046,0.008725601275886428,0.008840269906274848,0.0073188004628656446,0.007185196257542637,0.00838385839024576,0.00910209649066803,0.008923579929838613,0.007038159999644989,0.007623802756791869,0.009218680844747541,0.00793150657785359,0.007637551863065694,0.006314860540860047,0.008588650294770742,0.009339507780854848,0.008842569998619505,0.008431696324234492,0.009635728401402095,0.008958859096021662,0.008506906112285193,0.006001371425409718,0.009163565086314865,0.007048097825314114,0.0071910768229562156,0.0077185673063374155,0.008421752222556868,0.007155182783835255,0.007445444726749639,0.006907433837584695,0.008936568204039727,0.0067483364276623575,0.008531351666110128,0.007862108376431386,0.007020640321450928,0.009234151601330008,0.009674735095571796,0.009146054436127619,0.005872891664039614,0.00874295367488806,0.007068575180473839,0.005591636501442807,0.007578177729378559,0.00856157624640586,0.008484878599434717,0.007644763553187515,0.007707278528773571,0.007431132007024022,0.007137380246452785,0.008672204325601661,0.007370984569917441,0.00883030991351566,0.008771283244288573,0.00949566644981532,0.009055637850003403,0.008706609851992677,0.0061004825494582315,0.007278551067425748,0.008855638773386234,0.008807744008399654,0.007499094432341643,0.007872600499167949,0.008833044334178369,0.008828414324465381,0.00725103469520151,0.006275253862130782,0.008879206769762754,0.007114398553451746,0.007467027291700413,0.008596846597564451,0.006099437061108907,0.008730950204235963,0.008617363121984436,0.007041353333676315,0.007107712293343384,0.009121267168168752,0.008858479770518263,0.008464270604301093,0.0067364428710723545,0.009037309165309888,0.008559462991081433,0.00851431448775231,0.009553436072117385,0.007059049888883228,0.008041640952734167,0.007841303433123408
police officer and offender,0.011378694008966414,0.00906270788030001,0.007449909381637012,0.009471059311119797,0.008925944131545106,0.0,0.007839776416897253,0.008819107379827325,0.004864727505127086,0.008608551567687656,0.008952838375616255,0.010938885333827813,0.00972337608020171,0.007740254354167275,0.00995789477286325,0.00724649299180802,0.01069428668950176,0.009068045120159815,0.007966703786442987,0.01069662893202039,0.010000029475176336,0.010968784581634708,0.007018816827172755,0.007521669851123593,0.008323269835812098,0.009289819712428411,0.007823451674061494,0.009734714757287278,0.00844055612719148,0.00254631977277511,0.010262709916098182,0.008085189402233945,0.00814140173340859,0.00823506060915209,0.01018544685826904,0.009898368617856167,0.006235937985784319,0.011067882705502016,0.007636544381530953,0.01091252850524259,0.0079044352512868,0.010353639903811433,0.009079601379189981,0.007667279345884436,0.008750077148437826,0.010572538819356428,0.010822355128077632,0.0083847829648768,0.01029122680192325,0.010670474216757734,0.010149290983815756,0.0041160859921547345,0.01084945286810328,0.006324991104193258,0.010727529796623165,0.0082701927214395,0.011304242275846008,0.00901473792629835,0.011194086799193773,0.005974333965803227,0.008320162562673846,0.0078686863740922,0.0045486327922896535,0.009799972268369062,0.0095669720682849,0.010567894997470989,0.006789397166371685,0.010688675310233105,0.007927138699391071,0.011013692047077549,0.00764331369659953,0.008784811869515265,0.007997595599207876,0.010026612268478535,0.010080819838288377,0.010794835047538018,0.00805623707999108,0.008243199370010288,0.009959989371221223,0.0039295312941898565,0.010425208477737943,0.00860295110820693,0.007570904395619005,0.011460167907891563,0.00960573208145221,0.0086048873245559,0.00823356221439502,0.009233870672008246,0.0055422865448712805,0.011108261567152363,0.01067837637538849,0.003478856986162191,0.007558820119428381,0.01026421359962181,0.008473344071787582,0.009449305610154762,0.007149625029992245,0.008131286641511143,0.006682456000727962,0.010722342352460652,0.007775670735546922,0.007292063666047691,0.007881983584155807,0.007620390664580893,0.00818601463075569,0.009684247951888077,0.008347172159191377,0.007336546781099383,0.011282109382361736,0.006574539832718137,0.010572205423108591,0.008756033799216616,0.009631677394657203,0.008423157351951491,0.00926187344274448,0.009358000643047407,0.00917063122450956,0.007785551051880428,0.0074545835033359275,0.007269329812858173,0.007883198707247963,0.008619294022776615,0.007361606567764481,0.008617996551988708,0.010801779725305757,0.010132898873281934,0.00847165896406681,0.005759801047446483,0.009595854396555059,0.008210823447740377,0.008103935088138206,0.011202538627937688,0.010004330037497119,0.006962589372436871,0.005962794226641457,0.010665524694503494,0.011319372899415793,0.007273967645097942,0.00843343177635527,0.007664242532633458,0.007436134593507859,0.00807636210634257,0.010517882357249847,0.008738202126916228,0.010392525329042633,0.01115593473877846,0.008414271014116856,0.007005861595057734,0.011342428799098317,0.010503204974009786,0.009468177076574541,0.00848627159655995,0.0066521729442010295,0.010382690201311119,0.010457662860689247,0.006843612784120642,0.0073740306874811095,0.006463975332591531,0.009126542086832484
principal and teacher,0.010077460604587836,0.007140522705346962,0.00554136102625014,0.009097508946716038,0.006976406755881358,0.007839776416897253,0.0,0.005641420264095767,0.008357640259034656,0.006038145977032268,0.008264765777920189,0.00973444161843968,0.008774548087583519,0.006757006424761441,0.00868367587363575,0.005854835937123466,0.009460381718975189,0.008397363892870938,0.0070257254477205525,0.009066148895071138,0.008911203466976807,0.009675329155669129,0.008818136787535067,0.0049414447415028345,0.00543427869130617,0.008011712781980946,0.009062844921275591,0.008916884470551452,0.005763089783974678,0.007792499430998533,0.008913892579882735,0.007266612764364531,0.006643991953419613,0.00519320220822004,0.009094481515660384,0.008949106152258583,0.007874288417880492,0.009840735402732696,0.00641202283584957,0.009423159939385986,0.006564470071896003,0.00904273851660451,0.007218647603053332,0.004463714912967042,0.008596642379466548,0.00925081063733228,0.009173201498573789,0.009418386848159153,0.00925949676818553,0.009655785106384748,0.0085415232111822,0.0072672518620392245,0.00915234718595984,0.007603131037988163,0.009773917646798478,0.006615001348726789,0.009848342956966426,0.00708162941050606,0.009798544129117626,0.008445445030995362,0.007993245173919389,0.0066211048943605,0.00870652757020733,0.00980941888347189,0.008851113025658535,0.00905658180886604,0.008277473221067925,0.009866612352526042,0.007017892425580249,0.009648101157282303,0.009165391347240691,0.00930723877518759,0.007846691395081814,0.009095163362309306,0.008771465573019355,0.009190961934470464,0.006616237370427301,0.006246372293649763,0.008776708810949007,0.008110298497667425,0.009130390596529675,0.007672652324431526,0.005919987921509942,0.010134850560726346,0.00770660536569491,0.008286217254352482,0.006549946266562869,0.007573825652545359,0.008379926456081913,0.0097495047059358,0.009095247846661356,0.007678834961046991,0.009076914157702008,0.009396061516249032,0.0061516860775549945,0.009009309316729072,0.006182208840253832,0.0060532323206615194,0.005523596163091136,0.00914101455658478,0.004800431910921576,0.006701899682666231,0.006779037174699452,0.009110890978009826,0.0048975663804522555,0.008740337310696322,0.008370867328943219,0.0072705181569832885,0.009935038536677604,0.008698719418230078,0.009462486460193143,0.007010967983436145,0.009032319644701055,0.007141500880024719,0.007171365106275218,0.007937721563203501,0.008412187109694325,0.008672883148931075,0.005567782587683845,0.005730073887940653,0.007379186250759235,0.008097269133710096,0.00828701111775034,0.006920764489753011,0.010093484835153932,0.009549963467519521,0.009527942888156013,0.00827081229399868,0.008948936099421802,0.006576879865760782,0.006411683758807111,0.009766904739991806,0.00923639227309904,0.007771577807326946,0.007073931546274569,0.009624307235289512,0.009716455008231432,0.006603025497776033,0.006163571287586824,0.007534737969964801,0.0047089556771234735,0.006967602674267449,0.009270578059342026,0.00677366742119947,0.009383479348469392,0.009629205669912851,0.007176478828014637,0.0051437813915820065,0.009982311429899058,0.009095895698843845,0.008561701780123878,0.006640427343841015,0.008062579990322278,0.009486936970483235,0.00922914923006721,0.008341494605435144,0.005039420546060349,0.00798483875512835,0.007265270669077341
doctor and nurse,0.009412071910757379,0.005699702299314824,0.006396412809019179,0.008483800083400729,0.007131896126946798,0.008819107379827325,0.005641420264095767,0.0,0.009007804700024387,0.007052703042888409,0.008432991349912497,0.009295752155784504,0.007935132401123344,0.006851040407967826,0.0082671949142596,0.006292114348012463,0.008838635913685196,0.008412542941712372,0.007300947606942829,0.008796655075220023,0.008706704111468573,0.009449999157673984,0.009175142589347549,0.005751236379071779,0.006858824732756695,0.007238388569224522,0.009576054441117737,0.00879431611493409,0.006320851629704682,0.008806779846901583,0.008584901718994441,0.006543532416082098,0.006395343013141896,0.006823519322601814,0.008748588416815977,0.008611113450542234,0.008682174718631861,0.00942678602113192,0.006714795019168113,0.009086282416971332,0.006266204802423666,0.008604779330156489,0.006233055871964962,0.005896494298089257,0.008318596854957613,0.008793912369458475,0.009082122385593423,0.00939454531392096,0.009230376341901091,0.009195015323168307,0.008147001820481793,0.008086001153306686,0.008930690261208806,0.007502528099385855,0.009306374954493721,0.007238522391473256,0.009456689287797464,0.006249212365301082,0.009327997244954086,0.009280695167416756,0.007766873723419961,0.006432392803007308,0.009252597591586082,0.00983743253470457,0.008883988086909841,0.008698790664473825,0.008847460127518919,0.009018805155457213,0.007230732719967082,0.00926249902341259,0.009277752439200695,0.00937184301145487,0.008019045662874973,0.009213627023487915,0.008525688160242554,0.009176468492502367,0.006378241850036469,0.006806012421531722,0.008659278975632588,0.00856064059772403,0.008942730167186485,0.00712902182782401,0.007259387643432535,0.009605982486056456,0.007784335019196521,0.008348782307263786,0.0060521116649978396,0.007763595981582287,0.009319890027229584,0.009219157592772656,0.008874989110746244,0.008789957470299278,0.009619580516668063,0.008942543080476853,0.006746461431894797,0.008542879373861275,0.005772781874901657,0.0071157070614810344,0.00672743816484799,0.00854758275349217,0.006071254071604036,0.006888467438797492,0.006661842839851261,0.009395924559818494,0.006150357075522261,0.008066463451473684,0.008066998911028035,0.007882770979294367,0.009665060611378768,0.009003023534099997,0.00940309860638408,0.007181613139542806,0.008504843071901731,0.007128790462795301,0.006157419080331217,0.007566855062555992,0.007968061897114423,0.008907908668015963,0.006000618385787895,0.006228281125814405,0.007548468312936325,0.00771651173948348,0.008949559092084414,0.0074311211196282385,0.009631656990037487,0.008945531655085442,0.00901683850393476,0.00853400286489913,0.008477856678843945,0.006157928214100419,0.006341623015348555,0.009255344726959967,0.008969504587596431,0.007689399309691487,0.007985458825425692,0.009238572509002268,0.009576667029533218,0.0067508390931302256,0.0063552542920649,0.008341746496916725,0.005898829749608235,0.006598793022672764,0.009160039493414386,0.005377008734060974,0.008774290088356161,0.009271321686430151,0.007770415587905257,0.006344068482559721,0.00951379511339766,0.008710767616792365,0.008390401755452463,0.0067502863406178,0.008753759091380358,0.008875056432796612,0.009049941522378875,0.008685507651729332,0.005519574954571037,0.008864114748599711,0.006807105566710856
