Country Name,Edu_2018,Urban_2020,Wealth_2015
United States,88.2991790771484,82.664,38235.0641157152
United Kingdom,61.3828887939453,83.903,28939.5076621673
Germany,70.342643737793,77.453,21763.6604492666
France,67.5435180664063,80.975,19801.5641089997
Australia,107.808052062988,86.241,32460.4379153775
South Africa,23.8019599914551,67.354,3426.91543645924
India,28.0605506896973,34.926,947.424117678251
Chile,90.8963088989258,87.727,8611.44661523338
Mexico,41.5228004455566,80.731,6290.43767101872
Spain,91.1125717163086,80.81,15049.0482964189
Brazil,53.2573509216309,87.073,5637.85666932822
Portugal,65.6626586914063,66.31,12614.2676636361
"Egypt, Arab Rep.",38.9049491882324,42.783,2936.91552007415
Qatar,17.8699207305908,99.235,14051.5398320232
Russian Federation,84.5842514038086,74.754,5976.7508225357
Israel,61.4768714904785,92.587,19567.0444611191
Japan,64.1038436889648,91.782,19497.8271021974
China,50.6044387817383,61.428,3047.12653634647
"Hong Kong SAR, China",76.922233581543,100.0,28185.9746712752
