,Dim1,Dim2,cl_k3,cl_k6
wife and husband,2.1715572,0.59504724,0,1
nurse and patient,8.256186,7.2759156,1,4
officer and soldier,5.07762,3.8907895,2,0
neighbors,3.122618,2.133944,0,1
athletic trainer and trainee,8.321049,7.0375037,1,4
police officer and offender,1.8616003,5.1660113,2,2
principal and teacher,4.9895687,4.834341,2,5
doctor and nurse,3.023156,3.0015264,0,1
victim and criminal,1.70624,5.0910325,2,2
coach and athlete,8.25273,7.114594,1,4
man and god,7.2258615,4.2602434,1,0
half siblings,7.3551664,5.076569,1,0
parent and teenager,7.3313155,4.831281,1,0
prostitute and customer,4.02783,5.3943377,2,5
church members,3.297354,2.0125334,0,1
foreman and laborer,5.020945,7.017649,1,5
a person and their family friends,5.237301,2.265823,0,3
a person and their social media follower,4.4027753,5.603913,2,5
guide and tourist,5.141704,4.973016,2,5
bride and bridesmaid,5.5349784,2.7255201,0,3
teammates in sports,8.348784,6.973966,1,4
twins,6.627783,4.0526814,1,0
celebrity and haters,1.8722409,5.0884447,2,2
employer and employee,6.526916,7.5409565,1,4
teacher and student,8.029159,6.8656,1,4
guest and host,4.579033,5.2622175,2,5
man wife and man mistress,4.525716,6.501036,2,5
religious followers,5.541863,4.073436,2,0
intern and employee,7.9967027,7.2796087,1,4
criminal and police officer,1.7606648,5.0250816,2,2
step grandparent and step grandchild,7.8708434,6.6587625,1,4
chef and customer,4.3195343,5.636311,2,5
union leader and union member,5.397049,3.9931755,2,0
professor and graduate student,8.073688,6.9139614,1,4
second cousins,4.4605,1.7100152,0,3
fans of the same sports team,3.8226547,1.8133934,0,3
master and servant,1.7747645,4.126027,2,2
siblings,7.359559,4.818697,1,0
landlord and housekeeper,5.051185,7.0308223,1,5
close friends,5.3959346,2.4842448,0,3
entrepreneur and investor,6.1338735,7.364294,1,4
fraternity brothers,2.801252,1.618428,0,1
psychologist and client,8.215855,7.136641,1,4
chief and deputy,6.500351,7.58808,1,4
sugar daddy and sugar baby,1.8704098,3.8927531,2,2
uncle and niece/nephew,4.8727565,2.0844467,0,3
childhood friends,5.4590974,2.6765532,0,3
ex lovers,1.9472007,3.7360005,2,2
man and his mistress,2.662996,1.3179162,0,1
step siblings,7.303866,4.955949,1,0
confidants,7.087444,4.878576,1,0
parole officer and parolee,5.2926345,7.206348,1,5
grandparent and grandchild,7.159501,4.2430463,1,0
judge and contestant,2.8905447,2.8059466,0,1
romantic lovers,2.2058256,0.6738303,0,1
researcher and research subject,7.9330792,7.368334,1,4
brother and sister,7.3651834,4.77152,1,0
therapist and patient,5.775361,4.631567,1,0
parent and infant,7.125422,4.2054377,1,0
slave and master,1.587448,4.8164735,2,2
reader and writer,3.1591032,2.8525653,0,1
representative and citizen,6.6305733,6.0400767,1,4
criminal and hostage,1.6177015,4.548972,2,2
ancestor and descendant,4.6926975,1.9592141,0,3
peers,3.6126044,1.8302735,0,1
groom and groomsman,5.4720864,2.8326359,0,3
opposing negotiators,2.118319,3.4259453,0,2
adoptive parents and adopted kids,7.2927003,4.4662194,1,0
driver and passenger,4.8099036,5.0989003,2,5
a person and their significant other,2.365463,0.7796763,0,1
romantic rivals,4.6366534,6.643685,2,5
strangers,2.3229272,3.05966,0,2
predecessor and successor,7.651534,6.882126,1,4
a person and their crush,2.6852477,1.4181374,0,1
brothers in arms,5.4966574,2.9087043,0,3
playmates,7.592516,5.6565127,1,4
volunteer and organizer,2.6664815,2.5733337,0,1
a monarch and their minister,5.3537054,4.3459272,2,0
roommates,4.3334665,1.8878748,0,3
criminal and prosecutor,1.5799476,4.7991276,2,2
friends,5.2164,2.2595963,0,3
television host and guest,2.6101239,2.7831745,0,1
university student and administrator,4.761691,5.096144,2,5
life partners,2.1079748,0.47948268,0,1
political allies,2.7317095,2.0551383,0,1
criminal and their accomplice,4.738868,1.9058288,0,3
consultant and client,5.07471,4.0040474,2,0
diplomats,2.809718,2.1342154,0,1
bully and victim,1.7154542,5.0783615,2,2
close relatives,5.201376,2.2771246,0,3
godparent and godchild,4.9033093,2.1683125,0,3
guard and prisoner,1.803923,5.1466093,2,2
fans of opposing sports teams,1.8065666,4.080726,2,2
pen friends,4.1690426,2.0254521,0,3
mentor and mentee,7.9271584,7.097087,1,4
casual acquaintances,3.3351536,2.0286438,0,1
judge and lawyer,4.7119937,5.0432496,2,5
student and dorm resident assistant,6.7166777,7.4229774,1,4
superior and subordinate,6.387648,7.5959024,1,4
step parent and step child,5.9676566,4.6929417,1,0
boss and secretary,4.485979,6.1075163,2,5
dealer and buyer,4.0539026,5.4663124,2,5
salesperson and customer,4.2879367,5.677379,2,5
sports rivals,2.0330079,3.5888333,2,2
professor and teaching assistant,2.3994837,1.9292556,0,1
cohabitants,4.3356037,1.9392264,0,3
celebrity and fans,5.9432592,7.3964686,1,4
athlete and referee,5.9859104,7.4780087,1,4
soul mates,2.1659954,0.55824083,0,1
enemies,1.5904803,4.783829,2,2
long distance lovers,2.462213,0.97403175,0,1
team captain and team members,5.3175287,3.709269,2,0
alumni,3.9264102,1.9171823,0,3
politician and supporter,6.660037,5.989591,1,4
patient and caretaker,8.187955,7.2543597,1,4
babysitter and infant,5.3928585,3.937253,2,0
co workers,3.0675786,2.0771372,0,1
competitors in sports,2.6519523,2.4415731,0,1
manager and staff,6.4217515,7.5671806,1,4
interviewer and job applicant,2.2623188,3.2536476,0,2
reviewer and writer,7.9482336,6.8113017,1,4
performer and audience,5.2433324,7.1558776,1,5
frenemies,4.366108,5.8633037,2,5
religious leader and congregant,6.5578623,6.1222286,1,4
a person and their deceased spouse,2.2119372,0.6391455,0,1
distant relatives,4.109796,1.9605806,0,3
divorced spouses,1.9466236,3.743189,2,2
defendant and plaintiff,1.8268275,4.974148,2,2
a person and their in laws,4.726411,1.8979598,0,3
lawyer and client,5.664464,4.558748,1,0
customer and businessman,4.316298,5.5596104,2,5
fiance and fiancee,2.2668228,0.6381697,0,1
facebook friends,3.91766,2.1708844,0,3
drug dealer and addict,3.8541393,5.4948483,2,5
police officer and civilian,6.132238,7.5149,1,4
cousins,7.399997,5.1291766,1,0
mother and infant,7.1193666,4.192389,1,0
landlord and tenant,5.0882707,7.0599546,1,5
director and performer,8.251969,7.210613,1,4
native and tourist,4.5567427,5.266113,2,5
owner and manager,6.4624543,7.5889006,1,4
customer and server,2.3329422,3.0714302,0,2
companions,7.617605,5.7309794,1,4
doctor and patient,5.743467,4.915475,1,0
aunt and niece/nephew,4.931082,2.1229541,0,3
parent and child,7.257727,4.3572845,1,0
leader and follower,7.795265,7.2237945,1,4
supervisor and subordinate,5.2212906,7.1548843,1,5
bride and groom,2.2366254,0.59214455,0,1
sorority sisters,2.7042482,1.7677563,0,1
classmates,3.5421677,1.8959578,0,1
club member and club president,7.87273,6.661042,1,4
political opponents,4.660319,6.6578107,2,5
friends with benefits,2.6079845,1.4104288,0,1
foster parent and foster child,7.1574316,4.2769685,1,0
business rivals,2.5177581,2.5965478,0,1
manager and assistant,4.3560452,5.5654535,2,5
victim and witness,6.6484632,5.994992,1,4
business partners,2.6484404,1.990619,0,1
