,Dim1,Dim2,cl_k3,cl_k6
customer and server,3.0234432,4.434955,1,2
companions,-3.635106,4.1154623,0,1
doctor and patient,-4.0718865,3.5284429,0,1
aunt and niece/nephew,-2.7366793,5.635284,0,1
parent and child,-2.8008199,5.337633,0,1
leader and follower,-0.36711675,0.50014347,0,3
supervisor and subordinate,-0.44564152,0.45647275,0,3
bride and groom,-3.4396203,4.2370067,0,1
sorority sisters,5.949174,8.905009,1,5
classmates,5.8394237,8.8276615,1,5
club member and club president,-0.56520885,1.4401083,0,3
political opponents,9.666572,1.9739804,2,0
friends with benefits,-3.6943407,4.033937,0,1
foster parent and foster child,-3.2763858,4.562516,0,1
business rivals,9.758541,1.8432974,2,0
manager and assistant,-0.2724576,-5.321648,0,4
victim and witness,-2.3586714,5.3600793,0,1
business partners,5.8176007,8.927021,1,5
