,Dim1,Dim2,cl_k3,cl_k6
wife and husband,1.8532022,0.7648315,0,4
nurse and patient,7.5093536,-0.7179776,1,5
officer and soldier,8.946255,2.6676862,1,1
neighbors,4.3932,-0.17600746,0,0
athletic trainer and trainee,6.834211,-0.73411685,1,5
police officer and offender,0.45961046,3.929879,2,2
principal and teacher,9.855107,1.4888457,1,1
doctor and nurse,9.317389,1.2023258,1,1
victim and criminal,0.6164003,4.285519,2,2
coach and athlete,7.1954274,-0.19600768,1,5
man and god,2.5905628,1.1234952,0,4
half siblings,4.978403,-0.11999557,0,0
parent and teenager,2.9246094,1.0383748,0,4
prostitute and customer,7.782148,0.42826965,1,3
church members,5.708974,-0.02892131,0,5
foreman and laborer,8.894217,1.3140831,1,1
a person and their family friends,4.6843987,0.16549751,0,0
a person and their social media follower,8.641937,0.3851254,1,3
guide and tourist,8.053401,1.3731897,1,3
bride and bridesmaid,3.1090004,0.2108936,0,0
teammates in sports,8.328342,-0.027824787,1,3
twins,1.3018885,1.7151755,2,4
celebrity and haters,1.0869781,4.0252104,2,2
employer and employee,9.629156,1.3229487,1,1
teacher and student,7.1980042,-0.15358065,1,5
guest and host,6.813701,0.21451479,1,5
man wife and man mistress,0.8430635,3.545445,2,2
religious followers,8.632468,2.3613248,1,1
intern and employee,9.877132,1.4562082,1,1
criminal and police officer,0.62206316,3.7411532,2,2
step grandparent and step grandchild,8.333627,0.8247899,1,3
chef and customer,7.8713975,0.8324423,1,3
union leader and union member,8.542184,1.6941726,1,1
professor and graduate student,7.311278,0.2956141,1,5
second cousins,4.519691,0.2881339,0,0
fans of the same sports team,3.4479578,0.6370535,0,0
master and servant,0.15121186,4.366841,2,2
siblings,2.1489453,0.7202348,0,4
landlord and housekeeper,9.518553,1.6335238,1,1
close friends,2.3148348,0.38380638,0,4
entrepreneur and investor,9.005472,1.5327313,1,1
fraternity brothers,2.6749728,0.31063375,0,4
psychologist and client,7.3774285,-0.782441,1,5
chief and deputy,9.141852,2.3142185,1,1
sugar daddy and sugar baby,7.780067,0.43837675,1,3
uncle and niece/nephew,2.116831,1.187089,0,4
childhood friends,2.8952477,0.16480099,0,0
ex lovers,0.80167943,3.6240747,2,2
man and his mistress,1.3093958,2.3989112,2,4
step siblings,4.8038335,-0.15932564,0,0
confidants,4.1973977,-0.31482172,0,0
parole officer and parolee,0.26981395,4.298714,2,2
grandparent and grandchild,2.0770626,1.2663502,0,4
judge and contestant,7.948975,0.5052864,1,3
romantic lovers,1.4137129,1.540061,0,4
researcher and research subject,8.218007,1.9506171,1,1
brother and sister,1.7148225,1.4935346,0,4
therapist and patient,7.273458,-0.72900146,1,5
