,Dim1,Dim2,cl_k3,cl_k6
wife and husband,6.6848803,7.8978996,1,4
nurse and patient,-0.86520964,3.68792,2,2
officer and soldier,-0.22235242,6.055637,0,1
neighbors,3.1360872,7.5405207,0,3
athletic trainer and trainee,-0.28978074,3.7357233,2,2
police officer and offender,0.06049164,6.441595,0,1
principal and teacher,-0.4849682,5.2508483,2,1
doctor and nurse,-0.42392588,5.096122,2,1
victim and criminal,-0.27398673,7.0762715,0,5
coach and athlete,-0.35019347,4.17468,2,2
man and god,4.4564385,5.7517896,1,0
half siblings,1.0961082,2.492424,2,2
parent and teenager,7.137235,6.6759295,1,4
prostitute and customer,-0.6676532,3.566139,2,2
church members,0.88918865,2.4238625,2,2
foreman and laborer,-0.20522271,6.2794356,0,1
a person and their family friends,6.4747424,5.8320627,1,0
a person and their social media follower,4.378013,5.8796053,1,0
guide and tourist,0.6594959,3.0977716,2,2
bride and bridesmaid,3.4824266,7.2446914,0,3
teammates in sports,3.6436715,6.569391,1,3
twins,6.046363,7.4393787,1,4
celebrity and haters,0.09897858,8.266213,0,5
employer and employee,-0.51220345,5.775213,2,1
teacher and student,0.06548447,3.5340297,2,2
guest and host,5.2621603,6.220735,1,0
man wife and man mistress,5.9974275,8.107197,1,4
religious followers,4.672349,5.6043644,1,0
intern and employee,-0.5774335,5.355701,2,1
criminal and police officer,-0.38798028,6.4733024,0,1
step grandparent and step grandchild,6.304882,5.9546576,1,0
chef and customer,0.75667757,7.1911755,0,5
union leader and union member,0.547389,3.1694894,2,2
professor and graduate student,-0.47157916,4.3572617,2,2
second cousins,6.1179295,5.7662063,1,0
fans of the same sports team,3.1923573,7.054264,0,3
master and servant,-0.16307437,5.636724,2,1
siblings,6.0539765,6.9017463,1,4
landlord and housekeeper,0.3551043,6.22117,0,1
close friends,3.4345543,7.5904255,0,3
entrepreneur and investor,1.7541627,7.408066,0,3
fraternity brothers,3.3203626,7.7510877,0,3
psychologist and client,-0.7732338,3.7915034,2,2
chief and deputy,0.16039349,5.8115587,0,1
sugar daddy and sugar baby,5.872284,8.168853,1,4
uncle and niece/nephew,6.6381006,6.034877,1,0
childhood friends,6.408877,6.4455967,1,4
ex lovers,5.3012505,7.921341,1,4
man and his mistress,5.796254,8.1960335,1,4
step siblings,7.301088,6.8366423,1,4
confidants,6.1815763,7.2230144,1,4
parole officer and parolee,-0.052812368,6.2056117,0,1
grandparent and grandchild,7.3141127,6.67238,1,4
judge and contestant,5.2491107,5.8785906,1,0
romantic lovers,6.1679688,7.9395313,1,4
researcher and research subject,-0.35698912,4.2909493,2,2
brother and sister,6.033606,6.8955975,1,4
therapist and patient,-0.8927384,3.756869,2,2
parent and infant,7.0141273,6.9684176,1,4
slave and master,-0.3397713,5.629347,2,1
reader and writer,0.7969631,2.9183862,2,2
representative and citizen,0.15741292,3.7104468,2,2
criminal and hostage,-0.11180064,6.9079084,0,5
ancestor and descendant,6.832541,6.927373,1,4
peers,3.0370185,7.743155,0,3
groom and groomsman,3.5795577,7.648491,0,3
opposing negotiators,0.15276927,8.077999,0,5
