,0
0,Employers and Employees
1,Salespersons and Customers
2,Owners and Managers
3,Chiefs and Deputies
4,Supervisors and Subordinates
5,Bosses and Secretaries
6,Managers and Assistants
7,Lawyers and Clients
8,Prostitutes and Customers
9,Dealers and Buyers
10,Party A-Party B (in Contract)
11,Managers - Investors
12,Investor-Entrepreneur
13,Gang Member-Rival Gang Member
14,"Republic, democratic"
