,Race_alternative
Latino,7
Latina,4
latina,4
latino,3
Latinoamericano,2
"Criollo, ascendencia espa?ola",1
Latin ,1
Asiatico y hispanico,1
Ninguna raza en particular,1
Latina ,1
Mitad asiatico mitad hispanico,1
