,exp,imp,imp_5c,imp_6c,dim_pca_3k,dim_umap
0,0.28290709386439766,0.29823617866772956,0.35369333052896584,0.2640627893618046,0.6772955362482456,0.645516256164927
1,0.37312334785828366,0.1704495688609744,0.17418731160241913,0.12859617903648293,0.6687937035900138,0.5127163525553124
2,0.4291903756704159,0.39648988377876265,0.4505674034418636,0.3668628895509278,0.810915458821223,0.6858407746448514
3,0.3408412860037931,0.3147877704134511,0.29516680436627585,0.24784177177658884,0.6832862483922342,0.6224655255007542
4,0.21206600563503297,0.2289927507611674,0.3385327340757585,0.31235847593104027,0.7744043980017998,0.6098233881909445
5,0.3435365674907564,0.13597980431821727,0.35642738787511197,0.322345431870668,0.6456927232858475,0.5155181769889787
6,0.44100588307164357,0.1854586065793642,0.22493815114962198,0.17244279465189583,0.7126735744273814,0.6467019542752999
7,0.3285169288344786,0.2537107057812363,0.20887867840365196,0.1919476245623719,0.4120815487426213,0.636091405194972
8,0.42890451385405565,0.5246801675907398,0.4006908406848333,0.3565326388241017,0.8102661618270887,0.609203412280196
9,0.31300119054194436,0.23170264214715025,0.26373704607132925,0.2510526776384492,0.7451076694058946,0.6139566533022307
10,0.320842768942739,0.2800387949926317,0.374877430425301,0.37995005040184887,0.7699014967544248,0.6794710725554606
11,0.3839354346328296,0.36294877804378933,0.36231638253852055,0.3799043531011186,0.6184243935840861,0.5262112739182983
12,0.3473557155791026,0.3036161514619148,0.33627907458550316,0.2885135197762622,0.7461794195627348,0.6242682167610569
13,0.3900407903128996,0.5030688084987341,0.37383779723636024,0.3448546857827742,0.19216417569103839,0.6801278265863399
