sub_id,exp,imp,dim_pca_3k,dim_umap
sub-301,0.28290709386439766,0.29823617866772956,0.6772955362482456,0.645516256164927
sub-693,0.37312334785828366,0.1704495688609744,0.6687937035900138,0.5127163525553124
sub-700,0.4291903756704159,0.39648988377876265,0.810915458821223,0.6858407746448514
sub-701,0.3408412860037931,0.3147877704134511,0.6832862483922342,0.6224655255007542
sub-706,0.21206600563503297,0.2289927507611674,0.7744043980017998,0.6098233881909445
sub-716,0.3435365674907564,0.13597980431821727,0.6456927232858475,0.5155181769889787
sub-720,0.44100588307164357,0.1854586065793642,0.7126735744273814,0.6467019542752999
sub-722,0.3285169288344786,0.2537107057812363,0.4120815487426213,0.636091405194972
sub-754,0.42890451385405565,0.5246801675907398,0.8102661618270887,0.609203412280196
sub-759,0.31300119054194436,0.23170264214715025,0.7451076694058946,0.6139566533022307
sub-762,0.320842768942739,0.2800387949926317,0.7699014967544248,0.6794710725554606
sub-765,0.3839354346328296,0.36294877804378933,0.6184243935840861,0.5262112739182983
sub-766,0.3473557155791026,0.3036161514619148,0.7461794195627348,0.6242682167610569
sub-767,0.3900407903128996,0.5030688084987341,0.19216417569103839,0.6801278265863399
