,"Father, mother, child","Husband, wife, in-law","Parents, firstborn, secondborn",Trio of friends,The three individuals in a love triangle,"Doctor, nurse, patient","Writer, editor, reader","Tourist, tour guide, native","Landlord, tenant, real estate agent","Lawyer, litigant, judge","Middleman, seller, buyer","Plaintiff, defendant, mediator","Therapist, patient's family, mental patient","employee, employer, client","supplier, retailer, consumer","Manager, employee, union representative","Teacher, student, parent","Volunteers, organizers, service recipients","Parents, children, grandparents","Director, screenwriter, actor","Lawyers, prosecutors, judges","Guests, moderators, audience"
Concreteness,18.272727272727273,29.666666666666668,38.72727272727273,22.9,17.5,80.63636363636364,57.3,73.125,84.1,76.44444444444444,80.625,72.0,71.72727272727273,62.2,91.66666666666667,92.0,61.666666666666664,57.36363636363637,61.36363636363637,48.111111111111114,19.666666666666668,54.90909090909091
Uniqueness,96.45454545454545,77.22222222222223,83.27272727272727,73.2,74.6,38.36363636363637,22.1,11.375,13.1,26.444444444444443,45.625,13.090909090909092,34.0,20.0,11.0,18.2,39.22222222222222,48.63636363636363,25.727272727272727,16.555555555555557,94.66666666666667,27.09090909090909
Love Expression,95.9090909090909,91.33333333333333,91.9090909090909,89.7,82.9,51.36363636363637,50.5,18.5,14.6,19.77777777777778,25.75,20.363636363636363,15.545454545454545,41.1,11.0,13.3,21.88888888888889,68.45454545454545,31.636363636363637,19.77777777777778,96.16666666666667,70.63636363636364
Information Exchange,70.9090909090909,89.22222222222223,90.9090909090909,81.4,50.8,71.18181818181819,78.4,81.125,77.9,85.11111111111111,81.0,67.45454545454545,76.72727272727273,86.7,79.44444444444444,58.9,58.44444444444444,76.63636363636364,81.81818181818181,58.666666666666664,80.0,64.54545454545455
Money Exchange,11.181818181818182,9.666666666666666,19.272727272727273,6.3,17.0,67.54545454545455,71.3,86.25,94.3,77.11111111111111,78.25,93.0,72.0909090909091,65.7,92.77777777777777,95.8,74.66666666666667,26.545454545454547,49.09090909090909,64.55555555555556,21.333333333333332,22.90909090909091
Goods Exchange,12.363636363636363,10.88888888888889,24.272727272727273,8.1,21.4,38.72727272727273,63.7,69.375,85.1,26.555555555555557,59.25,83.72727272727273,20.181818181818183,46.2,61.22222222222222,95.6,65.55555555555556,25.454545454545453,34.63636363636363,58.55555555555556,13.75,36.0
Service Exchange,20.363636363636363,19.0,23.0,5.1,27.0,73.45454545454545,78.0,86.75,93.1,70.33333333333333,66.125,77.18181818181819,83.54545454545455,75.3,80.44444444444444,83.9,67.11111111111111,58.0,66.72727272727273,83.66666666666667,16.0,86.18181818181819
Attachment,95.63636363636364,90.66666666666667,93.36363636363636,90.8,67.8,41.81818181818182,41.3,29.75,12.1,24.444444444444443,61.375,28.545454545454547,17.454545454545453,48.1,14.666666666666666,12.3,37.888888888888886,48.36363636363637,25.454545454545453,23.555555555555557,93.66666666666667,51.45454545454545
Mating,96.36363636363636,90.0,83.81818181818181,14.4,68.2,27.818181818181817,10.2,9.0,5.2,15.666666666666666,22.0,5.818181818181818,15.0,22.4,9.333333333333334,3.6,13.11111111111111,26.636363636363637,10.545454545454545,4.222222222222222,85.25,8.0
Conflict,23.636363636363637,31.333333333333332,21.0,3.3,93.8,45.72727272727273,25.8,15.125,44.7,60.888888888888886,38.625,50.72727272727273,82.18181818181819,15.6,46.55555555555556,45.3,55.111111111111114,35.36363636363637,40.09090909090909,20.555555555555557,18.25,12.545454545454545
Negotiation,62.09090909090909,34.888888888888886,52.09090909090909,85.6,41.8,69.54545454545455,58.5,80.75,88.2,68.77777777777777,63.5,63.63636363636363,73.81818181818181,72.7,67.0,83.9,60.666666666666664,65.54545454545455,69.36363636363636,62.333333333333336,49.916666666666664,60.36363636363637
Coercion,15.0,13.88888888888889,13.636363636363637,3.0,51.6,29.181818181818183,16.5,17.0,11.3,29.444444444444443,41.0,31.09090909090909,36.18181818181818,4.9,23.555555555555557,16.8,52.44444444444444,18.363636363636363,25.727272727272727,18.22222222222222,13.583333333333334,15.636363636363637
Importance for society,76.36363636363636,64.0,66.18181818181819,45.5,6.9,83.18181818181819,68.7,64.5,64.5,85.55555555555556,66.875,68.18181818181819,64.0909090909091,77.8,81.66666666666667,79.9,77.88888888888889,81.45454545454545,90.9090909090909,51.22222222222222,71.0,84.63636363636364
Importance for individuals,94.27272727272727,95.22222222222223,93.27272727272727,91.1,77.2,74.63636363636364,51.1,38.125,42.2,51.77777777777778,49.125,51.09090909090909,46.18181818181818,72.4,39.44444444444444,37.6,57.55555555555556,66.45454545454545,62.45454545454545,24.88888888888889,95.66666666666667,57.0
Affiliation Coalition,80.18181818181819,86.0,87.54545454545455,95.0,16.5,67.63636363636364,59.6,66.75,49.8,40.44444444444444,80.625,25.90909090909091,15.454545454545455,62.2,73.44444444444444,63.1,58.77777777777778,65.72727272727273,58.90909090909091,43.55555555555556,87.5,77.81818181818181
Occupational,6.181818181818182,7.444444444444445,16.09090909090909,7.5,11.4,86.27272727272727,69.9,85.375,81.5,88.88888888888889,85.25,71.54545454545455,78.45454545454545,85.2,94.22222222222223,90.2,82.22222222222223,77.0,89.36363636363636,84.44444444444444,15.416666666666666,57.0
Activeness,65.18181818181819,86.44444444444444,82.9090909090909,94.8,57.9,60.72727272727273,76.1,70.75,78.6,30.444444444444443,45.25,59.36363636363637,46.09090909090909,64.7,61.888888888888886,62.1,53.0,70.27272727272727,60.0,64.88888888888889,86.66666666666667,65.36363636363636
Endurance,95.18181818181819,91.11111111111111,94.63636363636364,88.2,53.3,35.54545454545455,59.2,16.125,14.7,19.666666666666668,32.875,28.181818181818183,18.09090909090909,23.6,52.44444444444444,27.2,54.22222222222222,56.09090909090909,35.0,12.444444444444445,96.5,29.454545454545453
Synchronicity,73.45454545454545,62.22222222222222,51.36363636363637,76.7,67.2,76.36363636363636,24.1,68.75,57.9,78.33333333333333,75.0,54.54545454545455,91.72727272727273,83.4,64.33333333333333,42.0,62.333333333333336,60.45454545454545,75.27272727272727,69.77777777777777,45.166666666666664,81.27272727272727
Spatial Distance,93.36363636363636,90.66666666666667,93.45454545454545,93.1,66.7,69.63636363636364,49.4,45.375,36.0,42.0,73.5,48.54545454545455,58.18181818181818,70.7,52.888888888888886,18.3,53.22222222222222,68.63636363636364,52.72727272727273,31.555555555555557,92.0,70.27272727272727
Morality,87.54545454545455,80.11111111111111,91.45454545454545,86.5,30.5,84.27272727272727,73.6,75.375,73.6,84.22222222222223,72.0,61.36363636363637,62.09090909090909,85.0,69.11111111111111,64.6,55.55555555555556,84.9090909090909,83.72727272727273,70.88888888888889,92.75,93.72727272727273
Trust,93.63636363636364,90.77777777777777,93.0,93.0,39.8,79.9090909090909,68.8,68.25,60.3,63.333333333333336,68.625,49.09090909090909,45.45454545454545,84.7,69.33333333333333,48.4,50.0,77.72727272727273,71.18181818181819,59.333333333333336,95.41666666666667,81.18181818181819
Generation Gap,87.81818181818181,83.55555555555556,81.63636363636364,3.5,7.0,45.63636363636363,32.6,47.5,27.3,49.55555555555556,56.625,27.09090909090909,22.90909090909091,41.6,54.22222222222222,21.0,51.888888888888886,72.45454545454545,28.454545454545453,29.333333333333332,93.91666666666667,28.272727272727273
