,"Father, mother, child","Husband, wife, in-law","Parents, firstborn, secondborn",Trio of friends,The three individuals in a love triangle,"Doctor, nurse, patient","Writer, editor, reader","Tourist, tour guide, native","Landlord, tenant, real estate agent","Lawyer, litigant, judge","Middleman, seller, buyer","Plaintiff, defendant, mediator","Therapist, patient's family, mental patient","employee, employer, client","supplier, retailer, consumer","Manager, employee, union representative","Teacher, student, parent","Volunteers, organizers, service recipients","Parents, children, grandparents","Director, screenwriter, actor","Lawyers, prosecutors, judges","Guests, moderators, audience"
Valence Evaluation,81.0909090909091,90.44444444444444,91.72727272727273,95.9,35.7,79.9090909090909,82.8,80.625,71.1,60.77777777777778,75.125,54.81818181818182,32.27272727272727,90.8,73.55555555555556,72.2,53.666666666666664,79.72727272727273,70.45454545454545,81.22222222222223,88.0,84.27272727272727
Equality,44.63636363636363,75.0,74.54545454545455,92.6,81.1,68.0909090909091,65.8,57.25,53.6,32.888888888888886,24.125,55.0,44.90909090909091,71.1,12.555555555555555,71.9,14.555555555555555,57.36363636363637,51.45454545454545,33.111111111111114,74.0,65.45454545454545
Activity Intensity,94.27272727272727,93.11111111111111,91.54545454545455,91.0,81.5,40.09090909090909,65.6,29.0,27.2,35.0,51.25,27.363636363636363,38.45454545454545,50.9,41.44444444444444,18.2,38.888888888888886,60.90909090909091,46.54545454545455,18.444444444444443,90.75,55.63636363636363
Socioemotional,88.27272727272727,83.88888888888889,82.54545454545455,88.4,86.2,37.45454545454545,49.9,20.25,18.0,31.77777777777778,26.375,17.636363636363637,19.727272727272727,46.2,11.777777777777779,16.2,21.333333333333332,57.0,33.63636363636363,17.444444444444443,94.41666666666667,59.45454545454545
Formality and Regulation,11.181818181818182,45.111111111111114,22.727272727272727,22.5,11.2,85.0909090909091,66.8,64.5,93.4,87.55555555555556,72.875,72.27272727272727,93.18181818181819,70.9,93.0,86.6,74.44444444444444,72.36363636363636,91.0,90.33333333333333,30.5,65.45454545454545
Intimacy,93.45454545454545,91.22222222222223,92.9090909090909,90.0,67.5,45.36363636363637,45.3,36.0,17.0,24.11111111111111,36.625,21.09090909090909,13.818181818181818,45.2,26.88888888888889,13.4,36.888888888888886,51.54545454545455,39.27272727272727,22.666666666666668,93.5,48.63636363636363
Visibility,40.45454545454545,57.111111111111114,52.0,39.9,9.1,76.63636363636364,73.2,86.5,78.0,87.66666666666667,75.125,58.0,87.18181818181819,40.5,87.66666666666667,80.5,74.77777777777777,82.81818181818181,85.81818181818181,93.44444444444444,42.833333333333336,88.9090909090909
Communal Sharing,91.72727272727273,89.55555555555556,90.18181818181819,91.7,73.5,36.54545454545455,28.8,28.875,13.2,34.0,35.875,18.363636363636363,17.545454545454547,31.4,11.555555555555555,6.7,31.555555555555557,44.36363636363637,47.0,14.333333333333334,90.91666666666667,68.27272727272727
Expected Reciprocity,12.272727272727273,26.11111111111111,23.818181818181817,36.8,24.6,57.45454545454545,63.5,67.75,93.0,59.666666666666664,79.375,81.9090909090909,46.36363636363637,62.8,93.0,68.3,68.88888888888889,68.45454545454545,63.0,68.33333333333333,33.916666666666664,38.45454545454545
Strategic,10.181818181818182,19.88888888888889,16.0,15.5,37.3,56.09090909090909,60.8,85.625,88.6,92.22222222222223,78.25,89.72727272727273,90.0909090909091,59.6,87.66666666666667,90.2,76.88888888888889,40.54545454545455,74.45454545454545,76.33333333333333,19.166666666666668,35.0
