"","modern","ancient"
"Wish_1976_model",0.514249455117107,0.400584739970218
"Triandis_1968_model",0.418691655539174,0.369154083262726
"Marwell_1970_model",0.494105023601548,0.395090834667484
"Osgood_1957_model",0.386121841208746,0.30600425353118
"Fiske_1992_model",0.443593591415864,0.348793095366672
"Clark_2011_model",0.38661491195542,0.321932927943666
"Carpendale_2004_model",0.229075177969257,0.184335689869539
"Foa_2012_model",0.267415033639333,0.237624273168489
"Bugental_2000_model",0.451613427450754,0.379488156494282
"Goffman_1959_model",0.31218183760416,0.261258031757757
"Hamilton_1981_model",0.281178858422779,0.199684088954487
"Burton_1975_model",0.479029776131954,0.319921311094767
"Montgomery_1988_model",0.418691655539174,0.369154083262726
"Rands_1979_model",0.407901857051888,0.29069472287698
"Weiss_1998_model",0.293821444155478,0.287341685047721
"FAVEE_model",0.516214772932794,0.4166957289608
