,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Valence Evaluation,71,42,60,59,45,74,42,68,73,36,74,82,35,76,8,7,4,14,35,69,44,86,77,59,59,83,77,63,71,79,89,78,75,46,85,45,57,47,79,96,67,6,15,43,28,57,67,68,40,89,82,77,37,93,58,66,41,61,81,78,78,66,81,69,9,82,87,85,94,83,90,74,71,13,46,64,87,38,46,92,34,80,77,61,91,76,75,81,82,81,85,76,24,16,68,26,32,37,78,76,83,90,80,88,83,81,83,74,85,77,33,85,61,80,20,11,87,87,85,6,0,92,85,77,85,77,85,83,87,72,81,76,88,94,2,62,94,80,88,94,20,51,62,79,76,37,74,77,42,84,85,97,90,89,7,76,84,87,83
Equality,10,7,90,84,75,46,46,13,10,3,31,47,54,80,73,72,84,100,20,5,1,98,78,71,58,22,20,42,42,98,78,67,68,95,64,3,8,13,20,35,52,5,10,38,37,9,69,60,45,76,5,47,16,49,21,30,74,14,93,46,22,57,60,53,8,49,75,86,48,91,95,72,79,76,1,7,85,8,17,99,65,84,88,79,13,46,31,8,7,26,31,30,31,8,86,8,77,18,85,61,26,9,40,14,21,21,47,18,24,14,44,21,72,40,69,0,61,83,93,91,100,90,81,34,40,18,71,80,83,35,76,77,40,6,23,59,88,95,76,98,82,86,79,85,45,97,74,7,5,84,80,41,86,77,87,45,84,97,75
Activity Intensity,85,77,85,77,69,77,45,18,17,30,46,60,5,60,7,72,24,100,57,15,77,100,59,66,47,30,76,56,56,0,62,70,28,85,53,40,32,58,40,42,36,13,7,10,62,37,13,42,35,56,30,45,16,56,13,7,25,32,70,99,71,58,9,32,62,8,62,48,83,100,100,31,59,13,65,56,67,88,76,100,44,76,70,97,9,28,57,33,62,68,18,21,30,54,22,33,0,68,24,12,6,26,77,38,22,53,42,28,24,24,61,60,9,10,35,84,12,10,58,66,100,84,18,40,28,60,76,86,71,83,43,12,17,23,21,15,92,5,14,100,69,2,83,72,67,64,77,80,96,9,38,92,40,56,43,81,23,81,83
Socioemotional,88,74,81,79,79,80,64,31,15,38,44,53,22,16,21,17,27,67,25,43,17,73,84,55,60,66,71,73,78,57,73,68,68,89,75,8,28,28,13,29,29,25,23,13,37,21,43,13,20,42,35,51,28,49,18,44,43,33,78,43,83,67,56,32,69,78,87,79,60,84,96,15,78,73,38,46,9,4,19,14,46,8,78,0,86,86,84,69,83,66,100,78,78,74,77,75,100,93,93,85,87,73,83,63,88,63,60,56,70,76,83,15,100,83,91,100,86,97,82,21,0,87,90,84,74,83,8,13,24,31,63,74,84,12,8,24,7,6,67,0,12,47,11,14,10,3,6,21,4,25,40,5,24,4,11,5,49,4,73
Formality and Regulation,92,83,84,68,91,10,28,90,30,78,69,89,19,10,93,15,95,100,26,72,95,99,78,62,84,86,16,71,83,10,19,72,10,10,11,85,74,22,87,36,22,75,12,22,63,15,30,31,23,8,70,83,89,64,72,8,67,85,82,76,26,89,94,22,76,9,8,81,82,15,12,83,76,9,6,86,6,4,77,93,38,5,7,5,79,69,81,72,67,61,74,81,28,57,80,65,66,85,83,73,70,75,64,67,57,54,39,17,75,43,7,74,61,58,65,92,41,86,76,14,100,26,83,62,66,76,12,10,24,69,71,80,85,9,10,9,4,14,70,26,54,2,15,23,15,29,11,9,7,19,14,9,12,7,64,58,9,8,66
Intimacy,53,18,92,94,55,54,14,10,6,41,61,56,9,9,38,33,18,100,31,10,56,89,23,79,7,10,56,9,45,20,94,15,10,56,11,10,23,12,4,19,54,6,13,20,16,4,17,27,8,93,25,52,13,66,1,8,53,9,34,27,60,66,17,10,53,21,58,57,97,96,97,7,41,25,5,9,7,94,58,96,46,54,47,58,23,38,42,6,25,36,30,27,3,9,12,20,39,12,9,10,32,18,10,54,14,41,59,30,20,39,6,43,53,33,18,0,22,30,20,20,100,58,29,27,34,12,61,69,72,69,21,17,4,52,10,20,84,19,23,100,26,0,12,54,18,54,34,59,96,2,54,100,69,58,28,55,14,85,52
Visibility,71,60,61,86,41,20,60,66,43,46,21,0,85,43,34,77,40,65,79,65,33,28,74,60,72,85,57,63,72,30,1,61,73,57,27,84,78,61,67,2,5,18,75,81,65,54,74,28,13,11,74,1,76,65,41,80,27,39,65,78,64,70,90,83,46,100,29,15,37,10,10,77,82,68,58,39,62,9,41,95,0,45,34,18,74,68,16,91,16,67,16,80,18,8,88,42,100,27,30,42,66,9,20,11,17,74,83,79,74,66,63,88,8,35,88,22,90,17,69,74,0,12,18,13,82,46,28,89,30,88,27,9,39,56,61,73,84,83,31,0,5,100,86,18,15,64,85,38,10,16,13,18,73,70,78,0,90,0,94
Communal Sharing,81,95,95,89,90,14,78,4,9,16,20,39,83,93,56,82,80,100,78,6,4,100,78,90,76,77,85,79,85,99,82,84,65,87,78,18,11,88,27,4,85,4,7,11,21,10,74,10,15,2,16,13,8,77,68,39,8,29,85,80,85,85,18,17,90,36,93,85,22,98,33,72,76,80,8,21,80,76,83,56,14,88,84,99,9,12,82,9,78,23,15,28,10,15,27,19,17,14,23,22,3,82,84,32,28,84,79,72,19,76,42,87,2,31,25,3,12,7,31,78,0,89,28,76,71,82,95,86,77,79,25,12,21,21,18,87,100,75,70,98,15,100,100,89,86,19,72,84,72,85,79,96,83,82,20,59,85,86,77
Expected Reciprocity,45,71,95,81,84,23,63,19,12,19,34,25,65,78,62,64,82,98,27,38,1,90,82,76,49,56,41,38,60,49,35,32,72,100,73,69,68,57,62,78,18,9,29,87,18,26,69,46,34,96,57,24,32,0,62,51,36,52,83,76,41,47,63,41,0,16,83,81,90,73,84,70,76,28,59,5,91,5,14,99,81,81,83,2,66,66,26,33,38,66,24,67,28,7,87,64,4,16,70,23,20,28,16,19,18,28,64,57,44,67,13,27,87,17,24,0,38,92,83,80,100,79,90,66,21,78,88,76,94,69,63,21,26,6,6,27,98,82,80,100,96,100,94,23,83,70,71,29,25,83,70,94,90,88,86,31,97,97,89
Strategic,66,71,38,37,55,84,60,57,71,73,71,60,93,84,94,88,88,83,90,58,57,22,20,34,20,20,32,39,38,0,98,21,30,21,22,79,59,91,80,43,70,84,91,81,73,34,43,17,56,90,53,60,65,30,69,55,70,61,24,23,41,19,54,61,43,17,20,16,66,15,12,23,33,77,57,58,6,42,16,70,43,11,11,6,19,94,80,72,83,82,86,85,86,58,76,78,0,76,78,65,95,87,96,87,54,88,81,55,80,84,52,64,82,63,79,15,74,84,80,19,100,84,88,76,76,60,31,22,14,39,58,66,69,10,8,78,11,6,82,43,74,3,9,6,7,36,14,16,6,19,60,3,18,26,22,89,31,89,35
