,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Concreteness,31,3,98,99,74,4,69,16,62,1,73,1,89,93,84,11,69,2,6,33,92,61,43,87,2,4,32,87,88,0,98,60,4,2,56,5,6,9,100,95,3,66,74,95,1,34,9,91,1,76,61,89,62,0,41,3,60,56,38,6,68,6,5,56,3,0,7,34,94,100,85,0,2,0,98,1,1,0,2,0,0,3,2,0,90,84,59,7,85,41,94,69,93,69,8,3,0,15,97,89,98,46,61,85,88,6,14,11,93,2,82,0,98,98,84,100,88,100,9,40,0,40,5,11,11,0,10,11,13,1,0,96,93,0,0,0,14,0,6,0,0,49,46,3,5,21,5,0,1,0,3,2,1,3,9,7,66,1,41
Uniqueness,100,100,100,100,96,85,28,32,35,0,0,41,6,92,8,83,19,0,43,18,41,91,0,4,100,95,57,94,89,59,60,92,66,100,19,24,7,43,8,2,24,0,0,2,0,13,1,0,33,85,5,19,43,0,0,44,26,5,43,0,12,61,9,16,0,0,92,91,84,100,100,0,0,4,6,7,69,92,90,100,5,82,82,100,0,2,4,0,9,1,0,4,0,0,68,0,0,6,0,0,0,14,16,77,2,60,55,69,0,3,87,59,0,0,0,5,0,0,3,35,25,99,0,19,5,57,13,57,62,91,8,0,0,0,0,0,86,0,5,97,99,0,62,72,77,86,81,88,87,0,98,91,96,87,12,61,40,92,62
Love Expression,99,91,100,100,93,31,72,7,11,0,60,62,7,59,2,8,1,3,57,57,40,97,56,93,24,98,86,98,87,46,71,88,22,100,67,8,14,16,15,13,7,0,1,8,10,1,8,2,0,60,15,61,10,0,12,56,46,7,44,64,98,35,4,56,0,38,82,70,74,100,100,59,61,15,10,3,85,98,86,100,0,95,78,99,7,3,9,9,7,8,6,7,0,0,0,0,0,10,6,3,7,56,11,85,7,60,64,54,16,4,58,73,1,8,4,0,7,6,55,8,6,42,1,9,8,58,69,66,67,93,1,2,3,31,0,2,81,20,12,100,0,0,35,87,83,35,81,97,100,11,69,99,80,74,15,63,71,89,57
Information Exchange,65,63,9,7,35,2,58,91,77,7,58,91,78,68,66,13,66,0,100,98,6,40,34,76,4,33,60,35,40,8,26,34,0,40,26,70,76,69,96,10,88,23,68,80,54,90,7,98,100,21,74,95,59,100,66,65,72,64,20,32,18,10,11,87,0,0,9,36,37,8,13,16,9,0,83,100,5,1,9,7,0,10,9,0,66,43,84,67,63,67,69,93,0,0,1,3,7,65,89,10,33,94,99,59,0,85,55,41,63,54,3,74,0,100,81,1,14,13,57,4,1,58,80,74,89,100,3,13,26,5,0,0,5,4,0,0,12,0,70,10,10,0,3,9,4,6,11,9,10,12,77,7,26,9,3,4,11,3,71
Money Exchange,0,0,0,0,0,58,41,100,83,0,0,80,99,0,16,0,7,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,67,0,100,89,0,0,23,100,0,0,0,76,40,97,0,69,56,0,87,0,0,8,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,80,15,3,0,8,0,0,2,0,0,87,91,62,93,93,62,100,21,66,35,55,0,1,0,100,100,100,100,12,87,93,20,4,43,84,6,4,37,100,87,1,4,100,100,7,1,0,4,64,62,65,9,20,4,5,6,48,100,95,58,0,0,6,1,67,0,0,0,4,3,11,4,2,2,0,6,2,4,6,0,0,1,2,5,4
Goods Exchange,79,77,87,79,55,64,59,68,0,0,2,0,98,2,56,1,0,1,2,7,52,76,5,27,25,85,60,59,54,46,86,60,2,69,60,2,81,16,81,90,0,2,2,100,1,0,0,1,3,87,0,1,17,0,1,4,1,1,4,7,68,8,1,10,2,0,59,2,79,77,85,2,2,1,7,1,62,75,68,58,0,68,77,1,0,0,2,1,3,2,0,0,0,0,1,0,0,0,28,100,100,2,4,55,2,31,45,52,58,2,1,8,0,0,0,0,5,99,55,0,0,42,0,6,0,13,52,71,58,58,51,1,0,0,0,10,87,2,9,89,0,0,9,60,55,7,59,61,82,7,10,92,52,51,0,88,59,95,2
Service Exchange,0,1,0,0,0,59,3,100,90,99,99,73,99,92,100,70,67,6,67,93,98,0,7,0,0,2,0,1,0,0,17,0,0,0,2,99,91,92,97,93,58,58,75,100,85,83,6,59,92,75,63,79,64,0,97,15,66,59,0,6,74,38,60,39,64,0,1,1,4,0,0,0,0,0,94,82,4,7,7,0,0,6,8,0,39,54,23,7,37,55,97,41,0,0,2,3,25,87,89,87,100,88,7,89,81,82,17,8,89,7,36,60,97,88,5,100,73,4,0,6,0,24,84,20,62,80,7,12,11,4,47,87,94,0,2,0,18,0,63,4,3,0,13,6,7,7,7,7,3,2,2,5,8,5,13,0,13,8,19
Attachment,100,94,100,100,98,19,71,11,4,4,10,75,12,63,1,8,20,17,53,76,16,96,58,91,19,98,86,94,82,37,74,76,37,98,88,0,38,4,7,18,3,1,3,6,7,11,25,0,1,69,27,66,6,0,0,35,61,0,54,42,91,3,0,14,0,5,72,65,83,100,100,18,59,13,13,2,72,98,78,100,3,99,99,75,3,22,10,28,29,11,1,9,1,0,1,0,1,15,5,6,1,57,40,64,1,72,67,60,40,18,63,54,5,17,6,0,52,1,60,8,11,38,34,13,22,62,78,73,76,78,4,1,1,4,0,0,99,57,58,100,10,0,53,91,90,22,68,91,99,62,97,99,75,75,26,81,61,93,75
Mating,0,0,100,100,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,28,0,0,8,0,0,0,0,0,0,0,0,0,100,89,100,12,0,0,0,0,0,76,0,100,100,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,100,0,0,0,0,0,0,0,0,76,0,0,95,5,6,0,60,0,79,0
Conflict,19,59,1,0,13,70,19,24,45,97,3,7,34,10,99,84,95,100,36,33,57,3,0,2,2,3,57,0,1,0,24,11,0,4,1,33,27,35,57,23,9,100,100,3,32,56,1,7,57,29,15,3,77,100,11,32,5,5,43,41,4,12,38,2,100,9,2,1,37,8,0,1,1,77,30,61,8,59,16,1,100,22,9,0,16,14,12,18,11,8,41,43,100,100,100,100,89,19,60,2,12,15,3,3,3,7,43,20,8,23,8,13,10,1,46,95,3,52,25,94,100,19,62,32,13,27,35,19,13,3,46,24,3,4,100,39,9,15,16,2,92,0,3,4,7,75,14,14,55,10,0,6,6,9,96,3,8,14,36
