,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Valence Evaluation,100,80,100,100,100,0,67,64,93,0,100,100,48,100,0,0,0,0,100,95,0,100,54,100,64,100,75,61,100,77,90,100,60,83,60,100,97,67,49,80,53,0,0,47,62,100,100,58,90,100,100,100,100,91,79,54,100,62,60,60,100,60,55,100,0,54,100,73,100,100,100,100,100,0,53,100,93,100,100,100,26,87,100,73,100,100,100,86,100,100,100,100,13,31,50,100,47,39,100,50,50,94,100,100,85,100,100,100,100,100,100,100,57,50,39,50,50,86,100,0,100,100,100,100,100,100,100,100,100,100,60,50,100,50,10,75,100,100,100,100,20,50,58,90,87,0,87,100,100,51,100,100,100,100,0,100,100,100,100
Equality,10,8,100,100,100,100,100,18,0,0,38,100,49,100,100,100,100,100,0,100,0,100,100,100,100,32,19,100,20,100,100,100,100,100,100,0,28,29,100,40,100,0,31,100,34,8,100,0,100,50,100,100,38,0,37,40,100,0,100,100,100,100,100,28,11,38,100,100,100,100,100,100,100,100,0,39,100,0,0,100,34,100,100,100,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,89,50,50,71,87,0,0,0,100,100,100,100,50,0,36,0,0,0,100,100,89,100,50,100,100,0,0,100,100,0,0,100,100,100,100,100,100,55,100,100,100
Activity Intensity,100,93,100,100,100,50,87,41,16,16,0,41,0,76,15,63,53,54,19,19,100,100,0,83,52,100,81,68,64,58,100,100,42,100,73,100,41,39,0,0,0,25,27,5,3,25,100,3,0,100,81,59,0,100,0,25,36,11,54,58,100,0,0,0,54,0,100,81,91,100,100,65,56,0,64,58,100,100,100,100,67,100,100,75,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,28,38,1,87,0,0,0,60,100,100,100,100,0,0,0,0,0,0,100,11,0,100,53,0,40,0,97,61,0,100,100,0,100,100,100,95,0,69,73,100,100
Socioemotional,100,100,100,100,100,0,76,0,0,0,0,0,0,0,0,0,0,50,0,0,0,100,50,0,100,100,85,68,100,100,82,100,76,100,82,0,0,0,0,0,0,0,0,0,0,0,60,0,0,65,0,0,0,100,0,0,0,0,59,19,100,0,0,0,0,55,69,100,85,100,100,65,6,0,0,0,100,100,100,100,12,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,90,58,0,0,0,0,0,0,34,0,50,0,0,0,0,0,82,100,100,100,0,0,0,0,0,0,100,73,0,100,54,0,58,97,100,58,100,93,100,27,92,100,100,100,0,89,68,100,100
Formality and Regulation,0,0,0,0,0,19,52,54,100,0,71,70,100,40,100,81,61,0,77,57,43,0,8,0,0,0,0,0,0,0,0,0,54,0,0,54,100,59,58,0,41,67,48,59,59,67,0,0,54,0,28,68,31,50,65,0,54,62,0,5,0,95,24,71,0,0,0,0,0,0,0,0,0,0,100,40,0,0,0,0,0,0,0,0,93,100,100,100,83,100,100,100,0,0,100,94,67,100,100,100,100,100,100,100,50,100,100,100,56,81,57,75,70,100,100,61,0,64,90,0,0,0,100,100,100,100,0,0,0,0,53,88,76,6,0,80,0,0,100,0,6,0,37,0,0,0,0,0,0,0,0,0,0,0,85,1,5,0,45
Intimacy,100,0,100,100,63,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,9,0,65,54,54,0,0,100,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,55,0,0,0,0,0,0,57,0,0,0,0,0,53,0,77,100,100,0,0,0,0,0,62,100,0,100,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,71,53,54,0,0,0,0,0,0,0,0,0,0,0,0,0,42,100,54,100,0,0,0,0,0,0,100,0,0,100,53,0,0,0,57,0,0,0,100,0,0,100,100,42,0,56,42,100,100
Visibility,15,21,0,0,0,0,15,100,56,100,91,0,100,20,12,100,100,100,100,100,0,9,0,100,10,12,13,0,11,0,0,0,39,16,20,100,0,38,45,0,10,64,100,100,100,100,56,35,0,0,100,0,100,0,55,56,0,7,16,92,0,100,100,0,65,79,8,0,0,0,0,100,91,100,100,38,100,100,100,100,0,100,100,100,81,91,75,100,100,100,100,100,12,0,100,62,94,66,96,100,100,100,100,100,58,100,71,100,100,100,100,100,0,100,100,100,100,0,100,100,81,0,92,100,100,100,100,100,100,100,100,72,39,100,100,100,100,100,100,100,100,100,96,100,100,100,100,100,100,100,100,100,100,100,100,58,100,41,96
Communal Sharing,100,100,100,100,100,0,97,0,0,0,0,0,0,74,0,6,0,34,0,0,0,100,54,92,77,100,100,100,100,49,88,97,54,100,77,0,73,0,0,0,61,0,46,0,29,0,90,0,0,0,0,0,0,0,0,91,0,0,77,100,100,0,0,13,46,35,100,91,53,100,100,100,76,50,0,78,89,100,100,100,0,100,100,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,63,0,0,0,0,35,0,0,0,50,50,51,0,0,0,100,100,100,100,0,0,0,0,0,0,100,92,75,100,51,0,70,100,100,10,100,100,100,50,100,100,100,98,0,63,87,88,100
Expected Reciprocity,100,100,100,100,100,0,43,10,55,0,53,53,55,76,25,0,0,0,49,48,0,100,47,86,44,100,42,90,100,0,84,83,53,39,59,35,55,51,56,100,36,0,0,51,56,53,56,71,55,87,52,55,48,0,38,44,54,54,73,72,100,35,34,53,0,55,100,100,100,100,100,75,63,0,47,57,94,0,0,100,0,94,94,0,0,61,100,0,0,23,0,0,0,0,0,0,0,0,0,0,0,19,54,0,0,0,87,44,0,0,0,13,0,0,0,0,0,0,100,0,0,93,61,0,31,11,100,95,95,94,44,0,0,0,0,0,100,89,0,100,0,0,94,89,0,0,87,0,0,0,97,100,100,100,0,0,100,88,100
Strategic,0,0,0,0,0,0,0,77,100,68,0,14,73,100,100,89,72,0,0,12,0,0,0,60,0,0,0,0,0,14,14,0,0,0,0,0,0,86,75,60,0,0,0,67,50,0,0,0,14,86,81,67,73,0,0,0,0,71,0,73,0,72,0,56,0,0,0,0,90,0,0,0,0,0,89,0,0,0,0,0,0,0,56,0,60,63,72,68,56,60,68,71,0,68,0,0,74,73,71,0,73,38,56,0,0,72,59,73,24,0,0,59,59,61,58,0,26,60,70,51,13,73,83,61,72,68,0,0,35,0,0,56,55,0,0,61,0,26,62,4,0,0,56,22,36,58,0,0,0,0,56,0,55,0,58,56,18,0,0
