,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Valence Evaluation,96,83,93,98,96,50,85,50,56,35,97,87,50,58,50,0,7,7,86,77,6,90,59,89,59,92,93,95,87,59,64,96,60,94,62,52,93,52,62,26,63,28,5,50,50,63,71,70,59,50,94,86,50,50,58,50,64,64,65,77,88,71,50,97,10,71,88,77,69,98,98,61,66,24,23,59,58,87,73,83,0,50,55,3,86,79,83,79,81,70,86,70,0,42,30,17,50,50,88,50,87,76,87,82,88,79,87,86,79,68,25,84,50,83,50,6,55,89,84,7,0,79,36,82,88,89,50,66,73,81,88,10,61,79,0,25,100,50,89,100,3,50,57,62,59,15,62,73,77,90,100,100,100,87,0,50,59,100,100
Equality,40,66,100,100,89,100,77,27,26,35,28,40,85,91,100,100,100,100,27,28,0,100,100,100,100,61,66,69,77,68,83,100,100,100,94,33,27,36,28,6,87,40,92,100,37,20,100,89,27,98,27,49,13,10,34,45,48,28,100,100,77,35,27,57,0,38,100,100,100,100,100,100,100,100,0,35,100,6,14,93,67,100,100,8,24,14,10,15,14,17,43,18,0,0,100,2,21,6,39,12,18,33,21,37,50,17,17,10,19,15,11,20,50,31,14,0,36,91,100,100,100,100,100,14,15,32,100,100,100,31,87,12,16,12,12,17,100,100,100,100,100,100,100,23,36,100,100,19,10,100,100,100,100,100,100,13,100,100,100
Activity Intensity,97,76,96,96,98,51,69,30,3,21,10,21,8,30,11,16,16,31,57,45,21,97,12,42,49,93,89,77,74,22,20,95,30,94,70,21,21,23,5,4,12,2,13,3,12,38,34,29,10,10,28,25,7,50,3,23,17,4,50,21,80,10,10,21,18,17,38,41,68,97,99,26,25,12,31,3,70,100,94,98,27,94,87,96,24,16,54,17,16,22,9,27,4,2,8,2,2,45,2,3,6,9,28,86,4,40,39,5,3,19,5,29,9,3,1,85,2,0,20,17,24,63,20,17,29,38,79,58,58,78,20,23,18,4,3,2,91,2,33,100,25,5,23,71,70,8,85,94,100,7,31,99,69,71,3,69,71,93,79
Socioemotional,100,90,100,92,88,49,72,8,0,0,43,20,0,22,2,18,0,12,61,37,0,100,32,60,60,100,85,83,81,60,56,82,62,100,80,20,19,11,4,4,20,0,7,4,5,27,56,36,13,14,37,17,0,17,0,15,0,0,43,42,82,18,11,38,4,50,61,73,50,86,100,66,55,50,0,11,100,100,100,87,22,100,100,100,0,22,21,0,28,22,0,0,0,23,0,0,0,0,0,0,0,0,20,23,0,22,50,0,0,26,26,50,23,0,0,0,19,0,28,20,19,19,0,81,28,42,18,84,85,50,0,0,0,86,24,0,100,8,8,100,50,22,22,100,100,16,100,100,100,23,85,100,85,86,21,81,22,100,21
Formality and Regulation,0,0,0,0,0,0,0,100,100,100,100,100,100,50,100,100,50,0,100,100,100,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,50,100,100,100,100,100,50,50,100,50,100,100,100,0,100,100,50,100,0,50,49,51,100,100,0,50,0,0,0,0,0,50,0,0,100,100,31,0,12,58,2,0,7,0,65,90,57,84,80,78,89,92,11,91,92,49,96,91,87,85,72,86,66,67,50,62,47,92,89,88,18,64,65,83,88,92,94,95,72,88,14,36,99,85,85,87,39,44,45,27,87,81,84,27,4,4,0,44,68,1,13,88,59,14,17,20,3,4,0,41,0,5,18,11,90,13,44,1,3
Intimacy,79,55,100,100,75,34,64,1,15,0,4,4,0,0,0,0,0,0,28,24,0,74,28,50,50,61,77,53,50,9,74,58,34,65,47,0,0,12,0,0,4,0,0,0,0,0,13,17,5,75,28,3,5,0,0,13,29,0,33,0,75,23,8,7,0,51,67,50,59,100,100,52,42,0,1,3,24,46,19,100,0,23,50,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,8,6,0,0,0,5,0,76,0,0,0,0,0,4,0,1,9,0,0,0,7,3,22,16,28,0,0,0,0,0,0,50,0,0,100,32,0,0,12,6,0,17,23,50,0,0,100,59,14,0,57,4,86,33
Visibility,0,0,0,0,0,0,0,0,0,0,51,0,100,50,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,0,0,0,0,0,100,100,0,0,0,0,0,22,0,100,0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,81,100,0,0,100,22,22,20,79,5,18,26,5,62,39,39,57,51,62,38,84,50,69,93,65,94,16,33,73,69,13,25,32,50,44,43,83,91,83,19,83,2,72,81,32,87,1,67,91,18,3,90,55,42,39,41,66,66,61,51,50,39,95,83,74,19,86,79,34,8,90,70,19,22,63,16,20,20,75,0,24,37,40,87,22,41,39,38
Communal Sharing,100,100,100,100,100,23,100,0,0,9,24,25,0,24,0,0,0,0,25,78,0,100,75,81,79,100,100,100,100,81,57,100,67,100,100,6,24,6,0,0,78,0,0,0,0,77,84,25,6,0,81,25,11,50,8,78,0,0,74,80,80,28,10,74,0,0,81,82,65,100,100,100,74,24,9,0,88,83,79,88,9,87,86,100,51,79,92,14,58,84,11,74,2,9,10,13,49,2,11,29,41,12,84,42,51,88,79,83,78,82,87,90,7,15,51,2,7,0,86,8,6,82,0,68,89,73,74,86,84,89,89,0,44,94,14,38,93,51,77,88,41,10,84,71,83,33,95,91,100,53,90,100,97,87,35,61,79,100,91
Expected Reciprocity,13,50,8,9,23,81,50,100,100,100,80,81,100,83,100,91,29,100,80,88,59,24,50,30,50,14,16,28,36,24,49,7,50,0,22,88,84,100,100,100,29,0,39,100,100,79,50,82,100,100,79,81,100,82,100,75,100,100,51,50,16,78,82,50,100,78,50,31,80,19,50,50,50,80,100,100,100,6,19,100,3,100,100,5,50,23,16,9,16,22,34,17,0,0,100,0,23,14,12,20,22,21,17,16,51,33,33,16,21,13,4,5,20,18,2,0,12,100,100,0,18,100,100,23,8,11,100,100,100,24,22,80,17,76,16,7,100,36,100,100,11,57,100,48,9,8,100,22,20,100,100,100,100,100,8,100,100,100,100
Strategic,0,24,3,20,0,71,4,92,100,80,5,0,100,80,100,94,100,100,50,6,26,0,0,27,0,0,0,0,0,0,28,0,0,0,0,89,23,91,100,100,0,82,87,100,94,12,0,50,50,97,28,84,100,50,25,80,50,80,0,0,0,51,51,0,100,70,0,0,8,5,3,0,0,50,21,100,31,1,2,8,62,2,5,4,40,29,34,59,26,20,78,70,90,94,98,94,40,75,69,54,46,8,32,7,0,31,15,41,85,42,7,37,81,39,32,77,20,97,19,41,69,55,100,35,40,31,58,19,27,8,37,50,38,68,56,18,15,7,66,4,60,41,39,11,9,11,17,10,1,37,20,1,16,14,69,33,56,0,20
Concreteness,0,0,0,0,0,28,0,100,73,0,78,100,100,100,100,0,0,0,78,0,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,100,76,100,100,100,0,79,26,100,83,23,0,50,100,100,0,100,74,0,73,0,86,100,0,0,0,79,84,0,0,27,0,0,17,0,0,30,24,0,81,75,17,6,5,0,23,6,4,0,93,94,70,85,90,74,95,51,81,15,100,86,24,12,100,95,99,94,59,79,87,13,13,69,68,66,7,35,100,94,63,100,83,100,33,8,26,93,95,75,86,34,9,7,6,8,6,84,79,64,16,27,9,5,68,11,12,12,16,12,8,18,9,7,19,14,19,15,23,0,26,26,11,2,9
Uniqueness,1,38,26,19,18,51,39,50,59,58,56,76,28,41,85,39,41,16,47,72,50,10,7,20,16,48,18,46,37,0,62,20,15,46,25,37,49,54,59,65,91,61,68,51,50,44,38,31,65,86,68,80,64,100,66,66,58,61,10,20,48,18,60,62,60,30,41,60,42,43,32,37,24,38,0,94,85,100,89,100,100,100,94,100,26,92,45,6,92,65,9,85,23,27,18,18,3,84,16,0,23,40,90,90,0,26,91,25,19,17,27,16,17,19,27,100,20,17,14,8,60,85,11,39,31,76,8,44,50,82,29,31,93,11,10,5,7,8,5,37,85,0,15,86,100,9,10,91,100,11,72,100,16,56,16,89,8,96,8
Love Expression,96,84,96,98,95,35,53,6,4,10,42,25,8,34,0,9,4,0,60,64,1,92,33,74,55,95,94,80,87,63,52,81,50,94,69,26,33,35,9,9,21,21,0,2,23,28,50,50,24,53,43,31,18,50,9,42,36,0,42,36,92,45,9,45,9,69,76,56,60,93,99,42,56,35,12,0,29,100,62,100,0,71,46,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,8,36,16,8,14,10,15,10,0,0,0,27,0,0,0,0,0,0,0,0,9,1,59,52,32,0,0,0,32,0,0,89,13,0,100,43,0,2,17,12,23,62,98,100,0,71,100,0,34,0,88,10,100,54
Information Exchange,77,71,94,79,68,11,60,31,39,9,29,50,20,79,17,3,9,11,92,74,0,94,8,67,17,65,53,50,62,0,28,50,17,67,24,86,61,24,75,6,83,0,13,11,28,16,36,45,80,22,80,42,18,50,17,12,38,6,8,50,77,28,14,39,7,52,66,77,52,92,95,26,40,6,13,87,50,94,73,50,6,86,87,2,59,50,50,89,97,77,88,75,6,14,91,4,36,82,62,15,61,82,66,75,16,81,75,61,73,85,12,64,4,83,4,29,95,80,61,3,4,86,99,69,76,85,69,38,27,28,96,21,50,38,37,4,96,22,59,94,4,1,31,34,29,9,71,82,97,5,100,93,76,28,5,69,61,76,60
Money Exchange,0,0,0,0,0,50,0,100,0,0,100,100,100,100,100,0,50,0,79,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,100,100,100,0,0,0,100,100,0,0,83,100,100,0,100,0,0,0,0,100,79,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,100,0,3,0,0,0,0,3,3,0,100,91,63,95,100,9,94,0,87,0,82,0,0,0,100,100,100,93,4,82,0,94,0,81,82,65,0,70,100,92,9,0,87,100,1,0,0,63,0,12,81,0,49,8,25,2,0,100,81,90,0,3,8,0,0,2,23,0,3,3,9,0,2,1,0,0,0,0,0,0,0,0,3,0,0
Goods Exchange,0,0,0,0,0,0,0,0,0,0,50,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,79,0,49,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,32,80,0,39,27,0,0,19,0,0,11,0,0,0,86,0,0,0,0,0,0,100,87,24,0,15,0,14,0,4,0,19,0,34,10,0,0,0,0,100,11,0,0,30,50,0,0,0,25,49,49,50,0,0,0,22,0,0,51,0,27,81,26,6,8,12,10,0,25,50,50,29,28,79,71,49,0,67,6,80,0
Service Exchange,22,24,0,0,0,0,24,80,50,50,100,100,100,24,0,0,0,0,100,77,100,0,0,21,0,23,23,0,0,22,24,0,0,0,0,76,50,100,50,77,24,0,0,100,100,80,0,50,100,100,77,100,50,50,77,50,100,78,0,0,50,77,25,50,0,76,0,0,24,0,0,0,0,0,100,50,21,15,3,0,1,18,20,19,100,100,70,80,100,70,100,24,0,0,0,21,75,79,80,100,100,84,82,50,71,71,23,80,51,51,64,51,100,100,73,100,80,100,50,0,4,51,19,81,100,81,51,24,19,22,64,80,100,22,23,23,21,0,80,20,0,1,8,23,16,0,0,22,22,0,24,24,20,24,15,0,0,19,19
Attachment,99,98,98,91,98,50,90,13,3,10,24,20,1,25,11,30,38,37,66,50,38,96,1,65,74,96,74,64,74,26,60,86,59,99,51,11,27,3,0,27,3,4,7,2,0,35,50,50,11,23,26,24,3,50,0,16,5,1,11,23,62,17,1,13,24,50,69,50,60,98,80,24,27,29,1,0,49,82,83,89,27,80,89,100,17,43,16,18,0,16,49,0,0,0,0,41,0,22,0,15,36,15,26,44,14,58,70,35,21,84,29,65,26,20,11,0,23,0,29,40,27,24,0,0,22,61,22,66,35,100,11,0,27,45,6,0,100,0,31,91,28,0,26,43,100,29,39,100,100,34,75,14,38,77,18,83,34,92,83
Mating,0,0,100,84,0,50,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,89,0,0,0,0,0,0,80,66,97,67,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,51,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,89,24,0,0,0,0,0,0,68,87,0,0,87,35,0,0,62,6,84,0
Conflict,34,51,26,31,28,65,62,40,38,48,6,31,38,43,98,99,87,91,27,13,61,5,5,12,0,3,14,4,6,0,14,31,7,22,8,86,14,41,35,34,7,80,92,34,81,0,14,3,5,14,15,24,27,81,2,42,3,6,2,6,15,26,26,7,98,13,9,6,12,25,22,20,7,62,93,51,7,8,20,21,81,14,6,0,23,10,12,7,26,10,23,50,100,89,89,100,49,71,22,5,26,8,14,6,11,23,7,23,26,0,7,3,20,0,50,100,6,50,10,76,70,24,60,10,7,0,8,0,7,0,6,50,40,7,82,25,6,0,12,0,79,24,25,7,4,100,19,12,0,0,18,5,6,0,92,0,38,0,2
Negotiation,26,24,50,50,21,100,50,20,79,0,0,0,82,50,100,100,24,0,0,24,0,0,0,24,0,0,26,0,0,0,0,23,0,0,0,0,26,20,80,26,0,0,24,81,82,0,0,24,50,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,50,0,0,0,0,100,22,10,10,50,2,68,17,0,31,17,2,4,25,29,72,55,0,2,79,1,7,1,90,3,23,14,5,24,1,14,28,2,33,6,19,2,85,20,2,0,2,100,60,0,3,76,100,10,2,16,67,3,3,1,1,68,18,5,2,3,38,4,33,63,82,7,38,5,29,0,62,2,46,1,64,78,50,19,5,38,68,28,21
Coercion,0,0,2,0,0,27,0,32,63,89,0,0,65,12,85,75,88,80,2,0,100,0,0,0,0,7,0,0,0,18,33,0,0,0,0,35,7,30,23,92,0,83,90,36,28,22,0,12,0,16,11,0,8,97,0,0,0,27,0,0,0,0,0,0,84,14,0,0,0,0,0,0,0,0,89,51,11,37,35,5,50,19,3,0,44,32,17,63,58,41,21,34,98,100,95,94,50,76,28,22,15,3,26,6,40,29,25,23,37,34,40,38,42,24,54,100,24,33,31,66,82,25,97,8,36,22,29,56,63,27,24,62,39,22,41,59,0,20,31,6,66,6,30,26,37,79,34,35,25,5,14,16,28,14,77,30,27,24,1
Importance for society,85,39,58,7,31,31,2,88,29,63,81,30,56,74,70,84,76,43,94,3,7,7,6,2,10,4,1,2,17,64,1,3,9,7,16,66,87,30,34,33,34,68,57,54,97,30,5,8,4,1,10,18,8,2,7,62,10,4,82,64,3,8,5,80,52,22,8,7,3,15,9,6,4,2,93,100,15,100,13,7,10,11,7,1,66,72,38,100,71,69,74,94,85,2,96,74,97,75,78,46,36,69,35,64,20,1,3,28,97,87,41,70,57,39,1,80,37,71,72,1,3,72,100,48,60,99,13,1,2,1,50,85,56,35,11,41,77,0,97,15,12,75,67,16,7,4,20,99,98,1,1,11,14,1,1,12,28,1,49
Importance for individuals,100,76,100,97,100,22,76,22,21,10,79,51,0,50,81,19,22,0,51,50,16,100,6,50,18,51,76,74,78,6,50,79,7,100,29,22,14,24,67,78,86,50,83,13,50,27,41,18,23,50,50,18,10,50,4,14,22,23,6,18,81,26,25,24,28,20,24,22,69,98,100,50,11,0,50,50,42,100,69,100,78,86,80,100,24,17,25,20,15,22,40,40,75,97,53,75,14,52,23,13,5,46,20,61,0,31,36,6,26,44,43,43,11,0,23,94,17,0,52,21,50,15,59,23,13,49,52,36,35,31,17,11,17,29,25,18,88,3,38,98,41,0,14,58,46,11,69,85,100,4,69,96,66,38,21,61,8,100,76
Affiliation Coalition,96,91,90,84,86,52,61,50,58,35,82,82,50,65,22,23,36,22,78,72,14,94,60,86,64,88,89,81,60,81,59,82,61,93,77,50,90,73,50,46,83,38,8,50,56,73,79,70,82,52,89,90,41,50,58,65,63,50,84,84,94,55,64,82,20,63,68,70,65,93,96,84,96,48,39,50,100,99,92,100,0,95,100,92,65,93,100,63,92,100,97,34,3,0,1,3,58,36,59,75,49,93,93,94,66,94,100,86,83,95,59,91,13,50,50,0,87,7,81,0,10,91,7,98,96,85,74,98,100,100,94,40,76,82,25,51,100,61,63,100,38,51,87,97,95,15,100,91,100,100,94,94,90,94,13,41,95,93,92
Occupational,0,0,0,0,0,0,0,100,100,50,52,50,51,100,100,100,100,0,100,100,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,51,0,100,52,53,50,100,0,50,100,50,100,50,100,0,51,52,51,54,0,100,0,0,52,100,0,52,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,100,100,82,100,100,100,100,0,0,0,81,80,82,100,100,100,84,100,82,50,100,0,49,28,84,0,80,100,80,81,100,82,81,100,49,0,0,100,100,100,100,0,0,0,0,50,0,100,84,86,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
Activeness,20,10,16,20,17,24,22,100,100,13,90,76,97,60,91,79,32,50,86,56,64,10,1,68,15,4,43,11,18,0,48,33,1,7,4,64,61,57,84,89,87,18,79,85,19,51,58,77,85,100,89,100,92,0,90,20,66,85,20,18,100,94,93,60,86,50,16,77,88,18,13,64,1,56,56,45,5,22,6,81,12,5,5,7,88,67,90,72,89,91,88,74,97,92,89,89,14,67,89,82,95,49,90,83,89,56,38,19,24,69,89,17,97,86,89,91,65,99,41,91,44,83,83,71,74,75,4,11,7,59,88,13,90,31,74,15,56,5,14,89,17,2,4,11,7,28,9,11,8,8,70,40,8,75,81,25,7,48,56
Endurance,100,50,81,67,100,100,58,21,0,24,1,10,2,50,1,11,3,37,50,23,91,77,13,8,100,100,50,100,78,100,15,77,44,100,50,22,13,23,16,19,1,0,1,0,4,23,28,6,1,7,5,12,1,50,1,3,9,0,13,10,63,1,1,27,50,2,91,42,23,87,80,14,5,9,13,6,100,100,98,31,8,100,100,100,50,51,51,33,51,26,2,1,0,2,1,3,3,13,1,1,1,24,51,14,1,49,9,15,44,20,13,38,1,1,2,50,1,0,50,50,14,50,20,49,15,20,22,81,79,2,1,20,50,63,22,1,76,63,51,76,100,0,41,100,100,22,98,100,75,28,22,72,63,21,1,12,50,84,34
