,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap,k3
助教-学生,0.8614162898300564,-0.7590252762202904,0.7039826120149759,-0.6542104856571741,-0.0565612719316955,0.262437420333701,0.7032835839315879,0.1567963954285746,-0.0148466415227901,-0.2959754805123448,0.0112257768980153,-0.7101774835738682,0.0260284856489538,0.9624623513647412,-0.2447422480259777,0.3973612447880197,0.9779757350864215,0.4741745548731164,-0.583847962182131,-0.276217080932117,0.860367085266642,-0.470546055791918,0.992723974958245,0.8078846700132812,0.8568139370256975,1.0171050252993918,0.3734909564349888,0.2001303963485741,0.7738509200443155,0.8364294231258576,0.6322376019041785,0.5842177712562722,0.8840230637856542,1
学长学姐-学弟学妹,0.538283553180101,-0.0054261116906804,0.1372600937690634,0.8102590524316081,-1.238575386525819,0.6185381734939672,0.8587283683112786,0.7920346169839259,0.4929394341842145,-0.5545715622181692,-0.7631571056858003,-0.7768544416713796,0.3966572379607459,0.4632380320280187,-1.2515400549579547,-1.1831468697887189,-0.4631787956555039,0.0322058735404499,-0.1410580184266658,-0.803882373171201,0.3981607003712913,-0.8074701607983376,-0.2729509866772077,-0.7857020339125566,0.5253426022930555,-0.4438392839951041,-0.1308371190851796,0.4484671746026458,-1.4916846229690506,0.7344334572051688,0.4087585070780131,0.4626502607486255,0.173161612116613,2
学生会主席-学生会成员,0.3318311731876112,-1.113811654394402,-0.102573783042133,-0.0056708124897335,0.7677915936391921,0.1208713985391099,0.6824091333251844,0.247378139859884,0.1619305493136544,-0.3996023256403619,0.5246306139938982,-0.501532684631534,-0.1078668418310087,0.7134703808339999,-0.7280473318035253,-0.8581624468490869,-0.176835864874903,-0.2361460642065931,-0.2474919260475046,-0.6802347519334082,1.4757047049304453,-0.061245661561897,-0.1605604165346803,-0.3558666637177774,0.5382805453788044,0.459853911154672,0.7302565435758216,0.0214140443680426,0.7975154166516109,0.6345347895167973,0.4797909822061343,0.6007951590527691,-0.0776400220498078,1
社团社长-社团社员,0.4500487511426856,-0.7671003485567369,0.6605013772401235,-0.1714706744747917,0.5761972231515823,0.0305546610327138,0.9780725994366928,0.5015252511725212,0.7988115541134762,0.1280655697514998,-0.783827250355915,-0.7195199097319235,0.0916976891125776,0.7956817589506263,-0.4964113128958478,-0.2437125476007065,0.1430285217258551,0.0353659356117037,-0.3829743892417168,-0.3260503425159483,0.5789525240555279,0.2610021032792595,-0.0666772154429785,-0.2745865742611702,0.920785848462669,0.2851557650700093,0.709737759593864,0.1685499968018134,0.7073649533857238,0.6936251779207032,0.5351143522578438,0.2464918139000365,-0.3718588769355271,1
老师-家长,0.5579324796842312,0.2716024176744753,0.0192762244094698,-0.818418740500081,0.4677492125111779,0.2683984167167597,0.6193054071196348,-0.0957072648196887,-0.0442241070530977,-0.3531774990230106,-0.27920834539944,-1.2760446882104948,0.1830500735358917,0.8368745015844902,-0.5820149046739497,-0.4839329259141725,0.556607914125972,-0.0722664815793051,-0.2749974223488202,-0.4387481982099896,0.7444117985552478,-0.4292049542800191,1.0583136085976532,0.6165676575691418,0.756869414519821,0.8836650447806508,0.9786016604483548,0.2427639357367007,-0.0077085212392914,-0.0622567289911435,0.964997427696684,0.8102496708539911,-0.448141035314579,1
考官-考生,-0.2167673830046557,-0.7138048711361903,-0.9876261128776932,-1.2987558124895366,1.4296467568176945,-0.9748361596976488,0.6856756791522954,-0.3807128689644148,-1.2867777445030564,0.1268220476099638,-0.3295982503166344,-0.8267384599966419,-1.0738838994298077,-1.940134558488947,-1.0121523472673537,-0.652954299848012,-0.4712081161851604,-1.048462760809754,-0.6670274328292799,-0.5597083327851132,-1.7954549622962457,-0.3071361883539621,0.9244014399171948,-0.2708938492093148,-1.2718181603199614,0.8259577407857547,-2.1950333098519,-1.3770521759249157,0.7247015809368557,0.4487755022139095,0.4982179744276998,-0.2847362035792374,1.3709530605606406,1
家长-班主任,0.5284590899280359,0.3236044219696365,-0.6671141434901966,-0.1472500798326443,0.7608194549751596,-0.2634970009928297,0.7217561626062918,0.1106094225230746,-0.1288964420624317,-0.1656647227638638,-0.1375593039271426,-0.4176846477394014,-0.1291953010756048,0.7663484889280432,-0.4924216965139248,-0.1267623416032561,0.4977626900306263,-0.1600959682484394,-0.5560705821097937,-0.3789187040626705,0.0063118004500289,-0.5734513950531379,0.617656817077722,0.6479827314261773,0.8033000424149446,0.4944181817766149,0.7110327091464443,-0.2175921612926679,-0.1233548710791903,-0.4551064058952755,0.6699394540875658,0.5911007802244085,-0.4333481151376459,1
家教-学生,0.5311198820588033,-0.4649884486918788,0.745896881536622,-0.5869632955786502,0.820082633619435,0.359586376771449,0.4411301801863188,-0.7476175176835598,0.6528441022513836,0.7312392569303231,1.167958872860187,-0.5867251365485938,0.38505754959965,1.1905809066296495,1.2081245806114391,1.0454783704426254,1.5677088327271045,0.4436771816374782,-0.6590518614110547,-0.7769778936214583,0.7039213391266738,-0.3869634310495847,0.5609255534988082,0.4506556505499063,0.5461129324486529,1.0426123480043554,0.3971341224932502,-0.1370621424484286,0.961194851518737,0.9822966673822,0.4949536836277138,0.812956639711449,1.4556123532620262,1
辅导员-大学生,0.5667178170154046,-0.906222309096086,0.6148361793392993,-0.7711762862298004,0.4687643131595808,0.4220340067847414,0.9556111479562692,0.572067227627967,0.2925919512362439,0.0435862913619759,0.2937968590875127,-0.5941151549918822,-0.1489156622025523,0.7697381112417637,-0.0603114843301537,-0.1930706061082026,0.7412703446549002,-0.1990848234137736,-0.441356363643118,-0.525085343028404,0.0286108940483738,-0.4019682097625142,0.4024172722035725,0.2313018678226949,0.945022430829157,0.9656375871787264,0.3391082559197677,0.4335104751105582,-0.0511423927134632,0.7437437905530325,0.7353864696329627,0.7125834649173065,0.8335268143900189,1
班主任-学生,0.8414199522076378,-0.9888783029841728,0.8565377548235305,-0.5522570087492155,1.0536492788645198,0.6582543733270764,1.465637735052888,0.5497908140104582,-0.7035090893030266,-0.7100683536439006,-0.1320102487694086,-0.2733435066054566,0.9600372634018788,1.1291921502376912,-0.5576931750215741,-0.2897976539125302,0.8835177825164043,0.8059410715690282,-0.7088991827749628,-0.4744613834086063,0.1011416300682539,-0.2164705360833732,1.226262822007652,0.8114089483008098,0.7338766115685617,0.8453784680917291,0.5371961748540888,0.4655623495639087,1.531406965756869,1.1960567124710444,0.8101830588277023,0.7810836764302043,1.8758267244816176,1
