,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Valence Evaluation,99,94,100,99,90,0,81,78,69,32,100,95,70,84,0,0,0,84,77,74,18,83,55,96,89,100,98,98,78,82,92,63,70,100,80,77,55,60,62,70,20,0,0,73,82,0,69,75,92,74,92,71,82,75,63,75,100,71,100,100,100,71,73,71,0,62,100,79,97,99,100,63,100,0,53,66,100,100,100,98,100,100,99,100,100,100,99,99,99,100,99,99,1,2,0,0,99,99,100,100,100,100,99,99,100,100,99,100,99,100,100,100,99,98,99,99,99,99,99,1,0,100,100,100,100,99,100,100,100,99,99,100,99,99,1,99,100,99,98,100,0,100,99,100,100,0,99,99,100,99,100,99,100,99,1,99,99,99,99
Equality,0,0,100,83,100,100,100,13,15,2,0,0,20,100,75,100,100,79,0,1,0,100,100,100,100,15,0,12,5,30,74,100,100,100,100,9,20,9,28,14,16,0,19,23,17,0,100,2,16,67,32,11,17,21,9,41,22,9,100,100,100,19,16,26,73,31,100,87,78,100,100,100,100,100,33,28,99,0,1,98,98,99,99,99,0,0,0,0,1,0,1,1,2,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,98,99,99,97,100,1,2,0,99,97,99,95,0,0,2,0,98,1,99,100,99,99,100,97,98,1,1,100,97,1,1,99,98,98,99,99,99,99,100,97,98
Activity Intensity,100,100,100,98,100,26,39,84,11,100,65,82,33,66,43,58,31,28,70,70,30,94,40,100,74,71,100,59,69,34,85,100,0,100,74,63,61,63,63,40,53,41,44,33,34,25,62,86,57,65,64,69,35,77,66,68,64,33,81,89,100,16,30,67,60,11,84,0,100,100,100,67,61,16,62,59,99,99,97,99,98,99,99,1,99,96,99,98,99,99,99,98,99,98,97,99,0,98,100,100,97,99,99,98,98,99,96,98,98,100,99,97,99,67,98,96,98,97,97,99,99,99,1,98,98,99,99,99,97,97,1,66,0,99,59,0,99,98,98,100,99,99,99,100,99,97,97,100,99,1,0,100,100,99,99,99,97,99,98
Socioemotional,89,80,93,100,99,28,68,71,85,36,57,58,34,75,10,22,27,18,70,63,63,100,59,64,74,100,100,100,100,20,100,100,80,100,83,82,29,59,83,28,31,25,14,58,23,75,61,67,62,72,68,55,58,69,55,59,55,59,84,100,76,38,39,36,33,3,95,57,100,61,100,73,56,27,41,29,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,58,30,0,0,0,0,0,0,0,0,21,0,61,39,100,20,0,0,100,0,0,0,0,12,0,0,0,74,100,11,0,0,0,54,100,100,100,100,0,0,0,63,74,0,100,63,0,100,100,0,59,100,100,76,100,100,100,0,61,100,60,100,81,100,86,100,33
Formality and Regulation,0,10,6,6,0,61,18,93,100,100,100,100,93,88,100,100,65,26,81,91,81,0,0,56,21,0,0,9,18,31,1,0,94,0,22,100,83,98,86,40,64,100,84,83,73,87,65,87,78,7,89,100,100,0,100,86,80,86,7,3,15,79,100,89,16,0,0,7,21,9,0,72,0,7,83,70,1,0,1,0,0,0,0,0,100,98,99,98,98,100,98,99,99,100,100,98,100,100,99,97,99,97,99,100,99,100,99,100,100,99,99,98,99,98,99,99,97,99,75,1,2,100,99,99,99,99,0,1,0,0,99,99,99,99,98,99,1,18,97,0,1,74,0,1,0,0,0,1,0,3,1,0,0,0,99,2,0,0,99
Intimacy,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,74,42,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,20,0,0,0,1,0,24,56,0,0,100,0,0,0,0,0,0,0,0,72,79,0,0,0,0,0,0,72,0,100,95,100,61,62,0,16,0,33,0,55,99,99,25,62,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,89,1,0,1,1,0,18,2,45,1,0,1,0,0,59,57,58,55,0,0,0,0,0,0,78,1,0,99,0,0,1,56,53,22,55,57,70,0,0,100,55,56,0,67,0,100,58
Visibility,100,71,68,67,93,61,91,100,5,68,0,5,100,100,87,100,72,26,100,100,43,71,100,100,100,99,69,74,91,100,0,32,84,100,72,100,91,100,91,11,15,61,80,72,97,88,75,97,74,17,95,7,99,78,88,81,23,9,100,83,93,86,96,99,89,100,94,100,17,83,54,91,100,100,60,100,0,1,1,0,0,0,0,0,100,100,99,99,99,99,99,100,100,99,100,99,98,99,1,98,99,99,98,0,99,99,0,100,100,99,0,100,99,100,99,99,98,99,36,99,0,1,100,99,100,98,0,1,1,0,100,99,100,99,100,98,1,99,98,0,0,99,99,1,0,0,1,1,100,99,100,100,20,0,1,1,1,0,99
Communal Sharing,100,94,83,100,95,13,88,41,36,29,56,54,21,77,0,25,0,0,53,31,35,83,59,87,74,100,100,100,95,18,87,84,60,100,80,42,25,42,39,26,23,23,38,29,24,17,58,37,13,68,36,60,11,0,15,65,34,35,82,77,88,36,5,13,0,24,100,36,84,95,97,61,68,0,31,15,99,99,100,100,99,99,99,100,3,0,0,0,1,0,4,0,0,2,0,1,3,0,0,1,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,0,3,100,98,0,0,0,1,0,100,99,97,100,3,1,0,1,100,0,99,95,1,100,99,79,96,99,99,98,96,100,100,1,2,98,99,100,83,99,80,98,97
Expected Reciprocity,73,69,100,99,66,78,25,18,29,0,32,23,35,98,35,26,12,21,0,32,18,100,66,83,69,30,81,63,69,20,73,67,71,70,81,37,31,25,14,23,9,6,19,24,14,9,70,21,25,68,30,16,13,18,16,34,29,26,73,98,89,30,5,26,28,16,85,71,100,100,100,80,31,22,32,24,95,0,0,0,94,98,97,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,2,0,3,0,1,0,1,0,0,1,1,1,1,0,0,1,0,2,86,98,91,0,69,0,0,1,99,94,94,0,1,1,2,0,2,0,92,80,82,94,97,2,75,0,0,88,98,1,96,91,55,95,89,92,93,89,84,89,97
Strategic,23,0,0,17,0,3,0,100,34,1,25,23,100,100,100,74,64,6,5,23,11,4,6,10,0,6,0,30,0,18,4,0,0,0,1,60,90,82,100,77,6,18,36,100,30,11,31,20,23,21,24,35,11,2,23,14,26,39,12,0,8,53,72,74,35,8,1,15,0,12,23,23,10,6,0,21,1,1,0,0,0,1,0,0,99,99,100,98,99,100,99,100,98,100,99,99,99,98,99,1,100,98,99,0,98,100,98,99,98,100,1,99,97,99,99,99,98,99,0,1,0,66,98,99,100,0,1,1,0,1,99,98,97,1,97,2,0,0,99,1,0,1,2,0,1,0,0,1,0,1,99,0,0,0,100,0,1,1,2
