,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Concreteness,0,42,5,7,0,21,3,92,61,98,100,94,97,96,21,24,14,0,64,76,99,1,30,31,47,7,70,8,38,23,37,39,47,3,30,98,89,91,100,96,73,61,94,100,86,89,1,0,83,90,87,98,93,0,97,87,96,91,16,14,9,63,85,79,24,60,6,7,88,0,0,9,24,5,81,83,1,98,1,99,99,1,1,1,99,98,98,99,97,97,98,99,81,96,99,96,0,99,99,99,99,99,98,99,99,98,99,98,100,1,99,99,99,99,98,99,99,98,99,1,1,98,98,98,99,1,97,97,99,99,98,99,99,0,1,0,1,0,79,1,1,0,1,1,1,1,2,98,99,0,1,1,1,99,1,1,1,1,99
Uniqueness,100,99,100,100,99,96,76,0,0,0,0,78,0,79,1,99,0,100,81,72,98,99,0,69,95,99,89,98,97,98,0,89,60,100,66,93,78,91,0,0,0,0,89,0,0,0,1,0,2,98,24,89,0,0,0,0,1,1,0,0,100,62,0,0,84,0,92,0,87,99,100,0,0,0,2,1,84,100,86,98,99,99,99,100,62,75,99,61,9,1,1,26,11,1,89,2,0,2,1,3,0,1,1,1,0,67,90,53,0,1,93,0,2,1,22,14,1,2,81,65,98,3,98,15,22,78,85,93,27,84,99,16,18,0,0,1,84,0,0,98,87,0,79,83,92,97,94,99,100,1,96,100,97,95,96,97,39,100,97
Love Expression,97,97,98,98,98,18,54,2,1,0,0,97,0,67,0,1,0,1,70,70,0,97,1,68,41,2,67,2,60,1,59,71,26,98,57,10,0,0,2,1,1,0,0,2,0,3,1,66,0,59,26,97,3,0,3,55,1,0,86,77,96,67,38,2,1,0,77,66,93,97,98,33,1,2,7,2,62,100,87,99,79,99,95,89,1,1,3,3,1,3,9,1,1,1,0,1,1,1,2,2,2,2,6,28,1,56,58,21,0,36,77,1,21,0,2,1,1,1,28,27,43,56,2,2,4,58,39,81,73,79,2,0,0,0,0,0,98,0,1,100,63,0,50,66,66,70,91,99,99,0,91,99,97,69,27,61,60,95,76
Information Exchange,99,98,98,94,93,43,38,93,99,1,99,100,20,90,60,6,1,0,98,98,1,98,2,80,3,65,97,35,23,1,94,80,3,99,62,99,81,90,88,3,2,1,98,60,58,97,2,97,92,87,84,99,58,0,57,53,91,72,70,76,97,65,71,74,64,1,92,98,91,97,98,73,2,2,82,85,21,12,67,78,69,83,80,0,98,98,99,95,99,98,98,98,2,37,0,61,0,99,99,0,88,71,100,73,57,92,79,95,65,72,24,76,60,95,66,0,66,67,99,9,28,99,92,89,99,99,65,74,66,67,97,56,61,59,0,21,98,52,79,97,66,0,68,66,66,78,73,87,5,0,99,98,77,2,26,61,72,99,99
Money Exchange,1,2,1,1,2,45,0,99,98,1,100,94,100,98,68,97,99,1,36,80,1,0,1,1,2,0,38,2,1,1,1,1,1,0,1,99,98,94,100,98,2,58,0,97,1,93,0,1,45,99,83,94,75,100,92,45,99,60,2,1,1,1,86,1,0,1,1,1,0,1,1,44,1,0,58,89,1,97,3,87,31,2,1,0,98,97,94,98,94,95,95,97,97,95,95,95,96,98,96,92,93,88,98,87,92,36,35,72,73,80,80,100,100,98,58,100,98,95,96,2,2,93,98,95,91,1,81,70,65,2,2,98,97,55,76,99,1,2,95,1,3,1,2,1,29,1,2,2,97,2,1,1,2,1,2,1,1,1,2
Goods Exchange,100,100,97,85,0,0,0,0,0,0,94,0,89,0,1,0,0,0,83,0,0,0,0,75,0,92,100,0,0,0,85,0,0,0,0,87,71,0,0,0,0,0,0,90,0,0,0,1,0,99,0,1,0,0,0,5,0,1,0,0,0,0,0,1,0,1,0,0,98,85,96,0,0,0,0,3,57,95,25,22,99,96,97,0,2,6,4,5,12,1,2,2,0,67,1,1,0,1,89,0,100,4,2,1,6,39,55,59,1,26,1,4,99,5,2,0,40,98,57,6,0,78,93,23,4,54,29,70,63,96,29,0,0,0,0,42,93,1,63,98,1,5,78,68,54,23,81,84,1,0,56,98,78,79,4,63,50,61,26
Service Exchange,4,4,1,3,1,9,2,96,76,94,98,97,94,98,0,1,28,3,100,96,99,0,4,2,4,3,10,63,3,11,4,10,2,2,3,97,97,94,98,98,67,0,2,88,100,98,4,2,90,98,90,98,61,0,93,62,93,71,3,2,4,71,61,95,1,1,5,4,3,0,1,95,2,1,97,94,1,0,2,4,3,0,2,0,98,94,88,94,97,89,99,4,2,1,3,1,1,0,99,91,100,96,96,98,96,78,84,74,1,81,98,81,100,99,92,99,77,1,76,2,1,2,0,90,92,82,59,2,2,75,2,21,98,1,1,39,2,1,67,1,7,1,1,22,22,2,1,1,1,1,3,2,4,1,2,1,66,2,96
Attachment,100,99,100,99,99,29,43,2,0,0,2,100,0,59,1,1,2,0,72,70,1,100,27,1,62,83,88,1,1,3,62,72,42,99,55,1,3,2,0,1,0,0,0,1,0,0,1,1,0,4,2,98,1,0,2,13,2,1,76,69,100,56,0,28,0,2,97,62,78,99,99,28,1,0,1,0,61,98,92,98,64,99,98,100,2,1,3,2,3,2,3,97,3,2,2,2,2,4,2,2,2,2,3,2,2,41,2,3,2,3,26,3,1,2,1,0,2,2,2,2,3,2,3,2,2,85,23,29,30,74,2,2,2,2,2,2,97,2,3,95,67,2,2,60,63,66,91,93,100,2,97,95,99,62,2,1,78,98,2
Mating,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,100,0,0,100,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,66,100,62,0,0,0,0,0,2,99,1,98,87,1,0,1,0,1,1,1,1,1,1,1,51,1,0,1,1,1,0,1,1,76,1,0,1,1,1,0,1,1,77,77,63,1,1,0,1,1,1,1,58,1,0,0,0,1,1,1,1,98,1,2,0,1,1,0,64,1,96,99,54,1,1,0,1,77,31,99,100,0,75,99,79,1,0,25,62,99,1
Conflict,18,29,28,15,23,99,65,97,0,100,1,59,68,39,99,100,99,100,76,58,100,20,1,31,1,3,75,0,9,0,78,42,0,4,0,89,24,73,57,2,13,99,100,63,84,100,0,0,0,76,46,57,80,100,82,59,40,1,32,5,3,0,1,15,100,0,17,21,45,0,20,37,0,0,94,2,29,3,70,24,85,39,32,0,67,73,60,65,69,34,58,81,98,99,99,98,73,99,4,39,16,63,6,20,36,38,41,55,5,37,6,18,76,84,75,100,28,21,59,68,76,67,84,31,62,2,67,43,35,15,6,95,74,3,60,68,27,3,17,33,86,3,41,33,3,71,56,67,7,1,2,40,2,1,89,3,58,45,32
