,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Valence Evaluation,83,70,93,92,90,3,68,70,75,3,82,86,59,95,13,4,2,2,74,86,2,91,57,92,75,98,68,97,93,75,97,93,62,97,99,72,85,35,78,65,73,3,2,84,52,66,83,81,80,79,92,81,78,53,67,66,63,78,92,87,95,65,81,92,1,87,93,96,98,98,99,88,84,2,29,65,98,98,97,99,0,69,89,98,74,95,98,75,83,82,99,22,2,1,3,2,82,3,96,81,74,100,73,79,85,98,100,75,97,93,98,82,74,98,20,0,69,83,99,0,1,94,75,94,93,99,92,78,78,99,95,21,77,81,1,74,99,86,97,95,19,50,94,94,88,0,79,97,93,97,100,95,100,84,1,94,94,95,97
Equality,4,12,98,100,99,99,38,0,0,0,37,28,73,99,100,99,99,99,0,2,0,100,100,99,100,10,10,10,11,99,77,100,100,100,99,0,22,0,1,20,81,1,16,28,42,1,100,29,21,0,29,54,75,0,0,0,62,79,100,99,85,72,81,85,0,86,99,100,100,99,100,99,100,100,1,0,100,0,0,100,22,100,100,78,0,0,0,0,0,0,21,0,0,0,31,0,0,0,75,23,21,26,0,0,25,0,0,0,25,0,0,0,20,79,23,0,75,25,100,100,100,100,100,0,0,0,100,100,100,77,79,0,0,26,23,27,100,100,100,100,100,100,100,0,0,100,100,0,0,100,100,100,100,100,100,11,100,100,100
Activity Intensity,100,99,100,99,99,62,39,71,1,59,7,65,2,81,21,27,60,23,77,62,77,99,1,82,23,85,85,28,23,14,98,97,3,99,79,63,15,76,7,12,20,6,16,4,7,76,28,4,6,94,22,70,3,51,6,5,31,4,54,79,89,69,5,22,69,4,97,21,91,100,100,60,56,6,63,17,83,100,100,100,29,100,95,83,17,84,66,8,12,68,0,0,0,8,0,1,0,22,0,0,0,0,70,81,0,88,96,81,17,87,0,72,0,0,0,89,0,0,100,19,33,82,23,9,6,97,100,87,90,96,18,17,4,64,11,0,96,20,68,100,31,0,19,85,89,63,96,100,100,20,90,100,86,87,14,73,79,98,87
Socioemotional,100,99,99,100,100,100,97,0,0,0,0,0,0,1,0,0,0,97,0,0,0,100,70,23,100,99,100,73,99,98,100,99,94,99,99,0,0,1,0,21,22,0,1,0,1,0,92,5,0,71,1,0,1,100,0,0,0,0,82,72,100,2,11,1,68,67,100,99,99,100,99,71,93,88,1,0,99,100,99,99,84,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,12,23,9,75,25,37,0,1,7,0,25,0,0,96,83,24,0,0,0,23,77,100,100,100,20,0,0,71,92,81,100,100,2,100,100,0,36,100,100,77,100,100,100,29,89,100,86,100,90,100,79,100,26
Formality and Regulation,0,1,1,0,2,2,75,90,99,96,89,85,99,99,98,93,98,1,94,85,96,1,2,72,0,0,13,1,0,2,1,1,1,0,1,97,98,99,98,67,17,93,99,99,98,92,22,77,97,2,87,82,68,3,97,81,29,99,8,24,12,16,22,65,2,4,0,1,0,1,0,71,7,10,86,80,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,77,100,100,100,100,100,100,100,100,100,85,77,86,91,85,100,78,100,100,87,83,84,100,100,100,100,0,0,0,100,100,100,100,18,0,0,0,78,100,100,0,0,0,0,0,100,0,0,78,77,0,0,0,0,0,0,80,0,0,0,0,79,0,18,0,78
Intimacy,100,79,99,99,83,14,0,0,0,0,0,12,0,0,1,0,0,0,1,0,0,72,0,0,4,61,66,14,70,0,100,79,5,93,67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,12,0,0,0,0,0,0,0,0,76,0,0,0,0,0,75,21,100,99,100,0,0,0,0,0,70,100,98,100,0,98,82,78,1,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,18,1,59,48,0,0,24,1,26,21,24,1,0,0,0,11,0,13,0,7,0,1,0,0,18,59,81,67,78,17,0,0,23,1,0,86,23,63,100,78,0,23,80,73,15,74,95,100,10,79,100,93,79,0,39,23,99,69
Visibility,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,0,100,100,78,0,15,99,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,77,76,100,100,100,100,100,82,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,0,0,0,0,0,71,81,79,100,100,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,77,79,100,100,100,100,100,100,100,100,100,28,100,100,100,84,81,89,0,100,78,100,100,79,100,100,100,99,0,79,100,100,100,78,0,19,0,0,77,99,100,100,95,100,0,0,92,0,0,100,75,0,0,0,0,0,0,77,0,0,0,0,100,0,0,0,31
Communal Sharing,86,88,100,100,100,43,75,0,0,0,0,1,1,100,0,12,1,19,0,0,0,99,99,100,99,90,67,87,90,94,84,100,100,100,95,0,2,1,0,0,10,1,1,0,0,2,89,17,0,0,0,1,11,1,0,2,1,0,91,85,74,8,12,19,0,20,100,100,77,100,100,100,100,98,0,21,100,100,100,100,0,98,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,31,20,82,100,60,0,0,80,11,0,1,1,0,0,0,76,19,0,65,0,0,0,23,82,100,99,0,77,0,0,24,0,33,100,73,1,100,21,31,80,98,99,14,97,100,100,93,95,100,85,100,0,81,19,99,28
Expected Reciprocity,23,22,98,89,98,91,15,27,18,8,18,12,18,94,93,94,93,87,15,95,0,98,65,91,71,21,18,13,21,25,67,93,80,94,75,19,24,23,24,73,16,5,10,46,17,19,68,61,21,87,19,6,25,16,22,30,23,18,86,77,59,25,17,16,13,17,88,96,90,99,95,68,77,78,16,17,89,2,2,89,18,83,92,4,4,66,79,19,6,22,88,64,0,1,77,2,17,8,81,82,23,10,14,3,82,17,7,94,96,2,2,68,19,78,22,0,4,89,95,9,5,94,93,76,15,16,91,93,90,93,85,19,19,3,1,15,78,78,100,84,41,48,73,5,1,80,84,4,5,76,92,91,90,93,99,56,82,86,95
Strategic,0,1,0,1,0,1,24,96,98,72,79,77,95,95,100,88,98,1,96,93,79,4,18,25,18,2,1,5,1,13,1,0,17,0,6,96,86,93,96,9,27,60,87,97,94,98,4,66,94,1,83,98,72,1,93,74,76,97,43,22,17,76,71,88,8,34,2,20,2,1,2,16,14,8,79,72,0,0,0,0,0,0,0,0,100,100,100,100,100,100,99,100,0,22,100,100,100,100,100,100,100,99,100,77,81,100,100,100,100,79,77,100,100,100,100,77,99,100,100,0,0,77,100,100,99,100,20,0,0,0,80,100,100,0,0,22,0,6,100,0,0,79,85,0,0,0,0,0,0,79,0,0,0,0,0,0,21,0,12
