,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Valence Evaluation,88,40,91,97,44,37,67,77,67,1,79,82,78,84,8,9,24,2,84,99,14,95,56,88,56,89,93,81,93,81,83,82,88,90,94,16,89,81,59,43,77,8,6,86,83,85,84,84,87,82,87,87,45,79,84,82,78,87,99,86,82,83,82,96,8,95,92,95,92,95,100,75,87,7,81,83,96,96,96,98,95,97,98,52,96,97,96,97,97,97,97,97,5,1,3,2,65,91,96,96,76,96,95,97,95,98,96,96,69,95,100,78,95,97,97,2,96,97,92,3,2,97,97,96,97,93,94,98,95,96,97,50,73,98,2,99,97,97,97,98,49,48,95,97,96,52,95,95,97,50,98,96,98,98,2,80,95,96,98
Equality,7,7,100,96,97,85,70,17,18,7,23,27,27,97,97,97,98,97,20,18,4,97,95,78,97,22,28,27,25,32,49,96,99,94,95,9,25,17,39,46,51,21,26,37,21,13,100,90,80,40,30,17,22,4,29,30,41,27,98,97,26,69,43,30,20,22,99,95,92,100,100,96,95,96,19,70,97,4,4,100,81,97,99,51,6,5,2,1,18,3,4,4,1,1,2,2,3,3,5,52,4,3,31,3,48,20,41,20,49,3,2,3,24,5,5,1,2,38,99,99,98,98,94,4,6,4,98,95,99,100,66,1,1,47,5,53,99,98,93,98,98,97,98,5,3,97,99,2,4,94,100,99,99,98,94,75,97,98,98
Activity Intensity,83,71,98,97,72,33,57,71,38,92,77,91,78,68,74,73,78,93,71,84,93,85,43,82,31,61,63,34,59,2,64,67,1,94,77,77,81,40,67,66,78,76,96,44,66,74,44,65,79,62,82,64,40,91,71,39,66,83,70,56,77,77,73,67,76,35,82,87,87,91,97,42,50,69,88,72,2,96,90,95,97,49,96,4,96,96,95,96,96,94,95,93,94,93,96,94,96,95,96,93,97,94,96,94,94,93,94,95,94,97,97,97,94,92,95,94,94,96,93,96,96,95,96,97,94,95,96,97,94,95,97,94,96,51,90,43,96,6,93,98,1,3,4,2,2,96,50,95,96,3,94,92,96,96,96,7,94,93,96
Socioemotional,97,95,98,97,96,58,59,11,3,4,37,28,5,29,20,6,2,15,50,49,16,99,9,77,70,100,98,99,96,49,47,96,66,99,77,8,54,11,8,20,18,4,6,25,26,20,74,43,29,40,29,49,28,87,31,65,64,9,82,74,100,22,17,35,18,48,95,86,87,98,97,71,71,26,16,40,96,98,94,97,29,97,83,5,3,3,3,3,4,2,3,2,8,2,3,3,3,2,2,3,2,2,3,96,2,3,3,3,4,51,89,98,3,2,4,3,98,3,3,77,2,6,2,2,1,25,93,92,96,86,1,2,1,20,2,2,97,96,2,97,15,2,28,95,96,1,96,84,96,48,96,97,98,93,2,81,81,89,97
Formality and Regulation,7,21,2,1,7,82,57,90,93,94,82,86,88,99,95,86,97,87,74,48,89,1,38,5,18,35,5,42,41,36,33,4,61,0,24,87,71,82,87,65,57,93,95,91,77,90,35,14,64,33,69,88,82,8,95,63,44,84,14,41,5,74,81,70,37,59,2,11,27,4,3,41,14,31,98,67,1,6,6,4,48,2,3,5,94,93,95,94,96,96,95,95,96,97,95,96,98,93,97,96,96,96,42,21,98,51,93,73,96,97,5,96,95,94,98,96,97,95,98,55,97,68,95,94,95,49,25,4,3,2,98,97,98,95,97,95,2,51,95,1,45,96,27,3,2,96,2,5,4,79,3,4,1,3,49,3,3,6,3
Intimacy,97,65,97,96,84,27,54,31,33,4,78,52,37,41,9,15,11,4,66,59,13,94,46,79,33,94,90,75,72,27,67,72,32,96,85,12,49,13,28,40,22,5,4,23,54,6,67,35,56,63,59,65,42,98,26,18,54,29,61,72,93,56,43,72,13,11,93,62,79,99,99,64,87,14,17,62,2,2,3,97,3,2,2,2,3,2,2,2,1,2,2,4,2,4,2,3,3,2,2,2,3,2,1,3,0,4,3,1,1,2,3,1,88,2,4,1,3,2,2,3,2,3,4,4,2,2,2,3,3,4,3,1,2,2,2,1,3,3,3,98,17,2,4,3,3,3,1,2,2,1,2,97,33,3,2,37,2,93,2
Visibility,10,13,5,4,36,19,36,71,25,63,5,1,77,21,66,92,68,20,73,35,54,20,74,62,15,7,13,21,24,63,1,29,28,3,56,57,59,70,67,16,64,59,74,4,97,27,62,72,7,5,82,2,95,3,66,67,24,11,74,68,6,95,99,72,74,92,6,11,3,1,5,68,89,74,27,11,2,2,2,6,3,6,10,4,94,96,92,97,94,92,98,95,92,92,92,92,94,97,96,92,96,24,96,11,74,95,91,98,93,95,3,97,6,95,95,95,95,5,93,97,11,7,94,96,96,94,3,96,97,2,51,95,49,98,94,52,1,94,93,5,3,48,95,5,3,20,2,4,0,49,5,5,5,5,96,4,21,3,6
Communal Sharing,43,22,98,97,79,45,61,1,25,4,24,13,3,30,9,2,6,13,40,64,3,66,64,90,67,79,73,77,67,51,33,71,79,88,74,48,80,5,13,1,8,2,1,17,28,7,75,65,36,30,31,11,31,89,31,23,27,32,73,77,80,61,32,60,4,11,75,84,59,98,97,68,92,11,5,30,92,61,91,98,46,94,94,92,4,2,3,3,14,6,5,3,4,4,3,2,6,2,6,2,3,5,4,4,6,3,6,87,2,76,3,6,1,7,1,3,4,3,2,3,94,92,4,4,5,74,95,95,94,97,49,3,6,7,2,6,96,96,24,97,51,51,88,97,45,44,97,34,87,63,90,97,94,95,80,59,97,93,97
Expected Reciprocity,10,24,95,91,96,25,70,66,37,2,23,6,63,100,2,89,5,6,32,79,6,97,66,94,51,89,6,40,21,28,69,87,49,97,91,21,65,4,24,63,10,2,3,7,35,72,67,19,84,64,92,9,12,49,12,18,11,11,52,67,69,61,11,67,3,5,96,97,93,98,99,71,75,20,4,67,97,2,3,98,98,98,97,2,3,4,4,3,2,4,3,5,3,3,2,4,2,2,4,1,2,3,2,4,3,4,2,3,2,2,2,3,5,4,1,2,2,2,98,97,97,95,88,3,3,41,96,98,96,98,3,21,1,1,1,3,98,97,97,97,1,1,77,4,3,97,97,2,2,2,95,97,98,98,96,5,98,99,95
Strategic,2,63,16,6,14,75,59,95,96,92,63,70,87,83,99,93,85,97,61,62,97,5,40,6,9,4,49,20,22,23,64,5,23,5,22,82,64,93,96,64,19,99,98,82,75,85,29,63,53,76,76,77,83,21,74,73,74,62,6,44,16,60,92,77,96,47,5,5,74,0,2,29,36,97,89,78,7,3,13,4,52,2,1,1,46,94,68,95,59,43,96,59,99,94,94,88,83,91,98,96,97,77,13,77,37,56,15,54,83,63,1,87,97,97,96,93,60,97,85,97,86,65,47,56,58,48,29,9,9,1,2,94,89,48,79,79,2,19,46,2,2,5,19,5,2,79,2,34,5,1,22,2,4,2,84,28,40,2,7
Concreteness,51,51,4,9,11,71,37,73,96,98,72,10,96,99,100,81,97,94,68,50,95,13,32,31,51,29,51,8,49,51,51,12,21,19,26,89,83,83,96,94,75,93,92,98,86,98,19,64,69,74,75,14,98,51,68,66,74,77,20,51,21,59,77,85,50,28,19,84,73,0,1,30,26,22,73,78,47,49,47,51,67,14,8,2,91,86,93,52,93,98,92,96,95,96,93,92,92,96,100,97,90,78,93,93,91,84,20,90,83,10,52,3,98,96,95,94,96,96,96,7,1,75,54,90,95,5,80,8,13,48,4,92,97,4,7,94,50,6,6,47,10,50,53,49,46,1,48,49,48,1,7,49,47,5,5,15,46,2,4
Uniqueness,92,94,99,97,90,97,71,38,37,63,19,65,30,58,58,73,23,95,45,87,78,95,26,35,34,72,93,94,70,60,85,92,60,100,72,12,35,37,27,32,82,20,73,28,9,31,13,23,80,88,46,47,44,100,26,22,83,13,28,44,95,21,36,37,87,24,94,76,81,100,100,27,25,25,31,96,89,97,98,100,96,96,98,100,34,66,84,28,94,36,73,83,61,46,14,17,8,75,17,16,29,24,80,96,9,61,37,71,34,83,90,31,58,27,74,68,29,17,40,28,96,91,74,60,47,78,90,93,83,99,99,77,64,86,16,16,77,6,59,96,92,0,81,85,98,93,94,96,100,31,93,99,90,90,48,98,84,99,91
Love Expression,100,97,100,100,100,50,64,50,49,3,77,50,40,54,2,28,39,0,75,61,24,97,51,77,80,100,98,99,90,74,61,97,69,100,89,46,76,51,51,50,49,2,1,41,51,51,76,51,51,62,51,55,49,100,51,66,60,52,63,51,98,51,51,60,22,49,97,67,74,100,100,62,78,4,51,64,66,98,82,98,3,90,96,92,3,6,4,3,3,2,5,7,4,4,3,1,3,4,5,3,3,3,3,29,3,3,3,4,3,4,53,4,18,3,3,3,2,3,3,2,5,3,3,3,2,17,3,69,80,78,3,4,2,4,3,4,76,2,10,98,27,3,27,72,84,16,91,93,98,4,64,98,88,61,4,67,2,96,81
Information Exchange,90,69,98,80,85,38,55,72,68,10,68,97,58,55,5,29,38,65,71,94,30,98,22,70,36,71,87,58,70,69,87,75,26,86,91,69,92,67,89,33,58,59,8,91,64,66,51,100,100,50,78,70,65,92,69,88,65,66,75,70,91,79,63,70,21,72,92,95,70,93,100,37,57,21,66,87,70,97,91,94,80,82,94,4,76,64,85,95,94,93,90,86,6,3,11,3,63,95,93,1,67,98,81,85,3,95,93,81,84,85,77,94,65,98,61,6,88,81,86,5,86,93,84,88,84,98,82,94,88,92,66,23,82,69,11,50,97,15,86,96,1,4,93,86,94,65,94,85,98,5,94,98,85,82,7,56,80,95,94
Money Exchange,51,83,49,7,5,41,9,96,82,4,57,90,84,78,83,49,80,3,66,51,8,3,7,3,5,51,61,37,7,67,77,9,4,2,5,83,24,90,95,93,10,4,27,84,64,6,23,81,67,91,4,97,5,51,6,5,85,82,4,5,6,38,24,5,51,10,3,6,5,51,7,8,2,26,68,51,3,3,1,6,22,2,3,2,3,78,3,3,97,4,90,39,67,2,54,3,16,3,96,89,96,75,7,54,85,21,4,44,97,44,4,4,87,88,3,4,92,95,98,5,3,4,25,6,5,4,2,2,1,2,3,94,81,91,2,3,4,3,3,1,2,3,2,2,3,23,2,3,4,6,3,3,2,2,4,4,12,3,3
Goods Exchange,78,98,1,9,12,7,7,73,56,15,87,10,88,98,80,12,82,5,81,64,82,11,18,14,21,64,89,18,77,10,42,6,8,12,53,80,69,81,87,82,14,4,11,82,85,23,8,76,79,83,80,77,81,6,13,10,73,77,9,9,13,8,62,66,63,15,10,96,25,51,7,65,7,20,82,48,3,3,5,3,92,2,4,3,6,2,2,4,2,3,1,2,3,2,2,3,3,3,3,96,92,97,2,95,93,2,3,4,3,69,2,4,95,96,4,2,3,97,3,3,3,21,3,3,6,2,4,3,2,3,3,95,98,2,4,4,3,3,2,6,2,4,3,2,3,2,3,3,3,1,3,3,3,3,3,2,4,3,4
Service Exchange,96,80,88,79,77,24,42,70,83,26,86,91,81,92,39,79,17,31,77,80,91,78,44,77,10,63,94,74,44,72,87,62,7,45,73,77,95,78,78,98,66,73,25,82,78,84,55,93,83,93,80,91,80,71,73,79,81,78,72,54,90,82,74,83,11,14,71,76,79,85,79,61,39,70,84,80,1,52,5,1,60,4,1,3,97,94,73,89,91,3,92,88,79,85,8,86,4,80,94,95,99,75,76,87,94,54,78,78,83,71,91,85,98,88,90,73,95,96,75,7,15,82,61,76,81,79,28,3,3,2,4,93,94,95,82,82,5,0,57,1,2,1,2,9,9,7,2,70,55,7,48,2,7,3,6,4,55,4,6
Attachment,92,70,98,97,89,32,32,34,28,19,79,52,16,29,9,13,45,2,45,63,12,98,35,68,55,49,84,57,60,11,56,82,19,91,73,22,51,47,41,14,42,5,4,47,47,12,54,11,55,55,41,51,23,93,2,38,48,10,56,12,89,36,33,56,7,45,98,72,59,98,98,59,59,12,19,63,77,99,98,96,78,95,98,78,17,14,2,27,9,3,3,5,3,11,1,4,4,20,41,2,9,74,44,83,5,51,47,59,32,56,79,6,59,0,3,2,59,4,75,14,12,51,15,51,32,62,79,80,95,96,6,3,8,90,96,5,89,20,53,98,22,2,49,84,81,64,90,96,99,2,86,81,75,68,3,78,56,99,97
Mating,99,100,99,99,1,98,98,1,2,2,4,1,2,2,4,2,4,2,2,3,3,3,2,2,99,98,2,2,94,99,99,3,98,2,0,1,3,3,1,3,0,1,2,3,2,1,2,2,3,100,4,1,1,3,2,3,2,2,4,2,4,3,3,1,2,3,1,3,99,99,99,3,3,2,4,3,2,97,97,98,85,2,2,81,2,2,2,3,2,3,2,2,1,2,5,2,2,0,0,3,2,2,4,6,2,3,2,2,2,2,64,2,94,2,4,2,4,5,2,2,14,1,1,1,3,3,1,2,2,2,3,2,3,3,2,1,2,2,3,95,65,3,4,87,80,2,4,92,97,3,2,99,5,5,2,80,3,98,1
Conflict,52,63,5,6,13,65,10,53,48,91,8,11,24,29,89,86,89,93,34,17,88,6,12,22,17,12,13,26,13,25,29,14,27,8,15,19,17,63,43,45,11,91,95,38,58,49,7,10,18,22,34,9,36,8,8,29,15,16,11,11,11,5,4,9,6,11,7,4,19,3,3,6,16,84,67,15,7,5,4,4,94,5,3,2,4,3,5,25,3,5,4,5,99,95,96,93,43,66,4,4,9,4,4,3,2,4,4,7,70,11,4,5,6,3,31,96,3,5,16,78,94,5,31,4,4,7,2,4,4,4,2,16,19,6,94,53,4,49,6,3,76,51,5,5,5,50,2,2,4,1,4,4,2,3,96,2,2,7,6
