,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
Foreman and Laborer,0.10706439687266925,-0.1475660346790285,-0.4485460625665216,-0.07478657924089073,0.16637171873079018,0.2850073665635341,-0.45633121273485255,-0.46188416007896416,0.3013536581209147,0.20344788346799966,0.5217100566291364,-0.7263086135814549,-0.5423503225623719,0.17356105460478827,1.2068054688578382,-0.46671188494538446,0.441368703378216,-0.759847253110183,-0.670457580485402,0.5459248276664126,0.27899240578229595,0.7401914524442647,0.20568323984440634,1.0832252732690566,1.0305726697375406,1.1728297059110009,-0.10635937118738739,-0.20535470544599457,0.3528898771211113,0.06847679843686935
Owner and Manager,-0.21088920223497826,0.0356136422270926,-0.4774124820358798,-0.13591948254572236,0.2793311117607118,0.3113615032253325,-0.8834206779040233,-0.9927863988515124,0.4232822699021762,0.262169481425828,0.46509529596650145,-0.5749143909313802,-0.6760381185695873,0.3522158216443971,1.0607366379124303,-0.14255381278393728,0.434908748969053,-0.5958588765092916,-0.2592342787652211,0.43426831857251996,-0.11760484877007316,0.46418697514583446,-0.004715910582664534,0.47922111317307153,1.0305726697375406,0.9909207330203514,-0.13566566301537294,-0.1309445396902719,0.1262719701524166,-0.3782071913666168
Union leader and union member,-0.5357548361058361,-0.07711231279205889,-0.35473019929110666,0.06581909836022226,0.3809945654876419,0.021465999945550075,-0.813533310876341,-0.9866840742679198,0.3802486422146716,0.19039863947737093,0.5405816435166811,-0.8232009160775023,-1.0870043062954708,0.3275737848113473,0.3953119636055731,-0.16848645855685296,0.2604899799216565,-0.8233266246976245,-0.4110705747849801,0.11325585492757877,0.7976195848123165,0.6602954195420878,0.533905914510637,0.6086505760507827,0.9344896108304781,0.9578463743129607,0.2257786028631156,0.15739485261315347,0.047448350337218434,-0.1912231956349249
Manager and Assistant,-0.23162530652460728,0.09902199192536516,-0.6794774183213881,-0.11146632122378979,0.12683593117031786,0.09525758259858554,-0.7125848918363554,-1.0538096446874374,0.3802486422146716,0.2164971274586284,0.21347413746590335,-0.526468239683356,-0.6661353188653489,0.30293174797829836,1.1364760317359754,-0.4083634319563241,0.3896890681049134,-0.9185456820787874,-0.7590287531635947,-0.172863949625521,-0.23200790296787185,0.27534180646796086,0.4244983562885601,0.5655074217582122,1.100451258033586,1.1066809884962192,-0.03797802358875442,-0.2611623297627866,0.24450739987521383,0.08925279796261289
Chief and Deputy,0.919612483481103,0.4865174623036981,1.2585819110519207,-0.1603726438676549,1.0989142634111435,-0.535484754840456,1.1459013868997938,0.060203609850617124,1.6059101122772854,1.5917424524709805,1.917508538644954,0.8685607064813324,-0.5288465047838653,0.6031165603081726,0.26104667455474395,-0.3276186030724724,0.7267812345466832,0.15194735696398096,-0.25463317888583437,0.011749937569494709,0.6943101601124864,-0.2588391077292404,0.20568323984440634,-0.8668453007551239,-0.1573633312952309,0.006958561475475539,-1.4739863231600467,0.1108884990158268,-0.7112289903840638,0.26584879393143296
Supervisor and Subordinate,0.5279305135658843,0.41606374041672844,1.050102214884333,0.1045366037866156,1.1867715691010827,-0.4652070570756605,1.0855048968758712,0.2500537080068282,1.5660641607147816,1.403253372606346,1.3373819787685755,0.2850047937210443,-0.425317235148648,0.38469850656068977,0.08399354613606788,-0.8403777354005801,0.4566376865271462,-0.49727348881667344,-0.09359468310730215,-0.07706774011882896,0.49323812546180956,-0.41070760002263534,-1.309190643230504,-0.9617602401987787,0.29684749262906407,-0.25763630818365074,-0.7608665553457316,-0.08443818609294522,-0.7309348953378634,0.006148799859638724
Boss and Secretary,0.6124109384495593,-0.34327081769838863,1.1703789626733254,-0.22150554717248655,1.3813127459859476,-0.43006820819326236,0.7662663067494199,-0.21101081608682754,1.4863722575897749,1.2075147127469181,1.6379294736442895,0.3400572383210713,-0.09222306327881892,0.5807147086417643,0.3594095236762304,-0.6399891089735035,0.339183969996913,0.07019362082863954,0.06744381267123054,-0.000938302100265674,0.6943101601124864,-0.021131902400448592,-1.0062158666155219,-1.5139926151436796,-0.899823331940713,-0.8943177133009235,-1.073467001510911,-0.7355271364555186,-0.5929935606612666,-0.8352791809329747
Entrepreneur and Investor,1.1423336036289717,0.8231296890969969,1.314711060020117,-0.18075027830259893,0.8165157808363396,-0.3422210859872678,0.7835224467562556,0.1347875769834144,1.518249018839778,1.2800105126948547,1.2814661657684419,0.6153194613212072,-0.15974215217135201,-0.28175658051496616,1.2545114506817598,0.7568374928858237,0.7032904912406367,0.11828405384942865,0.13646031086202984,0.4050853673320705,0.45163701484442864,0.36844379522173765,0.4834101184081399,-0.9186170859062084,0.8558761989974271,0.7924745807760067,0.7435230918241937,0.4364329741971135,0.5006841642746078,0.4320567901373813
Intern and Employee,0.9349725607326798,0.4865174623036981,1.2826372606097192,0.3015204033244063,1.0361590450611868,-0.39492935931086465,0.7317540267357496,-0.061842881821233014,1.43855711571477,1.0190256328822838,1.665887380144356,-0.6123500532593986,-0.5558541403408785,0.474305913226324,-0.2258494285966152,-0.6340953258432952,-0.5945730764184434,0.13752022705774453,-0.3984175501166669,-0.000938302100265674,0.16736275895898894,-0.3842956883194363,-0.6022494977955458,-0.6166150058582158,-1.2928903911059682,-0.24936771850680306,-0.30173465004062444,0.1945999354910148,-0.011669364524180187,-0.7833391821186159
Lawyer and Client,1.0117729469905659,0.384750975133631,1.4991354066299067,0.36265330662923795,0.9043730865262787,-0.24851748896754014,0.9819680568348603,0.2703947899521367,1.908739344152314,1.511997072528251,1.4562030813938578,-0.2655196522792275,-0.21825869587821378,0.45750452447651707,0.8069604871789949,-0.39834400063497016,0.568218717230868,-0.4924644455145948,-0.3178983022274007,-0.5084678888906864,1.165789413776142,-0.4437224896516341,-0.14778733287307275,-0.20244072464954027,0.20076443372200167,0.3542393279030788,0.333235006232396,-0.7541296778944493,0.17553673253691546,0.30740079298292006
