"","Nations","Longitude","Latitude"
"1","AU","145.842566064982","-35.1656591985428"
"2","BR","-47.5638633333333","-16.9197540869565"
"3","CL","-70.6709130353818","-33.465756133829"
"4","EG","31.1673991103203","30.1974162408759"
"5","ES","-3.16431304347826","39.7518272232305"
"6","IL","34.8762187279152","32.079714664311"
"7","JP","138.716856987296","36.0902805807623"
"8","MX","-99.1899552486188","21.3255773654917"
"9","PT","-9.12832259786477","39.934547935368"
"10","RU","49.9108957410562","54.5941121308725"
"11","ZA","26.6710385345997","-25.8210122282609"
"12","FR","2.92447635379061","47.5129682882883"
"13","DE","9.98900143369176","50.8012559352518"
"14","UK","-1.28794584040747","52.4303827118644"
"15","US","-90.7576721925134","37.3781902826855"
"16","CHN","115.12360417758","31.6638288798525"
"17","HK","114.140752754992","22.3362623424572"
"18","QT","51.5239923896499","25.2971576864536"
"19","IN","77.9866996363636","13.6260538878843"
