"","Formality","Gemeinschaft","Exchange"
"Socioemotional",0.818873448592182,0.0871637323834826,-0.165479733769032
"Love.Expression",0.789186307217876,0.214290993192918,-0.0471165052111384
"Intimacy",0.785312868900647,0.0426141467895572,0.0850597714023156
"Formality.and.Regulation",-0.737596363453272,0.178959653683014,0.327992017424347
"Mating",0.732366270006631,-0.19877028082725,0.236583582388672
"Uniqueness",0.72096689236256,0.0223734477572494,0.0455450562192689
"Attachment",0.719343662652556,0.314029120256276,0.02350036218518
"Communal.Sharing",0.673211771096067,0.317299809177933,-0.148378144370103
"Activity.Intensity",0.660693979613026,0.311199051079026,0.141346939080885
"Occupational",-0.645933432185971,0.315821389317743,0.477982038016498
"Endurance",0.540531672330593,0.376112668521642,-0.0372163898781744
"Strategic",-0.503105903169771,-0.163893156575396,0.474082432259044
"Equality",0.466555129689364,-0.00129359241146867,0.0288445364697525
"Visibility",-0.402749554002084,0.367961709310412,0.0401116327497424
"Trust",0.20596869309086,0.838142645798393,0.0446746284121478
"Morality",-0.0665746189703444,0.827208010272969,-0.156321015863791
"Conflict",0.144557869881921,-0.737773597108851,0.25188102705869
"Valence.Evaluation",0.181224590567205,0.720051613511216,0.089692227173111
"Affiliation.Coalition",0.231139841009086,0.712274723804606,0.141816539365658
"Coercion",0.135242705238145,-0.645631916793398,0.345661586994086
"Information.Exchange",0.142828024290316,0.608672069099354,0.297622701740997
"Importance.for.individuals",0.38776849021903,0.510907194167965,0.121457955291883
"Activeness",0.317382990699705,0.498786478942693,0.289363676409132
"Synchronicity",0.19769858475045,0.435606927200765,0.286448311440565
"Spatial.Distance",0.300387062332981,0.42340776665759,0.24963128374069
"Importance.for.society",-0.110833211858109,0.388745992255302,0.292255440080121
"Generation.Gap",-0.198349019919806,0.254305007014597,0.0212174311642381
"Money.Exchange",-0.0981002565022707,-0.131763823878341,0.763673414884415
"Negotiation",0.118118441915455,-0.045823066560744,0.646724989327985
"Concreteness",-0.209843643672192,-0.00925651807297048,0.614448383448025
"Service.Exchange",-0.308501794862624,0.223414458685224,0.613603099274143
"Goods.Exchange",0.0760685863496515,-0.144509931254186,0.500091221811166
"Expected.Reciprocity",0.223922915330624,0.248710283541612,0.346187878698755
