Country Name,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,"Egypt, Arab Rep.",Qatar,Russian Federation,Israel,Japan,China,"Hong Kong SAR, China"
United States,0.0,9295.556453547899,16471.403666448594,18433.500006715498,5774.626200337697,34808.14867925596,37287.639998036946,29623.617500481818,31944.626444696478,23186.015819296295,32597.20744638698,25620.7964520791,35298.14859564105,24183.524283691997,32258.3132931795,18668.019654596097,18737.2370135178,35187.93757936873,10049.089444439995
United Kingdom,9295.556453547899,0.0,7175.847212900703,9137.943553167597,3520.930253210217,25512.59222570806,27992.083544489047,20328.06104693392,22649.069991148583,13890.4593657484,23301.650992839077,16325.2399985312,26002.592142093148,14887.9678301441,22962.7568396316,9372.4632010482,9441.680559969893,25892.38112582083,753.5329908920305
Germany,16471.40366644859,7175.847212900703,0.0,1962.0963402668933,10696.777466110896,18336.74501280736,20816.23633158835,13152.21383403322,15473.22277824788,6714.612152847696,16125.80377993838,9149.392785630502,18826.74492919245,7712.120617243397,15786.909626730901,2196.6159881474937,2265.833347069197,18716.53391292013,6422.314222008601
France,18433.500006715498,9137.943553167597,1962.0963402668933,0.0,12658.873806377804,16374.648672540461,18854.13999132145,11190.11749376632,13511.12643798098,4752.515812580803,14163.70743967148,7187.296445363603,16864.64858892555,5750.024276976503,13824.813286464001,234.51964788057361,303.73700680228586,16754.43757265323,8384.410562275501
Australia,5774.626200337697,3520.930253210217,10696.777466110896,12658.873806377804,0.0,29033.52247891826,31513.01379769925,23848.99130014412,26170.000244358784,17411.389618958605,26822.581246049278,19846.1702517414,29523.52239530335,18408.898083354303,26483.687092841803,12893.393454258403,12962.610813180101,29413.31137903103,4274.4632441023105
South Africa,34808.14867925596,25512.59222570806,18336.74501280736,16374.648672540461,29033.52247891826,0.0,2479.4913187809893,5184.53117877414,2863.5222345594802,11622.132859959658,2210.94123286898,9187.35222717686,489.99991638508993,10624.62439556396,2549.83538607646,16140.12902465986,16070.911665738158,379.7889001127734,24759.05923481596
India,37287.639998036946,27992.083544489047,20816.23633158835,18854.13999132145,31513.01379769925,2479.4913187809893,0.0,7664.02249755513,5343.013553340468,14101.624178740649,4690.432551649968,11666.843545957849,1989.4914023958995,13104.115714344949,5029.326704857449,18619.62034344085,18550.402984519147,2099.7024186682193,27238.550553596946
Chile,29623.617500481818,20328.06104693392,13152.21383403322,11190.11749376632,23848.99130014412,5184.53117877414,7664.02249755513,0.0,2321.0089442146596,6437.60168118552,2973.589945905161,4002.8210484027154,5674.531095159231,5440.093216789818,2634.6957926976825,10955.59784588572,10886.380486964019,5564.320078886911,19574.528056041818
Mexico,31944.626444696478,22649.069991148583,15473.22277824788,13511.12643798098,26170.00024435878,2863.5222345594802,5343.013553340469,2321.0089442146596,0.0,8758.61062540018,652.5810016905024,6323.829992617379,3353.5221509445696,7761.10216100448,313.6868484830166,13276.60679010038,13207.389431178679,3243.3111346722494,21895.537000256478
Spain,23186.015819296295,13890.459365748398,6714.612152847696,4752.515812580803,17411.3896189586,11622.13285995966,14101.624178740649,6437.601681185519,8758.61062540018,0.0,9411.191627090679,2434.7806327828052,12112.132776344748,997.5084643957006,9072.2974738832,4517.996164700202,4448.7788057785,12001.92176007243,13136.926374856297
