,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Russia,Israel,Japan,China,Hong Kong,Qatar
United States,0.0,2.0,24.0,20.0,1.0,26.0,43.0,68.0,61.0,40.0,53.0,64.0,54.0,52.0,37.0,45.0,71.0,66.0,66.0
United Kingdom,2.0,0.0,22.0,18.0,1.0,24.0,41.0,66.0,59.0,38.0,51.0,62.0,52.0,50.0,35.0,43.0,69.0,64.0,64.0
Germany,24.0,22.0,0.0,4.0,23.0,2.0,19.0,44.0,37.0,16.0,29.0,40.0,30.0,28.0,13.0,21.0,47.0,42.0,42.0
France,20.0,18.0,4.0,0.0,19.0,6.0,23.0,48.0,41.0,20.0,33.0,44.0,34.0,32.0,17.0,25.0,51.0,46.0,46.0
Australia,1.0,1.0,23.0,19.0,0.0,25.0,42.0,67.0,60.0,39.0,52.0,63.0,53.0,51.0,36.0,44.0,70.0,65.0,65.0
South Africa,26.0,24.0,2.0,6.0,25.0,0.0,17.0,42.0,35.0,14.0,27.0,38.0,28.0,26.0,11.0,19.0,45.0,40.0,40.0
India,43.0,41.0,19.0,23.0,42.0,17.0,0.0,25.0,18.0,3.0,10.0,21.0,11.0,9.0,6.0,2.0,28.0,23.0,23.0
Chile,68.0,66.0,44.0,48.0,67.0,42.0,25.0,0.0,7.0,28.0,15.0,4.0,14.0,16.0,31.0,23.0,3.0,2.0,2.0
Mexico,61.0,59.0,37.0,41.0,60.0,35.0,18.0,7.0,0.0,21.0,8.0,3.0,7.0,9.0,24.0,16.0,10.0,5.0,5.0
Spain,40.0,38.0,16.0,20.0,39.0,14.0,3.0,28.0,21.0,0.0,13.0,24.0,14.0,12.0,3.0,5.0,31.0,26.0,26.0
Brazil,53.0,51.0,29.0,33.0,52.0,27.0,10.0,15.0,8.0,13.0,0.0,11.0,1.0,1.0,16.0,8.0,18.0,13.0,13.0
Portugal,64.0,62.0,40.0,44.0,63.0,38.0,21.0,4.0,3.0,24.0,11.0,0.0,10.0,12.0,27.0,19.0,7.0,2.0,2.0
Egypt,54.0,52.0,30.0,34.0,53.0,28.0,11.0,14.0,7.0,14.0,1.0,10.0,0.0,2.0,17.0,9.0,17.0,12.0,12.0
Russia,52.0,50.0,28.0,32.0,51.0,26.0,9.0,16.0,9.0,12.0,1.0,12.0,2.0,0.0,15.0,7.0,19.0,14.0,14.0
Israel,37.0,35.0,13.0,17.0,36.0,11.0,6.0,31.0,24.0,3.0,16.0,27.0,17.0,15.0,0.0,8.0,34.0,29.0,29.0
Japan,45.0,43.0,21.0,25.0,44.0,19.0,2.0,23.0,16.0,5.0,8.0,19.0,9.0,7.0,8.0,0.0,26.0,21.0,21.0
China,71.0,69.0,47.0,51.0,70.0,45.0,28.0,3.0,10.0,31.0,18.0,7.0,17.0,19.0,34.0,26.0,0.0,5.0,5.0
Hong Kong,66.0,64.0,42.0,46.0,65.0,40.0,23.0,2.0,5.0,26.0,13.0,2.0,12.0,14.0,29.0,21.0,5.0,0.0,0.0
Qatar,66.0,64.0,42.0,46.0,65.0,40.0,23.0,2.0,5.0,26.0,13.0,2.0,12.0,14.0,29.0,21.0,5.0,0.0,0.0
