Country Name,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,"Egypt, Arab Rep.",Qatar,Russian Federation,Israel,Japan,China,"Hong Kong SAR, China"
United States,0.0,1.4096328468587858,1.7202052951351665,1.9080538428279492,0.9922082676509666,4.278096578557305,5.123057489503092,2.7504145596935614,3.529211129520603,2.1439826773851256,3.349235427435271,2.7244947319796,4.527792836857209,3.8072390456214276,3.0159046680866077,2.1341472540962405,2.0714537258908408,3.8198662569799775,1.4696978998177395
United Kingdom,1.4096328468587858,0.0,0.8516341530834206,0.8977977041495752,1.9581797930840905,2.9912685054972292,4.145158872037521,2.2505511092214054,2.2530874473358202,1.7877296378293115,2.1831414668722946,1.8461708510528985,3.561862053635442,2.446810079913748,2.389558860833233,1.0087289357107685,0.9967341424442344,2.777209125613433,1.1620688832007078
Germany,1.7202052951351665,0.8516341530834206,0.0,0.3012270246641004,1.9146343657582487,2.6368023032503465,3.640342842612952,1.6051916286615435,1.8718092156500783,1.0799239714193898,1.7451275781517317,1.0931931726777067,3.004778969213598,2.6357853732588206,1.5793011206106329,0.9991720261543374,0.9206270663068773,2.1378966138000863,1.499923431231914
France,1.9080538428279492,0.8977977041495752,0.3012270246641004,0.0,2.0621006374607425,2.4977128093646432,3.649119992239768,1.4720248455723375,1.6485148257651763,1.0715386073953297,1.4799851268358906,1.1032532618149713,3.0107979078871185,2.3925991901781214,1.5045483569275906,0.7401079332104753,0.6635680718724833,2.0619980711619808,1.4311372036618628
Australia,0.9922082676509666,1.9581797930840905,1.9146343657582487,2.062100637460742,0.0,4.5379421441370456,5.370262002918973,2.3099771282594252,3.67339644319901,1.7785078523428994,3.352754106319971,2.798492842077586,4.72866659086731,4.172399149328151,2.7138822636397797,2.291807984402269,2.196857742733431,3.898357202832688,1.5737210603910243
South Africa,4.278096578557305,2.9912685054972292,2.6368023032503465,2.4977128093646432,4.5379421441370456,0.0,1.964100658308559,3.0766781918453354,1.1191217581524397,3.0977465840792977,1.711838441417354,1.9332482449205455,1.6004633842657052,2.160617283967327,2.5710590865905814,2.6349485140078626,2.6707803664111207,1.1677531842079332,3.7274057668815326
India,5.123057489503092,4.145158872037521,3.640342842612952,3.649119992239768,5.370262002918973,1.964100658308559,0.0,4.1594502970229685,2.843398939798274,4.011142362339774,3.3225898080141034,2.6694297079225477,0.6764743419425461,4.059798143789702,3.377436903443238,4.099083087106036,4.094360274103378,1.85283877937764,5.0611879346613
Chile,2.7504145596935614,2.2505511092214054,1.6051916286615435,1.4720248455723375,2.3099771282594252,3.0766781918453354,4.1594502970229685,0.0,2.1016734520710965,0.7239850095777576,1.585862503774981,1.6965796104363553,3.4893968398461324,3.147258148579074,0.8553545905997205,1.6108551245054423,1.5172656706208087,2.353649762223692,2.033325975470392
Mexico,3.529211129520603,2.2530874473358202,1.8718092156500783,1.6485148257651763,3.67339644319901,1.1191217581524397,2.843398939798274,2.1016734520710965,0.0,2.2101248993461224,0.6204600703050936,1.4454584982653125,2.2969320435677565,1.644355056874924,1.8222086579112444,1.6396471264495651,1.6730167417726507,1.2524787207802865,2.750529203945718
Spain,2.1439826773851256,1.7877296378293115,1.0799239714193898,1.0715386073953297,1.7785078523428994,3.0977465840792977,4.011142362339774,0.7239850095777576,2.2101248993461224,0.0,1.833077223177341,1.3855519343030531,3.3359229739563383,3.2341347889868977,0.951192705702663,1.4774758363922271,1.362287663792184,2.3231744170906286,1.770754908745575
Brazil,3.349235427435271,2.1831414668722946,1.7451275781517317,1.4799851268358906,3.352754106319971,1.711838441417354,3.3225898080141034,1.585862503774981,0.6204600703050936,1.833077223177341,0.0,1.491956234327197,2.7307408377352185,1.8132879728899165,1.494884546769707,1.3693117983698626,1.3839531958985336,1.5587198142197238,2.4261657842930866
Portugal,2.7244947319796,1.8461708510528985,1.0931931726777067,1.1032532618149713,2.798492842077586,1.9332482449205453,2.6694297079225477,1.696579610436355,1.4454584982653125,1.3855519343030531,1.491956234327197,0.0,2.003779212805321,2.7999208784472702,1.116547830405932,1.7086146620865204,1.6540054822056722,1.119823744978727,2.520610147693416
"Egypt, Arab Rep.",4.527792836857209,3.561862053635442,3.004778969213598,3.0107979078871185,4.728666590867309,1.6004633842657052,0.6764743419425454,3.4893968398461324,2.2969320435677565,3.3359229739563383,2.7307408377352185,2.003779212805321,0.0,3.6400128666702316,2.708940630870419,3.482928974146724,3.470126902561223,1.2179418762135603,4.433702879181919
Qatar,3.8072390456214276,2.446810079913748,2.6357853732588206,2.3925991901781214,4.172399149328151,2.160617283967327,4.059798143789702,3.147258148579074,1.644355056874924,3.2341347889868977,1.8132879728899165,2.7999208784472702,3.6400128666702316,0.0,3.219563381097513,1.9209436310886026,2.0323648421381866,2.8291280763464517,2.775322229375029
Russian Federation,3.0159046680866077,2.389558860833233,1.5793011206106329,1.5045483569275906,2.7138822636397797,2.5710590865905814,3.377436903443238,0.8553545905997205,1.8222086579112444,0.951192705702663,1.494884546769707,1.116547830405932,2.708940630870419,3.219563381097513,0.0,1.905436074089581,1.821246645524676,1.6424204571805803,2.565597392057878
Israel,2.1341472540962405,1.0087289357107685,0.9991720261543375,0.7401079332104753,2.291807984402269,2.6349485140078626,4.099083087106036,1.6108551245054423,1.6396471264495651,1.4774758363922271,1.3693117983698626,1.7086146620865204,3.482928974146724,1.9209436310886026,1.905436074089581,0.0,0.11934714619476883,2.4511952641266546,1.113285288433215
