,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Russia,Israel,Japan,China,Hong Kong,Qatar
United States,0.0,25.0,57.0,37.0,5.0,8.0,25.0,5.0,2.0,22.0,18.0,2.0,19.0,55.0,12.0,62.0,61.0,35.0,22.0
United Kingdom,25.0,0.0,32.0,12.0,30.0,17.0,0.0,20.0,27.0,3.0,7.0,23.0,44.0,30.0,13.0,37.0,36.0,10.0,3.0
Germany,57.0,32.0,0.0,20.0,62.0,49.0,32.0,52.0,59.0,35.0,39.0,55.0,76.0,2.0,45.0,5.0,4.0,22.0,35.0
France,37.0,12.0,20.0,0.0,42.0,29.0,12.0,32.0,39.0,15.0,19.0,35.0,56.0,18.0,25.0,25.0,24.0,2.0,15.0
Australia,5.0,30.0,62.0,42.0,0.0,13.0,30.0,10.0,3.0,27.0,23.0,7.0,14.0,60.0,17.0,67.0,66.0,40.0,27.0
South Africa,8.0,17.0,49.0,29.0,13.0,0.0,17.0,3.0,10.0,14.0,10.0,6.0,27.0,47.0,4.0,54.0,53.0,27.0,14.0
India,25.0,0.0,32.0,12.0,30.0,17.0,0.0,20.0,27.0,3.0,7.0,23.0,44.0,30.0,13.0,37.0,36.0,10.0,3.0
Chile,5.0,20.0,52.0,32.0,10.0,3.0,20.0,0.0,7.0,17.0,13.0,3.0,24.0,50.0,7.0,57.0,56.0,30.0,17.0
Mexico,2.0,27.0,59.0,39.0,3.0,10.0,27.0,7.0,0.0,24.0,20.0,4.0,17.0,57.0,14.0,64.0,63.0,37.0,24.0
Spain,22.0,3.0,35.0,15.0,27.0,14.0,3.0,17.0,24.0,0.0,4.0,20.0,41.0,33.0,10.0,40.0,39.0,13.0,0.0
Brazil,18.0,7.0,39.0,19.0,23.0,10.0,7.0,13.0,20.0,4.0,0.0,16.0,37.0,37.0,6.0,44.0,43.0,17.0,4.0
Portugal,2.0,23.0,55.0,35.0,7.0,6.0,23.0,3.0,4.0,20.0,16.0,0.0,21.0,53.0,10.0,60.0,59.0,33.0,20.0
Egypt,19.0,44.0,76.0,56.0,14.0,27.0,44.0,24.0,17.0,41.0,37.0,21.0,0.0,74.0,31.0,81.0,80.0,54.0,41.0
Russia,55.0,30.0,2.0,18.0,60.0,47.0,30.0,50.0,57.0,33.0,37.0,53.0,74.0,0.0,43.0,7.0,6.0,20.0,33.0
Israel,12.0,13.0,45.0,25.0,17.0,4.0,13.0,7.0,14.0,10.0,6.0,10.0,31.0,43.0,0.0,50.0,49.0,23.0,10.0
Japan,62.0,37.0,5.0,25.0,67.0,54.0,37.0,57.0,64.0,40.0,44.0,60.0,81.0,7.0,50.0,0.0,1.0,27.0,40.0
China,61.0,36.0,4.0,24.0,66.0,53.0,36.0,56.0,63.0,39.0,43.0,59.0,80.0,6.0,49.0,1.0,0.0,26.0,39.0
Hong Kong,35.0,10.0,22.0,2.0,40.0,27.0,10.0,30.0,37.0,13.0,17.0,33.0,54.0,20.0,23.0,27.0,26.0,0.0,13.0
Qatar,22.0,3.0,35.0,15.0,27.0,14.0,3.0,17.0,24.0,0.0,4.0,20.0,41.0,33.0,10.0,40.0,39.0,13.0,0.0
