,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Russia,Israel,Japan,China,Hong Kong,Qatar
United States,0.0,1.0,28.0,20.0,3.0,5.0,42.0,0.0,29.0,24.0,9.0,35.0,64.0,48.0,21.0,26.0,44.0,51.0,21.0
United Kingdom,1.0,0.0,29.0,21.0,2.0,6.0,43.0,1.0,28.0,25.0,10.0,36.0,65.0,49.0,22.0,27.0,45.0,52.0,22.0
Germany,28.0,29.0,0.0,8.0,31.0,23.0,14.0,28.0,57.0,4.0,19.0,7.0,36.0,20.0,7.0,2.0,16.0,23.0,7.0
France,20.0,21.0,8.0,0.0,23.0,15.0,22.0,20.0,49.0,4.0,11.0,15.0,44.0,28.0,1.0,6.0,24.0,31.0,1.0
Australia,3.0,2.0,31.0,23.0,0.0,8.0,45.0,3.0,26.0,27.0,12.0,38.0,67.0,51.0,24.0,29.0,47.0,54.0,24.0
South Africa,5.0,6.0,23.0,15.0,8.0,0.0,37.0,5.0,34.0,19.0,4.0,30.0,59.0,43.0,16.0,21.0,39.0,46.0,16.0
India,42.0,43.0,14.0,22.0,45.0,37.0,0.0,42.0,71.0,18.0,33.0,7.0,22.0,6.0,21.0,16.0,2.0,9.0,21.0
Chile,0.0,1.0,28.0,20.0,3.0,5.0,42.0,0.0,29.0,24.0,9.0,35.0,64.0,48.0,21.0,26.0,44.0,51.0,21.0
Mexico,29.0,28.0,57.0,49.0,26.0,34.0,71.0,29.0,0.0,53.0,38.0,64.0,93.0,77.0,50.0,55.0,73.0,80.0,50.0
Spain,24.0,25.0,4.0,4.0,27.0,19.0,18.0,24.0,53.0,0.0,15.0,11.0,40.0,24.0,3.0,2.0,20.0,27.0,3.0
Brazil,9.0,10.0,19.0,11.0,12.0,4.0,33.0,9.0,38.0,15.0,0.0,26.0,55.0,39.0,12.0,17.0,35.0,42.0,12.0
Portugal,35.0,36.0,7.0,15.0,38.0,30.0,7.0,35.0,64.0,11.0,26.0,0.0,29.0,13.0,14.0,9.0,9.0,16.0,14.0
Egypt,64.0,65.0,36.0,44.0,67.0,59.0,22.0,64.0,93.0,40.0,55.0,29.0,0.0,16.0,43.0,38.0,20.0,13.0,43.0
Russia,48.0,49.0,20.0,28.0,51.0,43.0,6.0,48.0,77.0,24.0,39.0,13.0,16.0,0.0,27.0,22.0,4.0,3.0,27.0
Israel,21.0,22.0,7.0,1.0,24.0,16.0,21.0,21.0,50.0,3.0,12.0,14.0,43.0,27.0,0.0,5.0,23.0,30.0,0.0
Japan,26.0,27.0,2.0,6.0,29.0,21.0,16.0,26.0,55.0,2.0,17.0,9.0,38.0,22.0,5.0,0.0,18.0,25.0,5.0
China,44.0,45.0,16.0,24.0,47.0,39.0,2.0,44.0,73.0,20.0,35.0,9.0,20.0,4.0,23.0,18.0,0.0,7.0,23.0
Hong Kong,51.0,52.0,23.0,31.0,54.0,46.0,9.0,51.0,80.0,27.0,42.0,16.0,13.0,3.0,30.0,25.0,7.0,0.0,30.0
Qatar,21.0,22.0,7.0,1.0,24.0,16.0,21.0,21.0,50.0,3.0,12.0,14.0,43.0,27.0,0.0,5.0,23.0,30.0,0.0
