,Australia,Brazil,Chile,China,Egypt,France,Germany,Hong Kong,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,Spain,United Kingdom,United States
Australia,0.0,3.7341285914796862,3.1475888733181465,6.0966086035131175,4.385810798085101,5.060598892223467,4.367531365997315,6.091047455806485,3.285242732061215,1.8352157019680126,4.950151427129782,2.807827014685213,2.5631200757606734,4.135375031007024,1.7898881855243622,2.9196733630041365,3.349262973694341,1.9092330085856646,3.3520580689625064
Brazil,3.7341285914796862,0.0,3.709532575664445,6.321637191968818,5.250583562376723,5.381934940489578,5.513039376740075,6.979221873467707,4.0813163656035,3.444002112747818,5.089572393843625,3.3190998912901564,4.360098446169172,4.047509603857282,3.0823629576509193,4.3946612939118195,4.423521612873365,4.9305039959551005,4.646122238178285
Chile,3.1475888733181465,3.709532575664445,0.0,7.735294800673086,6.7523561188860635,2.687564789847941,2.649320370978076,7.989918594644806,5.579616610017379,3.268389460302276,5.820320497161915,2.8197890886214556,1.306237497530689,6.160304673771123,1.7455660440384666,5.186014407429725,1.2518502141371763,4.028453915886792,5.964488185186638
China,6.0966086035131175,6.321637191968818,7.735294800673086,0.0,5.74317567526077,9.265484318303605,9.127589323781322,2.2152445832403016,4.325525762263109,6.378922183660079,2.8118641150537815,6.569137529558281,7.4722591946921915,5.382049178460705,6.6505182505064795,7.327689343904592,8.170838309820978,6.425153086142675,4.845261348233785
Egypt,4.385810798085101,5.250583562376723,6.7523561188860635,5.74317567526077,0.0,8.064121203617772,7.830349886433463,6.401387885438587,1.882874272063425,5.2212494156901466,5.593945553606224,4.496446627020499,6.2808824426988705,2.3392392358277276,5.059595840255209,3.427077218998379,6.872453896489444,5.349009494900237,3.058262438943449
France,5.060598892223467,5.381934940489578,2.687564789847941,9.265484318303605,8.064121203617772,0.0,1.5914408233376252,9.372200504685075,7.157061002617788,4.9274636568187296,6.958788123000637,4.347726115416465,2.8798453905037387,8.02030971773661,3.514920695367261,7.0188588865348605,1.9061191818913639,5.394617960052995,8.083658781341983
Germany,4.367531365997315,5.513039376740075,2.649320370978076,9.127589323781322,7.830349886433463,1.5914408233376252,0.0,8.934957848969226,6.939108296006687,4.124364387520886,7.039198219974428,4.577075473924131,2.449422028130348,7.896129509177994,3.2597952955821015,6.47988736887092,1.5660949740725347,4.371881913382054,7.646564922863309
Hong Kong,6.091047455806485,6.979221873467707,7.989918594644806,2.2152445832403016,6.401387885438587,9.372200504685075,8.934957848969226,0.0,5.009906853678592,6.245133313604514,3.487719511037089,7.290143131394227,7.577233643076192,6.326821149860111,6.914082685865902,7.628906264918925,8.265167909215995,5.7660816922899345,5.37381798188051
India,3.285242732061215,4.0813163656035,5.579616610017379,4.325525762263109,1.882874272063425,7.157061002617788,6.939108296006687,5.009906853678592,0.0,4.151536220045883,3.932778357056071,3.565342863261932,5.193698941605998,1.9252812490913518,3.957488936199487,3.4271786460101907,5.881802365454024,4.263100222152219,2.1403313960354646
Israel,1.8352157019680126,3.444002112747818,3.268389460302276,6.378922183660079,5.2212494156901466,4.9274636568187296,4.124364387520886,6.245133313604514,4.151536220045883,0.0,5.404002717684761,3.821459338178085,3.078976684657512,4.985535851257227,2.3416981332965388,3.8088812531727254,3.3367850207598555,2.602562717096859,4.3253322633984945
Japan,4.950151427129782,5.089572393843625,5.820320497161915,2.8118641150537815,5.593945553606224,6.958788123000637,7.039198219974428,3.487719511037089,3.932778357056071,5.404002717684761,0.0,4.818565947585539,5.580457568920581,5.281002184968915,4.9099618218188565,6.789685925454106,6.1885553371781885,5.17826657381196,5.0811560924442905
Mexico,2.807827014685213,3.3190998912901564,2.8197890886214556,6.569137529558281,4.496446627020499,4.347726115416465,4.577075473924131,7.290143131394227,3.565342863261932,3.821459338178085,4.818565947585539,0.0,2.6853624989902833,4.043602780695625,1.7859381746685639,3.8939418026696275,3.2380611984744374,4.25312645124258,4.395578320582081
Portugal,2.5631200757606734,4.360098446169172,1.306237497530689,7.4722591946921915,6.2808824426988705,2.8798453905037387,2.449422028130348,7.577233643076192,5.193698941605998,3.078976684657512,5.580457568920581,2.6853624989902833,0.0,6.043298259685316,1.4974221165375665,4.898425941866224,1.1734647118556485,3.2689718467960747,5.632573391770792
Qatar,4.135375031007024,4.047509603857282,6.160304673771123,5.382049178460705,2.3392392358277276,8.02030971773661,7.896129509177994,6.326821149860111,1.9252812490913518,4.985535851257227,5.281002184968915,4.043602780695625,6.043298259685316,0.0,4.730038495494733,3.032183290937211,6.6947118255777776,5.40458110754625,2.025132767798666
Russia,1.7898881855243622,3.0823629576509193,1.7455660440384666,6.6505182505064795,5.059595840255209,3.514920695367261,3.2597952955821015,6.914082685865902,3.957488936199487,2.3416981332965388,4.9099618218188565,1.7859381746685639,1.4974221165375665,4.730038495494733,0.0,3.86764682065202,1.98898100951483,3.00652718919386,4.581060513809325
South Africa,2.9196733630041365,4.3946612939118195,5.186014407429725,7.327689343904592,3.427077218998379,7.0188588865348605,6.47988736887092,7.628906264918925,3.4271786460101907,3.8088812531727254,6.789685925454106,3.8939418026696275,4.898425941866224,3.032183290937211,3.86764682065202,0.0,5.469215784821335,4.185157236537335,2.9046125846971633
Spain,3.349262973694341,4.423521612873365,1.2518502141371763,8.170838309820978,6.872453896489444,1.9061191818913639,1.5660949740725347,8.265167909215995,5.881802365454024,3.3367850207598555,6.1885553371781885,3.2380611984744374,1.1734647118556485,6.6947118255777776,1.98898100951483,5.469215784821335,0.0,3.9469125982538227,6.477349237495608
United Kingdom,1.9092330085856646,4.9305039959551005,4.028453915886792,6.425153086142675,5.349009494900237,5.394617960052995,4.371881913382054,5.7660816922899345,4.263100222152219,2.602562717096859,5.17826657381196,4.25312645124258,3.2689718467960747,5.40458110754625,3.00652718919386,4.185157236537335,3.9469125982538227,0.0,4.403740258881077
United States,3.3520580689626422,4.646122238178383,5.964488185186714,4.845261348233785,3.058262438943598,8.08365878134204,7.6465649228633685,5.37381798188051,2.1403313960354646,4.325332263398599,5.0811560924442905,4.395578320582184,5.6325733917708725,2.025132767798666,4.581060513809423,2.9046125846973196,6.4773492374956785,4.40374025888118,0.0
