,Australia,Brazil,Chile,China,Egypt,France,Germany,Hong Kong,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,Spain,United Kingdom,United States
Australia,0.0,31.951883759689654,13.440648381333833,24.26418234915007,14.365278117575725,14.82313075218063,16.182857685061904,17.44700862311283,15.223240410403811,13.414414495512643,14.897609980699604,14.733959861244342,11.481401329627715,9.780904594744426,17.692667690250875,5.98986313845679,15.081791072796308,10.506153266314268,6.996539976546315
Brazil,31.951883759689654,0.0,23.06501155543865,16.355960512852537,29.20486277673866,25.033190780466715,27.104146684636362,33.99868267810075,21.302456915287618,23.823248605030695,35.57037521798019,24.225203620876524,33.95580077064304,31.89281673036506,33.2899683074355,29.455498146896144,21.4629026300021,41.81132456053122,29.5374376290725
Chile,13.440648381333833,23.06501155543865,0.0,18.259856736139263,16.01400790215456,4.748654263689318,8.745636281935976,19.71607651344514,13.670245490860285,5.559917739490157,17.63447593845148,11.716432483576098,11.250638116261012,13.722997721681816,15.79112985718711,10.612535187953423,3.0131466953126766,21.878548592479834,14.630903074432942
China,24.26418234915007,16.355960512852537,18.259856736139263,0.0,22.199710648396216,21.756668926236845,22.19411981137082,19.21300707941524,16.346519878642766,15.05678103208498,22.590149027690366,19.992461920215078,25.964914784747606,20.68051523371415,24.399140555195338,21.482588860096765,18.88940882283615,32.03678208750733,20.16769775228143
Egypt,14.365278117575725,29.20486277673866,16.01400790215456,22.199710648396216,0.0,18.98911221505761,21.773261041342113,19.261859135792406,9.816645501188464,14.665390189888925,21.091027069956162,15.703746190521056,18.350730465854642,17.651580464688305,22.297881039382244,9.458908140575199,17.607284000135632,21.447186780556553,10.304396635863485
France,14.82313075218063,25.033190780466715,4.748654263689318,21.756668926236845,18.98911221505761,0.0,5.685353970465198,22.62895707304699,17.58240547485724,9.469046500215402,19.194592828995557,11.424378511996402,11.863331008913407,16.38422239762189,14.563477198770476,12.851717402989312,4.838929133543186,22.33390722024677,17.456441247347914
Germany,16.182857685061904,27.104146684636362,8.745636281935976,22.19411981137082,21.773261041342113,5.685353970465198,0.0,21.579845751273137,21.093219620474734,11.040379777813374,17.1434347825813,11.365420298229001,13.088534046180051,16.719586492830135,10.20539285597544,14.787956159742004,9.638363516110141,21.8908516102056,18.839552305308576
Hong Kong,17.44700862311283,33.99868267810075,19.71607651344514,19.21300707941524,19.261859135792406,22.62895707304699,21.579845751273137,0.0,20.744089133524632,14.620713485767178,7.598930810515346,21.63310083694602,17.705827419978416,10.6922095490264,17.717237160543124,15.70895868344752,22.450275580715495,18.8021650621753,14.25784730750748
India,15.223240410403811,21.302456915287618,13.670245490860285,16.346519878642766,9.816645501188464,17.58240547485724,21.093219620474734,20.744089133524632,0.0,12.95336250427628,22.880167497162915,15.781406242329611,20.031152400945633,17.252181299288985,24.72025223702003,12.016242305384445,14.119442627675133,24.880918310762105,11.233624052103192
Israel,13.414414495512643,23.823248605030695,5.559917739490157,15.05678103208498,14.665390189888925,9.469046500215402,11.040379777813374,14.620713485767178,12.95336250427628,0.0,13.831802433961078,12.83182659567729,11.365711499999861,10.749443203481174,14.680831629162382,9.814020033086106,8.171590459745168,20.94572265281516,12.628223834676266
Japan,14.897609980699604,35.57037521798019,17.63447593845148,22.590149027690366,21.091027069956162,19.194592828995557,17.1434347825813,7.598930810515346,22.880167497162915,13.831802433961078,0.0,19.94595320472461,13.215022916111396,8.619360528775637,12.881180537396524,14.45443595625474,20.40118697608849,14.528370175819465,14.918447503435809
Mexico,14.733959861244342,24.225203620876524,11.716432483576098,19.992461920215078,15.703746190521056,11.424378511996402,11.365420298229001,21.63310083694602,15.781406242329611,12.83182659567729,19.94595320472461,0.0,18.372540576576757,18.93266288433098,13.451897021962736,12.094593530922108,12.43631662683859,22.354957247717156,14.439883822414982
Portugal,11.481401329627715,33.95580077064304,11.250638116261012,25.964914784747606,18.350730465854642,11.863331008913407,13.088534046180051,17.705827419978416,20.031152400945633,11.365711499999861,13.215022916111396,18.372540576576757,0.0,10.086169969006463,15.556035303291345,10.738742948144473,13.469814353600476,14.61676152192177,15.276272707473126
Qatar,9.780904594744426,31.89281673036506,13.722997721681816,20.68051523371415,17.651580464688305,16.38422239762189,16.719586492830135,10.6922095490264,17.252181299288985,10.749443203481174,8.619360528775637,18.93266288433098,10.086169969006463,0.0,17.265618966977275,10.369642821661662,16.080751943834755,13.463624077729332,10.436053406469037
Russia,17.692667690250875,33.2899683074355,15.79112985718711,24.399140555195338,22.297881039382244,14.563477198770476,10.20539285597544,17.717237160543124,24.72025223702003,14.680831629162382,12.881180537396524,13.451897021962736,15.556035303291345,17.265618966977275,0.0,15.977680229093004,17.929109773425996,19.540389663878315,18.989131394033166
South Africa,5.98986313845679,29.455498146896144,10.612535187953423,21.482588860096765,9.458908140575199,12.851717402989312,14.787956159742004,15.70895868344752,12.016242305384445,9.814020033086106,14.45443595625474,12.094593530922108,10.738742948144473,10.369642821661662,15.977680229093004,0.0,12.754553392842517,14.165515724895192,6.010106022856728
Spain,15.081791072796308,21.4629026300021,3.0131466953126766,18.88940882283615,17.607284000135632,4.838929133543186,9.638363516110141,22.450275580715495,14.119442627675133,8.171590459745168,20.40118697608849,12.43631662683859,13.469814353600476,16.080751943834755,17.929109773425996,12.754553392842517,0.0,23.972555048687326,16.513352604216177
United Kingdom,10.506153266314268,41.81132456053122,21.878548592479834,32.03678208750733,21.447186780556553,22.33390722024677,21.8908516102056,18.8021650621753,24.880918310762105,20.94572265281516,14.528370175819465,22.354957247717156,14.61676152192177,13.463624077729332,19.540389663878315,14.165515724895192,23.972555048687326,0.0,14.514863059432278
United States,6.996539976546315,29.5374376290725,14.630903074432942,20.16769775228143,10.304396635863485,17.456441247347914,18.839552305308576,14.25784730750748,11.233624052103192,12.628223834676266,14.918447503435809,14.439883822414982,15.276272707473126,10.436053406469037,18.989131394033166,6.010106022856728,16.513352604216177,14.514863059432278,0.0
