,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Russia,Israel,Japan,China,Hong Kong,Qatar
United States,0.0,11.0,19.0,40.0,5.0,3.0,6.0,40.0,36.0,40.0,30.0,58.0,9.0,49.0,35.0,46.0,16.0,17.0,34.0
United Kingdom,11.0,0.0,30.0,51.0,16.0,14.0,5.0,51.0,47.0,51.0,41.0,69.0,20.0,60.0,46.0,57.0,5.0,6.0,45.0
Germany,19.0,30.0,0.0,21.0,14.0,16.0,25.0,21.0,17.0,21.0,11.0,39.0,10.0,30.0,16.0,27.0,35.0,36.0,15.0
France,40.0,51.0,21.0,0.0,35.0,37.0,46.0,0.0,4.0,0.0,10.0,18.0,31.0,9.0,5.0,6.0,56.0,57.0,6.0
Australia,5.0,16.0,14.0,35.0,0.0,2.0,11.0,35.0,31.0,35.0,25.0,53.0,4.0,44.0,30.0,41.0,21.0,22.0,29.0
South Africa,3.0,14.0,16.0,37.0,2.0,0.0,9.0,37.0,33.0,37.0,27.0,55.0,6.0,46.0,32.0,43.0,19.0,20.0,31.0
India,6.0,5.0,25.0,46.0,11.0,9.0,0.0,46.0,42.0,46.0,36.0,64.0,15.0,55.0,41.0,52.0,10.0,11.0,40.0
Chile,40.0,51.0,21.0,0.0,35.0,37.0,46.0,0.0,4.0,0.0,10.0,18.0,31.0,9.0,5.0,6.0,56.0,57.0,6.0
Mexico,36.0,47.0,17.0,4.0,31.0,33.0,42.0,4.0,0.0,4.0,6.0,22.0,27.0,13.0,1.0,10.0,52.0,53.0,2.0
Spain,40.0,51.0,21.0,0.0,35.0,37.0,46.0,0.0,4.0,0.0,10.0,18.0,31.0,9.0,5.0,6.0,56.0,57.0,6.0
Brazil,30.0,41.0,11.0,10.0,25.0,27.0,36.0,10.0,6.0,10.0,0.0,28.0,21.0,19.0,5.0,16.0,46.0,47.0,4.0
Portugal,58.0,69.0,39.0,18.0,53.0,55.0,64.0,18.0,22.0,18.0,28.0,0.0,49.0,9.0,23.0,12.0,74.0,75.0,24.0
Egypt,9.0,20.0,10.0,31.0,4.0,6.0,15.0,31.0,27.0,31.0,21.0,49.0,0.0,40.0,26.0,37.0,25.0,26.0,25.0
Russia,49.0,60.0,30.0,9.0,44.0,46.0,55.0,9.0,13.0,9.0,19.0,9.0,40.0,0.0,14.0,3.0,65.0,66.0,15.0
Israel,35.0,46.0,16.0,5.0,30.0,32.0,41.0,5.0,1.0,5.0,5.0,23.0,26.0,14.0,0.0,11.0,51.0,52.0,1.0
Japan,46.0,57.0,27.0,6.0,41.0,43.0,52.0,6.0,10.0,6.0,16.0,12.0,37.0,3.0,11.0,0.0,62.0,63.0,12.0
China,16.0,5.0,35.0,56.0,21.0,19.0,10.0,56.0,52.0,56.0,46.0,74.0,25.0,65.0,51.0,62.0,0.0,1.0,50.0
Hong Kong,17.0,6.0,36.0,57.0,22.0,20.0,11.0,57.0,53.0,57.0,47.0,75.0,26.0,66.0,52.0,63.0,1.0,0.0,51.0
Qatar,34.0,45.0,15.0,6.0,29.0,31.0,40.0,6.0,2.0,6.0,4.0,24.0,25.0,15.0,1.0,12.0,50.0,51.0,0.0
