Nations,Australia,Brazil,Chile,Egypt,Spain,Israel,Japan,Mexico,Portugal,Russia,South Africa,France,Germany,United Kingdom,United States,China,Hong Kong,Qatar,India
Australia,0.0,194.26517958230366,216.52015222550213,131.9951724691457,166.78033398283952,129.75157245371125,71.6113446606668,251.46012870502136,172.20922581650152,131.37618477971412,119.53733897975644,165.11007183172046,160.7684718194056,171.2321643325954,247.47178193939945,73.55158120155212,65.66183021589008,112.03457311456306,83.57661083876418
Brazil,194.26517958230366,0.0,28.42016765974641,91.7531439532313,71.99297322561267,95.90263326854878,193.6764584103558,64.24919256626931,68.62727191634309,120.89483743107729,74.76665734562933,81.8574868741102,88.87332244282663,83.37206974592871,69.38279243906106,169.7868564569345,166.40137530592435,107.70641016869813,129.2129647025985
Chile,216.52015222550213,28.42016765974641,0.0,120.10013046526291,99.58893289301356,124.24333288332411,220.63834772116743,61.769134648981314,95.78671659410928,149.31347228775118,97.64167985421396,109.42502067052487,116.64883679728024,110.4180365931981,73.63655774201469,196.8793170447812,193.05236879117035,135.59009902519944,155.9382069240142
Egypt,131.9951724691457,91.7531439532313,120.10013046526291,0.0,35.63640313683737,4.1591333611260195,107.71077820980837,130.65890463597898,41.455481202269596,30.765523500632387,56.198590611454705,33.1284021437443,29.547296636174668,39.34023657630486,122.1363440067027,83.96901058810265,83.34491684083272,20.938085486122873,49.66545028743277
Spain,166.78033398283952,71.99297322561267,99.58893289301356,35.63640313683737,0.0,38.806486167983984,141.9284091948035,97.77755695864673,5.966807926659668,55.11144353678874,72.04127620343765,9.864515549658794,17.17846200243836,12.816650232939262,87.62551408681298,118.5641053727251,118.59081065799346,56.56631703014266,85.25281749928835
Israel,129.75157245371125,95.90263326854878,124.24333288332411,4.1591333611260195,38.806486167983984,0.0,103.91805808096903,134.49680469991767,44.70009019391633,27.07285737103058,58.47921986915387,35.483787262215714,31.14273097589653,41.4969455397302,125.74557006747472,80.24846313639144,79.8611371346934,17.97641362691361,46.89404184014971
Japan,71.6113446606668,193.6764584103558,220.63834772116743,107.71077820980837,141.9284091948035,103.91805808096903,0.0,238.3645270920909,147.8951504340154,90.71323242693647,128.01278691606456,136.27196496722405,129.56571149290806,140.95511255675015,229.47814331296894,24.004896424211886,28.163059411141994,87.85833563536492,64.75178371095326
Mexico,251.46012870502136,64.24919256626931,61.769134648981314,130.65890463597898,97.77755695864673,134.49680469991767,238.3645270920909,0.0,91.96407701716424,152.76733672817468,134.401602171254,105.41886256740248,113.08784289112913,102.72444870504305,18.13256128742604,214.56276752599157,213.33310216940765,150.7662676578248,177.3438741536601
Portugal,172.20922581650152,68.62727191634309,95.78671659410928,41.455481202269596,5.966807926659668,44.70009019391633,147.8951504340154,91.96407701716424,0.0,60.83199917973077,74.86913883866602,14.237359923055482,21.989939083629782,14.751860706586385,81.6693680598717,124.5268890914127,124.51893271923342,62.39356142050527,91.00090086755252
Russia,131.37618477971412,120.89483743107728,149.31347228775118,30.765523500632394,55.11144353678874,27.07285737103058,90.71323242693647,152.76733672817468,60.83199917973077,0.0,83.70593281826238,47.51700963654853,40.101663345271064,51.24454218877275,141.71814975020783,69.12666080908426,71.8751932938078,29.341329558519956,49.66520472712547
South Africa,119.53733897975644,74.76665734562933,97.64167985421398,56.198590611454705,72.04127620343763,58.47921986915387,128.01278691606456,134.401602171254,74.86913883866602,83.70593281826237,0.0,77.08288989189737,78.41723242494417,83.09624309833606,133.35531972614154,105.49105806203487,99.8502579289899,56.83956906537277,64.72532812301547
France,165.1100718317205,81.8574868741102,109.42502067052487,33.1284021437443,9.864515549658806,35.483787262215714,136.27196496722405,105.41886256740248,14.237359923055482,47.51700963654853,77.08288989189738,0.0,7.792326371186703,6.474987669372593,94.2287571876657,113.31301562239294,114.03037608026145,53.43645945932882,82.35690822384147
Germany,160.7684718194056,88.87332244282663,116.64883679728024,29.547296636174668,17.178462002438362,31.14273097589653,129.56571149290806,113.08784289112913,21.989939083629782,40.101663345271064,78.41723242494417,7.792326371186703,0.0,11.394015703574711,101.63695655623228,106.86218139847901,107.97149241004833,48.74027596619303,77.4963393249809
United Kingdom,171.2321643325954,83.37206974592871,110.4180365931981,39.34023657630486,12.81665023293927,41.4969455397302,140.95511255675015,102.72444870504305,14.751860706586385,51.24454218877275,83.09624309833606,6.474987669372593,11.394015703574711,0.0,90.72706558736282,118.24930756959938,119.28721872257725,59.37434395086222,88.26236656214452
United States,247.47178193939945,69.38279243906106,73.63655774201469,122.1363440067027,87.62551408681298,125.74557006747472,229.47814331296894,18.13256128742604,81.6693680598717,141.71814975020783,133.35531972614154,94.2287571876657,101.63695655623228,90.72706558736282,0.0,205.9605639295673,205.4498093441189,142.7936392984515,170.40782554621856
China,73.55158120155211,169.7868564569345,196.8793170447812,83.96901058810265,118.5641053727251,80.24846313639144,24.004896424211925,214.56276752599157,124.5268890914127,69.12666080908427,105.49105806203485,113.31301562239294,106.86218139847901,118.24930756959938,205.9605639295673,0.0,9.379205426506516,63.91748684377592,41.285724008286664
Hong Kong,65.66183021589008,166.40137530592435,193.05236879117035,83.34491684083272,118.59081065799346,79.8611371346934,28.163059411141994,213.33310216940765,124.51893271923342,71.87519329380781,99.85025792898989,114.03037608026145,107.97149241004833,119.28721872257726,205.4498093441189,9.379205426506516,0.0,62.68672575208404,37.188483313232325
Qatar,112.03457311456306,107.70641016869811,135.59009902519944,20.938085486122873,56.56631703014266,17.97641362691361,87.85833563536492,150.7662676578248,62.39356142050527,29.34132955851995,56.83956906537277,53.43645945932882,48.74027596619303,59.37434395086222,142.7936392984515,63.917486843775926,62.686725752084044,0.0,28.922128879278187
India,83.57661083876418,129.2129647025985,155.9382069240142,49.66545028743277,85.25281749928834,46.89404184014971,64.75178371095326,177.3438741536601,91.00090086755252,49.66520472712547,64.72532812301547,82.35690822384147,77.4963393249809,88.26236656214452,170.40782554621856,41.28572400828667,37.18848331323234,28.92212887927818,0.0
