,Dim1,Dim2,cl_k3,cl_k6
wife and husband,9.169172,14.015932,0,5
nurse and patient,5.8597875,11.669464,1,0
officer and soldier,4.5044103,11.6497965,1,0
neighbors,9.414443,11.971511,0,1
athletic trainer and trainee,8.868757,10.551916,0,2
police officer and offender,5.7769217,7.8058743,2,3
principal and teacher,4.51068,11.484512,1,0
doctor and nurse,4.5559096,11.5604515,1,0
victim and criminal,5.502111,7.3873634,2,3
coach and athlete,9.447564,11.3203745,0,1
man and god,9.291486,11.432651,0,1
half siblings,9.282581,12.845916,0,5
parent and teenager,8.408252,13.086734,0,5
prostitute and customer,5.2070746,9.140182,2,3
church members,8.073151,11.005614,0,4
foreman and laborer,4.5665717,10.996541,1,0
a person and their family friends,9.15947,12.416875,0,1
a person and their social media follower,9.545395,9.432224,0,2
guide and tourist,9.8534975,9.742035,0,2
bride and bridesmaid,8.578825,13.042438,0,5
teammates in sports,8.123993,11.832738,0,4
twins,9.3324995,13.270966,0,5
celebrity and haters,9.346536,9.271487,0,2
employer and employee,5.762812,10.649575,1,0
teacher and student,7.2064166,11.871167,0,4
guest and host,4.6524243,11.776132,1,0
man wife and man mistress,5.249117,8.277557,2,3
religious followers,4.9068575,11.490389,1,0
intern and employee,4.858817,10.341385,1,0
criminal and police officer,5.4563694,7.5687494,2,3
step grandparent and step grandchild,9.347592,12.097646,0,1
chef and customer,6.0814843,10.819235,1,0
union leader and union member,6.456555,11.010948,1,4
professor and graduate student,7.3016353,12.028927,0,4
second cousins,8.968437,11.095769,0,1
fans of the same sports team,9.756656,9.553157,0,2
master and servant,4.6155505,11.031559,1,0
siblings,8.926306,13.266588,0,5
landlord and housekeeper,5.16269,9.981558,1,0
close friends,9.846069,12.409622,0,1
entrepreneur and investor,5.903325,9.692166,2,3
fraternity brothers,9.962452,12.114559,0,1
psychologist and client,6.981313,12.089496,1,4
chief and deputy,5.703196,10.884631,1,0
sugar daddy and sugar baby,5.572263,12.64223,1,0
uncle and niece/nephew,8.496208,13.441703,0,5
childhood friends,9.103078,13.750772,0,5
ex lovers,7.9312468,10.619487,0,4
man and his mistress,5.401139,12.526119,1,0
step siblings,8.468665,13.084951,0,5
confidants,8.905086,12.795028,0,5
parole officer and parolee,5.7073154,8.216303,2,3
grandparent and grandchild,9.082758,13.382019,0,5
judge and contestant,9.345585,9.916401,0,2
romantic lovers,8.952881,14.120251,0,5
researcher and research subject,4.846669,10.380007,1,0
brother and sister,9.180936,13.04807,0,5
therapist and patient,6.8898935,11.994535,1,4
parent and infant,9.284721,13.359206,0,5
slave and master,5.231455,7.8754454,2,3
reader and writer,9.427717,9.432888,0,2
representative and citizen,6.5707426,10.905427,1,4
criminal and hostage,5.454679,7.447978,2,3
