,Dim1,Dim2,cl_k3,cl_k6
wife and husband,-2.1206324,3.8300703,0,3
nurse and patient,10.281248,5.6043973,1,2
officer and soldier,12.043257,6.8773446,1,2
neighbors,8.016091,-1.2193449,2,1
athletic trainer and trainee,11.035081,7.2114663,1,2
police officer and offender,8.062974,-2.4410858,2,1
principal and teacher,11.67716,7.1959476,1,2
doctor and nurse,10.051798,5.8755527,1,2
victim and criminal,8.20834,0.7031448,2,1
coach and athlete,10.66258,7.565127,1,2
man and god,-2.0332353,3.5606384,0,3
half siblings,4.1481724,11.905902,0,4
parent and teenager,3.9301667,12.212789,0,4
prostitute and customer,8.03697,10.104749,1,0
church members,5.6154313,11.437779,0,4
foreman and laborer,11.123219,6.0712833,1,2
a person and their family friends,5.021979,11.662724,0,4
a person and their social media follower,10.269322,8.028975,1,2
guide and tourist,11.892971,5.889352,1,2
bride and bridesmaid,2.9735353,8.527932,0,5
teammates in sports,7.6706944,10.39386,1,0
twins,2.8987823,8.72666,0,5
celebrity and haters,8.144039,0.21235839,2,1
employer and employee,11.949783,7.011173,1,2
teacher and student,11.218942,6.2385464,1,2
guest and host,11.639003,6.5456605,1,2
man wife and man mistress,8.119972,-0.20595063,2,1
religious followers,5.7661157,11.2638,0,4
intern and employee,10.932535,6.442293,1,2
criminal and police officer,7.9520693,-2.3446558,2,1
step grandparent and step grandchild,6.8731503,10.497933,0,0
chef and customer,8.627037,9.852605,1,0
union leader and union member,11.915238,6.8859005,1,2
professor and graduate student,10.766781,7.7663684,1,2
second cousins,6.954648,10.394368,0,0
fans of the same sports team,7.0988517,10.628854,0,0
master and servant,7.975579,-2.366978,2,1
siblings,2.8505504,8.595753,0,5
landlord and housekeeper,12.011274,6.4858394,1,2
close friends,2.8942866,8.56029,0,5
entrepreneur and investor,8.589971,9.919307,1,0
fraternity brothers,5.46418,11.119926,0,4
psychologist and client,10.18209,5.7991147,1,2
chief and deputy,11.471526,7.4821706,1,2
sugar daddy and sugar baby,7.918125,10.215286,1,0
uncle and niece/nephew,4.1177044,12.186363,0,4
childhood friends,2.9639173,8.308929,0,5
ex lovers,8.102828,0.7070246,2,1
man and his mistress,7.853026,10.235556,1,0
step siblings,8.156316,0.2846725,2,1
confidants,5.6772213,11.406614,0,4
parole officer and parolee,7.8089614,-2.1933324,2,1
grandparent and grandchild,3.8698199,12.229307,0,4
judge and contestant,11.393207,7.5287924,1,2
romantic lovers,-2.2906551,3.914633,0,3
researcher and research subject,10.952516,7.2658234,1,2
brother and sister,2.7866254,8.581703,0,5
therapist and patient,10.085174,5.834006,1,2
parent and infant,-1.940267,3.4714367,0,3
slave and master,8.036823,-2.4237254,2,1
reader and writer,10.656672,7.311936,1,2
representative and citizen,10.333937,5.6334643,1,2
criminal and hostage,8.014915,0.5363449,2,1
ancestor and descendant,4.129744,12.072131,0,4
peers,7.9781833,-1.0446675,2,1
groom and groomsman,2.8157518,8.438795,0,5
opposing negotiators,8.134184,1.4012752,2,1
adoptive parents and adopted kids,4.0397425,12.033727,0,4
driver and passenger,10.839501,7.5843043,1,2
a person and their significant other,-2.1895545,4.1381936,0,3
romantic rivals,8.123597,0.6037678,2,1
strangers,7.961102,-1.539476,2,1
predecessor and successor,8.107354,-0.3987673,2,1
a person and their crush,7.201649,10.652667,0,0
brothers in arms,2.6485243,8.308069,0,5
playmates,2.6434617,8.417883,0,5
volunteer and organizer,10.812183,7.5811367,1,2
a monarch and their minister,5.7565384,11.292185,0,4
roommates,7.288715,10.603782,0,0
criminal and prosecutor,7.793224,-2.1595776,2,1
friends,2.9402382,8.344559,0,5
television host and guest,11.2729645,5.959812,1,2
university student and administrator,10.727126,7.6989155,1,2
life partners,-2.0660982,3.624522,0,3
political allies,5.4253974,11.085829,0,4
criminal and their accomplice,5.5909,11.42189,0,4
consultant and client,10.409714,5.6656184,1,2
diplomats,11.722281,5.9505153,1,2
bully and victim,7.912197,-2.014497,2,1
close relatives,2.9417171,8.571234,0,5
godparent and godchild,3.9614666,12.009741,0,4
guard and prisoner,7.8916245,-2.2478535,2,1
fans of opposing sports teams,8.132926,1.411372,2,1
pen friends,5.7121615,11.537835,0,4
mentor and mentee,11.424341,6.700016,1,2
casual acquaintances,8.088906,-1.1853626,2,1
judge and lawyer,11.0122,6.3347235,1,2
student and dorm resident assistant,10.741924,7.7116914,1,2
superior and subordinate,9.999611,6.063779,1,2
step parent and step child,4.0821834,12.1608305,0,4
boss and secretary,11.702632,6.29389,1,2
dealer and buyer,8.135066,9.992435,1,0
