,Dim1,Dim2,cl_k3,cl_k6
wife and husband,6.6230397,9.7504015,0,0
nurse and patient,4.880757,12.037469,1,4
officer and soldier,2.066011,11.378928,1,1
neighbors,9.731332,10.907856,0,5
athletic trainer and trainee,1.6825304,8.55818,2,3
police officer and offender,1.651834,10.65663,1,1
principal and teacher,7.2730927,11.334786,0,0
doctor and nurse,5.77891,11.7173815,0,4
victim and criminal,1.7615418,10.656795,1,1
coach and athlete,1.5772611,8.584968,2,3
man and god,1.7641498,6.0976324,2,3
half siblings,9.559095,11.118713,0,5
parent and teenager,9.951476,10.3611145,0,5
prostitute and customer,4.2249074,11.951921,1,2
church members,1.7643718,6.0224004,2,3
foreman and laborer,2.3451626,10.825397,1,1
a person and their family friends,10.047034,10.364674,0,5
a person and their social media follower,2.090657,7.3159924,2,3
guide and tourist,2.2577903,11.3630085,1,1
bride and bridesmaid,6.2643437,11.433951,0,4
teammates in sports,1.5738488,8.272958,2,3
twins,10.054903,10.039154,0,5
celebrity and haters,1.8352417,7.5942955,2,3
employer and employee,2.593644,11.475525,1,1
teacher and student,7.188278,11.365357,0,0
guest and host,9.427953,10.609891,0,5
man wife and man mistress,1.7572047,9.629081,1,1
religious followers,1.7096539,6.07786,2,3
intern and employee,7.9444556,11.0508585,0,0
criminal and police officer,1.684489,10.357078,1,1
step grandparent and step grandchild,9.835778,11.079984,0,5
chef and customer,3.188283,12.642891,1,2
union leader and union member,2.5696373,10.962056,1,1
professor and graduate student,7.777197,11.030519,0,0
second cousins,10.055347,10.912508,0,5
fans of the same sports team,2.18084,7.993079,2,3
master and servant,2.2790904,10.71439,1,1
siblings,9.890455,10.129463,0,5
landlord and housekeeper,5.1935096,11.627392,1,4
close friends,6.2421985,11.108746,0,4
entrepreneur and investor,3.7364054,12.378786,1,2
fraternity brothers,5.98498,11.401083,0,4
psychologist and client,5.043544,11.839666,1,4
chief and deputy,1.9406095,11.196501,1,1
sugar daddy and sugar baby,1.9166127,9.167639,2,1
uncle and niece/nephew,9.665465,10.534634,0,5
childhood friends,6.3143086,11.95704,0,4
ex lovers,1.9649842,10.020068,1,1
man and his mistress,1.6428415,9.728475,1,1
step siblings,10.157908,10.987414,0,5
confidants,6.2763267,11.858324,0,4
parole officer and parolee,1.6515024,9.993301,1,1
grandparent and grandchild,9.973594,10.521743,0,5
judge and contestant,1.6328485,11.272437,1,1
romantic lovers,6.6417866,9.874897,0,0
researcher and research subject,8.098584,11.069424,0,0
brother and sister,9.827877,10.17288,0,5
therapist and patient,5.041613,11.797442,1,4
parent and infant,10.114229,10.111629,0,5
slave and master,2.2326503,10.353556,1,1
reader and writer,2.0968137,11.21559,1,1
representative and citizen,2.1076112,6.94832,2,3
criminal and hostage,1.8441052,10.581784,1,1
ancestor and descendant,9.689791,10.551423,0,5
peers,6.407039,11.747602,0,4
groom and groomsman,6.054139,11.463006,0,4
opposing negotiators,1.885925,7.028882,2,3
adoptive parents and adopted kids,10.090478,10.90587,0,5
driver and passenger,2.35191,11.48712,1,1
a person and their significant other,6.596704,9.9242525,0,0
romantic rivals,1.7837455,9.833792,1,1
strangers,9.377945,10.940272,0,5
predecessor and successor,1.7390971,6.0894704,2,3
a person and their crush,6.979162,9.892677,0,0
brothers in arms,2.090645,11.4254265,1,1
playmates,6.217761,11.955036,0,4
volunteer and organizer,3.3417513,12.518314,1,2
a monarch and their minister,1.7305763,6.1026344,2,3
roommates,6.073154,11.168538,0,4
criminal and prosecutor,1.8402017,10.912536,1,1
friends,6.2965875,11.793323,0,4
television host and guest,2.1628928,7.3340335,2,3
university student and administrator,7.6230555,11.259341,0,0
life partners,7.0614953,9.967827,0,0
political allies,1.9664519,7.0693693,2,3
criminal and their accomplice,2.0334566,10.6065235,1,1
consultant and client,3.0268285,12.564915,1,2
diplomats,2.2203457,6.950264,2,3
bully and victim,5.6801634,11.562417,0,4
close relatives,9.722528,10.043866,0,5
godparent and godchild,10.192206,10.696718,0,5
guard and prisoner,1.6427718,10.119448,1,1
fans of opposing sports teams,1.822131,8.112634,2,3
pen friends,5.6365256,11.750342,0,4
mentor and mentee,8.060929,11.042624,0,0
casual acquaintances,6.458765,11.702816,0,4
judge and lawyer,1.5039687,11.140397,1,1
student and dorm resident assistant,7.085728,11.380037,0,0
superior and subordinate,3.8089483,11.6362095,1,2
step parent and step child,9.8878565,10.99713,0,5
boss and secretary,3.810685,12.409384,1,2
dealer and buyer,3.2992928,12.56368,1,2
salesperson and customer,3.2041972,12.479903,1,2
sports rivals,1.615864,8.030231,2,3
professor and teaching assistant,7.5080605,11.253298,0,0
cohabitants,2.1109366,10.421044,1,1
celebrity and fans,1.9182416,7.455498,2,3
athlete and referee,1.6865599,8.892391,2,3
soul mates,6.440165,9.975394,0,0
enemies,1.7134681,9.682777,1,1
long distance lovers,1.9062232,8.64482,2,3
team captain and team members,1.7733179,8.516597,2,3
alumni,7.079214,11.447625,0,0
politician and supporter,2.0680513,7.192057,2,3
patient and caretaker,5.2068634,12.024705,1,4
babysitter and infant,3.8641832,12.045679,1,2
co workers,3.7049634,12.307123,1,2
competitors in sports,1.7584102,7.6554627,2,3
manager and staff,3.0086415,12.0202265,1,2
interviewer and job applicant,8.08984,11.077675,0,0
reviewer and writer,1.9151644,7.4929543,2,3
performer and audience,1.8416086,7.5536056,2,3
frenemies,1.9808786,9.3675165,2,1
religious leader and congregant,1.7727762,6.0313997,2,3
a person and their deceased spouse,2.1551893,8.781633,2,3
distant relatives,8.112529,11.090846,0,0
divorced spouses,1.6116151,10.00847,1,1
defendant and plaintiff,1.5606434,11.144619,1,1
a person and their in laws,9.773322,10.108589,0,5
lawyer and client,1.9285684,11.416912,1,1
customer and businessman,3.2212598,12.040274,1,2
fiance and fiancee,7.0075383,9.877737,0,0
facebook friends,2.1164374,7.437465,2,3
drug dealer and addict,4.101055,11.934893,1,2
police officer and civilian,1.580264,10.2084255,1,1
cousins,9.928323,10.364505,0,5
mother and infant,10.064807,10.082941,0,5
landlord and tenant,5.212102,11.676065,1,4
director and performer,1.8651328,7.527752,2,3
native and tourist,9.870241,10.789115,0,5
owner and manager,2.7959273,11.833355,1,2
customer and server,3.1036036,12.554284,1,2
companions,6.487941,11.817025,0,4
doctor and patient,5.253004,11.973615,1,4
aunt and niece/nephew,9.713011,10.641358,0,5
parent and child,9.883451,10.3293295,0,5
leader and follower,2.0065806,7.0984325,2,3
supervisor and subordinate,3.824928,12.407625,1,2
bride and groom,6.9566493,9.868404,0,0
sorority sisters,6.279783,11.651901,0,4
classmates,5.896444,11.774436,0,4
club member and club president,5.6373153,11.646472,0,4
political opponents,1.9453171,6.9891577,2,3
friends with benefits,6.3427505,10.428746,0,0
foster parent and foster child,9.5898,11.045457,0,5
business rivals,2.9181345,11.477141,1,2
manager and assistant,3.6859608,12.494623,1,2
victim and witness,2.0585573,10.81903,1,1
business partners,3.7449908,12.375825,1,2
