,Dim1,Dim2,cl_k3,cl_k6
wife and husband,7.020953,8.546745,1,4
nurse and patient,1.2445654,8.0342045,0,5
officer and soldier,3.0086052,4.4957314,0,2
neighbors,4.7134337,6.7159405,2,1
athletic trainer and trainee,1.2960622,8.145629,0,5
police officer and offender,5.5027804,5.4524093,2,1
principal and teacher,2.1380835,4.318595,0,2
doctor and nurse,1.2355846,8.163448,0,5
victim and criminal,6.653002,4.9936423,2,3
coach and athlete,3.4748387,3.913207,2,1
man and god,4.193197,7.382379,0,5
half siblings,5.6995544,10.075543,1,0
parent and teenager,5.498995,9.857906,1,0
prostitute and customer,1.7241918,4.603321,0,2
church members,2.84289,8.073316,0,5
foreman and laborer,1.8042436,4.129825,0,2
a person and their family friends,4.150444,9.399089,1,0
a person and their social media follower,2.56323,8.434713,0,5
guide and tourist,4.4042788,4.1487556,2,1
bride and bridesmaid,4.2700977,10.565231,1,0
teammates in sports,4.708329,9.250881,1,0
twins,5.929669,9.768916,1,0
celebrity and haters,7.4224806,4.7217402,2,3
employer and employee,2.0154307,4.869124,0,2
teacher and student,2.742454,4.1342726,0,2
guest and host,2.3595457,7.7670913,0,5
man wife and man mistress,7.2336226,4.519869,2,3
religious followers,4.376807,3.5992525,2,1
intern and employee,2.9031594,4.0591745,0,2
criminal and police officer,6.20917,4.7991242,2,3
step grandparent and step grandchild,5.5501094,9.860455,1,0
chef and customer,1.756075,8.039212,0,5
union leader and union member,4.3367624,3.498768,2,1
professor and graduate student,3.704501,3.7361124,2,1
second cousins,2.472399,7.789366,0,5
fans of the same sports team,2.9621153,8.401253,0,5
master and servant,6.845202,4.876517,2,3
siblings,5.3997073,10.321244,1,0
landlord and housekeeper,1.8025486,4.968403,0,2
close friends,4.2621922,10.371924,1,0
entrepreneur and investor,2.3271685,4.4067273,0,2
fraternity brothers,4.23024,10.595143,1,0
psychologist and client,1.3083956,7.986473,0,5
chief and deputy,2.8468413,4.064721,0,2
sugar daddy and sugar baby,6.298945,8.214331,1,4
uncle and niece/nephew,5.4002285,9.60019,1,0
childhood friends,4.375744,10.529434,1,0
ex lovers,7.74276,4.3326645,2,3
man and his mistress,6.6176105,8.447008,1,4
step siblings,5.5068192,10.249501,1,0
confidants,4.2869167,10.437615,1,0
parole officer and parolee,5.6278887,5.328535,2,1
grandparent and grandchild,5.862615,10.069138,1,0
judge and contestant,3.9004078,4.434492,2,1
romantic lovers,7.1860595,8.560868,1,4
researcher and research subject,4.3800693,4.077468,2,1
brother and sister,5.3601646,10.328077,1,0
therapist and patient,1.2806126,7.901684,0,5
parent and infant,6.148758,10.169804,1,0
slave and master,6.583631,4.762863,2,3
reader and writer,3.8437383,4.3285737,2,1
representative and citizen,4.5335417,5.419284,2,1
criminal and hostage,6.5423737,4.5490685,2,3
ancestor and descendant,5.3551674,7.433933,1,4
peers,5.194646,7.4474654,1,4
