,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation_Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
Professor and Graduate student,0.8382977705376933,-1.0887478691880454,0.0363413071836323,-0.7972309999257654,1.273788622704678,-0.5299219659507479,0.41264205133505444,-0.588520124812001,-1.0757393761518104,0.4161191965436543,0.39075088920518203,-0.8167441828115406,-0.5935401846733526,1.4028808958319645,-0.010827737972634548,1.022208804986678,0.7387983778738414,-0.22074072956089066,-0.6929245694931392,-0.3671662156304168,0.12484012014854892,-0.12168692608503835,0.3084122422185124,-0.2221302884143182,0.3089981212430621,0.9808195292137771,0.28469108149342415,-1.076030464495603,0.47457484791681775,0.45246344682709994
Master and Servant,-0.6462438218183083,-1.376201421403404,0.3615713002737731,-0.7757483392578539,0.9727061578593643,-0.4632396303453785,-0.7436038213498649,-1.1685365305578828,-1.5245146957368902,0.524817514218402,0.35666444058416585,0.27220471503102545,-0.8906527807964767,-0.2662301721406308,0.4486738485071622,-0.03722964685216623,1.3185136690121018,-0.38924684492237877,0.6137247048467891,1.3546159708696257,-1.7721395591289213,2.7790026833627666,-1.2656638730881602,-0.03958489051089854,-1.5589046516006286,0.3370962556407696,0.18532566546836035,-0.1432774532197561,-0.4107446441413318,0.3637444667426235
Between Close Friends,0.8791050749721239,1.4698664784293367,1.404813524661245,1.4722586520628775,-1.2021751142029964,1.3974921513552314,-0.6305873074784066,1.4150317654757811,1.4351374875953626,-1.1592289835409506,-0.8137402543392689,0.67573621502847,1.5368607734583277,0.9487632075872512,-0.9382083327458978,0.34616394326522343,-0.8111184157025773,1.589728154233103,0.18052292386616595,-1.1315700379664178,0.8226007755371106,-0.7676416648439413,-0.011841984313455803,1.5702973850781428,0.982833346211316,-1.186996421009141,1.0929222779115804,1.4599204462002837,1.0844092852653842,0.8369123605264969
Between casual acquaintances,-0.14013943693612016,0.7984880340820703,-1.7122138368816913,0.6096640629992911,-1.189413573100147,-0.6020212876293222,0.6209915511208111,0.12396847914869072,-0.3185852073523042,-0.8990614351555111,-0.6536578965427515,-1.0154269247457661,-0.5034496926467523,-1.5435745862179808,-1.0383507442723832,-0.9975672575531371,-1.1331620235023574,-1.217127173007969,-0.13574959590667918,-0.7476465576294747,-0.7631318823754903,-1.1964687603225408,-0.49755084263187094,-1.112439422048541,-0.40326845997072924,-0.8258279462004056,-2.226060055568464,-0.1909698392436931,-0.9729881642427357,-0.5223466470422689
Between teammates in sports,0.1350049858367176,1.0671537724271438,1.1285101196462504,0.028755381673114866,0.0035282965689754156,0.3498951697007324,1.088370158748319,1.0107725298687278,1.0649374002290573,0.45882109741431915,-0.7863678031739074,-0.006217556472587822,0.6463685013508724,0.17467057325814497,-0.6399721161792477,0.005661416882427743,-0.015841121000270682,0.9760659197613293,-0.5802216671241965,-0.5651331143960661,0.8284972146927015,-0.4837792017907209,-0.12417220972132602,0.38635437126374805,1.366550630450769,0.40248837806737736,1.1914005027221348,0.09233108628311278,0.8794119273652259,0.9556392309336637
Between second cousins,0.2525992976074473,1.267914983498188,-0.3454504238352289,1.3686815381283046,-0.9041144624172618,-0.17126492872827603,-0.5221151639199616,0.8181582863697896,0.07611042487210203,-1.199854699150131,-0.9193049527958703,0.7591423673576907,0.5752444286982932,-0.79399930988558,-1.2863563466445183,-0.09237530022521524,-1.29003265471012,0.8177881361979314,0.6651454040526192,-0.9484538891123859,-1.3784908242520222,-0.8688614632554947,-1.2564039209428162,0.29485291868057983,0.5867167423585313,-1.2210177046370705,-1.0918304473787923,1.1847720652929543,-0.855497344052341,-1.7162807192771454
Parent and Infant,1.1946374167653258,-1.1845657199264983,1.8417632216626536,1.1845444466890638,-1.5194654854587786,2.044557887023827,-1.0542510485079075,1.6274456767196201,0.2982253130303609,-1.554613813449668,-0.18430754988348969,1.5658366900386451,1.7550312437510636,0.4228769742445726,-0.6352249104848346,0.23587263651912505,-0.4192477135657483,1.7690952931331976,1.958262915443645,-0.6536244808122642,-0.6081609723808492,-0.3918192587543572,1.4293907285074896,1.6201370825320367,1.1188986536863754,-1.1098033016050803,0.6697320685905483,1.3552561601296524,-0.5587463829352473,0.9997377827991825
Grandparent and Grandchild,0.8951249186227753,-0.9258575229326755,1.2370145321597428,1.3362483004316201,-1.3998138976451504,1.8826459535258928,-0.5091203926235526,1.3544793835374922,0.19175701953301377,-1.6724245085142275,-0.8397699060134993,1.6148991325852458,1.732229579397429,0.7065566964223445,-0.7145311703209101,-0.45301036672833045,-1.2555123765334815,1.732724953720044,1.0402347509992562,-1.1271383789912477,-0.90430246315893,-0.43435073240867533,0.9412142219509618,1.5288643835803273,0.7332541559706348,-1.3366859526642716,0.9752807228676207,1.6341810874415925,0.5275963462591501,0.17958010024046928
Step-parent and Step-child,0.21658648533078337,-0.951408949796263,1.4970948614565098,1.1576911208541745,-0.9844519570921265,1.1491911255858278,-1.0952985673134938,1.3590928983518382,1.1907233181753651,-1.3716312445196077,-0.6816940005335372,1.270909018788141,1.5487000991804074,0.8295807386504,-0.38306451389336915,0.15521742920480147,-1.1117507117219108,1.5026696045317727,0.8060240320137974,0.09025606812390173,0.2594498886840401,0.017160487907366396,0.8273498818208918,1.0855779714201221,-0.021688840342596057,-0.9852380175604806,1.1634539794650856,1.512128087705777,0.13970222680735234,1.121856849503697
Foster-parent and Foster-child,0.6272995666652936,-0.937036272185495,1.43725938700392,1.2793125331010806,-0.9348820135693376,1.5287909730559284,-0.4995908936728528,1.0109372982549545,0.006625286063234833,-1.4211368025520554,-0.041360397928929676,1.1472461397566664,1.3355324416086178,0.7096018459824449,-0.5801474686392751,0.38030172868663475,-0.15741795807914274,1.5429106967498336,0.20337656795764597,-0.14460159854766005,-0.15929035384958906,-0.33338637828333423,1.488708892544429,1.4039649008043027,0.5531454619825144,-0.8065055133082752,1.0446812556226261,1.0971322106335828,0.37741772560808506,1.4051052403322233
Godparent and Godchild,0.7102472635193082,-0.7267693219538902,0.7201151983304063,1.4300605686080516,-1.0336620462154757,0.9123849090504215,-1.1813832276911083,1.325644915947831,0.2192230857649802,-1.1093323565719182,-1.297891775479956,1.5898290752377346,1.497476080483867,0.43905201968121915,-0.8013771097892886,-0.6307019164859333,-0.5734091583849648,0.6696633376053811,-0.32166794992485764,-1.2571632533227408,-0.5267164065442494,-1.1244738049190717,-0.4013835160871359,0.5579195948571876,0.6200429768923876,-1.289451321130032,0.3450200840800708,1.4280611599899615,-0.8631920274418046,-0.41443116249506956
Step-grandparent and Step-grandchild,0.9213195278353276,-0.6688402291871784,0.9775190395822939,1.478908047031517,-1.0514748389877304,0.7784909874583275,-0.6769695218688347,1.134513587924932,0.6014247555304845,-1.3180809285811712,-0.90453415839343,1.7178310026562789,1.5220915135929052,0.2608575335349259,-1.2790646827895937,-0.6127974835726057,-0.9190489056978902,0.9664238804627158,0.8060240320137974,-1.0877852472917364,-0.7141586793887769,-1.2550932240082227,-0.3783752585212929,0.6653134049942739,0.7984363499853829,-1.3005310495146067,0.04958540964840653,1.1171917612104525,-0.6704611940358888,-0.19988199497051917
Ancestor and Descendant,0.700397224517894,0.22275896279452803,-0.9997451041123732,1.196905501438457,-0.8887306868412239,-0.05424446588864759,-1.0939813585271132,1.1687247081177787,-0.8749451416964431,-1.6481417189729952,-1.2825149997686975,0.5904015967494405,0.8083803270214376,-1.4280931452080203,-0.9231289734812917,-1.0977518379107374,-1.2628893831132992,-0.10587802331311892,1.0032541111594468,-1.202607604530146,-1.2272366305554798,-0.7106456584828618,0.2350734212273874,-0.49167831748223356,0.38987810041925697,-0.9359072608586024,-2.1656756035309113,1.5594979554810313,-3.3792509000179494,-2.361803110972407
Bride and Groom,1.1602385189523372,1.5494369544773563,1.639003771291055,1.5731799425632307,-1.339988103738336,2.5823476175393956,-0.6406357287916532,1.6012021323046823,1.3510625030646084,-1.1047509465635967,0.19259500122167508,1.6946337824331004,1.7264473391546407,0.4860878682710769,-0.44561593010210476,0.3737367699517479,-0.49855953064827707,1.5903097375558763,2.8797574356023414,-0.6453284152107456,1.3227539426618709,-0.5793691425785202,0.36670464748999065,1.7168686749617197,0.8922072255855475,-1.3471310836026709,1.4596871259898079,1.3361036747919854,1.3926839507919369,1.218411538315157
Man and His Mistress,0.5395132541614619,-0.04311656152635744,0.5245457993904248,1.1576911208541745,-0.9674594206715356,2.358487782526292,-2.0792535307398268,0.16361587208447526,0.4687778164375957,-1.0184940546827865,0.3125525658981452,1.1110874031977558,0.9585276503070373,-0.5998124648607176,0.8650317126465586,0.5477081764262482,-0.026052315877304152,0.7642377333240917,2.3154915710751687,-0.3476460612739025,0.9848304370415928,0.15189390444814416,-2.1946024295544784,0.17018218953601405,-0.19644976918709184,-1.0218432932061274,0.9864593321704398,-0.2582283323543737,0.35213704582367006,0.5595060855434023
