,Ocean,Sky,Strawberry,Tomato,Stop Sign,Ant,Penny,Elephant,Airplane,Rabbit,MTurkCode
0,0,0,100,99,100,2,1,100,100,1,7754562073
1,0,0,100,100,100,0,0,86,100,5,6943279798
2,0,0,100,100,100,0,0,100,100,0,6872386923
3,0,0,100,100,100,0,1,94,100,3,7867450490
4,0,0,100,100,100,0,0,100,100,0,779265798
5,12,13,89,96,86,29,28,65,82,49,3622210132
6,0,0,100,100,100,0,0,100,100,0,4924184023
7,0,0,100,100,100,0,0,78,90,20,4348268285
8,6,0,100,100,100,0,0,100,100,0,8175976788
9,0,0,100,100,100,0,7,74,100,32,1052889092
10,0,0,100,100,100,0,0,100,100,0,783293000
11,0,0,100,100,100,0,0,100,99,0,9427518658
12,0,0,100,100,100,0,0,100,100,0,5094305793
13,0,18,100,100,100,0,0,72,100,0,5911499545
14,0,0,100,100,100,1,1,98,98,0,9125106721
15,0,0,100,100,100,2,2,99,100,2,4275909038
16,0,0,100,100,100,0,3,90,100,12,8431169185
17,6,18,83,94,100,0,4,93,100,11,3156258538
18,0,0,100,100,100,0,0,100,100,0,5353528331
19,0,0,100,100,100,0,0,86,100,1,7134412131
20,0,0,100,100,100,0,7,88,100,15,1156047335
21,0,0,100,100,100,0,0,100,100,0,1450549131
22,0,0,100,100,100,0,0,100,100,0,1022240049
23,0,0,100,100,100,1,0,100,100,1,2776457653
25,0,0,100,100,100,0,0,100,100,0,293182935
26,0,0,100,100,100,0,0,100,100,0,2053377903
27,0,1,100,100,100,0,0,99,100,1,169111099
29,0,0,100,100,100,0,0,100,100,0,7412035078
30,0,0,100,100,100,0,0,100,100,0,680729206
31,0,0,100,100,100,0,0,82,100,0,9042567848
32,0,0,100,100,100,0,0,100,100,0,2101788474
33,0,0,100,100,100,1,3,81,93,7,9870778503
34,0,0,100,100,100,0,0,100,100,0,7331845755
35,0,0,100,100,100,0,0,100,100,0,2752133007
36,0,0,100,100,100,0,0,100,100,12,269526103
39,0,0,100,100,100,0,0,100,100,0,913565480
40,0,0,100,100,100,0,0,100,100,0,7720100474
41,0,0,100,100,100,0,2,82,100,5,7106501683
42,0,0,100,100,100,0,0,100,100,0,5134411677
43,0,0,100,100,100,0,0,100,100,0,5275834524
44,0,0,100,100,100,0,0,100,100,0,9998856792
46,0,7,100,86,100,0,0,100,100,0,6298897443
47,0,0,100,100,100,0,0,99,99,0,9791689179
49,0,0,100,100,100,0,0,100,100,0,6308551044
50,0,0,100,100,100,0,0,100,100,0,7093992820
51,0,0,100,100,100,0,0,100,100,2,845380909
52,19,26,100,100,100,3,1,94,100,10,3848798843
53,0,0,100,100,100,0,0,100,100,0,107402992
56,0,0,100,100,100,1,1,100,100,15,5417742393
57,6,2,96,97,95,11,5,96,95,5,4980134526
58,0,0,100,100,100,0,0,100,100,17,7229338656
59,0,0,100,100,100,0,0,100,100,0,8109174435
61,22,0,100,86,100,2,2,99,100,1,7088471422
62,0,0,100,100,100,3,4,98,98,39,3718001204
63,12,0,100,100,100,0,0,100,100,0,5934808985
64,0,0,88,100,100,0,0,100,100,0,2446029414
65,0,0,100,100,100,0,0,100,100,0,907067824
66,0,0,100,100,100,0,0,99,100,0,2070493153
67,0,0,100,100,100,0,8,97,92,8,8835392976
68,0,0,100,100,100,0,0,100,100,0,4277540817
71,0,0,100,100,100,0,0,100,100,15,2401531026
72,0,0,100,100,100,0,0,100,100,0,890984553
73,1,14,100,98,100,1,1,86,100,11,4337640698
74,0,0,100,100,100,0,0,90,100,4,2262883395
75,1,1,100,100,100,1,0,99,99,0,7943665678
76,6,9,93,97,100,4,4,100,97,4,6287041381
77,0,0,100,100,100,0,0,100,100,0,6061121895
83,0,0,100,100,100,0,0,91,100,0,6536731962
84,0,0,100,100,100,0,0,100,98,0,9035728033
85,0,0,100,100,100,0,0,100,100,0,5924129276
86,0,0,100,100,100,0,0,100,100,0,7599600185
87,0,0,100,100,100,0,0,100,100,0,1048611826
88,0,0,100,100,100,0,0,100,100,0,2212173077
89,0,0,100,100,100,0,0,100,100,0,5201903525
90,0,0,100,100,100,0,0,100,100,6,9006553487
92,0,20,100,100,100,0,0,100,100,0,7206997373
93,0,0,100,100,100,0,0,100,100,0,5504154721
94,0,0,100,100,100,0,0,100,100,0,9272268335
96,0,0,100,100,100,0,0,100,100,0,6956479772
97,0,0,100,100,100,0,0,100,100,0,8776899152
99,0,0,100,100,100,0,0,100,100,24,4105369490
100,0,0,100,100,100,2,2,95,100,19,4097793404
101,0,0,100,100,100,0,0,100,100,0,3788969055
103,0,0,100,100,100,0,1,100,100,0,3069513514
104,0,0,100,100,100,0,0,100,100,0,1100431685
105,0,0,100,100,100,0,0,100,100,0,3278313828
106,0,0,100,100,100,0,0,100,100,0,3020691238
109,0,0,100,100,100,0,0,100,100,0,8597209579
110,0,0,100,100,100,0,0,100,100,0,1998791745
114,0,0,100,100,100,0,1,99,100,4,5029201130
115,0,11,100,100,100,0,0,94,100,6,9133983291
117,0,0,100,100,100,5,10,88,89,13,2573397010
118,1,5,94,91,89,0,0,97,99,0,5565540217
119,0,0,100,100,100,6,0,90,100,23,5186133668
120,0,0,100,100,100,0,0,100,100,0,4723920766
121,0,0,100,100,100,0,0,100,100,0,966202812
122,0,0,100,100,100,0,0,100,100,0,9712392822
123,0,0,100,100,100,0,1,100,100,4,8022831412
124,0,0,100,100,100,0,0,100,100,0,9871187061
125,0,0,100,100,100,0,0,100,100,0,6214795168
127,13,0,100,100,100,0,0,100,100,3,3207579571
129,0,0,100,100,100,0,0,100,100,0,5454670609
130,0,0,100,100,100,0,0,100,100,0,5358056980
132,0,0,100,100,100,0,0,100,100,0,3673751112
133,0,0,100,100,100,0,0,100,100,0,9061217731
134,0,0,100,100,100,0,0,83,100,5,7385797249
135,0,0,100,100,100,0,0,100,100,0,8476120075
