,Ocean,Sky,Strawberry,Tomato,Stop Sign,Ant,Penny,Elephant,Airplane,Rabbit,MTurkCode
136,0,0,100,100,100,0,0,100,100,6,2364164632
139,6,9,87,94,97,0,5,89,99,16,1151302121
140,0,0,100,100,100,0,0,100,100,0,4683834919
142,0,0,100,100,100,0,0,100,100,6,13341004
143,0,0,100,100,100,0,0,100,100,0,2893107836
145,0,0,100,100,100,0,0,100,100,0,4577325098
146,0,0,100,100,100,0,0,100,100,0,8513753446
147,0,0,100,100,100,4,7,93,95,5,7030281908
148,0,0,100,100,100,0,0,100,100,0,3027094099
149,0,0,100,100,100,3,7,65,100,18,8434813884
150,0,0,100,100,100,1,0,93,100,3,8144713551
151,0,0,100,100,100,1,0,100,100,0,2136427955
152,0,0,100,100,100,0,0,100,100,0,2801205026
153,19,0,88,100,100,0,0,100,100,0,8911503115
155,0,21,100,100,100,0,2,100,100,2,1797968447
156,0,0,100,100,100,1,3,94,100,14,8959908769
157,0,0,100,100,100,0,0,100,100,0,4075702708
158,0,0,100,100,100,0,0,100,100,0,5723286909
160,0,0,100,100,100,1,0,99,98,0,4844393967
161,0,0,100,100,100,0,0,100,100,0,2054632594
163,0,0,100,100,100,0,0,100,100,0,5846925196
165,0,0,100,100,100,0,0,95,100,3,5392136392
166,0,0,100,100,100,0,0,100,100,0,3487146692
167,0,0,100,100,100,0,0,100,100,0,4678409225
168,0,0,100,100,100,0,0,100,100,0,3286451101
171,0,0,100,100,100,0,5,66,100,16,8694615401
172,0,0,100,100,100,0,0,100,100,0,6527324505
173,6,3,97,98,100,2,4,93,96,5,2969841752
175,0,0,100,100,100,2,1,99,99,4,6233522291
176,0,0,100,100,100,0,0,99,100,0,3913766592
177,0,0,100,100,100,0,0,100,100,0,1402716576
178,2,2,99,100,99,0,1,98,97,4,8121222681
179,0,0,100,100,100,0,0,100,100,0,2228026487
181,0,0,100,100,100,0,0,100,100,0,3601710121
182,0,0,100,100,100,10,24,96,100,27,1471883165
183,0,0,100,100,100,0,4,92,100,15,1383409108
184,0,0,100,100,100,0,0,100,100,0,3598167547
185,0,0,100,100,100,0,0,99,100,0,4105940051
187,0,0,100,100,100,0,0,100,100,0,9249315271
189,0,0,100,100,100,0,0,100,100,0,3990300730
190,0,0,100,100,100,0,0,100,100,0,4207008192
191,1,1,100,100,100,0,0,100,100,0,6675082002
193,0,0,100,100,100,0,0,100,100,0,477236560
195,0,0,100,100,100,0,0,100,100,0,4930521636
196,0,0,100,100,100,0,0,100,100,0,9862418384
197,1,0,100,100,100,0,0,100,100,0,7334417598
198,0,0,100,100,100,0,0,100,100,0,5028206263
199,0,0,100,100,100,6,3,82,92,14,9666212508
200,0,1,100,100,100,9,5,95,95,6,509623750
202,0,0,100,100,100,0,0,99,100,0,8988091861
203,0,0,100,100,100,0,0,100,100,0,2213778430
204,11,0,82,99,89,0,0,98,92,13,2400228888
205,0,0,100,100,100,0,0,100,100,0,2937012780
207,0,0,100,100,100,0,0,100,100,0,8449698854
208,0,0,100,100,100,1,2,93,99,10,9653562027
210,0,0,100,100,100,0,0,100,100,0,9816846493
211,2,2,98,99,98,0,0,100,100,0,6597004630
214,0,0,100,100,100,0,0,100,100,0,4427987034
216,3,3,100,100,100,5,5,95,94,6,8084547361
217,0,0,100,100,100,5,9,79,96,17,286664762
218,0,0,100,100,100,0,0,100,100,0,1738074924
219,2,1,100,100,100,1,1,79,97,2,3452253481
220,0,0,100,100,100,0,0,100,100,0,4358325479
221,0,0,100,100,100,0,0,100,100,0,8726809350
223,0,0,100,100,100,0,0,100,100,0,7038752110
224,0,0,100,100,100,0,0,100,100,0,5066568800
226,0,0,92,90,100,1,9,88,96,23,9089738540
227,0,0,100,100,100,0,0,100,100,1,7454365827
229,0,0,100,100,100,1,1,94,99,31,5232936111
230,0,0,100,100,100,0,0,100,100,0,7387958010
231,0,0,100,100,100,0,0,88,95,7,6728585190
232,0,0,100,100,100,0,0,100,100,0,1993321110
233,0,0,100,100,100,0,4,85,100,7,163248414
234,13,6,85,84,96,5,11,87,91,15,102798966
235,0,0,100,100,100,2,1,100,98,1,5685487450
236,0,2,100,100,99,0,0,100,99,0,752738751
237,2,17,99,100,94,0,0,100,100,0,8143155495
238,0,0,100,100,100,0,0,100,100,0,9814836187
239,0,12,94,95,100,0,0,100,100,0,8635955289
240,0,0,100,100,100,0,0,100,100,0,6452099867
241,0,0,100,100,100,0,0,100,100,0,5421844758
242,0,0,100,100,100,0,1,100,100,0,6157837570
243,0,0,100,100,100,0,0,100,100,0,7013149019
244,0,0,100,100,100,0,0,100,100,0,4093631654
245,0,0,100,100,100,0,0,100,100,0,1817583125
246,3,6,100,100,100,0,0,100,100,0,5756449289
247,0,0,100,100,100,0,0,100,100,0,5149196237
248,0,0,100,100,100,0,0,99,100,0,1116385483
249,0,0,100,100,100,0,0,100,100,0,5484731839
250,0,0,100,100,100,0,0,78,100,0,5247097215
251,0,0,100,100,100,0,0,100,100,0,2430679178
252,0,0,100,100,100,0,0,100,100,0,8435150696
253,10,0,100,100,100,0,0,100,100,0,7068353164
256,0,0,100,100,100,1,12,89,98,15,8443558914
257,0,0,100,100,100,0,0,100,100,1,1507410015
258,0,0,100,100,100,0,7,72,96,18,9686745828
259,0,0,100,100,100,0,0,100,100,0,5972281545
260,2,15,100,100,100,0,0,100,100,0,7092880671
262,0,0,100,100,100,0,0,100,100,0,4716436448
263,0,0,100,100,100,0,0,100,100,0,9880111394
264,0,6,97,94,100,0,0,100,100,0,5384812811
266,0,0,100,100,100,1,0,82,99,1,1414104998
267,0,4,96,100,100,0,1,100,100,1,6049374006
268,5,8,94,83,95,0,0,99,100,0,9091537003
269,0,0,100,100,100,0,0,100,100,0,9841590910
270,0,0,100,100,100,0,0,100,100,0,1248015849
271,0,0,99,99,100,4,9,98,99,0,6765870791
272,0,0,100,100,100,0,0,100,100,0,3879397842
273,11,5,94,93,96,0,0,97,100,5,5969576765
274,0,0,100,100,100,1,3,59,85,8,5368977319
275,0,0,100,100,100,0,0,100,100,0,6019553011
276,0,0,100,100,100,0,7,81,100,17,156665509
277,0,0,100,100,100,0,0,100,100,0,1159903230
278,0,0,100,99,100,0,0,100,100,0,1028377632
279,0,0,100,100,100,2,5,73,97,21,5529015152
280,0,7,100,100,100,0,0,100,100,0,7525752796
282,0,0,100,100,100,0,0,100,100,0,2156246602
283,0,0,100,100,100,0,0,100,100,0,3013730193
284,0,0,100,100,100,0,1,94,100,9,9111093101
285,0,0,100,100,100,0,0,92,97,4,51000141
286,0,0,100,100,100,0,0,100,100,0,8810032890
287,0,0,100,100,100,0,0,100,100,0,2940558809
288,0,0,100,100,100,0,0,100,100,0,5131711671
289,0,0,100,100,100,0,0,100,100,0,5523499627
290,0,0,100,100,100,0,0,100,100,0,1162958345
291,0,0,100,100,100,0,0,100,100,0,7977884812
292,0,0,100,100,100,0,0,100,100,0,7019735109
293,0,0,100,100,100,0,0,100,100,0,3996425243
294,0,23,100,100,100,0,0,95,100,12,4817937109
296,10,19,99,100,100,1,1,92,100,7,5548706711
297,0,21,99,92,98,1,10,86,99,37,3352194032
298,0,0,100,100,100,0,0,100,100,4,7043439061
299,0,0,100,100,100,0,0,100,100,0,3331972672
300,0,0,100,100,100,0,5,78,100,21,6732814386
302,0,0,100,100,100,0,0,100,100,0,8197301006
303,0,0,100,100,100,0,0,90,100,9,4768390581
304,0,0,100,100,100,0,0,100,100,0,2178917219
307,0,0,100,100,100,0,0,100,100,25,8540625390
308,0,0,100,100,100,0,2,100,100,1,9712939062
311,0,0,98,99,100,0,0,100,100,0,9032362261
312,0,0,100,100,100,0,0,100,100,0,9837359492
313,22,20,80,80,76,4,6,84,90,8,7896720310
315,0,17,100,100,100,0,4,94,100,20,7473050877
316,0,6,100,100,100,0,0,100,100,0,9172838809
317,0,0,100,100,100,0,0,100,100,0,443903864
318,0,0,100,100,100,0,0,100,100,0,2731933644
320,0,0,100,100,100,0,0,100,100,0,7878878652
323,0,0,100,100,100,0,0,100,100,0,9407690754
324,0,0,100,100,100,0,0,100,100,0,6111637358
325,0,0,100,100,100,0,0,100,100,0,9094407884
330,0,0,100,100,100,0,0,100,100,0,5149870947
331,0,0,100,100,100,0,0,100,100,0,3851210460
332,0,0,100,100,100,0,1,100,100,0,948780663
334,0,0,100,100,100,1,0,87,100,5,4652938279
335,0,0,100,100,100,0,0,100,100,0,7235425789
337,0,0,100,100,100,0,0,100,100,0,83853499
338,0,0,100,100,100,0,7,77,100,25,7546435771
339,0,0,100,100,100,3,8,92,99,11,3456619456
340,8,0,100,100,100,0,0,100,100,0,6985594229
341,0,0,97,100,100,0,0,100,100,0,1655783341
342,0,0,100,100,100,2,0,80,100,3,586900808
343,0,0,100,100,100,0,0,100,100,0,1310788071
344,0,0,100,100,100,0,0,100,100,7,9811749765
345,0,0,100,100,100,0,0,100,100,0,1533200107
346,0,0,100,100,100,1,0,95,100,3,7458559880
347,9,0,100,100,99,0,0,99,100,0,1640086285
350,0,0,100,100,100,0,0,100,100,0,6365421507
351,0,0,100,100,100,0,0,100,100,0,8195610879
353,0,0,100,100,100,0,0,100,100,0,9888853891
354,0,0,100,100,100,0,0,100,100,0,5425990256
355,0,0,100,100,100,0,0,100,100,0,5693586878
356,0,0,100,100,100,0,0,100,99,0,1670407345
357,0,0,100,100,100,0,0,100,100,0,9441870404
358,0,0,100,100,100,0,5,100,100,11,6057443870
359,0,0,100,100,100,0,0,100,100,3,3571541863
360,0,0,87,100,100,1,0,100,100,0,2630508346
361,0,0,100,100,100,0,0,100,100,0,8005951917
362,0,7,100,100,100,0,0,100,100,0,4827442476
363,0,0,100,100,100,0,0,100,100,11,6498870761
364,0,0,100,100,100,0,0,100,100,0,4170170682
365,0,0,100,100,100,0,0,100,100,0,5812255642
366,0,0,98,100,100,12,10,96,97,20,8572888737
367,0,0,100,100,100,0,0,100,100,0,3854896747
368,0,0,100,100,100,0,0,100,100,0,5327697163
369,0,0,100,100,100,0,0,100,100,0,9611193267
370,0,0,100,100,100,0,0,100,100,0,1573707782
371,0,0,100,100,100,0,2,95,100,2,4416165039
373,0,0,100,100,100,0,0,86,100,5,7385540432
375,0,0,100,89,100,0,0,100,100,0,1754864244
376,0,0,100,100,100,0,0,100,100,0,7517301496
378,0,0,100,100,100,0,0,100,100,0,310362521
379,0,12,93,96,100,0,4,86,100,11,1388311642
380,0,0,100,100,100,0,5,78,92,40,2266888157
381,0,0,100,100,100,0,0,100,100,0,8886533589
383,0,0,100,100,100,0,0,100,100,0,2501539611
384,0,0,100,100,100,0,3,80,98,8,2145475456
385,0,0,100,100,100,0,0,100,100,0,6420560823
386,0,0,100,100,100,0,0,100,100,0,244968226
387,0,0,100,100,100,0,0,100,100,0,9250630452
389,0,0,100,100,100,0,0,100,100,0,8346278751
390,0,0,100,100,100,0,0,100,100,7,6472089118
392,0,0,100,100,100,0,0,100,100,0,7473620763
393,0,0,100,100,100,0,1,91,100,14,2813422391
394,0,0,100,100,100,0,0,100,100,0,9222852997
396,0,0,100,100,100,0,0,100,100,0,7500840988
397,0,0,100,100,100,0,0,100,100,0,488547054
398,0,0,100,100,100,0,0,100,100,0,2032607011
399,0,0,100,100,100,0,0,100,100,0,8796818237
400,0,0,100,100,100,0,0,99,100,0,3388872598
402,0,0,100,100,100,0,0,100,100,0,3686154517
403,0,0,100,100,100,0,4,93,100,8,6266956161
404,0,0,100,100,100,0,0,100,100,0,3168024220
405,0,17,100,100,100,0,0,78,100,27,4508083448
406,0,0,100,100,100,0,0,100,100,0,4307409273
408,0,0,100,100,100,0,0,100,100,0,1449240506
409,0,0,100,100,100,0,0,100,100,0,590833891
410,0,0,100,100,100,0,0,100,100,0,8150397231
412,0,0,100,100,100,0,0,100,100,0,9473135988
413,0,0,100,100,100,0,0,100,100,0,9150194991
414,0,0,100,100,100,0,0,100,100,0,6748028360
415,0,0,100,100,100,0,0,100,100,0,2032212531
418,0,0,100,100,100,0,3,93,100,7,9250575769
419,0,0,100,100,100,0,0,100,100,0,59217563
420,0,0,100,100,100,0,0,100,100,2,2530635129
421,0,0,100,100,100,2,1,98,98,1,6356109511
422,0,0,100,100,100,0,0,100,100,0,9325606175
423,27,0,100,100,100,0,17,100,100,28,8407634058
426,0,0,100,100,100,0,0,100,100,0,6124660023
427,0,0,100,100,100,0,0,100,100,0,46812882
430,0,0,100,100,100,0,0,100,100,0,9461663654
431,0,0,100,100,100,0,0,100,100,0,2046520886
432,0,0,100,100,100,0,0,100,100,0,4786915904
433,0,0,100,100,100,0,0,100,100,0,4391091177
434,0,0,100,100,100,0,0,100,100,0,7473747576
435,0,0,100,100,100,0,0,100,100,0,2156857596
436,0,0,100,100,100,0,0,100,100,0,8744513224
437,0,0,100,100,100,0,0,100,100,0,1328662233
438,0,0,100,100,100,0,0,100,100,0,2191931684
439,0,17,100,100,100,0,0,90,99,0,6118009109
440,0,0,100,100,100,0,0,100,100,0,5913843205
441,0,0,100,100,100,0,0,100,100,0,2647335282
442,0,0,100,100,100,1,10,91,90,11,5081395572
443,0,0,100,100,100,0,0,100,100,0,3668481055
444,0,0,100,100,93,0,0,95,100,5,4563577938
445,17,18,100,100,100,0,0,100,100,0,3842058856
446,0,0,100,100,100,0,0,100,100,0,1089855786
447,0,0,99,100,100,0,0,100,100,0,721894195
448,17,15,100,100,100,0,0,100,100,0,1214956529
450,0,0,100,100,100,0,0,100,100,0,3034024210
451,0,42,100,87,100,0,7,90,100,23,9039332377
452,0,4,100,100,100,0,3,96,100,6,5413041980
454,0,0,100,100,100,0,0,100,100,0,9083882472
455,0,0,100,100,100,0,0,100,100,9,152423516
456,0,0,100,100,100,1,1,98,99,1,3333187326
457,0,0,100,100,100,0,1,99,100,0,2525965892
458,0,0,100,100,100,0,0,100,100,0,1024970882
459,0,0,99,100,100,2,17,80,99,27,5518427551
464,0,9,100,89,100,0,12,89,97,36,1864481996
465,0,0,100,100,100,0,0,100,100,0,4586415421
466,0,0,100,100,100,0,0,80,100,7,6547149713
468,0,0,100,100,100,0,0,100,100,0,7583355042
469,0,0,100,100,100,0,0,100,100,0,4127891380
470,0,0,100,100,100,0,0,100,100,0,4355421774
471,0,0,100,100,100,0,1,98,100,10,2967835748
472,0,0,100,100,100,0,0,84,100,10,1919138361
474,0,0,100,100,100,0,0,100,100,0,9378845300
477,12,12,100,100,100,0,0,100,100,1,7861514748
478,0,8,100,100,100,0,0,100,100,0,8250634702
479,0,0,100,100,100,12,21,90,100,28,6088920449
480,0,0,100,100,100,0,0,100,100,0,5668961629
482,0,0,100,100,100,0,0,98,100,2,611976743
483,0,0,100,100,100,0,0,100,100,0,9515403420
484,0,0,100,100,100,0,0,100,100,0,3762666354
485,0,0,100,100,100,0,0,100,100,0,8045524335
486,0,0,100,100,100,0,6,70,89,16,8799817068
487,0,0,100,100,100,0,0,100,100,0,5225142072
488,0,17,100,100,100,0,0,100,100,0,5632216525
489,0,0,100,100,100,0,1,95,100,5,9873553048
490,0,0,100,100,100,0,0,100,100,0,4286315757
491,0,0,100,100,100,0,0,99,100,1,81156268
492,3,17,100,100,100,0,2,88,100,5,8280335115
493,0,0,100,100,100,0,0,100,100,0,9571371814
494,0,0,100,100,100,0,0,100,100,0,3798337341
497,0,0,100,100,100,0,0,100,100,0,7963307318
499,0,0,100,100,100,0,0,100,100,0,6868652305
500,0,0,100,100,100,0,0,100,100,1,6494987281
502,0,0,100,100,100,0,0,100,100,0,2083831392
503,0,0,100,100,100,0,0,100,100,0,6542330528
505,0,0,100,100,100,0,0,100,100,0,974268424
506,0,0,100,100,100,0,0,100,100,0,5257392069
507,0,0,100,100,100,1,3,88,86,31,3930640015
508,1,2,95,99,99,1,7,100,94,13,8800145005
509,0,0,100,100,100,0,0,100,100,0,9548238473
510,0,0,100,100,100,0,0,100,100,0,1779224891
511,0,0,100,100,100,0,0,100,100,0,2525944709
512,0,0,100,100,100,0,0,100,100,0,9379095397
513,0,0,100,100,100,0,0,100,100,0,4236183217
515,0,0,100,100,100,,,,,,
516,,,,,,,,,,,
517,,,,,,,,,,,
518,0,0,100,100,100,,,,,,
519,0,0,100,100,100,,,,,,
520,25,13,90,100,100,,,,,,
521,15,15,82,100,100,,,,,,
523,1,1,100,100,100,,,,,,
525,0,1,99,100,100,,,,,,
526,,,,,,,,,,,
527,0,0,100,100,100,,,,,,
528,,,,,,,,,,,
529,,,,,,,,,,,
530,0,0,100,100,100,,,,,,
531,,,,,,,,,,,
532,0,0,100,100,100,,,,,,
533,0,0,100,100,100,,,,,,
534,,,,,,,,,,,
535,0,0,100,100,100,,,,,,
537,0,0,100,100,100,,,,,,
538,0,0,100,100,100,,,,,,
539,,,,,,,,,,,
540,0,0,100,100,100,,,,,,
542,0,0,100,100,100,,,,,,
543,,,,,,,,,,,
544,0,0,100,100,100,,,,,,
545,0,0,100,100,100,,,,,,
546,0,0,100,100,100,,,,,,
547,0,0,100,100,100,,,,,,
548,2,0,100,100,100,,,,,,
549,10,18,88,100,96,,,,,,
550,0,0,100,100,100,,,,,,
551,0,0,100,100,100,0,0,100,100,19,9465968417
552,0,0,100,100,100,2,1,97,96,2,968060204
553,2,0,100,98,100,0,0,100,100,0,1684078942
554,0,0,100,100,100,0,0,100,100,0,3055871697
555,19,27,100,100,100,0,3,96,100,7,9948156522
556,0,0,100,100,100,0,0,100,100,0,7886237665
557,0,0,100,100,100,0,0,100,100,0,1837143818
558,0,17,99,100,99,1,0,100,99,1,89537124
559,0,0,100,100,100,0,0,100,100,0,8264803346
561,0,0,100,100,100,0,0,100,100,0,3079296187
562,0,0,100,100,100,0,0,100,100,0,4040924417
563,0,0,100,100,100,0,0,100,100,0,1803897684
564,0,0,100,100,100,0,0,100,100,0,949299181
565,0,0,100,100,100,0,3,70,100,8,5017676651
566,0,0,100,100,100,0,0,94,90,4,3594780066
567,0,0,100,100,100,0,0,100,100,0,3266040086
568,0,0,100,100,100,0,0,96,100,4,8993676365
571,0,0,100,100,100,0,0,100,100,0,798175535
572,0,0,100,100,100,0,0,100,100,0,4101049057
573,2,4,91,95,95,15,19,83,87,15,3050263361
574,0,0,100,100,100,0,0,100,100,0,1624399805
575,0,0,100,100,100,0,0,100,100,0,3664417569
576,0,0,100,100,100,0,0,100,99,0,3306901562
577,0,0,100,100,100,0,0,100,100,0,8258894700
580,14,6,90,88,100,0,6,81,96,13,9213867094
581,0,0,100,100,100,0,0,100,100,0,5529272696
583,0,0,100,100,100,0,4,76,100,16,2090290947
584,0,0,100,100,100,0,0,100,100,0,566019141
588,0,0,100,100,100,0,0,100,100,0,1491813906
590,0,0,100,100,100,0,0,100,100,0,231322362
591,0,0,100,100,100,0,0,100,84,11,6436506211
592,0,0,100,100,100,0,0,100,100,0,1913794893
593,0,0,100,100,100,0,0,100,100,0,3540080911
595,0,0,100,100,100,0,0,100,100,0,12999377
596,0,0,100,100,100,0,0,100,100,0,1298394990
597,0,0,100,100,100,0,0,100,100,0,8071852121
598,0,0,100,100,100,5,0,98,100,7,1855181576
599,0,0,100,100,100,0,9,85,100,24,4343269420
600,2,6,97,98,99,2,2,98,99,1,3705220110
601,0,3,100,100,100,0,5,74,90,21,1268464876
602,1,1,100,100,100,0,0,100,100,0,6809321530
604,0,0,100,100,100,0,0,100,100,0,3896657759
605,0,0,100,100,100,0,0,100,100,0,4146751635
606,0,0,100,100,100,0,0,100,100,0,8128792908
608,0,0,100,100,100,0,0,100,100,0,5549441729
609,0,0,100,100,100,0,0,100,100,0,126697286
610,0,0,100,100,100,0,0,100,100,0,627275239
611,0,17,100,100,100,0,0,100,100,0,4901702641
612,0,0,100,100,100,0,0,100,100,0,5133574213
613,0,0,100,100,100,0,0,100,100,0,2979668327
615,3,0,100,100,100,0,4,100,100,7,8611827832
616,0,0,100,100,100,8,9,98,98,8,6339034088
617,0,0,100,100,100,1,0,100,98,0,9110414832
618,0,0,100,100,100,0,0,100,100,0,7407897207
619,0,0,100,100,100,0,0,100,100,0,5118391085
620,0,0,100,100,100,3,7,98,97,23,3578566568
625,1,0,100,100,100,1,2,97,97,4,6349322153
626,0,0,100,100,100,0,13,76,100,30,9166731890
627,0,0,100,100,100,0,0,100,100,0,554633210
629,0,0,100,100,100,0,0,100,100,0,8147564302
630,0,0,100,100,100,0,0,100,100,0,413927878
631,0,0,100,100,100,0,0,89,100,0,5445689028
633,0,0,100,100,100,0,4,100,100,15,8000204176
634,0,0,100,100,100,0,0,100,100,0,660709831
636,0,0,100,100,100,0,0,99,99,1,8214825703
637,0,0,100,100,100,0,0,100,100,0,3824742259
639,3,14,95,99,100,1,5,82,95,15,7206232948
641,0,0,100,100,100,0,0,100,100,0,3464276534
643,0,0,100,100,100,0,0,100,100,0,3887879075
644,0,0,100,100,100,0,0,100,100,0,3206774927
645,12,9,98,91,99,0,4,88,99,12,3595422031
646,0,0,100,100,100,0,0,100,100,0,3717281171
647,0,0,100,100,100,0,1,84,85,8,5026787631
648,0,0,100,100,100,4,8,79,100,20,803288863
649,0,0,100,100,100,0,0,100,100,3,759777682
650,0,0,100,100,100,0,0,100,100,6,5981331360
651,0,0,100,100,100,0,0,83,100,11,9993820027
654,0,0,100,100,100,0,1,99,100,0,2281569838
655,0,0,100,100,100,0,0,100,100,0,2365116765
656,3,0,100,99,100,0,0,100,100,0,2798921596
657,0,0,100,100,100,0,1,96,100,3,5541561893
658,0,0,100,100,100,0,0,100,100,0,2532917633
659,0,0,100,100,100,1,0,72,100,7,744947474
662,0,0,100,100,100,4,3,97,100,25,1762352455
663,0,0,100,100,100,0,0,100,100,0,7306525758
664,0,0,100,100,100,0,0,100,100,0,5512706092
665,8,0,100,100,100,0,0,90,100,0,238407435
669,0,0,100,100,100,2,6,83,94,16,1509376983
670,0,0,100,100,100,0,0,100,100,0,4236900042
672,0,0,100,100,100,0,0,100,100,0,7898391382
676,0,0,100,100,100,0,0,100,100,0,1102224299
677,0,0,100,100,100,0,0,100,100,0,6797989425
