,Dim1,Dim2,cl_k3,cl_k6
man and god,-15.583821,-2.9584305,0,1
divorced spouses,8.094634,0.38195333,1,0
half siblings,-12.720129,8.394246,2,2
parole officer and parolee,-15.221309,-3.4094925,0,1
landlord and housekeeper,-13.786777,-5.4501452,0,3
a person and their social media follower,-16.680555,-2.6582432,0,5
parent and teenager,-15.057455,-3.125752,0,1
entrepreneur and investor,-14.023147,-5.6286745,0,3
professor and graduate student,-15.708037,-3.0088544,0,1
sorority sisters,-15.183339,-0.21169324,0,4
doctor and nurse,-14.29105,-4.0980678,0,3
intern and employee,-16.887741,-2.6923597,0,5
cousins,-12.704216,8.332247,2,2
brother and sister,-12.766501,8.246629,2,2
political allies,-13.903298,-5.7534933,0,3
supervisor and subordinate,-16.88813,-2.5178974,0,5
religious leader and congregant,-16.750013,-2.6048007,0,5
fans of the same sports team,-14.953195,-0.52402425,0,4
principal and teacher,-13.626363,-5.5858555,0,3
celebrity and haters,7.959024,0.11485857,1,0
a person and their in laws,-12.589365,8.369728,2,2
police officer and offender,8.04223,0.33510724,1,0
customer and server,-13.772962,-5.5287957,0,3
foreman and laborer,-13.899064,-5.237537,0,3
