,Dim1,Dim2,cl_k3,cl_k6
opposing negotiators,3.4918175,4.6083293,0,3
nurse and patient,13.502325,8.913313,0,0
man wife and man mistress,3.104713,4.2069087,0,3
parent and infant,1.6147044,17.661486,2,4
a person and their crush,1.9481161,18.81589,2,4
volunteer and organizer,-14.600126,1.3609152,1,1
doctor and patient,13.314908,9.468833,0,0
prostitute and customer,12.521896,9.083607,0,0
distant relatives,8.307922,15.553935,2,2
landlord and tenant,12.5405245,9.560642,0,0
ancestor and descendant,8.051299,15.241853,2,2
representative and citizen,13.549905,9.4759,0,0
a person and their deceased spouse,2.0716796,17.910114,2,4
television host and guest,12.953933,9.718131,0,0
guest and host,12.70595,9.512053,0,0
neighbors,8.0031805,15.460894,2,2
dealer and buyer,13.543443,9.237616,0,0
friends,1.4827319,18.909376,2,4
judge and lawyer,12.93131,9.0606985,0,0
officer and soldier,-13.75048,1.574742,1,1
teammates in sports,9.647442,15.219847,2,5
patient and caretaker,12.754282,9.383061,0,0
frenemies,3.2319312,4.3297877,0,3
enemies,3.3632128,4.3070126,0,3
slave and master,-14.173911,1.0755498,1,1
therapist and patient,12.797227,9.35807,0,0
godparent and godchild,2.1157985,18.677889,2,4
step parent and step child,1.3048815,18.877926,2,4
wife and husband,1.5724701,18.632397,2,4
romantic rivals,3.0520332,4.374642,0,3
romantic lovers,1.2321669,17.97637,2,4
brothers in arms,9.051503,15.439772,2,5
driver and passenger,9.367702,14.764364,2,5
employer and employee,-13.71618,1.2096546,1,1
university student and administrator,-14.140006,1.720195,1,1
athletic trainer and trainee,12.924838,9.294902,0,0
native and tourist,-14.549427,1.6191252,1,1
co workers,9.447752,14.892647,2,5
bride and bridesmaid,9.757314,15.2617445,2,5
alumni,9.61352,14.864554,2,5
sports rivals,2.9742353,4.712375,0,3
classmates,8.9525,15.187189,2,5
psychologist and client,13.444733,9.643068,0,0
reader and writer,12.817126,9.590643,0,0
aunt and niece/nephew,1.4304478,17.77752,2,4
guard and prisoner,-13.78228,1.6651429,1,1
criminal and police officer,3.2414956,4.506149,0,3
church members,9.268607,15.162217,2,5
friends with benefits,1.1926267,18.63507,2,4
parent and child,1.1636912,18.34704,2,4
predecessor and successor,9.323207,15.436263,2,5
defendant and plaintiff,3.0178413,4.379735,0,3
roommates,7.9436774,15.562793,2,2
mentor and mentee,12.941072,8.865293,0,0
customer and businessman,13.379255,9.400989,0,0
superior and subordinate,-14.008183,1.7514893,1,1
victim and witness,9.467816,15.474828,2,5
leader and follower,-13.849983,1.0459733,1,1
bride and groom,1.7567401,18.86107,2,4
union leader and union member,-13.948342,1.2394638,1,1
foster parent and foster child,1.256254,17.920267,2,4
police officer and civilian,13.148616,8.838338,0,0
political opponents,3.362068,4.3748775,0,3
teacher and student,12.890813,8.976452,0,0
politician and supporter,-14.07914,1.3134788,1,1
siblings,1.8793393,17.897293,2,4
second cousins,1.4895303,18.554518,2,4
manager and staff,9.2812805,15.393854,2,5
drug dealer and addict,-14.416219,1.6263644,1,1
team captain and team members,9.593473,15.298063,2,5
life partners,1.1446761,18.16053,2,4
soul mates,1.5134028,18.606312,2,4
close friends,1.7642461,18.49478,2,4
salesperson and customer,12.902951,8.909612,0,0
competitors in sports,3.3332453,4.7495966,0,3
boss and secretary,-14.079492,1.2066543,1,1
bully and victim,3.1055307,4.6138234,0,3
director and performer,13.299207,9.070713,0,0
confidants,1.4657104,18.473808,2,4
playmates,2.023929,18.323019,2,4
uncle and niece/nephew,1.8132604,18.519371,2,4
step grandparent and step grandchild,1.6992867,18.06687,2,4
guide and tourist,13.272985,9.642334,0,0
fiance and fiancee,1.7949879,18.174755,2,4
criminal and prosecutor,3.0430317,4.531553,0,3
long distance lovers,1.8537719,17.898209,2,4
fraternity brothers,1.6457763,18.205093,2,4
chief and deputy,9.13514,15.119417,2,5
adoptive parents and adopted kids,1.424206,18.076637,2,4
master and servant,-13.995754,1.319876,1,1
a person and their family friends,1.6172571,18.089983,2,4
owner and manager,9.516241,14.995768,2,5
groom and groomsman,9.46571,15.318235,2,5
strangers,8.221652,15.283091,2,2
a monarch and their minister,9.56699,15.210818,2,5
step siblings,1.1268673,18.29612,2,4
business rivals,2.9744928,4.458691,0,3
interviewer and job applicant,-14.292577,1.0803952,1,1
student and dorm resident assistant,-13.890054,0.96180856,1,1
manager and assistant,9.321163,14.9944105,2,5
a person and their significant other,1.4986185,18.138338,2,4
ex lovers,3.1820195,4.501865,0,3
chef and customer,12.686658,9.878331,0,0
professor and teaching assistant,8.911538,15.177047,2,5
grandparent and grandchild,2.1881666,18.186384,2,4
business partners,8.870524,15.37718,2,5
peers,8.014571,15.514039,2,2
twins,1.9829623,17.989899,2,4
performer and audience,-14.300395,1.2035636,1,1
celebrity and fans,-14.244323,1.0510017,1,1
cohabitants,8.037797,15.41597,2,2
pen friends,1.3778406,18.323153,2,4
judge and contestant,12.672601,9.058488,0,0
