,V1,V2,V3,V4,V5,cl_k3
parent and child,-1.49564996163796,0.771680264284574,0.0974508566513124,0.18426393523991,0.611058852116521,0
parent and teenager,-1.34030290398085,0.559711111322404,-0.428202004027797,-0.690676077647268,0.691922065304076,0
wife and husband,-1.06382809376914,1.22647210402767,0.481617629995704,0.415619549096842,1.65328241380412,0
fiance and fiancee,-1.47808796772156,0.995286366339881,0.025223558369591,1.6313592456025,1.12365177290644,0
siblings,-0.801003071150534,1.70657412704895,0.495138248423387,-0.0391394723220729,-0.0919057505201364,0
divorced spouses,1.61263743368084,-0.717183092538046,-1.10756367748009,2.27385437059536,1.12848161401918,1
a person and their in laws,0.514064527061971,0.401826529823665,0.37842866952133,-0.264300075945167,0.335159554634432,0
employer and employee,0.0924112735391014,-1.0559344000789,0.464664317775758,0.175686122338979,-0.780003328990251,2
interviewer and job applicant,-0.396574935873445,-1.05046366450506,0.117159542705009,-0.140914974969372,-0.257766953509276,2
guard and prisoner,-0.217682267076217,-0.381888682656957,-1.57903280125886,-0.341287458035716,-0.893390744728657,1
nurse and patient,-1.23118819510357,-0.385553625689303,0.522879536181011,-0.97499902405535,-0.719986176026177,2
therapist and patient,-1.34156882152341,-1.00297735218451,0.580809407471174,-0.571778457193647,0.129135621403022,2
salesperson and customer,0.82289856915642,-1.30567183825719,0.225218435602201,0.982409915717532,-0.435347068992657,2
business partners,-0.998087891546646,-1.33917234775883,0.0434304849619439,1.69462921454374,0.0940008156267602,2
opposing negotiators,-0.0855893152964834,-0.752142578626864,-1.72906331101085,1.27257809387157,-1.03144130430082,1
political opponents,0.211387102650186,0.59515666934174,-1.62620552298251,0.283491922594462,-1.37376345339159,1
business rivals,-0.350318146378279,-0.197933345166078,-2.54769637272214,1.96180704297938,-0.836930168366035,1
enemies,0.438929815126903,1.1336367806284,-2.29978370775153,0.457258655139844,0.0882763388030569,1
teacher and student,-0.75276817139275,0.400348815236451,0.613394611838081,-1.46455833767972,-1.10795349580249,2
professor and graduate student,-1.13833074017179,-0.298025401218509,0.443976050005032,-0.885289615732935,-0.113790876989357,2
master and servant,0.292553752634114,-0.222738393603023,-1.66642482351268,-1.5790545537769,-0.0353450507185791,1
close friends,-1.41282170557799,1.05174755219188,0.213972564137248,0.831183686419272,0.496299071419943,0
casual acquaintances,1.25440372237885,1.35885648145795,0.11004720320785,1.17403427152137,-0.928462460774354,0
teammates in sports,-0.850660873171789,0.918329179638736,0.152308049077397,1.19495140309559,-1.05118365888087,0
second cousins,1.21762891298234,1.37590209826817,0.702047220705295,0.0333998829962069,-0.62616484084315,0
grandparent and grandchild,-0.149987081854701,0.570846228310306,0.797643985496417,-0.880018653730145,0.329931558078017,0
foster parent and foster child,-0.994271007485575,0.63085058438244,0.352691075285982,-0.74981793888792,1.01135763205603,0
godparent and godchild,0.0524975275222115,0.859116259048625,0.498775944119309,-0.736325484814241,0.20751617948608,0
step grandparent and step grandchild,-0.0562810598538532,1.01740970539311,0.428783188115542,-0.671307364694626,0.0065196775134284,0
ancestor and descendant,0.989036254028914,0.800540180237875,1.01055639220309,-0.148111760130745,0.451451546673884,0
man and his mistress,-0.729771586296647,-0.18013674532107,-1.34594658585965,0.418472668649684,2.46123529145621,1
step siblings,-0.473694966255609,1.07606497207606,-0.783899025566675,0.445532920643725,-0.544852008193076,0
distant relatives,1.62998073272766,1.03951035202965,0.909218149124207,0.0489729758765565,-0.408344453632234,0
twins,-0.0158771668439259,1.3363881228563,0.438506453851457,0.480798949182556,-0.0899560181615547,0
a person and their family friends,-0.875474698448619,1.2483121188857,0.670261451927749,0.335155978009729,0.273572427597115,0
manager and staff,0.232842865424677,-0.875360757265422,0.270727070777264,-0.217243248836302,-0.444528396028285,2
union leader and union member,-0.237172680074661,-0.856025029026216,0.626871697826904,0.490407045393944,-1.27899770671412,2
manager and assistant,-0.0608414512299214,-0.793412002928217,0.678314105897022,-0.940238918920321,-0.971901026763492,2
entrepreneur and investor,-0.552120656907975,-2.00817469685202,0.293989316074892,0.191957629393281,0.527824376067681,2
drug dealer and addict,-0.896530265559255,-1.6719271653552,-0.944655103082682,0.860099404280096,1.40171790005723,2
victim and witness,-0.340748271097516,0.547397909248705,-2.5241292067466,-1.07332585435656,-0.388736733255048,1
criminal and police officer,-0.813427347339621,-0.147092198295363,-1.23406144872539,-0.964031603746111,-0.940232935887582,1
criminal and prosecutor,-1.19956980122052,-0.44611880479496,-1.52840714236672,0.277197103443531,-1.62784243982799,1
customer and businessman,-0.131442207125498,-1.60340647343223,-0.257011808514595,0.662895390911322,0.282757195391505,2
representative and citizen,0.430623452993486,-0.338153175405762,-0.0002653565113389,0.376383834730707,-0.816217576475764,2
officer and soldier,-0.8421297155315,-0.724917717554672,-0.737383032038437,-1.0036090310672,-0.251799218282608,2
