,age,count
0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
5,6,0
6,7,0
7,8,0
8,9,0
9,10,0
10,11,0
11,12,0
12,13,0
13,14,0
14,15,0
15,16,0
16,17,0
17,18,0
18,19,20
19,20,17
20,21,39
21,22,39
22,23,41
23,24,34
24,25,46
25,26,14
26,27,27
27,28,26
28,29,15
29,30,20
30,31,29
31,32,22
32,33,14
33,34,19
34,35,5
35,36,9
36,37,14
37,38,8
38,39,3
39,40,11
40,41,5
41,42,5
42,43,13
43,44,7
44,45,6
45,46,4
46,47,3
47,48,7
48,49,4
49,50,3
50,51,5
51,52,2
52,53,0
53,54,5
54,55,2
55,56,0
56,57,0
57,58,2
58,59,2
59,60,2
60,61,0
61,62,2
62,63,1
63,64,1
64,65,0
65,66,0
66,67,3
67,68,0
68,69,0
69,70,0
70,71,0
71,72,0
72,73,0
73,74,0
74,75,0
75,76,0
76,77,0
77,78,0
78,79,0
79,80,0
80,81,0
81,82,0
82,83,0
83,84,0
84,85,0
85,86,0
86,87,0
87,88,0
88,89,0
89,90,0
90,91,0
91,92,0
92,93,0
93,94,0
94,95,0
95,96,0
96,97,0
97,98,0
98,99,0
99,100,0
100,101,0
101,102,0
102,103,0
103,104,0
104,105,0
105,106,0
106,107,0
107,108,0
108,109,0
109,110,0
110,111,0
111,112,0
112,113,0
113,114,0
114,115,0
115,116,0
116,117,0
117,118,0
118,119,0
119,120,0
