"","geo","model","value"
"1","human","FAVEE",0.639959902712669
"2","modern","FAVEE",0.42144288040247
"3","ancient","FAVEE",0.308612744871374
"4","human","HPP",0.695177961154321
"5","modern","HPP",0.419596699989797
"6","ancient","HPP",0.317422767611082
